# CLDR symbol names for kl: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
©	copyright	copyright | copyright-tegn | ophavsret
®	registreret varemærke	registreret | registreret varemærke
‼	dobbelt udråbstegn	dobbelt udråbstegn | tegnsætning | udråbstegn
⁉	udråbstegn og spørgsmålstegn	spørgsmål | tegn | tegnsætning | udråbstegn | udråbstegn og spørgsmålstegn
™	varemærke	varemærke
ℹ	informationskilde	i | information | informationskilde | turistinformation
↔	pil mod venstre og højre	pil | pil mod venstre og højre
↕	op- og nedadvendt pil	op- og nedadvendt pil | pil
↖	opadvendt pil mod venstre	nordvest | opadvendt pil mod venstre | pil | retning
↗	opadvendt pil mod højre	nordøst | opadvendt pil mod højre | pil | retning
↘	nedadvendt pil mod højre	nedadvendt pil mod højre | pil | retning | sydøst
↙	nedadvendt pil mod venstre	nedadvendt pil mod venstre | pil | retning | sydvest
↩	pil mod højre med sving til venstre	pil | pil mod højre med sving til venstre
↪	pil mod venstre med sving til højre	pil | pil mod venstre med sving til højre
⌨	tastatur	computer | tastatur
⏏	udskubningsknap	eject | skub ud | udskubningsknap
⏭	knap til næste nummer	knap til næste nummer | næste nummer | næste scene | pil | trekant
⏮	knap til forrige nummer	forrige nummer | forrige scene | knap til forrige nummer | pil | trekant
⏯	knap til afspilning og pause	afspil | højre | knap til afspilning og pause | pause | pil | play | trekant
⏱	stopur	stopur | ur
⏲	æggeur	æggeur | tidtager | ur
⏸	pauseknap	bjælke | dobbelt | lodret | pause | pauseknap
⏹	stopknap	kvadrat | stop | stopknap
⏺	optageknap	cirkel | optage | optageknap
Ⓜ	m i cirkel	cirkel | m | m i cirkel
▪	lille sort kvadrat	geometrisk | kvadrat | lille sort kvadrat
▫	lille hvidt kvadrat	geometrisk | kvadrat | lille hvidt kvadrat
▶	afspilningsknap	afspil | afspilning | afspilningsknap | højre | pil | play | trekant
◀	knap til baglæns afspilning	baglæns | knap til baglæns afspilning | pil | trekant | venstre
◻	mellemstort hvidt kvadrat	geometrisk | kvadrat | mellemstort hvidt kvadrat
◼	mellemstort sort kvadrat	geometrisk | kvadrat | mellemstort sort kvadrat
☀	sol	lys | rum | sol | solskin | stråler | vejr
☁	sky	sky | vejr
☂	paraply	paraply | regn | tøj | vejr
☃	snemand	kulde | sne | snemand | vejr
☄	komet	komet | rummet
☎	telefon	telefon
☑	afkrydsningsfelt med flueben	afkrydsning | afkrydsningsfelt med flueben | flueben | markere | stemme
☘	kløver	kløver | plante
☝	opadvendt pegefinger	finger | hånd | krop | op | opadvendt | pege | pegefinger
☠	kranie og korslagte knogler	ansigt | død | korslagte knogler | kranie | kranie og korslagte knogler | kranium | krop | monster
☢	radioaktiv	advarsel | radioaktiv | radioaktivitet | risiko | skilt
☣	biologisk fare	advarsel | biologisk | fare | risiko | skilt
☦	ortodokst kors	kors | kristen | ortodokst kors | religion
☪	stjerne og halvmåne	islam | muslim | religion | stjerne og halvmåne
☮	fredssymbol	fred | fredssymbol
☯	yin og yang	religion | tao | taoist | yang | yin | yin og yang
☸	dharma-hjul	buddhist | dharma | dharma-hjul | hjul | religion
☹	trist ansigt	ansigt | trist
☺	smilende ansigt	smil | smilende ansigt
♠	spar	kort | spar | spil
♣	klør	klør | kort | spil
♥	hjerter	hjerter | kort | spil
♦	ruder	kort | ruder | spil
♨	varme kilder	damp | kilder | varm | varme kilder
♻	genbrug	genbrug | genbrugssymbol
⚒	hammer og hakke	hakke | hammer | hammer og hakke | værktøj
⚔	korslagte sværd	korslagt | korslagte sværd | sværd | våben
⚕	medicinsymbol	æskulap | æskulapstav | lægekunst | lægevidenskab | medicin | medicinsymbol | slange | stav
⚖	vægt	balance | jura | retfærdighed | stjernetegn | vægt | værktøj
⚗	kolbe	kemi | kolbe | værktøj
⚙	tandhjul	tandhjul | værktøj
⚛	atomsymbol	ateist | atom | atomsymbol
⚜	fransk lilje	fleur-de-lis | fransk lilje | heraldik | heraldisk lilje | lilje
⚠	advarselsskilt	advarsel | advarselsskilt
⚰	kiste	død | kiste
⚱	urne	begravelse | død | urne
⛈	sky med lyn og regn	regn | sky | sky med lyn og regn | torden | vejr
⛏	hakke	hakke | mine | værktøj
⛑	hjelm med hvidt kors	ansigt | hjelm | hjelm med hvidt kors | kors | nødhjælp
⛓	kæder	kæde | kæder
⛩	shinto-alter	alter | religion | shinto | shinto-alter
⛰	bjerg	bjerg
⛱	parasol	paraply | parasol | regn | sol | vejr
