# CLDR symbol names for km: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	ឧទានសញ្ញា	ឧទាន | ឧទានសញ្ញា
#	សញ្ញាហាស់	លេខ | សញ្ញាហាស់ | ហាស់
$	សញ្ញាដុល្លារ	ដុល្លារ | លុយ | សញ្ញា | សញ្ញាដុល្លារ
%	ភាគរយ	ភាគរយ | សញ្ញា
&	សញ្ញា និង	និង | សញ្ញា និង
'	អាប៉ូស្ត្រូបអង្គុលីលេខ	អាប៉ូស្ត្រូបទោល | អាប៉ូស្ត្រូបអង្គុលីលេខ
)	បិទរង្វង់ក្រចក	បិទ | បិទរង្វង់ក្រចក | រង្វង់ក្រចក | រង្វង់ក្រចកបិទ
*	សញ្ញាផ្កាយ	ផ្កាយ | សញ្ញាផ្កាយ
+	បូក	បូក | សញ្ញា
,	ក្បៀស	ក្បឿស | ក្បៀស | សញ្ញាក្បៀស
-	សហសញ្ញា-ដក	ដក | សហសញ្ញា | សហសញ្ញា-ដក
.	សញ្ញាខណ្ឌ	សញ្ញាខណ្ឌ | សញ្ញាចុច
/	សញ្ញាគូសបញ្ឈរទ្រេតទៅស្ដាំ	សញ្ញាគូសបញ្ឈរទ្រេតទៅស្ដាំ | សញ្ញាស្លាស់
:	ចុចពីរ	ចុចពីរ
;	ចំណុចក្បៀស	ក្បៀស | ចំណុច | ចំណុចក្បៀស
<	តិចជាង	តិចជាង | សញ្ញាបើក
=	សញ្ញាស្មើ	សញ្ញា | សញ្ញាស្មើ | ស្មើ
>	ធំជាង	ច្រើនជាង | ធំជាង | សញ្ញាបិទ
?	សួរ	សញ្ញាសួរ | សួរ
@	សញ្ញាអ៊ែត	@ | សញ្ញាអ៊ែត | អ៊ែត
[	បើកដង្កៀប	ដង្កៀប | ដង្កៀបបើក | បើក | បើកដង្កៀប
\	សញ្ញាគូសបញ្ឈរទ្រេតទៅឆ្វេង	សញ្ញាគូសបញ្ឈរទ្រេតទៅឆ្វេង | សញ្ញាស្លាស់ត្រឡប់
]	បិទដង្កៀប	ដង្កៀប | ដង្កៀបបិទ | បិទ | បិទដង្កៀប
^	អាសង់សៀកុងផ្លិច	សៀកុងផ្លិច | អាសង់ | អាសង់សៀកុងផ្លិច
