# CLDR symbol names for ko: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	느낌표	감탄 | 감탄 부호 | 느낌표 | 뱅
#	해시 기호	샵 | 우물정자 | 파운드 기호 | 해시 | 해시 기호 | 해시태그
$	달러화	USD | 달러화 | 돈 | 화폐
%	백분율	백분율 | 퍼센트
&	앰퍼샌드	앤드 기호 | 앰퍼샌드
'	타자기 아포스트로피	따옴표 | 아포스트로피 | 작은따옴표 | 타자기 아포스트로피
)	닫는 괄호	괄호 | 닫는 괄호 | 둥근 괄호
*	별표	별표 | 애스터리스크 | 와일드카드
+	더하기 표시	더하기 | 더하기 표시 | 더하다
,	쉼표	쉼표
-	하이픈 마이너스	마이너스 | 하이픈
.	마침표	마침표 | 온점
/	슬래시	빗금 | 사선 | 슬래시
:	콜론	콜론
;	세미콜론	세미콜론
<	미만	미만 | 여는 태그 | 태그
=	같음	같다 | 같음
>	초과	닫는 태그 | 초과 | 태그
?	물음표	물음표 | 질문
@	앳 기호	골뱅이표 | 상업용 앳 | 앳 기호
[	여는 대괄호	괄호 | 대괄호 | 여는 대괄호
\	역슬래시	역빗금 | 역사선 | 역슬래시
]	닫는 대괄호	괄호 | 닫는 대괄호 | 대괄호
^	곡절 부호	곡절 부호 | 서컴플렉스 | 캐럿
_	밑줄	로우라인 | 밑줄 | 언더라인
`	억음 부호	그레이브 액센트 | 악상 그라브 | 억음 부호
{	여는 중괄호	괄호 | 여는 중괄호 | 중괄호
|	수직선	막대 | 바 | 부정논리곱 | 수직선 | 스트로크 | 파이크 | 파이프
}	닫는 중괄호	괄호 | 닫는 중괄호 | 중괄호
~	물결표	물결표
¡	거꾸로 된 느낌표	감탄 | 감탄 부호 | 거꾸로 | 거꾸로 된 느낌표 | 느낌표 | 뱅
¢	센트	센트
£	파운드화	영국 파운드 | 이집트 파운드 | 파운드화
¤	알 수 없는 통화 단위	
¥	엔화	엔 | 엔화 | 위안 | 위안화
§	단락	구분 | 단락 | 부분
¨	분음 부호	분음 부호 | 움라우트 | 트레마
©	저작권	동그라미 C | 씨 | 저작권
«	왼쪽 이중 꺽쇠괄호	괄호 | 왼쪽 | 왼쪽 이중 꺽쇠괄호 | 인용 부호
¬	부정	부정 | 아님
®	등록상표	동그라미 R | 등록상표 | 알
°	도	도 | 도수 | 시
±	플러스마이너스	플러스마이너스
²	제곱	2 | 2승 | 승 | 제곱
³	세제곱	3 | 3승 | 세제곱 | 승
´	양음 부호	악상 테귀 | 양음 부호 | 어큐트 액센트
µ	마이크로	마이크로 | 마이크로 기호 | 측정 단위
¶	단락 기호	단락 | 단락 기호 | 필크로
·	가운뎃점	가운뎃점 | 점 | 중간
¹	1승	1 | 1승 | 승
»	오른쪽 이중 꺽쇠괄호	괄호 | 오른쪽 | 오른쪽 이중 꺽쇠괄호 | 인용 부호
¿	거꾸로 된 물음표	거꾸로 | 거꾸로 된 물음표 | 물음표 | 질문
×	곱셈 기호	곱셈 | 곱셈 기호 | 곱하기 | 엑스
÷	나눗셈 기호	나누기 | 나누기 기호 | 나눗셈 | 나눗셈 기호
֏	아르메니아 드람	
؋	아프가니스탄 아프가니	
،	아랍어 쉼표	쉼표 | 아랍어
؛	아랍어 세미콜론	세미콜론 | 아랍어
؟	아랍어 물음표	물음표 | 아랍어 | 질문
৳	방글라데시 타카	
฿	태국 바트	
៛	캄보디아 리엘	
‐	하이픈	붙임표 | 하이픈
–	붙임표	반각 줄표 | 붙임 | 붙임표
—	긴줄표	긴줄 | 긴줄표 | 전각 줄표
―	수평 막대	수평 막대 | 수평 바
‘	왼쪽 아포스트로피	따옴표 | 스마트 따옴표 | 아포스트로피 | 왼쪽 아포스트로피 | 작은따옴표
’	오른쪽 아포스트로피	따옴표 | 스마트 따옴표 | 아포스트로피 | 오른쪽 아포스트로피 | 작은따옴표
‚	오른쪽 아래 아포스트로피	따옴표 | 아래 따옴표 | 아포스트로피 | 오른쪽 아래 아포스트로피
“	왼쪽 큰따옴표	따옴표 | 스마트 인용 | 왼쪽 큰따옴표 | 인용부호 | 큰따옴표
”	오른쪽 큰따옴표	따옴표 | 스마트 인용 | 오른쪽 큰따옴표 | 인용부호 | 큰따옴표
„	오른쪽 아래 큰따옴표	따옴표 | 스마트 인용 | 아래 인용부호 | 오른쪽 아래 큰따옴표 | 인용부호 | 큰따옴표
†	외칼표	외칼표 | 칼표
‡	쌍칼표	쌍칼표 | 칼표
•	글머리 기호	글머리 기호 | 점
…	말줄임표	말줄임표 | 생략 | 점
‧	하이픈 지점	하이픈 삽입 | 하이픈 지점
‰	천분율	천분율 | 퍼밀
′	프라임	프라임
