# CLDR symbol names for kok: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	उदगारवाचक चिन्न	उदगार | उदगारवाचक चिन्न | उदगारवाचक थिपको | बँग
#	हॅश चिन्न	lb | पावंड | संख्या | हॅश | हॅश चिन्न | हॅशटॅग
$	डॉलर (अमेरिकेचें नाणें)	USD | डॉलर | डॉलर (अमेरिकेचें नाणें) | पेसो | पैशें
%	टक्को	टक्को | प्रती-शें | प्रतीशें
&	ऍम्परसँड	et | आनी | ऍम्परसँड
'	टायपरायटर अपोस्ट्रॉफी	अपोस्ट्रॉफी | अवतरण चिन्न | एकोडें अवतरण चिन्न | टायपरायटर अपोस्ट्रॉफी
)	धांपिल्लो कंस	कंस | गोल कंस | धांपिल्लो कंस | पॅरन | पॅरन्थसिस | पॅरन्स | ब्रॅकेट
*	ऍस्टेरिस्क	ऍस्टेरिस्क | नखेत्र | वायल्डकार्ड
+	अदीक चिन्न	अदीक | चिन्न
,	अल्पविराम	अल्पविराम
-	हायफन-वजा	डॅश | पायफन | वजा | हायफन-वजा
.	पूर्णविराम	थिपको | पूर्णविराम | विराम
/	स्लॅश	आडी | ऑब्लिक | व्हर्ग्युल | व्हॅक | सॉलिडस | स्लॅश
:	कोलन	कोलन
;	अर्दविराम	अर्दविराम
<	यापरस ल्हान	उकतो टॅग | टॅग | यापरस ल्हान
=	बाराबर	बाराबर | समान
>	यापरस व्हड	टॅग | बंद टॅग | यापरस व्हड
?	प्रश्नवाचक चिन्न	प्रश्न | प्रश्नवाचक चिन्न
@	ऍट चिन्न	ऍट चिन्न | ऍम्परसॅट | ऍरोबा | ऍरोबेस | कमर्शियल ऍट | स्ट्रुडल
[	उकतो चौरस कंस	उकतो चौरस कंस | कंस | क्रोशे | चौरस कंस | स्क्वेयर ब्रॅकेट
\	बॅकस्लॅश	बॅकस्लॅश | रिव्हर्स सॉलिडस | व्हॅक | स्लॅश
]	धांपिल्लो चौरस कंस	कंस | क्रोशे | चौरस कंस | धांपिल्लो चौरस कंस | स्क्वेयर ब्रॅकेट
^	सर्कमफ्लेक्स ऍक्संट	ऍक्संट | कंट्रोल | कॅरे | झॉर चिन्न | पॉइंटर | पॉवर | व्हॅज | शॅवरॉन | सर्कमफ्लेक्स | हॅट
