# CLDR symbol names for ku: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
,	vîrgul	bêhnok | vîrgul
;	niqtebihnok	niqtebêhnok | niqtebihnok
¤	(yekeya pereyî ya nenas)	
§	beş	beş | nîşana beşê | paragraf | qism
֏	dramê ermenî	
؋	efxanîyê efxanistanî	
،	vîrgula erebî	erebî | vîrgul
৳	takayê bengladeşî	
฿	bahtê taylandî	
៛	rîelê kamboçyayî	
†	nîşana kamayê	kama | nîşan | obelisk | xaç
‡	nîşana kamayê ya cot	
₡	kolonê kosta rîkayî	
₦	naîrayê nîjeryayî	
₧	pezetayê spanî	
₪	şekelê nû yê îsraîlî	
₫	dongê vîetnamî	
₭	kîpê laosî	
₮	togrokê moxolî	
₲	gûaranîyê paragûayî	
₴	grîvnayê ûkraynî	
₵	cedîyê ganayî	
₸	tengeyê qazaxistanî	
₺	lîreyê tirkî	
₼	manatê azerbeycanî	
₾	larîyê gurcistanî	
、	vîrgula îdeografîk	îdeografîk | vîrgul
