# CLDR symbol names for ky: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	илеп белгиси	илеп белгиси | каккы | кыйкырып жиберүү
#	хэш белгиси	сан | торчо | фунт | хэш белгиси | хэштег
$	доллар	USD | акча | доллар | песо
%	пайыз	пайыз
&	& (жана) белгиси	& (жана) белгиси
'	жазма-машина апострофу	апостроф | жазма-машина апострофу | жалгыз тырмакча | тырмакча
)	кашаны жабуу	кашаа | кашаны жабуу | тегерек кашаа
*	жылдызча	жокер белгиси | жылдыз | жылдызча
+	плюс белгиси	кошуу | плюс | плюс белгиси
,	үтүр	үтүр
-	дефис-минус	дефис | дефис-минус | минус | тире
.	чекит	чекит
/	жантык сызык	solidus | virgule | жантык сызык | катуу сокку | кыйшык | кыйшык сызык | штрих
:	кош чекит	кош чекит
;	үтүрлүү чекит	үтүрлүү чекит
<	кичине белгиси	ачык белги | белги | караганда кичине | кичине белгиси
=	барабар	барабар
>	караганда чоң белгиси	белги | жабык белги | караганда чоң | караганда чоң белгиси
?	суроо белгиси	суроо | суроо белгиси
@	маймыл белгиси	ampersat | arobase | arroba | strudel | коммерциялык маймылча | маймыл белгиси | маймылча белги | маймылча белгиси
[	ачык квадрат кашаа	ачык квадрат кашаа | кайырмак | кашаа | квадрат кашаа
\	тескери жантык сызык	кайырма кыйшык сызык | сокку | тескери solidus | тескери жантык сызык
]	жабык квадрат кашаа	жабык квадрат кашаа | кайырмак | кашаа | чарчы кашаа
^	үндүүнүн үстүндөгү диакритикалык белги	үндүүнүн үстүндөгү диакритикалык белги
_	төмөнкү сызык	төмөнкү сызык
`	апостроф белгиси	апостроф белгиси
{	ачык фигуралык кашаа	ак чардак канаты | ачык фигуралык кашаа | кашаа | тирөөч | фигуралык кашаа
|	тик сызык	найза | сызык | таякча | тик сызык | тилке | түтүк | шеффер штрихи | штрих
}	жабык фигуралык кашаа	ак чардак канаты | жабык фигуралык кашаа | кашаа | тирөөч | фигуралык кашаа
~	тильда белгиси	тильда белгиси
¡	көмкөрүлгөн илеп белгиси	илеп белгиси | каккы | көмкөрүлгөн | көмкөрүлгөн илеп белгиси | кыйкыруу
¢	цент	цент
£	фунт	валюта | ЕГФ | УБФ | фунт
¤	Белгисиз акча	
¥	йен	валюта | йен | йена | КЮ | уюань | ЯПЮ
§	бөлүк	бөлүк
¨	трема	трема
©	автордук укук	автордук укук
«	сол тырмакча	сол тырмакча
¬	"¬" белги	"¬" белги | "¬" белгиси | жок
®	катталган	катталган
°	градус	градус
±	плюс - минус	плюс - минус | плюс- минус
²	жогоруда эки жазуусу	жогоруда эки жазуусу
³	жогоруда үч саны	жогоруда үч саны
´	апостроф	апостроф
µ	микро белги	микро белги
¶	параграф белгиси	абзац белгиси | параграф | параграф белгиси | параф
·	орто чекит	орто чекит
¹	жогоруда бир жазуусу	жогоруда бир жазуусу
»	оң тырмакча	бурч | кашаалар | коюу белгилери | оң | оң бурчтуу кашаа | оң тырмакча | цитата | эки бурчтуу кашаа
¿	көмкөрүлгөн суроо белгиси	көмкөрүлгөн | көмкөрүлгөн суроо белгиси | суроо | суроо белгиси
×	көбөйтүү белгиси	көбөйтүү белгиси
÷	бөлүү белгиси	бөлүү белгиси
֏	Армения драмы	
؋	Афганстан афганиси	
،	араб үтүрү	араб | араб үтүрү | үтүр
؛	араб үтүрлүү чекити	араб | араб үтүрлүү чекити | үтүрлүү чекит
؟	араб суроо белгиси	араб | араб суроо белгиси | суроо | суроо белгиси
৳	Бангладеш такасы	
฿	Тай баты	
៛	Камбожа риели	
‐	дефис	дефис
–	тире	тире
—	узун тире	тире | узун тире
