# CLDR symbol names for lb: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
¤	Onbekannt Währung	
©	Copyright	Copyright
®	agedroen	agedroen
֏	Armeneschen Dram	
؋	Afghanesch Afghani	
৳	Bangladesch-Taka	
฿	Thailännesche Baht	
៛	Kambodschanesche Riel	
‼	duebelt Ausruffzeechen	Ausruff | duebelt Ausruffzeechen | Interpunktioun | Zeechen
⁉	Ausrufffragezeechen	Ausruff | Ausrufffragezeechen | Fragezeechen | Fro | Interpunktioun | Zeechen
₡	Costa-Rica-Colón	
₦	Nigerianeschen Naira	
₧	Spuenesch Peseta	
₪	Israeleschen Neie Schekel	
₫	Vietnameseschen Dong	
₭	Laoteschen Kip	
₮	Mongoleschen Tögrög	
₲	Paraguayeschen Guaraní	
₴	Ukraineschen Hrywnja	
₵	Ghanaeschen Cedi	
₸	Kasacheschen Tenge	
₺	Tierkesch Lira	
₼	Aserbaidschan-Manat	
₾	Georgesche Lari	
™	Markenzeechen	Markenzeechen | TM | Trademark | Zeechen
ℹ	Informatioun	I | Informatioun
↔	Feil no lénks a riets	Feil no lénks a riets | Feiler
↕	Feil no uewen an ënnen	Feil no uewen an ënnen | Feiler
↖	Feil no uewen a lénks	Feil | Feil no uewen a lénks | Himmelsrichtung | Nordwesten | Richtung
↗	Feil no uewen a riets	Feil | Feil no uewen a riets | Himmelsrichtung | Nordosten | Richtung
↘	Feil no ënnen a riets	Feil | Feil no ënnen a riets | Himmelsrichtung | Richtung | Südosten
↙	Feil no ënnen a lénks	Feil | Feil no ënnen a lénks | Himmelsrichtung | Richtung | Südwesten
↩	Rietsfeil mat Lénkskéier	Feiler | Rietsfeil mat Lénkskéier
↪	Lénksfeil mat Rietskéier	Feiler | Lénksfeil mat Rietskéier
⌨	Tastatur	Computer | Tastatur
⏏	Auswerfknäppchen	auswerfen | Auswerfknäppchen
⏭	Knäppche „Nächst Lidd“	Dräieck | Feil | Knäppche „Nächst Lidd“ | nächst Kapitel | nächst Lidd
⏮	Knäppchen „Lescht Lidd“	Dräieck | Feil | Knäppchen „Lescht Lidd“ | viregt Kapitel | viregt Lidd
⏯	Ofspill- oder Pausknäppchen	Dräieck | Feil | Ofspill- oder Pausknäppchen | ofspillen | pausen | riets
⏱	Stoppauer	Auer | Stoppauer
⏲	Timer	Auer | Timer
⏸	Pausknäppchen	duebel | Paus | Pausknäppchen | Stréch | vertikal
⏹	Stoppknäppchen	Quadrat | Stop | Stoppknäppchen
⏺	Opnamknäppchen	Krees | ophuelen | Opnamknäppchen
Ⓜ	agekreesten M	agekreesten M | Krees | M
▪	klenge schwaarze Quadrat	geometresch | klenge schwaarze Quadrat | Quadrat
▫	klenge wäisse Quadrat	geometresch | klenge wäisse Quadrat | Quadrat
▶	Ofspillknäppchen	Dräieck | Feil | ofspillen | Ofspillknäppchen | riets
◀	Récklafknäppchen	Dräieck | Feil | lénks | Récklaf | Récklafknäppchen
◻	mëttelgrousse wäisse Quadrat	geometresch | mëttelgrousse wäisse Quadrat | Quadrat
◼	mëttelgrousse schwaarze Quadrat	geometresch | mëttelgrousse schwaarze Quadrat | Quadrat
☀	Sonn	hell | Sonn | sonneg | Stralen
☁	Wollek	Wieder | Wollek
☂	Prabbeli	Kleedung | Prabbeli | Reen
☃	Schnéimännchen	kal | Schnéi | Schnéimännchen
☄	Komet	Komet | Weltall
☎	Telefon	Telefon
☑	Urn mat Kreepchen	Këscht | Kreepchen | Krop | Urn | Urn mat Kreepchen
☘	Kléi	Kléi | Planz
☝	no uewe weisende Fanger	Fanger | Hand | no uewe weisende Fanger | no uewen | weisen | Zeigefanger
☠	Doudekapp a gekräizt Schanken	Doud | Doudekapp | Doudekapp a gekräizt Schanken | gekräizt Schanken | Gesiicht | Monster
☢	radioaktiv	radioaktiv | Zeechen
☣	Ëmweltgefor	Ëmweltgefor | Zeechen
☦	orthodoxt Kräiz	chrëschtlech | Kräiz | orthodoxt Kräiz | Relioun
☪	Stär an Hallefmound	Islam | Moslem | Relioun | Stär an Hallefmound
☮	Friddenszeechen	Fridden | Friddenszeechen
☯	Yin-Yang	Relioun | Tao | Taoist | Yang | Yin | Yin-Yang
☸	Dharma-Rad	Buddhist | Dharma | Dharma-Rad | Rad | Relioun
☹	d’Stir fronzend	d’Stir fronzend | Gesiicht | Stir fronzen
☺	laachend Gesiicht	Gesiicht | Laachen | laachend Gesiicht | relax | stiliséiert
♀	weiblecht Zeechen	Fra | weiblecht Zeechen
♂	männlecht Zeechen	Mann | männlecht Zeechen
♠	Schëppen	Kaart | Schëppen | Spill
♣	Kräizer	Kaart | Kräizer | Spill
♥	Häerzer	Häerzer | Kaart | Spill
♦	Rauten	Kaart | Rauten | Spill
♨	waarm Quellen	dämpend | Quellen | waarm
♻	Recycling-Zeechen	Recycling-Zeechen | recyléieren
⚒	Hummer a Piosch	Handwierksgeschir | Hummer | Hummer a Piosch | Piosch
⚔	gekräizt Schwäerter	gekräizt | Schwäerter | Waff
⚕	medezinescht Symbol	Asklepios | Medezin | medezinescht Symbol | Personal
⚖	Wo	Apparat | Gewiicht | Gläichgewiicht | Justiz | Riichter | Stärzeechen | Wo
⚗	Alembique	Alembique | Chimie | Handwierksgeschir
⚙	Zännrad	Handwierksgeschir | Zännrad
⚛	Atomzeechen	Atheist | Atom | Atomzeechen
⚜	Lilie	Lilie
⚠	Warnung	Warnung
⚰	Sarg	Doud | Sarg
⚱	Urn	Äschen | Begriefnis | Doud | Urn
⛈	Wollek mat Blëtz a Reen	Donnerwieder | Reen | Wollek | Wollek mat Blëtz a Reen
⛏	Piosch	Grouf | Handwierksgeschir | Piosch
⛑	Rettungsdéngscht	Gesiicht | Hëllef | Helm | Hutt | Kräiz | Rettungsdéngscht
⛓	Ketten	Ketten
⛩	Shinto-Schräin	Relioun | Schräin | Shinto | Shinto-Schräin
⛰	Bierg	Bierg
⛱	Prabbeli um Buedem	Prabbeli | Prabbeli um Buedem | Reen | Sonn
⛴	Fähr	Boot | Fähr | Passagéier
⛷	Skifuerer	Schnéi | Ski | Skifuerer
⛸	Schlittschong	Äis | Schlittschong
⛹	mam Ball dribbelend Persoun	Ball | mam Ball dribbelend Persoun
✂	Schéier	Handwierksgeschir | Schéier | schneiden
✈	Fliger	Fliger
✉	Enveloppe	Bréif | E-Mail | Enveloppe
✌	Victoire-Handzeechen	Hand | V | Victoire | Victoire-Handzeechen
✍	schreiwend Hand	Hand | schreiwen | schreiwend Hand
✏	Bläistëft	Bläistëft
✒	schwaarz Fieder	Bic | Fieder | schwaarz Fieder | Spëtz
✔	fettgedréckte Kreepchen	fettgedréckte Kreepchen | Kreepchen | Krop
✖	fettgedrécktent Multiplikatiounszeechen	fettgedrécktent Multiplikatiounszeechen | Multiplikatioun | multiplizéieren | ofbriechen | x
✝	latäinescht Kräiz	chrëschtlech | Kräiz | latäinescht Kräiz | Relioun
✡	Davidstär	David | Davidstär | jiddesch | Judd | Relioun | Stär
✳	aachtzackege Stärchen	aachtzackege Stärchen | Asterisk
✴	aachtzackege Stär	aachtzackege Stär | Stär
❄	Schnéiflack	kal | Schnéi | Schnéiflack
❇	Fonken	Fonken
❣	fettgedréckt Häerzausruffzeechen	Ausruff | fettgedréckt Häerzausruffzeechen | Interpunktioun | Zeechen
❤	rout Häerz	Häerz | rout Häerz
➡	Feil no riets	Feil | Feil no riets | Himmelsrichtung | Osten | Richtung
⤴	Rietsfeil mat Kéier no uewen	Feiler | Rietsfeil mat Kéier no uewen
⤵	Rietsfeil mat Kéier no ënnen	Feil | no ënnen | Rietsfeil mat Kéier no ënnen
⬅	Feil no lénks	Feil | Feil no lénks | Himmelsrichtung | Richtung | Westen
⬆	Feil no uewen	Feil | Feil no uewen | Himmelsrichtung | Norden | Richtung
⬇	Feil no ënnen	Feil | Feil no ënnen | Himmelsrichtung | no ënnen | Richtung | Süden
〰	gewellte Stréch	gewellt | gewellte Stréch | Interpunktioun | Stréch
〽	Deelzeechen	deelen | Deelzeechen | Zeechen
㊗	japanesche Knäppchen ’Gléckwënsch’	’Gléckwënsch’ | Ideograf | japanesch | japanesche Knäppchen ’Gléckwënsch’ | 祝
㊙	japanesche Knäppchen ’Geheimnis’	’Geheimnis’ | Ideograf | japanesch | japanesche Knäppchen ’Geheimnis’ | 秘
🅰	A-Knäppchen (Bluttgrupp)	A | A-Knäppchen (Bluttgrupp) | Bluttgrupp
🅱	B-Knäppchen (Bluttgrupp)	B | B-Knäppchen (Bluttgrupp) | Bluttgrupp
🅾	O-Knäppchen (Bluttgrupp)	Bluttgrupp | O | O-Knäppchen (Bluttgrupp)
🅿	P-Knäppchen	P-Knäppchen | Parking
🈂	japanesche Knäppchen ’Serviceännerung’	’Serviceännerung’ | japanesch | japanesche Knäppchen ’Serviceännerung’ | Katakana | サ
🈷	japanesche Knäppchen ’mountleche Betrag’	’mountleche Betrag’ | Ideograf | japanesch | japanesche Knäppchen ’mountleche Betrag’ | 月
🌡	Thermometer	Thermometer | Wieder
🌤	Sonn hannert kleng Wolleken	Sonn | Sonn hannert kleng Wolleken | Wollek
🌥	Sonn hannert grouss Wolleken	Sonn | Sonn hannert grouss Wolleken | Wollek
🌦	Sonn hannert Reewollek	Reen | Sonn | Sonn hannert Reewollek | Wollek
🌧	Wollek mat Reen	Reen | Wollek | Wollek mat Reen
🌨	Wollek mat Schnéi	kal | Schnéi | Wollek | Wollek mat Schnéi
🌩	Wollek mat Blëtz	Blëtz | Wollek | Wollek mat Blëtz
🌪	Tornado	Tornado | Wirbelwand | Wollek
🌫	Niwwel	Niwwel | Wollek
🌬	Wandgesiicht	blosen | Gesiicht | Wand | Wandgesiicht | Wollek
🌶	Peperoni	Peperoni | schaarf
🍽	Forschett a Messer mat Teller	Forschett | Forschett a Messer mat Teller | kachend | Messer | Teller
🎖	Militärmedail	Feier | Medail | Militär | Militärmedail
🎗	Commemoratiounsband	Band | Commemoratioun | Commemoratiounsband | Erënnerung | Feier
🎙	Studiosmikro	Mikro | Musek | Studio | Studiosmikro
🎚	Reegler	Musek | Niveau | Reegler
🎛	Steierungsknäppercher	Knäppercher | Musek | Steierung | Steierungsknäppercher
🎞	Filmklappen	Film | Filmklappen | Kino | Klappen
🎟	Entréesticket	Billjee | Entrée | Entréesticket | Ticket
🏋	Gewiichthiewer(in)	Gewiicht | Gewiichthiewer(in) | Hiewer
