# CLDR symbol names for lij: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
¤	monæa desconosciua	
֏	dram ermeno	
؋	afghani	
৳	taka bengaleise	
฿	baht tailandeise	
៛	riel cambogian	
₡	colón costarican	
₦	naira nigeriaña	
₪	neuvo sciclo israelian	
₫	dong vietnamita	
₭	kip laotian	
₮	tugrik mongolo	
₲	guaraní paraguayan	
₴	grivnia ucraiña	
₵	cedi ghaneise	
₸	tenge kazako	
₺	lia turca	
₼	manat azero	
₾	lari georgian	
