# CLDR symbol names for lo: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	ໝາຍທ້ວງ	ຄໍາອຸທານ | ຈໍ້າຂີ້ຢອດ | ໝາຍທ້ວງ
#	ເຄື່ອງໝາຍສີ່ຫຼ່ຽມ	ເຄື່ອງໝາຍສີ່ຫຼ່ຽມ | ປອນ | ໝາຍເລກ | ແຮຊແທັກ
$	ໂດລາ	ເງິນ | ໂດລາ | ໂດລາສະຫະລັດ | ເປໂຊ
%	ເປີເຊັນ	ສ່ວນຮ້ອຍ | ເປີເຊັນ
&	ເຄື່ອງໝາຍແລະ	ເຄື່ອງໝາຍແລະ | ແລະ | ອື່ນໆ
'	ເຄື່ອງໝາຍວັກໃນເຄື່ອງພິມດີດ	ການອ້າງອີງ | ການອ້າງອີງດ່ຽວ | ເຄື່ອງໝາຍວັກ | ເຄື່ອງໝາຍວັກໃນເຄື່ອງພິມດີດ
)	ປິດວົງເລັບ	ປິດວົງເລັບ | ວົງເລັບ
*	ເຄື່ອງໝາຍດາວ	ເຄື່ອງໝາຍດາວ | ດາວ
+	ໝາຍບວກ	ບວກ | ເພີ່ມ | ໝາຍບວກ
,	ຈຸດ	ຈຸດ | ໝາຍຈຸດ
-	ຂີດຕໍ່-ລົບ	ຂີດຕໍ່ | ຂີດຕໍ່-ລົບ | ລົບ | ໝາຍຂີດຕໍ່
.	ຈ້ຳເມັດ	ຈ້ຳ | ຈ້ຳເມັດ
/	ເຄື່ອງໝາຍສະແດງການເລືອກ	ເຄື່ອງໝາຍສະແດງການເລືອກ | ເສັ້ນສະຫຼຽງ | ທັບ
:	ສອງຈ້ຳ	ເຄື່ອງໝາຍສອງຈໍ້າ | ສອງຈໍ້າ | ສອງຈ້ຳ
