# CLDR symbol names for lt: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	šauktukas	šauktukas | šauktuko ženklas | staiga
#	grotelės	grotelės | grotelių ženklas | maiša | numeris
$	dolerio ženklas	dolerio ženklas | doleris | pinigai | USD
%	procento ženklas	procentas | procento ženklas
&	ampersandas	ampersandas | ir
'	tiesusis apstrofas	apostrofas | kabutė | tiesusis apstrofas | vienguba kabutė
)	uždaromasis skliaustas	skliaustas | skliaustelis | skliausti | uždaromasis
*	žvaigždutė	asteriskas | pakaitos simbolis | žvaigždutė
+	pliuso ženklas	pliusas | pliuso ženklas | pridėti
,	kablelis	kablelis | skyryba
-	minuso brūkšnelis	brūkšnelis | brūkšnys | minusas | minuso brūkšnelis
.	taškas	sakino pabaigos ženklas | taškas | taškelis
/	pasvirasis brūkšnys	įžambinis | įžambus brūkšnys | pasvirasis brūkšnys
:	dvitaškis	dvitaškis
;	kabliataškis	kabliataškis | skyryba
<	mažiau už	atidaromoji žyma | mažiau už
=	lygu	lygu | lygus
>	daugiau už	daugiau už | uždaromoji žyma
?	klaustukas	klausimas | klaustukas
@	eta	eta | eta simbolis | eta ženklas | kilpelė | komercinė eta
[	atidaromasis laužtinis skliaustas	atidaromasis laužtinis skliaustas | laužtinis skliaustas
\	įžambus kairinis brūkšnys	atvirkščias įžambus brūkšnys | įžambus kairinis brūkšnys
]	uždaromasis laužtinis skliaustas	laužtinis skliaustas | uždaromasis laužtinis skliaustas
^	stogelis	cirkumfleksas | kirtis | stogelis | tvirtagalė
_	apatinė linija	apatinė linija | apatinis brūkšnys | brūkšnys | linija | pabraukti
`	kairinis kirtis	kairinis | kirtis | trumpasis
{	atidaromasis riestinis skliaustas	atidaromasis riestinis skliaustas | riestinis skliaustas
|	vertikali linija	linija | vertikali linija
}	uždaromasis riestinis skliaustas	riestinis skliaustas | uždaromasis riestinis skliaustas
~	riestinis ženklas	riestinis ženklas | tildė
¡	apverstas šauktukas	apverstas | šauktukas | šauktuko taškas | šauktuko ženklas | staiga
¢	cento ženklas	centas | cento ženklas
£	svaras	EGP | GBP | svaras | valiuta
¤	nežinoma valiuta	
¥	jena	CNY | jena | JPY | juanis | valiuta
§	pastraipos simbolis	paragrafas | pastraipa | pastraipos simbolis | skirsnis
¨	diarė	diarė | trema | umlautas
©	autorių teisės	autorių teisės
«	atidaromosios laužtinės kabutės	atidaromosios laužtinės kabutės | kabutės | kairiosios | laužtinės | uždaromosios
¬	nesutikimas	ne | nesutikimas
®	užregistruota	užregistruota
