# CLDR symbol names for lv: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	izsaukumzīme	izsaucējs | izsaukuma zīme | izsaukumzīme
#	restīte	jaucēj- | jaukšana | restīte | skaits | tēmturis
$	dolārs	ASV dolārs | dolārs | nauda | USD
%	procenti	procenti | procentu zīme
&	ampersands	& zīme | ampersands | un
'	taisnais apostrofs	apostrofs | pēdiņa | taisnais apostrofs | vienpēdiņa
)	aizverošā iekava	aizverošā iekava | apaļās iekavas | iekava | iekavas | pusiekava | pusiekavas
*	zvaigznīte	aizstājējzīme | zvaigzne | zvaigznīte
+	pluszīme (+)	pieskaitīt | plus | pluszīme (+)
,	komats	komats
-	mīnuszīme	defise | mīnuszīme | pārnesumzīme
.	punkts	punkts
/	slīpsvītra	slīpsvītra | uz priekšu vērsta slīpsvītra
:	kols	kols
;	semikols	semikols
<	mazāk nekā	atverošais tags | mazāk nekā | mazāks nekā | tags
=	vienāds	vienāds | vienāds ar
>	lielāks nekā	aizverošais tags | lielāks nekā | tags
?	jautājumzīme	jautājums | jautājumzīme
@	komerciālais a	@ zīme | et | et zīme | komerc-a | komerciālais a
[	atverošā kvadrātiekava	atverošā kvadrātiekava | kvadrātiekava | kvadrātiekavas
\	atpakaļvērsta slīpsvītra	atpakaļvērsta slīpsvītra | atpakaļvērstā slīpsvītra
]	aizverošā kvadrātiekava	aizverošā kvadrātiekava | kvadrātiekava | kvadrātiekavas
^	jumtiņš	jauda | jumtiņš | kāsītis | leņķis | rādītājs | uzsvars | vadīkla
_	pasvītra	defise | līnija | pasvītra | pasvītrojums | zemsvītra
`	gravis	gravis | tonis | uzsvars
{	atverošā figūriekava	atverošā figūriekava | figūriekava | figūriekavas | iekava | iekavas
|	vertikāla līnija	josla | līnija | svītra | vert. josla | vertikāla josla | vertikāla līnija | vertikāla svītra
}	aizverošā figūriekava	aizverošā figūriekava | figūriekava | figūriekavas | iekava | iekavas
~	tilde	tilde
¡	apgriezta izsaukuma zīme	apgriezta | apgriezta izsaukuma zīme | izsaukuma zīme | izsaukums
¢	cents	cents
£	mārciņa	EGP | GBP | mārciņa | valūta
¤	Nezināma valūta	
¥	jena	CNY | jena | JPY | juaņa | valūta
§	sadaļa	daļa | paragrāfa zīme | paragrāfs | sadaļa
¨	dierēze	dierēze | umlauts
©	autortiesības	(C) | autortiesības | c
«	kreisās stūra pēdiņas	iekavas | jumtiņi | kreisais | kreisās stūra pēdiņas | leņķis | pēdiņas | stūra pēdiņas
¬	negācija	nav | negācija
®	reģistrēta preču zīme	(R) | preču zīme | r | reģistrēta preču zīme | reģistrēts
°	pakāpe	grāds | pakāpe | stunda
±	plusa/mīnusa zīme	plus/mīnus | plusa/mīnusa zīme
²	divi augšrakstā	augšraksts | divi | divi augšrakstā | kvadrātā
³	trīs augšrakstā	augšraksts | kubā | trīs | trīs augšrakstā
´	akūts	akūts | tonis | uzsvars
µ	mikrozīme	mērvienība | mikro zime | mikrozīme
¶	rindkopas atzīme	rindkopa | rindkopas atzīme
·	viduspunkts	punkts | vidus | viduspunkts
¹	viens augšrakstā	augšraksts | viens | viens augšrakstā
»	labās stūra pēdiņas	iekavas | jumtiņi | labais | labās stūra pēdiņas | leņķis | pēdiņas | stūra pēdiņas
¿	apgriezta jautājuma zīme	apgriezta jautājuma zīme | apvērsta | jautājuma zīme | jautājums
×	reizināšanas zīme	reizes | reizināšana | reizināšanas zīme | reizināt
÷	dalīšanas zīme	dalīšana | dalīšanas zīme | dalīt
֏	Armēnijas drams	
؋	Afganistānas afgāns	
،	arābu komats	arābu | komats
؛	arābu semikols	arābu | semikols
؟	arābu jautājuma zīme	arābu | arābu jautājuma zīme | jautājuma zīme | jautājums
৳	Bangladešas taka	
฿	Taizemes bāts	
៛	Kambodžas riels	
‐	pārnesumzīme	defise | pārnesumzīme
–	vienotājzīme	svītra | vienotājzīme
—	domuzīme	domuzīme | svītra
―	horizontāla līnija	defise | domuzīme | horizontāla līnija | līnija
‘	kreisais apostrofs	apostrofs | kreisais apostrofs | pēdiņa | viedā pēdiņa | vienpēdiņa
’	labais apostrofs	apostrofs | labais apostrofs | pēdiņa | viedā pēdiņa | vienpēdiņa
‚	apakšējais labais apostrofs	apakšējā pēdiņa | apakšējais labais apostrofs | apostrofs | pēdiņa
“	kreisā pēdiņa	citēšana | dubultpēdiņa | kreisā pēdiņa | pēdiņa | viedā pēdiņa
”	labā pēdiņa	citēšana | dubultpēdiņa | labā pēdiņa | pēdiņa | viedā pēdiņa
„	apakšējā labā pēdiņa	apakšējā labā pēdiņa | apakšējā pēdiņa | citēšana | dubultpēdiņa | pēdiņa | viedā pēdiņa
†	dunča zīme	dunča zīme | duncis | krustiņš
‡	divu dunču zīme	divi | divu dunču zīme | duncis | krustiņš
•	aizzīme	aizzīme | punkts
…	daudzpunkte	aprauts teksts | daudzpunkte | elipse
‧	pārnešanas punkts	defise | pārnešana | pārnešanas punkts | punkts
‰	promile	promile | promiles
′	prim	prim | prim zīme
″	divkārša prim zīme	divkārša prim zīme | prim zīmes
‴	trīskārša prim zīme	prim zīmes | trīskārša prim zīme
‸	jumtiņa zīme	jumtiņa zīme | jumtiņš
※	atsauces zīme	atsauces zīme
‼	divas izsaukuma zīmes	! | !! | divas izsaukuma zīmes | izsaukums | pieturzīme
‽	interobangs	interobangs
‾	virssvītrojums	pārsvītrojums | vinkuls | virssvītrojums
⁂	asterisms	asterisms | dinkus | zvaigznītes
⁄	daļsvītra	daļsvītra | svītra | virgule
⁉	izsaukuma un jautājuma zīme	! | !? | ? | izsaukuma un jautājuma zīme | izsaukums | jautājums | pieturzīme
⁻	mīnus augšrakstā	augšraksts | mīnus | mīnus augšrakstā
₡	Kostarikas kolons	
₢	cruzeiro	cruzeiro
₣	Francijas franks	Francijas franks | franks | valūta
₤	lira	lira | valūta
₥	miljems	miljems
₦	Nigērijas naira	
₧	Spānijas peseta	
₨	rūpija	rūpija | valūta
₩	vona	KPW | KRW | vona
₪	Izraēlas šekelis	
₫	Vjetnamas dongi	
€	eiro	eiro | EUR | valūta
₭	Laosas kips	
₮	Mongolijas tugriks	
₰	vācu feniņš	feniņš | vācu feniņš | valūta
₱	peso	peso
₲	Paragvajas guarani	
₳	austrāls	ARA | austrāls | valūta
₴	Ukrainas grivna	
₵	Ganas sedi	
₶	tūras lira	tūras lira | valūta
₷	spesmilo	spesmilo | valūta
₸	Kazahstānas tenge	
₹	Indijas rūpija	Indijas rūpija | rūpija | valūta
₺	Turcijas lira	
₼	Azerbaidžānas manats	
₽	rublis	rublis | valūta
₾	Gruzijas lari	
₿	bitmonēta	bitmonēta | BTC
℗	skaņu ieraksta autortiesības	autortiesības | ieraksts | skaņa | skaņu ieraksta autortiesības
™	preču zīme	preču zīme | TM
ℹ	informācijas simbols	i | informācija | informācijas simbols | poga
←	pa kreisi vērsta bultiņa	bultiņa | kreisā | pa kreisi vērsta bultiņa
↑	augšupvērsta bultiņa	augšup | augšupvērsta bultiņa | bultiņa
→	pa labi vērsta bultiņa	bultiņa | labā | pa labi vērsta bultiņa
↓	lejupvērsta bultiņa	bultiņa | lejup | lejupvērsta bultiņa
↔	pa kreisi un pa labi vērsta bultiņa	bultiņa | pa kreisi un pa labi vērsta bultiņa
↕	augšup un lejup vērsta bultiņa	augšup un lejup vērsta bultiņa | bultiņa | poga
↖	uz augšējo kreiso stūri vērsta bultiņa	bultiņa | norāde | poga | uz augšējo kreiso stūri vērsta bultiņa | ziemeļrietumi
↗	uz augšējo labo stūri vērsta bultiņa	bultiņa | norāde | poga | uz augšējo labo stūri vērsta bultiņa | ziemeļaustrumi
↘	uz apakšējo labo stūri vērsta bultiņa	bultiņa | dienvidaustrumi | norāde | poga | uz apakšējo labo stūri vērsta bultiņa
