# CLDR symbol names for mi: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
¤	Moni Tē Mōhiotia	
©	manatārua	manatārua
®	rēhitatia	rēhitatia
֏	Dram Āmenia	
؋	Afghani Awhekenetāna	
৳	Taka Pākaratēhi	
฿	Baht Tairanga	
៛	Riel Kamapōtia	
‸	kātete	kātete
‼	tohuhā taurua	tohu | tohuhā | tohuhā taurua | tohutuhi
‽	interrobang	interrobang
‾	tapae	tapae
⁂	hakiraki	hakiraki
⁉	tohu tohuhā-pātai	pātai | tohu | tohuhā | tohuhā-pātai | tohutuhi
₡	Colon Koto Rika	
₦	Naira Ngāitīria	
₪	Shekel Hou Iharaira	
₫	Dong Whitināmu	
₭	kip Rāoho	
₮	tugrik Mongōria	
₲	Guarani Parakai	
₴	Hryvnia Ukareinga	
₵	Cedi Kāna	
₸	Tenge Katatānga	
₺	Lira Tākei	
₼	Manat Atepaihānia	
₾	Lari Hōria	
™	tohu hoko	tohu | tohu hoko | tohuhoko
ℹ	mōhiohio	i | mōhiohio
↔	pere mauī-matau	pere | pere mauī-matau
↕	pere ake-iho	pere | pere ake-iho
↖	pere ake-mauī	ahunga | pere | pere ake-mauī | uru-mā-raki | waenga-matua
↗	pere ake-matau	ahunga | pere | pere ake-matau | rāwhiti-mā-raki | waenga-matua
↘	pere iho-matau	ahunga | pere | pere iho-matau | rāwhiti-mā-tonga | waenga-matua
↙	pere iho-mauī	ahunga | pere | pere iho-mauī | uru-mā-tonga | waenga-matua
↩	pere matau piko mauī	pere | pere matau piko mauī
↪	pere mauī piko matau	pere | pere mauī piko matau
⌨	papapātuhi	papapātuhi | rorohiko
⏏	pātene tuwha	pātene tuwha | tuwha
⏭	pātene riu panuku	pātene riu panuku | pere | riu panuku | tapatoru | tironga panuku
⏮	pātene riu tōmuri	pātene riu tōmuri | pere | riu tōmua | tapatoru | tironga tōmua
⏯	pātene purei, taihoa rānei	matau | pātene purei | pātene purei, taihoa rānei | pere | purei | taihoa | taihoa rānei | tapatoru
⏱	matawā-tū	karaka | matawā-tū
⏲	karaka pūtaki	karaka | pūtaki
⏸	pātene taihoa	pae | pātene taihoa | poutū | taihoa | taurua
⏹	pātene tū	pātene tū | tapawhā | tū
⏺	pātene tāhopu	pātene tāhopu | porohita | tāhopu
Ⓜ	M porohitatia	m | M porohitatia | porohita
▪	tapawhā rite pango iti	āhuahanga | tapawhā rite | tapawhā rite pango iti
▫	tapawhā rite mā iti	āhuahanga | tapawhā rite | tapawhā rite mā iti
▶	pātene purei	matau | pātene purei | pere | purei | tapatoru
◀	pātene whakamuri	mauī | pātene whakamuri | pere | tapatoru | whakamuri
◻	tapawhā rite mā waenga	āhuahanga | tapawhā rite | tapawhā rite mā waenga
◼	tapawhā rite pango waenga	āhuahanga | tapawhā rite | tapawhā rite pango waenga
☀	rā	ihi | kanapa | paki | rā
☁	kapua	huarere | kapua
☂	hāmarara	hāmarara | kākahu | ua
☃	tāne-hukarere	hukarere | makariri | tāne-hukarere
☄	unahiroa	ātea | unahiroa
☎	waea	waea
☑	pouaka pōti whai taki	pōti | pouaka | pouaka pōti whai taki | taki
☘	hamitoka	hamitoka | tipu
☝	kōroa tohu ake	ake | kōroa | matimati | ringa | tohu
☠	angaanga me ngā kōiwi-whiri	angaanga | angaanga me ngā kōiwi-whiri | kanohi | kōiwi-whiri | mate | taniwha
☢	ira-rukeruke	ira-rukeruke | tohu
☣	pūmate koiora	pūmate koiora | tohu
☦	rīpeka tukuiho	karaitiana | momo karakia | rīpeka | rīpeka tukuiho
☪	whetū me pewa	ihirama | momo karakia | muhurimi | whetū me pewa
☮	tohu rongomau	rongomau | tohu rongomau
☯	yin yang	momo karakia | tangata tao | tao | yang | yin
☸	wīra o tārama	momo karakia | Putihi | tārama | wīra | wīra o tārama
☹	kanohi poururu	kanohi | poururu
☺	kanohi menemene	kanohi | menemene | pārohe | whakahuahua
♀	tohu wahine	tohu wahine | wahine
♂	tohu tāne	tāne | tohu tāne
♠	hūtu pēti	hūtu pēti | kāri | kēmu
♣	hūtu karapu	hūtu karapu | kāri | kēmu
♥	hūtu hāte	hūtu hāte | kāri | kēmu
♦	hūtu taimana	hūtu taimana | kāri | kēmu
♨	wai ariki	korohuhū | puna | wai ariki | waiariki | wera
♻	tohu tukurua	tohu tukurua | tukurua
⚒	hama me te keriwhenua	hama | hama me te keriwhenua | keriwhenua | utauta
⚔	hoari whakawhiri	hoari | rākau-riri | whakawhiri
⚕	tohu rongoā	pou | rata | rongoā | tohu rongoā
⚖	ōrite whārite	Libra | ōrite | poutiriao | taumaha | utauta | whakawā | whārite
⚗	taputapu iheunga	mātai matū | taputapu iheunga | utauta
⚙	taputapu	taputapu | utauta
⚛	tohu ngota	kaiwhakakāhore-atua | ngota | tohu ngota
⚜	putiputi rengarenga	putiputi rengarenga
⚠	whakatūpato	whakatūpato
⚰	kāwhena	kāwhena | matenga
⚱	ipu tangihanga	ipu | mate | ngārehu | tangihanga
