# CLDR symbol names for mk: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	извичник	извик | извичник
#	знак тараба	број | знак тараба | тараба | хаш-ознака
$	долар	[USD] | долар | пари | пезос
%	процент	отсто | процент
&	амперсанд	„et“ | амперсанд | и
'	апостроф на машина за пишување	апостроф | апостроф на машина за пишување | наводник | полунаводник
)	затворена заграда	заграда | заоблена заграда | затворена заграда | мала заграда
*	ѕвездичка	астериск | ѕвездичка | џокер
+	знак плус	знак плус | плус | собирање
,	запирка	запирка
-	цртичка-минус	минус | црта | цртичка | цртичка-минус
.	точка	завршна точка | точка | точка на крајот од реченицата
/	коса црта	коса линија | коса црта
:	две точки	две точки
;	точка и запирка	точка и запирка
<	помало од	ознака | помало од | почетна ознака
=	еднакво	еднакво | еднакво на
>	поголемо од	завршна ознака | ознака | поголемо од
?	прашалник	прашалник | прашање
@	знак „at“	знак „at“ | мајмунче
[	отворена квадратна заграда	голема заграда | заграда | квадратна заграда | отворена квадратна заграда
\	обратна коса црта	обратна коса линија | обратна коса црта
]	затворена квадратна заграда	голема заграда | заграда | затворена квадратна заграда | квадратна заграда
^	циркумфлекс	акцент | знак за „xor“ | карет | покажувач | степен | циркумфлекс | шеврон
_	долна црта	долна црта | линија | црта
`	гравис	акцент | гравис | тон
{	отворена кадрава заграда	заграда | заокружувачка заграда | кадрава заграда | отворена кадрава заграда
|	вертикална линија	вертикална линија | вертикална црта | исправена црта | линија | потег | црта | шеферова црта
}	затворена кадрава заграда	заграда | заокружувачка заграда | затворена кадрава заграда | кадрава заграда
~	тилда	тилда
¡	превртен извичник	извик | извичник | превртен
¢	цент	цент
£	фунта	[EGP] | [GBP] | валута | фунта
¤	Непозната валута	
¥	јен	[CNY] | [JPY] | валута | јен | јуан
§	оддел	дел | знак за оддел | оддел | параграф
¨	дијареза	дијареза | трема | умлаут
©	авторски права	авторски права | Ц
«	лев француски наводник	загради | закосен | карети | лев француски наводник | лево | наводник | шеврон
¬	негација	не | негација
®	регистриран	Р | регистрирано
°	степен	процент на алкохол | степен | час
±	плус-минус	плус-минус
²	експонент 2	2 | експонент | квадратни
³	експонент 3	3 | експонент | кубни
´	акут	акут | акцент | тон
µ	знак за микро	знак за микро | мера
¶	знак за параграф	алинеја | знак за параграф | параграф | пасус
·	средна точка	средина | средна точка | точка
¹	експонент 1	1 | експонент
»	десен француски наводник	десен француски наводник | десно | загради | закосен | карети | наводник | шеврон
¿	превртен прашалник	прашалник | прашање | превртен
