# CLDR symbol names for ml: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	വിക്ഷേപിണി	ആഘാതം | ആശ്ചര്യം | ആശ്ചര്യ സൂചന | വിക്ഷേപിണി
#	ഹാഷ് ചിഹ്നം	lb | നമ്പർ | പൗണ്ട് | ഹാഷ് | ഹാഷ് ചിഹ്നം | ഹാഷ് ടാഗ്
$	ഡോളർ	ഡോളർ | പണം | പെസോ | യു എസ് ഡോളർ
%	ശതമാനം	ഓരോ നൂറിനും | പ്രതി-ശതം | ശതമാനം
&	ആമ്പർസാൻഡ്	ആമ്പർസാൻഡ് | ഒപ്പം | കൂടാതെ
'	ടൈപ്പ്റൈറ്റർ വിശ്ലേഷം	ഉദ്ധരണി | ഏകോദ്ധരണി | ടൈപ്പ്റൈറ്റർ വിശ്ലേഷം | വിശ്ലേഷം
)	അന്തിമ ആവരണ ചിഹ്നം	അന്തിമ ആവരണ ചിഹ്നം | ആവരണ ചിഹ്നം | പാരൻ | പാരൻസ് | ബ്രാക്കറ്റ് | റൗണ്ട് ബ്രാക്കറ്റ്
*	നക്ഷത്രചിഹ്നം	നക്ഷത്രം | നക്ഷത്രചിഹ്നം | വൈൽഡ്‌കാർഡ്
+	അധിക ചിഹ്നം	അധിക ചിഹ്നം | കൂട്ടുക | ചേർക്കുക
,	അങ്കുശചിഹ്നം	അങ്കുശചിഹ്നം | കോമ
-	ശൃംഖല-ന്യൂനചിഹ്നം	ന്യൂനചിഹ്നം | രേഖ | ശൃംഖല | ശൃംഖല-ന്യൂനചിഹ്നം
.	കുത്ത്	കുത്ത് | പൂർണ്ണവിരാമം | ബിന്ദു
/	സ്ലാഷ്	ഒബ്ലിക് | വർഗ്യൂൾ | വേക്ക് | സോളിഡസ് | സ്ട്രോക്ക് | സ്ലാഷ്
:	കോളൺ	കോളൺ
;	അർദ്ധവിരാമം	അർദ്ധ-വിരാമം | അർദ്ധവിരാമം
<	ചെറുതാണ്	ചെറുതാണ് | ടാഗ് | തുടക്ക ടാഗ്
=	തുല്യം	തുല്യം | സമചിഹ്നം
>	വലുതാണ്	ഒടുക്ക ടാഗ് | ടാഗ് | വലുതാണ്
?	ചോദ്യചിഹ്നം	അനുയോഗ ചിഹ്നം | ചോദ്യം | ചോദ്യചിഹ്നം
@	@ ചിഹ്നം	@ അടയാളം | @ ചിഹ്നം | @ മുദ്ര | അറോബ | അറോബേസ് | ആമ്പർസാറ്റ് | വാണിജ്യ @ | സ്ട്രൂഡൽ
[	ആരംഭ കോഷ്ഠം	ആരംഭ കോഷ്ഠം | കോഷ്ഠം | ക്രോച്ചെറ്റ് | ബ്രാക്കറ്റ്
\	ബാക്ക്‌സ്ലാഷ്	പ്രഹരം | ബാക്ക്‌സ്ലാഷ് | റിവേഴ്സ് സ്ലാഷ്
]	അന്തിമ കോഷ്ഠം	അന്തിമ കോഷ്ഠം | കോഷ്ഠം | ക്രോച്ചെറ്റ് | ബ്രാക്കറ്റ്
^	സർകംഫ്ലക്സ് ചിഹ്നം	കൺട്രോൾ | ക്സോർ ചിഹ്നം | ഘാതം | ചിഹ്നം | പാടിനി | പോയിൻറർ | വെഡ്ജ് | ഷെവ്‌റോൺ | സർകംഫ്ലക്സ് | ഹാറ്റ്
_	താഴെയുള്ള വര	അടിയിലെ രേഖ | അടിവര | താഴെയുള്ള രേഖ | താഴെയുള്ള വര | രേഖ | വര
`	ഗ്രേവ് ഉച്ചാരണ ചിഹ്നം	ഉച്ചാരണ ചിഹ്നം | ഗ്രേവ് | ഗ്രേവ് ഉച്ചാരണ ചിഹ്നം | ടോൺ
{	ചുരുണ്ട ബ്രാക്കറ്റ് ആരംഭം	ഗൾവിംഗ് | ചുരുണ്ട ബ്രാക്കറ്റ് | ചുരുണ്ട ബ്രാക്കറ്റ് ആരംഭം | ചുരുണ്ട വലയം | ബ്രാക്കറ്റ് | വലയം
|	ലംബ രേഖ	vബാർ | കുന്തം | കുഴൽ | ദണ്ഡ് | ബാർ | രേഖ | ലംബ ബാർ | ലംബ രേഖ | ഷഫർ സ്ട്രോക്ക് | സ്ട്രോക്ക്
}	അന്തിമ ചുരുണ്ട ബ്രാക്കറ്റ്	അന്തിമ ചുരുണ്ട ബ്രാക്കറ്റ് | ഗൾവിംഗ് | ചുരുണ്ട ബ്രാക്കറ്റ് | ചുരുണ്ട വലയം | ബ്രാക്കറ്റ് | വലയം
~	ടിൽഡ	ടിൽഡ
¡	തലകീഴായ വിക്ഷേപിണി	ആശ്ചര്യം | ആശ്ചര്യ മുദ്ര | ആശ്ചര്യ സൂചന | തലകീഴായ | വിക്ഷേപിണി
¢	സെൻറ്	സെൻറ്
£	പൗണ്ട്	ഈജിപ്ഷ്യൻ പൗണ്ട് | കറൻസി | പൗണ്ട് | ബ്രിട്ടീഷ് പൗണ്ട്
¤	അജ്ഞാത നാണയം	
¥	യെൻ	കറൻസി | ചൈനീസ് യുവേൻ | ജാപ്പനീസ് യെൻ | യുവേൻ | യെൻ
§	വിഭാഗം	ഖണ്ഡിക | ഭാഗം | വിഭാഗം | വിഭാഗ ചിഹ്നം
¨	ഡൈറിസിസ്	ഉംലാ | ട്രെമ | ഡൈറിസിസ്
©	പകർപ്പവകാശ ചിഹ്നം	C | പകർപ്പവകാശം | പകർപ്പവകാശ ചിഹ്നം
«	ഇടത് ഗിൽമെ	ഇടത് | ഇടത് ഗിൽമെ | ഉദ്ധരണി | കോണ് | പാടിനികൾ | വലയങ്ങൾ | ഷെവ്റോൺ
¬	നിഷേധം	അല്ല | നിഷേധം
®	രജിസ്ട്രേഷൻ ചിഹ്നം	ചിഹ്നം | രജിസ്ട്രേഡ് | രജിസ്ട്രേഷൻ ചിഹ്നം | രജിസ്‌റ്റർചെയ്‌തത്
°	ഡിഗ്രി	ഡിഗ്രി | തെളിവ് | മണിക്കൂർ
±	പ്ലസ്-മൈനസ്	കൂട്ടുക-കിഴിക്കുക | പ്ലസ്-മൈനസ്
²	സൂപ്പർസ്ക്രിപ്റ്റ് രണ്ട്	രണ്ട് | വർഗ്ഗമൂലം | സൂപ്പർസ്ക്രിപ്റ്റ്
³	സൂപ്പർസ്ക്രിപ്റ്റ് മൂന്ന്	ത്രിവർഗ്ഗം | മൂന്ന് | സൂപ്പർസ്ക്രിപ്റ്റ്
´	അക്യൂട്ട് ഉച്ചാരണ ചിഹ്നം	അക്യൂട്ട് | അക്യൂട്ട് ഉച്ചാരണ ചിഹ്നം | ഉച്ചാരണ ചിഹ്നം | ടോൺ
µ	മൈക്രോ ചിഹ്നം	അളവ് | മൈക്രോ ചിഹ്നം
¶	ഖണ്ഡിക ചിഹ്നം	ഖണ്ഡിക | ഖണ്ഡിക ചിഹ്നം | ഖണ്ഡിക പ്രതീകം | ഖണ്ഡിക മുദ്ര | ഖണ്ഡിക സംജ്ഞ
·	മധ്യ ബിന്ദു	കേന്ദ്ര ബിന്ദു | ബിന്ദു | മധ്യം | മധ്യ ബിന്ദു
¹	സൂപ്പർസ്ക്രിപ്റ്റ് ഒന്ന്	ഒന്ന് | സൂപ്പർസ്ക്രിപ്റ്റ്
»	വലത് ഗിൽമെ	ഉദ്ധരണി | കോണ് | പാടിനികൾ | വലത് | വലത് ഗിൽമെ | വലയങ്ങൾ | ഷെവ്റോൺ
¿	തലകീഴായ ചോദ്യ ചിഹ്നം	ചോദ്യം | ചോദ്യ ചിഹ്നം | തലകീഴായ ചോദ്യ ചിഹ്നം | തലകീഴായത്
×	ഗുണന മുദ്ര	ഗുണനം | ഗുണന മുദ്ര | ഗുണിക്കുക | തവണകൾ
