# CLDR symbol names for mn: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	анхаарлын тэмдэг	анхаарлын тэмдэг | анхааруулах | тасхийх чимээ
#	чагт тэмдэг	lb | тоо | хэштег | чагт | чагт тэмдэг
$	доллар	USD | доллар | мөнгө | песо
%	хувь	хувь
&	& тэмдэг	& | & тэмдэг | ба
'	бичгийн машины апостроф	апостроф | бичгийн машины апостроф | дан хашилт | хашилт
)	дүгрэг хаалтыг хаах	дүгрэг хаалт | дүгрэг хаалтыг хаах | хаалт | хашилт
*	од тэмдэг	од | од тэмдэг | хөрвөх тэмдэгт
+	нэмэх тэмдэг	нэмэх | нэмэх тэмдэг
,	таслал	таслал
-	богино зураас - хасах	богино зураас | богино зураас - хасах | зураас | хасах
.	цэг	цэг
/	налуу зураас	зураас | налуу зураас | ташуу зураас | хуваагч зураас
:	давхар цэг	давхар цэг
;	цэгтэй таслал	цэгтэй таслал
<	бага	бага | шошго | шошго нээх
=	тэнцүү	тэнцүү
>	их	их | шошго | шошго хаах
?	асуултын тэмдэг	асуулт | асуултын тэмдэг
@	@ тэмдэгт	@ тэмдэг | @ тэмдэгт | эт тэмдэг
[	дөрвөлжин хаалт нээх	дөрвөлжин хаалт | дөрвөлжин хаалт нээх | дөрөв дэх нот | хаалт
\	хойшоо налуу зураас	хойшоо налуу зураас | хойшоо ташуу зураас
]	дөрвөлжин хаалт хаах	дөрвөлжин хаалт | дөрвөлжин хаалт хаах | дөрөв дэх нот | хаалт
^	circumflex accent	accent | caret | chevron | circumflex | control | hat | pointer | power | wedge | xor sign
_	доогуур зураас	доогуур зураас | доод зураас | зураас | шугам
`	grave accent	accent | grave | tone
{	угалзан хаалт нээх	онгоцны далавч | угалзан хаалт | угалзан хаалт нээх | угалзан хашилт | хаалт | хашилт
|	босоо зураас	босоо зураас | зураас | саваа | шурам
}	угалзан хаалт хаах	онгоцны далавч | угалзан хаалт | угалзан хаалт хаах | угалзан хашилт | хаалт | хашилт
~	төстэй	төстэй
¡	урвуу харсан анхаарлын тэмдэг	анхаарлын тэмдэг | анхааруулах | анхааруулах цэг | тасхийх чимээ | урвуу харсан | урвуу харсан анхаарлын тэмдэг
¢	цент	цент
£	паунд	[EGP] | [GBP] | валют | паунд
¤	тодорхойгүй мөнгөн тэмдэгт	
¥	иен	[CNY] | [JPY] | валют | иен | юань
§	хэсэг	догол мөр | силроу | хэсэг
¨	диерез	диерез | трема | умлаут
©	зохиогчийн эрх	c | зохиогчийн эрх
«	зүүн өнцөгтэй хаалт	баруун | зүүн өнцөгтэй хаалт | оруулгын тэмдэг | өнцөг | хаалт | чеврон
¬	үгүйсгэх	биш | үгүйсгэх
®	бүртгэлтэй	r | бүртгэлтэй
°	градус	баталгаа | градус | цаг
±	нэмэх, хасах	нэмэх | нэмэх, хасах | хасах
²	хоёрын зэрэг	квадрат | хоёрын зэрэг
³	гурвын зэрэг	гурав | зэрэг | куб
´	acute accent	accent | acute | tone
µ	бичил тэмдэг	бичил тэмдэг | хэмжих
¶	догол мөрийн тэмдэг	догол мөр | догол мөрийн тэмдэг
·	дунд цэг	голын цэг | дунд цэг | дундын цэг | цэг
¹	нэгийн зэрэг	зэрэг | нэг | нэгийн зэрэг
»	баруун өнцөгтэй хаалт	баруун | баруун өнцөгтэй хаалт | оруулгын тэмдэг | өнцөг | хаалт | чеврон
¿	урвуу харсан асуултын тэмдэг	асуулт | асуултын тэмдэг | урвуу харсан | урвуу харсан асуултын тэмдэг
×	үржүүлэх тэмдэг	дахин | үржвэр | үржүүлэх | үржүүлэх тэмдэг
÷	хуваах тэмдэг	обелус | хуваах | хуваах тэмдэг | хуувалт
֏	Арменийн драм	
؋	Афганистаны афгани	
،	араб таслал	араб | таслал
؛	араб цэгтэй таслал	араб | араб цэгтэй таслал | цэгтэй таслал
؟	араб асуултын тэмдэг	араб | араб асуултын тэмдэг | асуулт | асуултын тэмдэг
৳	Бангладешийн така	
฿	Тайландын бат	
៛	Камбожийн риел	
‐	богино зураас	богино зураас | зураас
–	эн зай	зай | эн
—	эм зай	зай | эм
―	хөндлөн зураас	зураас | хөндлөн зураас | шугам
‘	зүүн апостроф	апостроф | дан хашилт | зүүн апостроф | ухаалаг хашилт | хашилт
’	баруун апостроф	апостроф | баруун апостроф | дан хашилт | ухаалаг хашилт | хашилт
‚	баруун доод апостроф	апостроф | баруун доод апостроф | доод хашилт | хашилт
“	зүүн хашилтын тэмдэг	давхар хашилт | зүүн хашилтын тэмдэг | ухаалаг хашилт | хашилт
”	баруун хашилтын тэмдэг	баруун хашилтын тэмдэг | давхар хашилт | ухаалаг хашилт | хашилт
„	баруун доод хашилтын тэмдэг	баруун доод хашилтын тэмдэг | давхар хашилт | доод хашилт | ухаалаг хашилт | хашилт
†	чинжаал тэмдэг	дурсгалын хөшөө | обелус | чинжаал | чинжаал тэмдэг
‡	давхар чинжаал тэмдэг	давхар | давхар чинжаал тэмдэг | дурсгалын хөшөө | обелус | чинжаал
•	сум	сум | цэг
…	цуваа цэг	алгасах | цуваа цэг | цэгүүд
‧	үеэр таслах цэг	богино зураас | зураас | үеэр таслах цэг | цэг
‰	per mille	per mil | per mille | permil | permille
′	prime	prime
″	хашилт	хашилт
‴	гурвалсан хашилт	гурвалсан хашилт | хашилт
‸	оруулгын тэмдэг	оруулгын тэмдэг
※	эшлэлийн тэмдэг	эшлэлийн тэмдэг
‼	хоёр анхааруулгын тэмдэг	! | !! | анхааруулга | давхар анхаарлын тэмдэг | тэмдэг | хоёр анхааруулгын тэмдэг
‽	асуулт анхааруулгын тэмдэг	асуулт анхааруулгын тэмдэг
‾	дээгүүр зураас	дээгүүр зураас | дээд талын зураас
⁂	одууд	гурван од | одууд
⁄	бутархайн налуу зураас	бутархайн налуу зураас | зураас | ташуу зураас
⁉	анхааруулгын, асуултын тэмдэг	! | !? | ? | анхаарлын | анхаарлын болон асуултын нийлмэл тэмдэг | анхааруулгын | анхааруулгын, асуултын тэмдэг | асуулт | асуултын тэмдэг | тэмдэг | цэг
⁻	хасах зэрэг	зэрэг | хасах
₡	Коста-Рикагийн колон	
₢	крузейро	крузейро | мөнгөн тэмдэгт
₣	франц франк	мөнгөн тэмдэгт | франк | франц франк
₤	лир	лир | мөнгөн тэмдэгт
₥	сая	сая
