# CLDR symbol names for mr: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	उद्गारचिन्ह	उद्गार | उद्गारचिन्ह | तडाखा
#	हॅश चिन्ह	एलबी | क्रमांक | पाउंड | हॅश | हॅश चिन्ह | हॅशटॅग
$	डॉलर	डॉलर | पेसो | पैसे | यूएसडी
%	टक्के	टक्के | टक्केवारी
&	अँपरसँड	अँपरसँड | आणि | ए
'	टंकयंत्र लोपचिन्ह	अवतरण | एकेरी अवतरण | टंकयंत्र लोपचिन्ह | लोपचिन्ह
)	बंद गोलकंस	कंस | गोल कंस | गोलकंस | बंद गोलकंस
*	तारकाचिन्ह	तारकाचिन्ह | तारा | वाइल्डकार्ड
+	धन चिन्ह	जोडा | धन | धन चिन्ह
,	स्वल्पविराम	स्वल्पविराम
-	संयोगीचिन्ह-वजा	वजा | वियोगीचिन्ह | संयोगीचिन्ह | संयोगीचिन्ह-वजा
.	पूर्णविराम	पूर्णविराम | फुल स्टॉप | बिंदू
/	विकल्पचिन्ह	घन सीमा | तिर्यक | थप्पड | फटका | विकल्पचिन्ह
:	अपूर्ण विराम	अपूर्ण विराम
;	अर्धविराम	अर्ध-विराम | अर्धविराम
<	लघुत्तर	उघडे टॅग | टॅग | लघुत्तर
=	बरोबर	बरोबर | बरोबर चिन्ह
>	गुरुत्तर	गुरुत्तर | टॅग | बंद टॅग
?	प्रश्नार्थक चिन्ह	प्रश्न | प्रश्नार्थक चिन्ह
@	अ‍ॅट चिन्ह	अँपरसँड | अ‍ॅट चिन्ह | अ‍ॅरोबा | अ‍ॅरोबेस | चिन्हावर | व्यावसायिक
[	उघडा चौकटी कंस	उघडा चौकटी कंस | कंस | क्रॉशेट | चौकटी कंस
\	बॅकस्लॅश	उलट विकल्पचिन्ह | थप्पड | बॅकस्लॅश
]	बंद चौकटी कंस	कंस | क्रॉशेट | चौकटी कंस | बंद चौकटी कंस
^	स्वरित स्वर	कॅरेट | कोनित | नियंत्रण | पाचर | शक्ति | शेव्हरन | सूचक | स्वर | स्वरित | हॅट
_	अधोरेखा	अधोरेखा | ओळ | खाली रेघ | रेखा
`	गंभीर लकब	गंभीर | लकब | स्वर
{	पीळ असलेला उघडा कंस	कंस | कोष्ठक | गलविंग | पीळ असलेला उघडा कंस | पीळ असलेला कंस | पीळ असलेला कोष्ठक
|	उभी रेषा	उभा दंड | उभी रेषा | काठी | दंड | नळी | पाइप | रेषा | व्हीबार | शेफर स्ट्रोक | स्ट्रोक
}	पीळ असलेला बंद कंस	कंस | कोष्ठक | गलविंग | पीळ असलेला कंस | पीळ असलेला कोष्ठक | पीळ असलेला बंद कंस
~	टिल्ड	टिल्ड
¡	अधोमुख उद्गारचिन्ह	अधोमुख | उद्गार | उद्गारचिन्ह | तडाखा
¢	सेंट	सेंट
£	पाउंड	EGP | GBP | चलन | पाउंड
¤	अज्ञात चलन	
¥	येन	CNY | JPY | चलन | युआन | येन
§	विभाग	परिच्छेद | भाग | विभाग | सिलक्रो
¨	डायरॅसिस	उमलाउट | ट्रेमा | डायरॅसिस
©	कॉपीराइट चिन्ह	कॉपीराइट | चिन्ह
«	डावे गुलिमेट	कंस | कॅरेट | कोट | कोन | डावे | डावे गुलिमेट | शेवरॉन
¬	नकरण	नकरण | नाही
®	नोंदणीकृत चिन्ह	नोंदणीकृत | नोंदणीकृत चिन्ह
°	डिग्री	डिग्री | तास | पुरावा
±	धन-ऋण	धन-ऋण
²	सुपरस्क्रिप्ट दोन	दोन | वर्ग | सुपरस्क्रिप्ट
³	सुपरस्क्रिप्ट तीन	घन | तीन | सुपरस्क्रिप्ट
´	तल्लख लकब	तल्लख | लकब | स्वर
µ	मायक्रो चिन्ह	माप | मायक्रो चिन्ह
¶	परिच्छेद चिन्ह	अलीनिया | परिच्छेद | परिच्छेद चिन्ह | पिलक्रो | पॅराफ
·	मध्य बिंदू	इंटरपंक्ट | बिंदू | मध्य
¹	सुपरस्क्रिप्ट एक	एक | सुपरस्क्रिप्ट
»	उजवे गुलिमेट	उजवे | उजवे गुलिमेट | कंस | कॅरेट | कोट | कोन | शेवरॉन
¿	अधोमुख प्रश्नचिन्ह	अधोमुख | प्रश्न | प्रश्नचिन्ह
×	गुणाकाराचे चिन्ह	गुणणे | गुणाकार | गुणाकाराचे चिन्ह | वेळा
÷	भागाकाराचे चिन्ह	ओबेलस | भागणे | भागाकार | भागाकाराचे चिन्ह
֏	आर्मेनियन द्रॅम	
؋	अफगाण अफगाणी	
،	अरबी स्वल्पविराम	अरबी | स्वल्पविराम
؛	अरबी अर्धविराम	अरबी | अरबी अर्धविराम | अर्ध-विराम
؟	अरबी प्रश्नचिन्ह	अरबी | प्रश्न | प्रश्नचिन्ह
