# CLDR symbol names for ms: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	tanda seru	bang | seruan | tanda seru
#	tanda cencang	cencang | lb | nombor | paun | tanda cencang | tanda pagar
$	dolar	dolar | peso | USD | wang
%	peratus	peratus
&	ampersan	ampersan | dan | et
'	koma lurus	koma lurus | petik | tanda petik tunggal
)	tanda kurung	dakap | kurung | tanda kurung
*	asterisk	asterisk | bintang | kad liar
+	tanda campur	campur | tambah | tanda campur
,	koma	koma
-	sempang tanda tolak	sempang | sempang tanda tolak | sengkang | tanda tolak
.	noktah	noktah | tanda henti | titik
/	garis condong	garis condong | garis miring | gurisan | leretan | serong | solidus
:	noktah bertindih	noktah bertindih
;	koma bernoktah	koma bernoktah | koma bertitik
<	kurang daripada	kurang daripada | tag | tag terbuka
=	sama dengan	sama | sama dengan
>	lebih besar daripada	lebih besar daripada | tag | tag tertutup
?	tanda soalan	soalan | tanda soalan
@	tanda at	ampersat | arobase | arroba | at komersial | simbol at | strudel | tanda at
[	buka kurung siku	buka kurung siku | krocet | kurung siku | kurungan
\	garis miring balik	garis miring balik | leretan | solidus balik
]	kurung siku tertutup	krocet | kurung siku | kurung siku tertutup | kurungan
^	aksen sirkumfleks	aksen | baji | hat | karet | kawal | penunjuk | sevron | simbol xor | sirkumfleks | tenaga
_	garis bawah	garis | garis bawah | sengkang | sengkang bawah
`	aksen grava	aksen | grava | ton
{	buka kurung dakap	buka kurung dakap | dakap | kurung dakap | sayap camar
|	bar menegak	bar menegak | bar v | garis | garis sheffer | kayu | paip | tombak
}	tutup kurung dakap	dakap | kurung dakap | sayap camar | tutup kurung dakap
~	lambang tilde	lambang tilde
¡	tanda seru terbalik	bang | seruan | tanda seru | tanda seru terbalik | terbalik | titik seru
¢	sen	sen
£	paun	EGP | GBP | mata wang | paun
¤	Mata Wang Tidak Diketahui	
¥	yen	CNY | JPY | mata wang | yen | yuan
§	bahagian	bahagian | keratan | perenggan | seksyen
¨	diaresis	diaresis | trema | umlaut
©	hak cipta	c | hak cipta
«	sudut berganda kiri	chevron | karet | kiri | kurungan | petikan | sudut berganda kiri
¬	penafian	nafi | penafian
®	berdaftar	berdaftar | r
°	darjah	bukti | darjah | jam
±	campur - tolak	campur - tolak
²	nombor dua superskrip	dua | kuasa dua | nombor dua superskrip | superskrip
³	nombor tiga superskrip	kuasa tiga | nombor tiga superskrip | superskrip | tiga
´	aksen tirus	aksen | tirus | ton
µ	simbol mikro	simbol mikro | ukuran
¶	tanda perenggan	alinea | parap | perenggan | pilcrow | tanda perenggan
·	titik tengah	noktah tengah | tengah | titik
¹	nombor satu superskrip	nombor satu superskrip | satu | superskrip
»	sudut berganda kanan	chevron | kanan | karet | kurungan | petikan | sudut | sudut berganda kanan
¿	tanda soal terbalik	soalan | tanda soal | tanda soal terbalik | terbalik
×	simbol pendaraban	darab | kali | pendaraban | simbol pendaraban
÷	simbol pembahagian	bahagi | obelus | pembahagian | simbol pembahagian
֏	Dram Armenia	
؋	Afghani Afghanistan	
،	koma arab	arab | koma
؛	koma bernoktah arab	arab | koma bernoktah | koma bernoktah arab
؟	tanda soal arab	arab | soalan | tanda soal | tanda soal arab
৳	Taka Bangladesh	
฿	Baht Thai	
៛	Riel Kemboja	
‐	sempang	sempang | sengkang
–	sengkang en	en | sengkang
—	sengkang em	em | sengkang
―	palang lintang	garisan | palang | palang lintang | sengkang
‘	koma atas kiri	koma atas | koma atas kiri | petik | tanda petik | tanda petik tunggal
’	koma atas kanan	koma atas | koma atas kanan | petik | tanda petik | tanda petik tunggal
‚	koma bawah kanan	koma bawah | koma bawah kanan | petik | tanda petik bawah
“	tanda petik kiri	petik | petikan | tanda petik | tanda petik kiri | tanda petikan
”	tanda petikan	petik | petikan | tanda petikan
„	tanda petikan bawah	petikan | tanda petik | tanda petikan | tanda petikan bawah
†	tanda dagger	dagger | obelisk | obelus | tanda dagger
‡	simbol dagger berganda	berganda | dagger | obelisk | obelus | simbol dagger berganda
•	bulet	bulet | titik
…	elipsis	elipsis | tanda tinggal | titik
‧	titik sempang	sempang | sengkang | titik
‰	per mille	per mille
′	prima	prima
″	prima ganda dua	prima | prima ganda dua
‴	prima ganda tiga	prima | prima ganda tiga
‸	karet	karet
※	tanda rujukan	tanda rujukan
‼	tanda seru berganda	bangbang | seru | tanda | tanda baca | tanda seru berganda
‽	interrobang	interrobang
‾	garis atas	garis atas
⁂	asterisme	asterisme | bintang | dinkus
⁄	garis condong pecahan	garis condong pecahan | garis miring | virgule
⁉	tanda soal seru	interrobang | seru | soalan | tanda | tanda baca | tanda soal seru
⁻	tolak superskrip	superskrip | tolak
₡	Colon Costa Rica	
₢	cruzeiro	BRB | cruzeiro | mata wang
₣	franc perancis	franc | franc perancis | mata wang
₤	lira	lira | mata wang
₥	juta	juta
₦	Naira Nigeria	
₨	rupee	mata wang | rupee
₩	won	KPW | KRW | won
₪	Syekel Baharu Israel	
₫	Dong Vietnam	
€	euro	EUR | euro | mata wang
₭	Kip Laos	
₮	Tugrik Mongolia	
₰	peni jerman	mata wang | peni jerman | pfennig
₱	peso	peso
₲	Guarani Paraguay	
₳	austral	ARA | austral | mata wang
₴	Hryvnia Ukraine	
₵	Cedi Ghana	
₶	livre tournois	livre tournois | mata wang
₷	spesmilo	mata wang | spesmilo
₸	Tenge Kazakhstan	
₹	rupee india	mata wang | rupee | rupee india
₺	Lira Turki	
₼	Manat Azerbaijan	
₽	rouble	mata wang | rouble
₾	Lari Georgia	
₿	bitcoin	bitcoin | BTC
