# CLDR symbol names for mt: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
¤	Munita Mhix Magħrufa jew Mhix Valida	
©	drittijiet tal-awtur	drittijiet tal-awtur
®	reġistrati	reġistrati
‼	punt doppju esklamattiv	bangbang | esklamazzjoni | marka | punt doppju esklamattiv | punteġġjatura
⁉	punt interrogattiv ta’ esklamazzjoni	esklamazzjoni | interrobang | marka | mistoqsija | punt interrogattiv ta’ esklamazzjoni | punteġġjatura
™	trade mark	marka | tm | trade mark | trademark
ℹ	informazzjoni	i | informazzjoni
↔	vleġġa ’l isfel xellugija	vleġġa | vleġġa ’l isfel xellugija
↕	vleġġa ’l isfel u ’l isfel	vleġġa | vleġġa ’l isfel u ’l isfel
↖	vleġġa xellugija ’l fuq	direzzjoni | interkardinal | majjistral | vleġġa | vleġġa xellugija ’l fuq
↗	vleġġa ’l fuq leminija	direzzjoni | grigal | interkardinal | vleġġa | vleġġa ’l fuq leminija
↘	vleġġa ’l isfel leminija	direzzjoni | interkardinal | vleġġa | vleġġa ’l isfel leminija | xlokk
↙	vleġġa xellugija ’l isfel	direzzjoni | interkardinal | lbiċ | vleġġa | vleġġa xellugija ’l isfel
↩	vleġġa leminija mgħawġa lejn ix-xellug	vleġġa | vleġġa leminija mgħawġa lejn ix-xellug
↪	vleġġa tax-xellug mgħawġa lejn il-lemin	vleġġa | vleġġa tax-xellug mgħawġa lejn il-lemin
⌨	tastiera	kompjuter | tastiera
⏏	il-buttuna oħroġ	il-buttuna oħroġ | oħroġ
⏭	buttuna trekk li jmiss	buttuna trekk li jmiss | trekk li jmiss | trijangolu | vleġġa | xena li jmiss
⏮	buttuna l-aħħar trekk	buttuna l-aħħar trekk | it-trekk preċedenti | trijangolu | vleġġa | xena preċedenti
⏯	buttuna aqra jew issospendi	aqra | buttuna aqra jew issospendi | dritt | issospendi | trijangolu | vleġġa
⏱	stopwatch	arloġġ | stopwatch
⏲	kronometru tal-arloġġ	arloġġ | kronometru | kronometru tal-arloġġ
⏸	buttuna issospendi	bar | buttuna issospendi | doppju | issospendi | vertikali
⏹	buttuna waqqaf	buttuna waqqaf | kwadru | waqqaf
⏺	buttuna tar-rekord	buttuna tar-rekord | ċirku | rekord
Ⓜ	ċirku M	ċirku | m
▪	kwadri żgħir iswed	ġeometrika | kwadri żgħir iswed | kwadru
▫	kwadrat żgħir abjad	ġeometrika | kwadrat żgħir abjad | kwadru
▶	il-buttuna aqra	aqra | dritt | il-buttuna aqra | trijangolu | vleġġa
◀	buttuna reverse	bil-maqlub | buttuna reverse | tax-xellug | trijangolu | vleġġa
◻	kwadrat medju abjad	ġeometrika | kwadrat medju abjad | kwadru
◼	kwadrat medju iswed	ġeometrika | kwadrat medju iswed | kwadru
☀	xemx	raġġi | tleqq | xemx | xemxi
☁	sħaba	sħaba | temp
☂	umbrella	ħwejjeġ | umbrella | xita
☃	borrinu	borrinu | kiesaħ | silġ
☄	kometa	kometa | spazju
☎	telefon	telefon | telefown
☑	kaxxa tal-votazzjoni b’marka	kaxxa | kaxxa tal-votazzjoni b’marka | marka | votazzjoni
☘	xamrok	pjanta | xamrok
☝	indiċi li jipponta ’l fuq	’l fuq | id | indiċi | indiċi li jipponta ’l fuq | ipponta | suba’
☠	kranju u crossbones	crossbones | kranju | kranju u crossbones | mewt | mostru | wiċċ
☢	radjoattiv	radjoattiv | sinjal
☣	perikolu bijoloġiku	perikolu bijoloġiku | sinjal
☦	salib ortodoss	Kristjan | reliġjon | salib | salib ortodoss
☪	stilla u nofs qamar	Islam | Musulmana | reliġjon | stilla u nofs qamar
☮	is-simbolu tal-paċi	is-simbolu tal-paċi | paċi
☯	yin yang	reliġjon | tao | taoist | yang | yin
☸	ir-rota ta’ dharma	Buddhist | dharma | ir-rota ta’ dharma | reliġjon | rota
☹	wiċċ imkemmex	imkemmex | wiċċ
☺	wiċċ jitbissem	jitbissem | rilassat | spjegati | wiċċ
♀	sinjal femminili	mara | sinjal femminili
♂	sinjal maskili	raġel | sinjal maskili
♠	taqsima tal-ispati	karta | logħba | taqsima tal-ispati
♣	taqsima tal-fjuri	karta | logħba | taqsima tal-fjuri
♥	taqsima tal-kwori	karta | logħba | taqsima tal-kwori
♦	taqsima tad-denari	karta | logħba | taqsima tad-denari
♨	nixxigħat sħan	fwar | nixxigħat | nixxigħat sħan | sħun
♻	simbolu tar-riċiklaġġ	irriċikla | simbolu tar-riċiklaġġ
⚒	martell u fies	fies | għodda | martell | martell u fies
⚔	xwabel inkroċjati	arma | inkroċjati | xwabel
⚕	simbolu mediku	aesculapius | mediċina | persunal | simbolu mediku
⚖	miżien	bilanċ | għodda | ġustizzja | Libra | miżien | piż | zodjaku
⚗	lampik	għodda | kimika | lampik
⚙	apparat	apparat | għodda
⚛	simbolu tal-atomu	ateu | atomu | simbolu tal-atomu
⚜	fleur-de-lis	fleur-de-lis
⚠	twissija	twissija
⚰	tebut	mewt | tebut
⚱	urna tal-funerali	funerali | irmied | mewt | urna | urna tal-funerali
⛈	sħaba b’sajjetti u x-xita	ragħad | sħaba | sħaba b’sajjetti u x-xita | xita
⛏	agħżel	agħżel | għodda | mini
⛑	l-elmu tal-ħaddiem tas-salvataġġ	elmu | għajnuna | jaqsmu | kappell | l-elmu tal-ħaddiem tas-salvataġġ | wiċċ
⛓	ktajjen	katina | ktajjen
⛩	maqdes shinto	maqdes | reliġjon | shinto
⛰	muntanja	muntanja
⛱	umbrella fuq art	umbrella | umbrella fuq art | xemx | xita
⛴	lanċa	dgħajsa | lanċa | passiġġieri
⛷	skier	silġ | skier | skis
⛸	skating fuq is-silġ	silġ | skate | skating fuq is-silġ
⛹	persuna tqabbeż ballun	ballun | persuna tqabbeż ballun
✂	imqass	għodda | imqass | qtugħ
✈	ajruplan	ajruplan
✉	envelop	envelop | indirizz elettroniku | ittra
✌	id tar-rebħa	id | id tar-rebħa | rebħa | v
✍	id li tikteb biha	id | id li tikteb biha | tikteb
✏	lapes	lapes
✒	ponta sewda	pinna | ponta | ponta sewda
✔	marka ta’ verifika grassett	marka | marka ta’ verifika grassett | verifika
✖	multiplikazzjoni grassett x	ikkanċella | immoltiplika | multiplikazzjoni | multiplikazzjoni grassett x | x
✝	salib latin	Kristjan | reliġjon | salib | salib latin
✡	l-istilla ta’ David	David | l-istilla ta’ David | Lhudi | reliġjon | stilla
✳	stilla bi tmien linji	stilla | stilla bi tmien linji
✴	stilla bi tmien ponot	stilla | stilla bi tmien ponot
❄	farka borra	farka borra | kiesaħ | silġ
❇	ileħħ	ileħħ
❣	esklamazzjoni ta’ qalb miġugħa	esklamazzjoni | esklamazzjoni ta’ qalb miġugħa | marka | punteġġjatura
❤	qalb ħamra	qalb | qalb ħamra
➡	vleġġa leminija	direzzjoni | il-lvant | kardinal | vleġġa | vleġġa leminija
⤴	vleġġa leminija mgħawġa ’l fuq	vleġġa | vleġġa leminija mgħawġa ’l fuq
⤵	vleġġa leminija mgħawġa ’l isfel	’l isfel | vleġġa | vleġġa leminija mgħawġa ’l isfel
⬅	vleġġa xellugija	direzzjoni | il-punent | kardinal | vleġġa | vleġġa xellugija
⬆	vleġġa ’l fuq	direzzjoni | kardinal | tramuntana | vleġġa | vleġġa ’l fuq
⬇	vleġġa ’l isfel	’l isfel | direzzjoni | kardinal | nofsinhar | vleġġa | vleġġa ’l isfel
〰	sing immewwweġ	mmewwweġ | punteġġjatura | sing | sing immewwweġ
〽	marka ta’ alternanza ta’ parti	marka | marka ta’ alternanza ta’ parti | parti
㊗	buttuna Ġappuniż “awguri”	“awguri” | buttuna Ġappuniż “awguri” | Ġappuniż | ideograph | 祝
㊙	buttuna Ġappuniż “sigriet”	“sigriet” | buttuna Ġappuniż “sigriet” | Ġappuniż | ideograff | 有
🅰	buttuna A (tip tad-demm)	a | buttuna A (tip tad-demm) | tip tad-demm
🅱	buttuna B (tip tad-demm)	b | buttuna B (tip tad-demm) | tip tad-demm
🅾	buttuna O (tip tad-demm)	buttuna O (tip tad-demm) | o | tip tad-demm
🅿	buttuna P	buttuna P | pparkjar
🈂	buttuna Ġappuniż “imposta’ għal servizz“	“imposta tas-servizz” | buttuna Ġappuniż “imposta’ għal servizz“ | Ġappuniż | katakana | サ
🈷	buttuna Ġappuniż “ammont ta’ kull xahar”	“ammont ta’ kull xahar” | buttuna Ġappuniż “ammont ta’ kull xahar” | Ġappuniż | ideograff | 月
🌡	termometru	temp | termometru
