# CLDR symbol names for my: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	အာမေဍိတ် အမှတ်အသား	ဘင်းဂ် | အာမေဍိတ် | အာမေဍိတ် သင်္ကေတ | အာမေဍိတ် အမှတ်အသား
#	ဟက်ရှ် သင်္ကေတ	နံပါတ် | ပေါင် | ဟက်ရှ် | ဟက်ရှ် သင်္ကေတ | ဟက်ရှ်တဂ်
$	ဒေါ်လာ သင်္ကေတ	ငွေ | ဒေါ်လာ | ဒေါ်လာ သင်္ကေတ | ပီဆို | ယူအက်ဒီ
%	ရာခိုင်နှုန်း	ပါဆင့် | ရာခိုင်နှုန်း
&	အမ်ပါဆင်	နှင့် | အမ်ပါဆင်
'	လက်နှိပ်စက် မျက်တောင်ဖွင့်ပြ သင်္ကေတ	ဗဟုဝုစ်ကိန်း သင်္ကေတ | မျက်တောင်တစ်ထပ် သင်္ကေတ | မျက်တောင်ဖွင့်ပြ သင်္ကေတ | လက်နှိပ်စက် မျက်တောင်ဖွင့်ပြ သင်္ကေတ
)	ကွင်းပိတ်	ကွင်းပိတ် | ဘရက်ကက်
*	ခရေပွင့်	ကြယ်ပွင့် | ခရေပွင့်
+	အပေါင်းလက္ခဏာ	ပေါင်းခြင်း | အပေါင်း | အပေါင်းလက္ခဏာ
,	ကော်မာ	ကော်မာ | ဗဟုဝုစ်ကိန်းပြ သင်္ကေတ
-	တုံးတို-အနုတ်	တုံးတို | တုံးတို-အနုတ် | အနုတ်
.	အင်္ဂလိပ် ပုဒ်ထီး သင်္ကေတ	ပုဒ်ထီး | အင်္ဂလိပ် ပုဒ်ထီး သင်္ကေတ | အစက်
/	မျဉ်းစောင်း	ဆလက်ရှ် | မျဉ်းစောင်း | မျဉ်းစောင်း သင်္ကေတ
:	ကော်လံ	ကော်လံ
;	ဆီမီးကော်လံ	ဆီမီး-ကော်လံ | ဆီမီးကော်လံ
<	ပိုငယ်သော	တဂ် | တဂ်အဖွင့် | ပိုငယ်သော
=	ညီမျှခြင်း	ညီမျှခြင်း | အညီ
>	ပိုကြီးသော	တဂ် | တဂ်အပိတ် | ပိုကြီးသော
?	မေးခွန်း အမှတ်အသား	မေးခွန်း | မေးခွန်း အမှတ်အသား
@	အက်တ် သင်္ကေတ	ကော်မာရှယ် အက်တ် | အက်တ် သင်္ကေတ | အက်တ် အမှတ်အသား
[	ထောင့်ကွင်းအဖွင့်	ကွင်း | ခရိုချက် | ထောင့်ကွင်း | ထောင့်ကွင်းအဖွင့်
\	နောက်ပြန် မျဉ်းစောင်း	နောက်ပြန် မျဉ်းစောင်း | ဘက်ခ်ဆလက်ရှ်
]	ထောင့်ကွင်း အပိတ်	ကွင်း | ခရိုချက် | ထောင့်ကွင်း | ထောင့်ကွင်း အပိတ်
^	သရသံ သင်္ကေတ	ကဲရက် | ပွိုင့်တာ | သရသံ | သရသံ သင်္ကေတ | ဟက်တ် | အသံနေ အသံထား
_	အောက်မျဉ်း	တုံးရှည် | မျဉ်း | အောက်မျဉ်း
`	သံပြင်း သင်္ကေတ	သံပြင်း | သံပြင်း သင်္ကေတ | အသံထွက် | အသံနေ အသံထား
{	တွန့်ကွင်း အဖွင့်	ကွင်း | တွန့်ကွင်း | တွန့်ကွင်း အဖွင့် | တွန့်ကွင်းကောက် | ဘရေ့စ်
|	ထောင်လိုက်မျဉ်းတို	ထောင်လိုက် ဘား | ထောင်လိုက်မျဉ်းတို | ပိုက်သင်္ကေတ | ဘား | မျဉ်းမတ်
}	တွန့်ကွင်းပိတ်	ကွင်း | တွန့်ကွင်း | တွန့်ကွင်းကောက် | တွန့်ကွင်းပိတ် | ဘရေ့စ်
~	နှာသံပြအမှတ်အသား	တေလ်ဒါ | နှာသံပြအမှတ်အသား
¡	အာမေဍိတ်ပြောင်းပြန် သင်္ကေတ	ပြောင်းပြန် | ဘင်းဂ် | အာမေဍိတ် | အာမေဍိတ် သင်္ကေတ | အာမေဍိတ်ပြောင်းပြန် သင်္ကေတ
¢	ဆင့်	ငွေ အကြွေပြား | ဆင့်
£	ပေါင်	ဂျီဘီပီ | ငွေကြေး | ပေါင် | အီးဂျီပီ
¤	မသိသို့မဟုတ်မရှိသောငွေကြေး	
¥	ယန်း	ဂျေပီဝိုင် | ငွေကြေး | စီအင်ဝိုင် | ယန်း | ယွမ်
§	အပိုဒ်ခွဲ သင်္ကေတ	စာပိုဒ် | အပိုင်း | အပိုဒ်ခွဲ | အပိုဒ်ခွဲ သင်္ကေတ
¨	သရသံပြောင်းပြ သင်္ကေတ	ထရေမာ | သရသံပြောင်းပြ သင်္ကေတ | အမ်လက်
©	မူပိုင်ခွင့်	မူပိုင်ခွင့်
«	ဘယ်ညွှန် နှစ်ထပ် ထောင့်ချွန်ကွင်း	ကွင်း | ကဲရက် | ထောင့် | ဗွီ သင်္ကေတ | ဘယ် | ဘယ်ညွှန် နှစ်ထပ် ထောင့်ချွန်ကွင်း | မျက်တောင် သင်္ကေတ
¬	ဆန့်ကျင်ခြင်း	ဆန့်ကျင်ခြင်း | မဟုတ်သော
®	မှတ်ပုံတင်ထားသော	မှတ်ပုံတင်ထားသော
°	ဒီဂရီ	ဒီဂရီ | နာရီ | သက်သေပြချက်
±	အပေါင်း-အနုတ်	အပေါင်း-အနုတ် | အပေါင်း-အနုတ် သင်္ကေတ
