# CLDR symbol names for ne: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	विस्मयादिवोधक चिन्ह	धमाका | बिन्दु | विस्मयादिबोधक चिन्ह
#	ह्यास चिन्ह	चिन्ह | पाउण्ड | पाउन्ड | संख्या | ह्यास | ह्यासट्याग
$	डलर	डलर | पेसो | पैसा | युएसडी
%	प्रतिशत	प्रतिशत
&	एम्पर्सेन्ड	एट | एन्ड | एम्पर्सेन्ड
'	टाइपराइटर एपोस्ट्रोफी	अपोस्ट्रोफी | उद्धरण | एकल | टाइपराइटर
)	बन्द गर्ने कोष्ठक	कोष्ठ | कोष्ठक | गोलो | प्यारेन | प्यारेन्थेसिस | प्यारेन्थेसिसहरू | बन्द
*	तारा चिन्ह	तारा | तारा चिन्ह | वाइल्ड कार्ड चिन्ह
+	जोडको चिन्ह	चिन्ह | जोड | जोड्नुहोस्
,	अल्पविराम	अल्पविराम
-	हाइफन-घटाउ चिन्ह	घटाउ | ड्याश | हाइफन | हाइफन-घटाउ चिन्ह
.	विराम चिन्ह	थोप्लो | पूर्ण | रोक्नुहोस् | विराम चिन्ह
/	स्ल्याश	अब्लिक | भर्ग्युल | सोलिडस | स्ल्याश
:	अपूर्ण विराम चिन्ह	अपूर्ण विराम चिन्ह
;	अर्धविराम चिन्ह	अर्धविराम चिन्ह
<	भन्दा कम	कम | खुला | ट्याग | भन्दा
=	बराबर	बराबर | बराबरका चिन्हहरू
>	भन्दा ठुलो	ट्याग | ठूलो | बन्द | भन्दा
?	प्रश्नवाचक चिन्ह	चिन्ह | प्रश्न
@	एट चिन्ह	ampersat | arobase | arroba | at | at-sign | commercial | mark | sign | strudel
[	खुला ठुलो कोष्ठक	कोष्ठक | क्रोचेट | खुला | वर्ग
\	ब्याकस्ल्याश	उल्टो | ब्याकस्ल्याश | सोलिडस | ह्याक
]	बन्द गर्ने ठुलो कोष्ठक	कोष्ठक | क्रोचेट | बन्द | वर्ग
^	सर्कम्‍फ्लेक्स एक्सेन्ट	एक्‍सओआर चिन्ह | एक्सेन्ट | क्यारेट | नियन्त्रण | पावर | वेज | शेभ्रन | सर्कम्‍फ्लेक्स | सूचक | ह्याट
_	तल्लो भागको रेखा	अन्डरड्यास | कम | ड्यास | रेखा | रेखांकन
`	ग्रेेभ एक्सेन्ट	एक्सेन्ट | ग्रेेभ | टोन
{	खुला धनुकोष्ठक	कोष्ठक | खुला | गुलविङ | घुमाउरो | ब्रेस
|	ठाडो रेखा	ठाडो | पाइक | पाइप | बार | भि-बार | लाइन | शेफर | स्टिक | स्ट्रोक
}	बन्द गर्ने धनुकोष्ठक	कोष्टक | गुलविङ | घुमाउरो | बन्द | ब्रेस
~	टिल्ड	टिल्ड
¡	उल्ट्याइएको विस्मयादिबोधक चिन्ह	उद्गारवाचक चिन्ह | उल्टो | चिन्ह | धमाका | बिन्दु
¢	सेन्‍ट	सेन्‍ट
£	पाउन्ड	इजिपी | जिबिपी | पाउन्ड | मुद्रा
¤	अज्ञात मुद्रा	
¥	येन	जेपिवाई | मुद्रा | युआन | येन | सिएनवाई
§	खण्ड	अनुच्छेद | खण्ड | भाग | सिल्क्रो
¨	डायरेसिस	उमलायुट | ट्रेमा | डाएरेसिस | डायरेसिस
©	प्रतिलिपि अधिकार	प्रतिलिपि अधिकार
«	बायाँ गिलिमेट	उद्धरण | कोण | कोष्ठक | क्यारेट | गिलेमेट | बायाँ | शेभ्रन
¬	नेगेशन	नेगेशन | होइन
®	दर्ता गरिएको	दर्ता गरिएको
°	डिग्री	घण्टा | डिग्री | प्रमाण
±	जोड-घटाउ	जोड-घटाउ
²	सुपरस्क्रिप्टको दुई	दुई | वर्ग | सुपरस्क्रिप्ट | सुपरस्क्रिप्टको दुई
³	सुपरस्क्रिप्टको तीन	घन | तीन | सुपरस्क्रिप्ट | सुपरस्क्रिप्टको तीन
´	एक्युट एक्सेन्ट	एक्युट | एक्सेन्ट | टोन
µ	माइक्रोको चिन्ह	माइक्रोको चिन्ह | मापन
¶	अनुच्छेद चिन्ह	अनुच्छेद चिन्ह
