# CLDR symbol names for nl: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	uitroepteken	uitroep | uitroeppunt | uitroepteken
#	hekje	aantal | hashtag | hekje | lb | pound
$	dollar	dollar | geld | peso | USD
%	procent	procent
&	en-teken	en | en-teken | et
'	rechte apostrof	aanhalingsteken | apostrof | enkel aanhalingsteken | recht aanhalingsteken | rechte apostrof
)	haakje sluiten	haakje sluiten | ronde haak | sluithaakje
*	asterisk	asterisk | jokerteken | sterretje
+	plusteken	optellen | plus | plusteken
,	komma	komma
-	liggend streepje	gedachtestreepje | liggend streepje | verbindingsstreepje
.	punt	decimaal teken | punt
/	schuine streep	breukstreep | schrap | schuine lijn | schuine streep | streep
:	dubbele punt	dubbele punt
;	puntkomma	puntkomma
<	kleiner-danteken	kleiner dan | kleiner-danteken | punthaakje | punthaakje openen
=	gelijkteken	gelijkteken | is gelijk aan
>	groter-danteken	groter dan | groter-danteken | punthaakje | punthaakje sluiten
?	vraagteken	vraag | vraagteken
@	apenstaartje	a-krol | amfoor | amfora | apenstaartje | at | slinger-a | slingeraap
[	rechte haak openen	haak | rechte haak | rechte haak links | rechte haak openen
\	backslash	backslash | omgekeerde schuine streep | terugschrap
]	rechte haak sluiten	haak | rechte haak | rechte haak rechts | rechte haak sluiten
^	accent circonflexe	aan/uit | aanwijzer | accent | caret | chevron | circonflexe | dakje
_	underscore	lijn | onderstreping | underscore
`	accent grave	accent | grave | toon
{	accolade openen	accolade | accolade links | accolade openen | krulhaakje | krulhaakje link | krulhaakje openen
|	verticale lijn	baar | spaak | spijl | staaf | stang | stok | verticale lijn
}	accolade sluiten	accolade | accolade rechts | accolade sluiten | krulhaakje | krulhaakje rechts | krulhaakje sluiten
~	tilde	tilde
¡	omgekeerd uitroepteken	omgekeerd | uitroep | uitroeppunt | uitroepteken
¢	cent	cent
£	Brits pond	Brits pond | EGP | GBP | valuta
¤	onbekende munteenheid	
¥	yen	CNY | JPY | valuta | yen | yuan
§	paragraaf	deel | paragraaf | paragraafsymbool
¨	trema	trema | umlaut
©	copyright	C | copyright
«	guillemet naar links	aanhalingsteken | guillemet naar links | haakjes | hoek | inlastekens | links | onderscheidingsteken
¬	negatie	negatie | niet
®	gedeponeerd	gedeponeerd | R
°	graden	bewijs | graden | uur
±	plusminus	plusminus
²	superscript twee	in het kwadraat | superscript | twee
³	superscript drie	drie | kubieke | superscript
´	accent aigu	accent | aigu | toon
µ	mu	maat | mu
¶	paragraafteken	alinea | alineateken | paraaf | paragraaf | paragraafteken
·	hoge punt	hoge | interpunct | punt
¹	superscript één	één | superscript
»	guillemet naar rechts	aanhalingsteken | guillemet naar rechts | haakjes | hoek | inlastektekens | onderscheidingsteken | rechts
¿	omgekeerd vraagteken	omgekeerd | vraag | vraagteken
×	vermenigvuldigingsteken	keer | vermenigvuldigen | vermenigvuldiging | vermenigvuldigingsteken
÷	deelteken	deelteken | delen | deling | obelus
֏	Armeense dram	
؋	Afghaanse afghani	
،	Arabische komma	Arabisch | Arabische komma | komma
؛	Arabische puntkomma	Arabisch | Arabische puntkomma | puntkomma
؟	Arabisch vraagteken	Arabisch | vraag | vraagteken
৳	Bengalese taka	
฿	Thaise baht	
៛	Cambodjaanse riel	
‐	koppelteken	gedachtestreep | koppelteken | verbindingsstreepje
–	gedachtestreepje	gedachte | gedachtestreepje | streepje
—	aandachtsstreepje	aandacht | aandachtsstreepje | streepje
―	horizontale balk	balk | gedachtestreep | horizontale balk | lijn
‘	linker apostrof	aanhalingsteken | apostrof | linker aanhalingsteken | linker apostrof | slim aanhalingsteken
’	rechter apostrof	aanhalingsteken | apostrof | rechter aanhalingsteken | rechter apostrof | slim aanhalingsteken
‚	lage rechter apostrof	aanhalingsteken | apostrof | laag aanhalingsteken | lage rechter apostrof
“	linker dubbel aanhalingsteken	aanhalingsteken | dubbel aanhalingsteken | linker dubbel aanhalingsteken | slim aanhalingsteken
”	rechter dubbel aanhalingsteken	aanhalingsteken | dubbel aanhalingsteken | rechter dubbel aanhalingsteken | slim aanhalingsteken
„	laag rechter dubbel aanhalingsteken	aanhalingsteken | dubbel aanhalingsteken | laag aanhalingsteken | laag rechter dubbel aanhalingsteken | slim aanhalingsteken
†	obelisk	obelisk | obelus
‡	dubbele obelisk	dubbel | dubbele obelisk | obelisk | obelus
•	bullet	bullet | rondje
…	beletselteken	beletselteken | puntjes | weglating
‧	koppeling	gedachtestreepje | koppeling | koppelteken | punt
‰	promille	promille
′	prime	accent | prime
″	dubbele prime	accent | dubbele prime
‴	drievoudige prime	accent | drievoudige prime
‸	inlasteken	inlasteken
※	referentieteken	referentieteken
‼	dubbel uitroepteken	! | !! | dubbel | dubbel uitroepteken | interpunctie | teken | uitroep
‽	interrobang	interrobang | vraagteken-uitroepteken
‾	bovenlijn	bovenlijn
⁂	asterisme	asterisme | dinkus | sterren
⁄	breukstreep	breukstreep | schuine streep | streep
⁉	uitroepteken en vraagteken	! | !? | ? | interpunctie | teken | uitroep | vraag | vraagteken-uitroepteken
⁻	superscript min	min | superscript
₡	Costa Ricaanse colon	
₢	cruzeiro	BRB | cruzeiro | valuta
₣	Franse franc	franc | Franse franc | valuta
₤	lira	lira | valuta
₥	mill	mil | mill
₦	Nigeriaanse naira	
₧	Spaanse peseta	
₨	roepie	roepie | valuta
₩	won	KPW | KRW | won
₪	Israëlische nieuwe shekel	
₫	Vietnamese dong	
€	euro	EUR | euro | valuta
₭	Laotiaanse kip	
₮	Mongoolse tugrik	
₰	Duitse pfennig	Duitse pfennig | pfennig | valuta
₱	peso	peso
₲	Paraguayaanse guarani	
₳	austral	ARA | austral | valuta
₴	Oekraïense hryvnia	
₵	Ghanese cedi	
₶	livre tournois	livre tournois | valuta
₷	spesmilo	spesmilo | valuta
₸	Kazachse tenge	
₹	Indiase roepie	Indiase roepie | roepie | valuta
₺	Turkse lira	
₼	Azerbeidzjaanse manat	
₽	roebel	roebel | valuta
₾	Georgische lari	
₿	bitcoin	bitcoin | BTC
℗	copyright geluidsopname	copyright | copyright geluidsopname | geluid | opname
™	handelsmerksymbool	handel | handelsmerk | merk | tm
ℹ	informatie	I | informatie
←	naar links wijzende pijl	links | naar links wijzende pijl | pijl
↑	omhoog wijzende pijl	omhoog | omhoog wijzende pijl | pijl
→	naar rechts wijzende pijl	naar rechts wijzende pijl | pijl | rechts
↓	omlaag wijzende pijl	omlaag | omlaag wijzende pijl | pijl
↔	pijl naar links en rechts	pijl | pijl naar links en rechts
↕	pijl omhoog en omlaag	omhoog en omlaag | pijl
↖	pijl linksomhoog	linksboven | noordwest | pijl | richting | windrichting
↗	pijl rechtsomhoog	noordoost | pijl | rechtsboven | richting | windrichting
↘	pijl rechtsomlaag	pijl | rechtsonder | richting | windrichting | zuidoost
↙	pijl linksomlaag	linksonder | pijl | richting | windrichting | zuidwest
↚	streep met pijl naar links	streep met pijl naar links
↛	streep met pijl naar rechts	streep met pijl naar rechts
↜	golvende pijl naar links	golvende pijl naar links
↝	golvende pijl naar rechts	golvende pijl naar rechts
↞	pijl met twee koppen naar links	pijl met twee koppen naar links
↟	pijl met twee koppen omhoog	pijl met twee koppen omhoog
↠	pijl met twee koppen naar rechts	pijl met twee koppen naar rechts
↡	pijl met twee koppen omlaag	pijl met twee koppen omlaag
↢	pijl met staart naar links	pijl met staart naar links
↣	pijl met staart naar rechts	pijl met staart naar rechts
↤	pijl naar links vanaf balk	pijl naar links vanaf balk
↥	pijl omhoog vanaf balk	pijl omhoog vanaf balk
↦	pijl naar rechts vanaf balk	pijl naar rechts vanaf balk
↧	pijl omlaag vanaf balk	pijl omlaag vanaf balk
↨	pijl omhoog/omlaag met basis	pijl omhoog/omlaag met basis
↩	pijl naar rechts die naar links draait	gebogen | links | pijl | rechts
↪	pijl naar links die naar rechts draait	gebogen | links | pijl | rechts
↫	pijl met lus naar links	pijl met lus naar links
↬	pijl met lus naar rechts	pijl met lus naar rechts
↭	golvende pijl naar links/rechts	golvende pijl naar links/rechts
↮	streep met pijl naar links/rechts	streep met pijl naar links/rechts
↯	zigzagpijl omlaag	zigzagpijl omlaag
↰	pijlpunt omhoog en naar links wijzend	pijlpunt omhoog en naar links wijzend
↱	pijlpunt omhoog en naar rechts wijzend	pijlpunt omhoog en naar rechts wijzend
↲	pijlpunt omlaag en naar links wijzend	pijlpunt omlaag en naar links wijzend
↳	pijlpunt omlaag en naar rechts wijzend	pijlpunt omlaag en naar rechts wijzend
↴	hoekpijl omlaag en naar rechts wijzend	hoekpijl omlaag en naar rechts wijzend
↵	hoekpijl omlaag en naar links wijzend	hoekpijl omlaag en naar links wijzend
↶	pijl omhoog tegen de klok in met halve cirkel	pijl omhoog tegen de klok in met halve cirkel
↷	pijl omhoog met de klok mee met halve cirkel	pijl omhoog met de klok mee met halve cirkel
↸	pijl noordwest lange balk	pijl noordwest lange balk
↹	pijl naar links naar balk boven pijl naar rechts naar balk	pijl naar links naar balk boven pijl naar rechts naar balk
↺	pijl met open cirkel tegen de klok in	pijl met open cirkel tegen de klok in
↻	pijl met open cirkel met de klok mee	pijl met open cirkel met de klok mee
↼	harpoen naar links met weerhaak naar boven	harpoen naar links met weerhaak naar boven
↽	harpoen naar links met weerhaak naar beneden	harpoen naar links met weerhaak naar beneden
↾	harpoen naar boven met weerhaak naar rechts	harpoen naar boven met weerhaak naar rechts
↿	harpoen naar boven met weerhaak naar links	harpoen naar boven met weerhaak naar links
⇀	harpoen naar rechts met weerhaak naar boven	harpoen naar rechts met weerhaak naar boven
⇁	harpoen naar rechts met weerhaak naar beneden	harpoen naar rechts met weerhaak naar beneden
⇂	harpoen naar beneden met weerhaak naar rechts	harpoen naar beneden met weerhaak naar rechts
⇃	harpoen naar beneden met weerhaak naar links	harpoen naar beneden met weerhaak naar links
⇄	pijl naar rechts boven pijl naar links	pijl naar rechts boven pijl naar links
⇅	omhoog en omlaag wijzende pijlen	omhoog | omhoog en omlaag wijzende pijlen | omlaag | pijl
⇆	naar links boven naar rechts wijzende pijlen	links | naar links boven naar rechts wijzende pijlen | pijl | rechts
⇇	twee pijlen naar links	twee pijlen naar links
⇈	twee pijlen naar boven	twee pijlen naar boven
⇉	twee pijlen naar rechts	twee pijlen naar rechts
⇊	twee pijlen naar beneden	twee pijlen naar beneden
⇋	harpoen naar links boven harpoen naar rechts	harpoen naar links boven harpoen naar rechts
⇌	harpoen naar rechts boven harpoen naar links	harpoen naar rechts boven harpoen naar links
⇍	dubbele doorgestreepte pijl naar links	dubbele doorgestreepte pijl naar links
⇎	dubbele doorgestreepte pijl links/rechts	dubbele doorgestreepte pijl links/rechts
