# CLDR symbol names for nn: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	utropsteikn	utropsteikn
#	nummerteikn	emneknagg | firkant | hashtagg | nummerteikn | skigard
%		prosent | prosentteikn
&	og-teikn	ampersand | eit | eit-teikn | og | og-teikn
'	enkelt rett hermeteikn	enkelt rett hermeteikn | sitatteikn
)	høgre parentes	bogeparentes | høgre parentes | parentes | sluttparentes
*		asterisk | jokerteikn | stjerne
+	plussteikn	addere | leggje til | pluss | plussteikn
-	bindestrek-minus-teikn	bindestrek-minus-teikn
<		er mindre enn | mindre enn | starttagg | ulikskap
=		er lik | likskapsteikn
>		endetagg | er større enn | større enn | ulikskap
?	spørsmålsteikn	spørsmål | spørsmålsteikn
@		alfakrøll | at-teikn | krøllalfa
[		firkantparentes | klammeparentes | parentes | starthakeparentes | startparentes | venstre hakeparentes
]	slutthakeparentes	firkantparentes | høgre hakeparentes | klammeparentes | parentes | slutthakeparentes | sluttparentes
{		klammeparentes | krøllparentes | parentes | startparentes | startsløyfeparentes | venstre krøllparentes
}	høgre krøllparentes	høgre krøllparentes | klammeparentes | krøllparentes | parentes | sluttparentes
¡	opp-ned utropsteikn	opp-ned utropsteikn | utropsteikn
¤	ukjend valuta	
¥		CNY | japanske yen | JPY | kinesiske yuan | yen
§	paragrafteikn	avsnittssteikn | del | paragraf | paragrafteikn | signum sectionis
¨		omlyd | tødlar | trema
«	venstre hermeteikn	hermeteikn | sitat start | sitatteikn | sjevron | venstre hermeteikn
¬		ikkje | negasjon
°	gradeteikn	alkoholinnhald | grader | gradeteikn | timar
²	heva total	andre | heva | heva total | kvadrat | opphøgd | to
³	heva tretal	heva | heva tretal | i tredje | kubikk | opphøgd i tredje | tre
´		aksent | akutt | høgreaksent | tonem | trykk
