# CLDR symbol names for no: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	utropstegn	utropstegn
#	nummertegn	emneknagg | firkant | hashtagg | nummertegn | skigard
$	dollar	dollar | MXN | peso | USD | valuta
%	prosent	prosent | prosenttegn
&	og-tegn	ampersand | et | et-tegn | og | og-tegn
'	rett apostrof	apostrof | enkelt rett anførselstegn | rett apostrof | sitattegn
)	høyre parentes	bueparentes | høyre parentes | parentes | sluttparentes
*	asterisk	asterisk | jokertegn | stjerne
+	plusstegn	addere | legge til | pluss | plusstegn
,	komma	komma
-	bindestrek-minus-tegn	bindestrek-minus-tegn
.	punktum	punktum
/	skråstrek	skråstrek | slash
:	kolon	kolon
;	semikolon	semikolon
<	er mindre enn	er mindre enn | mindre enn | starttagg | ulikhet
=	er lik	er lik | likhetstegn
>	er større enn	endetagg | er større enn | større enn | ulikhet
?	spørsmålstegn	spørsmål | spørsmålstegn
@	krøllalfa	alfakrøll | at-tegn | krøllalfa
[	venstre hakeparentes	firkantparentes | klammeparentes | parentes | startparentes | venstre hakeparentes
\	omvendt skråstrek	backslash | bakstrek | omvendt skråstrek
]	høyre hakeparentes	firkantparentes | høyre hakeparentes | klammeparentes | parentes | sluttparentes
^	circumfleks	aksent | circumfleks | tonem
_	understrek	understrek
`	gravis	aksent | gravis | tonem | trykk | venstreaksent
{	venstre krøllparentes	klammeparentes | krøllparentes | parentes | startparentes | venstre krøllparentes
|	loddrett strek	loddrett strek | strek
}	høyre krøllparentes	høyre krøllparentes | klammeparentes | krøllparentes | parentes | sluttparentes
~	tilde	tilde
¡	opp-ned utropstegn	opp-ned utropstegn | utropstegn
¢	cent	cent | valuta
£	pund	britiske pund | EGP | GBP | pund | valuta
¤	ukjent valuta	
¥	yen	CNY | japanske yen | JPY | kinesiske yuan | valuta | yen
§	paragraftegn	avsnittstegn | del | paragraf | paragraftegn | signum sectionis
¨	trema	omlyd | tødler | trema
©	opphavsrett	copyright | opphavsrett
«	venstre anførselstegn	anførselstegn | hermetegn | sitat start | sitattegn | sjevron | venstre anførselstegn
¬	negasjon	ikke | negasjon
®	registrert varemerke	r | registrert varemerke | varemerkesymbol
°	gradetegn	alkoholinnhold | grader | gradetegn | timer
±	pluss/minus	pluss/minus
²	hevet totall	hevet | hevet totall | i andre | kvadrat | opphøyd i andre | to
³	hevet tretall	hevet | hevet tretall | i tredje | kubikk | opphøyd i tredje | tre
´	akutt aksent	aksent | akutt | høyreaksent | tonem | trykk
µ	mikrotegn	gresk my | liten my | mikro | mikrotegn | milliondel | milliontedels | my
¶	avsnittstegn	avsnittstegn
·	midtstilt punkt	interpunkt | midtstilt punkt | punkt mellom ord | sentrert punkt
¹	hevet ettall	en | hevet | hevet ettall | i første | opphøyd i første
»	høyre anførselstegn	anførselstegn | hermetegn | høyre anførselstegn | sitat slutt | sitattegn | sjevron
¿	opp-ned spørsmålstegn	opp-ned spørsmålstegn | spørsmål | spørsmålstegn
×	gangetegn	gange | gangetegn | matematiske tegn | multiplikasjon | multiplikasjonstegn | multiplisere
÷	deletegn	dele | deletegn | dividere | divisjon | divisjonstegn | matematiske tegn
֏	armenske dram	
؋	afghanske afghani	
،	arabisk komma	arabisk komma | komma
؛	arabisk semikolon	arabisk semikolon | semikolon
؟	arabisk spørsmålstegn	arabisk spørsmålstegn | spørsmål | spørsmålstegn
৳	bangladeshiske taka	
฿	thailandske baht	
៛	kambodsjanske riel	
‐	bindestrek	bindestrek
–	tankestrek	bindestreker | en-dash | halvgefirt | tankestrek
—	lang tankestrek	bindestreker | em-dash | gefirt | lang tankestrek
―	vannrett strek	strek | vannrett strek
‘	enkelt krøllet venstre anførselstegn	enkelt krøllet venstre anførselstegn | sitattegn | smart anførselstegn | start sitat
’	enkelt krøllet høyre anførselstegn	apostrof | enkelt krøllet høyre anførselstegn | sitat slutt | sitattegn | smart anførselstegn | typografisk apostrof
‚	enkelt krøllet lavt venstre anførselstegn	enkelt krøllet lavt venstre anførselstegn | sitattegn | smart anførselstegn | start sitat
“	dobbelt krøllet venstre anførselstegn	dobbelt krøllet venstre anførselstegn | sitattegn | smart anførselstegn | start sitat
”	dobbelt krøllet høyre anførselstegn	dobbelt krøllet høyre anførselstegn | sitat slutt | sitattegn | smart anførselstegn
„	dobbelt krøllet lavt venstre anførselstegn	dobbelt krøllet lavt venstre anførselstegn | sitattegn | smart anførselstegn | start sitat
†	korstegn	kors | korstegn | latinsk kors
‡	dobbeltkorstegn	dobbelt kors | dobbeltkorstegn
•	punkttegn	prikk | punkt | punktliste | punkttegn
…	ellipse	ellipse | tre prikker | utelatelse
‧	stavelsesmerke	bindestrek | interpunkt | prikk | punkt | stavelsesmerke
‰	promille	promille | promilletegn
′	primtegn	primtegn
″	dobbelt primtegn	dobbelt primtegn
‴	trippelt primtegn	trippelt primtegn
‸	innsettingstegn	innsettingstegn
※	referansemerke	referansemerke
‼	dobbelt utropstegn	! | !! | bangbang | dobbelt utropstegn | tegn | tegnsetting | utropstegn
‽	interrobang	interrobang
‾	overstrek	overstrek
⁂	asterisme	asterisme | stjerner
⁄	skråstrek for brøk	skråstrek | skråstrek for brøk
⁉	utropstegn og spørsmålstegn	! | !? | ? | ‽ | interrobang | spørsmål | spørsmålstegn | tegn | tegnsetting | utrop | utropstegn | utropstegn og spørsmålstegn
⁻	hevet minustegn	hevet | hevet minustegn | ion | matematiske tegn | minus | negativ ladning
₡	costaricanske colón	
₢	cruzeiro	BRB | cruzeiro | valuta
₣	fransk franc	franc | fransk franc | valuta
₤	lire	lire | valuta
₥	mill	mill | tusendels valutaenhet | valuta
₦	nigerianske naira	
₧	spanske peseta	
₨	rupi	rupi | valuta
₩	won	KPW | KRW | valuta | won
₪	nye israelske shekler	
₫	vietnamesiske dong	
€	euro	EUR | euro | valuta
₭	laotiske kip	
₮	mongolske tugrik	
₰	tysk pfennig	pfennig | tysk pfennig | valuta
₱	peso	peso | PHP | valuta
₲	paraguayanske guarani	
₳	austral	ARA | austral | valuta
₴	ukrainske hryvnia	
₵	ghanesiske cedi	
₶	livre tournois	livre tournois | valuta
₷	spesmilo	spesmilo | valuta
₸	kasakhstanske tenge	
₹	indiske rupi	indiske rupi | INR | rupi | valuta
₺	tyrkiske lire	
₼	aserbajdsjanske manat	
₽	rubler	RUB | rubler | russiske rubler | valuta
₾	georgiske lari	
₿	bitcoin	bitcoin | BTC | kryptovaluta | valuta
℗	opphavsrett for lydopptak	copyright | lydopptak | opphavsrett for lydopptak
™	varemerke	tm | trademark | varemerke
ℹ	informasjon	i | info | informasjon
←	pil mot venstre	pil mot venstre | pil venstre | retning | venstre | venstrepil | vest
↑	pil oppover	nord | opp | oppover | oppoverpil | pil opp | pil oppover | retning
→	pil mot høyre	høyre | høyrepil | øst | pil høyre | pil mot høyre | retning
↓	pil nedover	ned | nedover | nedoverpil | pil ned | pil nedover | retning | sør
↔	pil venstre-høyre	pil | pil venstre-høyre
↕	pil opp og ned	pil | pil opp og ned
↖	pil opp-venstre	nordvest | pil | pil opp-venstre | retning
↗	pil opp-høyre	nordøst | pil | pil opp-høyre | retning
↘	pil ned-høyre	pil | pil ned-høyre | retning | sørøst
↙	pil ned-venstre	pil | pil ned-venstre | retning | sørvest
