# CLDR symbol names for nso: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
©	khopiraete	khopiraete
®	ngwadišitšwe	ngwadišitšwe
‼	maswao a mabedi a makalo	bangbang | leswao | makalo | maswao | maswao a mabedi a makalo
⁉	leswao la makalo le potšišo	leswao | leswao la makalo le potšišo | leswaopotšišo | makalo | maswaodikga | potšišo
™	leswao la kgwebo	leswao | leswao la kgwebo | leswaokgwebo | tm
ℹ	tshedimošo	i | tshedimošo
↔	lerungwana la ka go le letshadi go ya go le letona	lerungwana | lerungwana la ka go le letshadi go ya go le letona
↕	lerungwana la godimo le tlase	lerungwana | lerungwana la godimo le tlase
↖	lerungwana la godimo ka go le letshadi	kopanyamathoko | leboabodikela | lerungwana | lerungwana la godimo ka go le letshadi | tlhahlo
↗	lerungwana la godimo ka gojeng	intercardinal | leboabohlabela | lerungwana | lerungwana la godimo ka gojeng | tlhahlo
↘	lerungwana la tlase ka gojeng	borwabohlabela | kopanyamathoko | lerungwana | lerungwana la tlase ka gojeng | tlhahlo
↙	lerungwana la tlase ka go le letshadi	borwabodikela | intercardinal | lerungwana | lerungwana la tlase ka go le letshadi | tlhahlo
↩	lerungwana la godimo le eya ka go le letshadi	lerungwana | lerungwana la godimo le eya ka go le letshadi
↪	lerungwana la ka go le letshadi le eya ka go le letona	lerungwana | lerungwana la ka go le letshadi le eya ka go le letona
⌨	khiipoto	khiipoto | khomphutha
⏏	konope ya go ntšha	konope ya go ntšha | ntšha
⏭	koša e latelago	karolo e latelago | khutlotharo | koša e latelago | lerungwana
⏮	konope ya koša ya go feta	dikarolo tše di fetilego | khutlotharo | konope ya koša ya go feta | koša e fetilego | lerungwana
⏯	konope ya go emiša goba go bapal	bapala | emišanyana | khutlotharo | konope ya go emiša goba go bapal | lerungwana | letona
⏱	nako ya go ema	nako | nako ya go ema
⏲	go lekanyetša nako	ema | go lekanyetša nako | nako
⏸	konope ya go emišanyana	emiša | konope ya go emišanyana | para | pedi | tsepama
⏹	konope ya go emiša	emiša | konope ya go emiša | sekwere
⏺	konope ya go rekhotha	konope ya go rekhotha | nkgokolo | rekhotha
Ⓜ	nkgokolo ya M	m | nkgokolo | nkgokolo ya M
▪	khutlonne e nyenyane e ntsho	khutlonne | khutlonne e nyenyane e ntsho | tšeomethri
▫	khutlonne e nyenyane e tšhweu	khutlonne | khutlonne e nyenyane e tšhweu | tšeomethri
▶	konope ya go bapala	bapala | khutlotharo | konope ya go bapala | lerungwana | letona
◀	konope ya go boetša morago	khutlotharo | konope ya go boetša morago | lerungwana | letshadi | morago
◻	bogare bja ngwedi o motšhweu	bogare bja ngwedi o motšhweu | khutlonne | tšeomethri
◼	bogare bja ngwedi o moso	bogare bja ngwedi o moso | khutlonne | tšeomethri
☀	letšatši	go letšatši | letšatši | mahlasedi | phadima
☁	maru	boso | maru
☂	samporene	diaparo | pula | samporene
☃	monna wa lehlwa	lehlwa | monna wa lehlwa | tonya
☄	khomete	khomete | sekgoba
☎	founo	founo | mogala
☑	lepokisi la palote le kgethilwego	hlola | lepokisi | lepokisi la palote le kgethilwego | palote
☘	šemoroko	semela | šemoroko
☝	monwana wa bone o šupile godimo	gare | godimo | monwana | monwana wa bone o šupile godimo | seatla | šupa
☠	marapo a hlogo le marapo a putlaganego	kgokgo | lehu | marapo | marapo a hlogo le marapo a putlaganego | sefahlego | sepoko
☢	radioekthibi	leswao | radioekthibi | terefoile
☣	kotsitlhagong	kotsitlhagong | leswao
☦	sefapano sa othotokse	bodumedi | Bokriste | sefapano | sefapano sa othotokse
☪	naledi e khutlohlano	bodumedi | islamo | Moselemo | naledi e khutlohlano
☮	leswao la khutšo	khutšo | leswao la khutšo
☯	yin yang	bodumedi | tao | taoist | yang | yin
☸	leotwana la dharma	Bhuda | bodumedi | dharma | leotwana | leotwana la dharma
☹	sefahlego se se šošobanego	sefahlego | sefahlego se se šošobanego | šošobane
☺	sefahlego se myemyelago	iketla | ipeilego | myemyela | sefahlego | sefahlego se myemyelago
♀	leswao la mosadi	leswao la mosadi | mosadi
♂	leswao la monna	leswao la monna | monna
♠	sutu ya sepeiti	karata | papadi | sutu ya sepeiti
♣	sutu ya sehlopha	karata | papadi | sutu ya sehlopha
♥	pelo ya suit	karata | papadi | pelo ya suit
♦	taemane ya suti	karata | papadi | taemane ya suti
♨	lehlabula la go fiša	fiša | lehlabula | lehlabula la go fiša | phišo
♻	leswao la go hwetša gape	hwetša gape | leswao la go hwetša gape
⚒	hamola le peke	hamola | hamola le peke | peke | tholosi
⚔	ditšhoša tše di dirilego sefapano	ditšhoša | ditšhoša tše di dirilego sefapano | sebetša | sefapano
⚕	leswao la kalafo	bašomi | dihlare | leswao la kalafo | modimo wa dihlare
⚖	go lekanya boleng	boima | dikala | go lekanya boleng | Libra | tekatekanyo | tholosi | toka | zodiac
⚗	tshwarišano	khemistri | tholosi | tshwarišano
⚙	kere	kere | sedirišwa
⚛	leswao la athomo	athomo | ila modimo | leswao la athomo
⚜	fluer-de-lis	fluer-de-lis
⚠	temošo	temošo
⚰	lepokisi	lehu | lepokisi
⚱	moeta wa lehu	lehu | moeta | moeta wa lehu | molora | poloko
⛈	maru a magadima le pula	legadima | maru | maru a magadima le pula | pula
⛏	peke	maene | peke | tholosi
⛑	helmete ya bašomi ba thušo	helmete | helmete ya bašomi ba thušo | kefa | sefahlego | sefapano | thušo
⛓	ditšhaene	ditšhaene | tšhaene
⛩	aletare ya shinto	aletare ya shinto | bodumedi | shinto | shrine
⛰	thaba	thaba
⛱	samporene mo fase	letšatši | pula | samporela | samporene mo fase
⛴	sekepe se segolo	monamedi | sekepe se segolo | sepeke
⛷	sekhaya	lehlwa | sekhae | sekhaya
⛸	go bapala go sesa aeseng	go bapala go sesa aeseng | ice | sesa
⛹	motho o bethantšha polo	motho o bethantšha polo | polo
✂	sekero	go sega | sekero | tholosi
✈	sefofane	difofane | sefofane
✉	omfolopo	imeile | lengwalo | omfolopo
✌	seatla la go thopa	seatla | seatla la go thopa | thopa | v
✍	seatla le ngwalago	ngwala | seatla | seatla le ngwalago
✏	phensele	phensele
✒	nib e ntsho	nib | nib e ntsho | pene
✔	leswao le legolo la go kgetha	lekola | leswao | leswao le legolo la go kgetha
✖	leswao e legolo la go atiša x	atiša | go atiša | khansela | leswao e legolo la go atiša x | x
✝	sefapano sa latin	bodumedi | Bokriste | sefapano | sefapano sa latin
✡	naledi ya Tafita	Bajuda | bodumedi | Mojuda | naledi | naledi ya Tafita | Tafita
✳	naletšana ya marungwana a seswai	naletšana | naletšana ya marungwana a seswai
✴	naledi ya khutloseswai	naledi | naledi ya khutloseswai
❄	lehlwa le legolo	lehlwa | lehlwa le legolo | tonya
❇	benya	benya
❣	go makala ga pelo e kgolo	go makala ga pelo e kgolo | kgatholo | leswao | makalo
❤	pelo e khubedu	pelo | pelo e khubedu
➡	lerungwana la gojeng	bohlabela | cardinal | lerungwana | lerungwana la gojeng | tšhupo
⤴	lerungwana la ka go le letona le eya godimo	lerungwana | lerungwana la ka go le letona le eya godimo
⤵	lerungwana la ka go le letona lekgopamela tlase	lerungwana | lerungwana la ka go le letona lekgopamela tlase | tlase
⬅	lerungwana la ka go le letshadi	bodikela | cardinal | lerungwana | lerungwana la ka go le letshadi | tlhahlo
⬆	lerungwana la godimo	cardinal | leboa | lerungwana | lerungwana la godimo | tlhahlo
⬇	lerungwana la tlase	cardinal | leboa | lerungwana | lerungwana la tlase | tlase | tlhahlo
〰	mothalo wa go dikologa	kgopame | maswaodikga | mothalo wa go dikologa | thaladi
〽	leswao la karolo la go fetola	karolo | leswao | leswao la karolo la go fetola
㊗	konope ya Sejapane ya "tebogišo"	"tebogišo" | konope ya Sejapane ya "tebogišo" | leswao | Sejapane | 祝
㊙	konope ya Sejapane ya "sephiri"	"sephiri" | konope ya Sejapane ya "sephiri" | leswao | Sejapane | 秘
🅰	konope ya A (mohuta wa madi)	a | konope ya A (mohuta wa madi) | mohuta wa madi
🅱	konope ya B (mohuta wa madi)	b | konope ya B (mohuta wa madi) | mohuta wa madi
🅾	konope ya O (mohuta wa madi)	konope ya O (mohuta wa madi) | mohuta wa madi | o
🅿	konope ya P	go phaka koloi | konope ya P
🈂	konope ya Sejapane ya "tefišo ya tirelo"	"tefišo ya tirelo" | katakana | konope ya Sejapane ya "tefišo ya tirelo" | Sejapane | サ
🈷	konope ya Sejapane ya "tefišo ya kgwedi ka kgwedi"	"tefišo ya kgwedi ka kgwedi" | konope ya Sejapane ya "tefišo ya kgwedi ka kgwedi" | leswao | Sejapane | 月
🌡	themomethara	boso | themomethara
🌤	letšatši ka morago ga leru le lenyenyane	letšatši | letšatši ka morago ga leru le lenyenyane | maru
🌥	letšatši ka morago ga leru le legolo	letšatši | letšatši ka morago ga leru le legolo | maru
🌦	letšatši ka morago ga leru la pula	leru | letšatši | letšatši ka morago ga leru la pula | pula
🌧	maru a nago le pula	leru | maru a nago le pula | pula
🌨	maru a nago le lehlwa	lehlwa | maru | maru a nago le lehlwa | tonya
🌩	maru a nago le magadima	legadima | maru | maru a nago le magadima
🌪	thonato	maru | sesasedi | thonato
🌫	kgodi	kgodi | maru
🌬	bokapele bja moya	bokapele bja moya | maru | moya | phefo | sefahlego
🌶	perepere ya go baba	baba | perepere | perepere ya go baba
🍽	thipa le foroko ka poleiteng	foroko | go apea | poleite | thipa | thipa le foroko ka poleiteng
🎖	metale wa mašole	mašole | metale | metale wa mašole | mokete
🎗	ribone ya kgopotšo	kgopotšo | moketeko | ribone | ribone ya kgopotšo
🎙	maekrofouno wa ka setutiong	maeke | maekrofouno | maekrofouno wa ka setutiong | mmino | setutio
🎚	konope ya selaeta	boemo | konope ya selaeta | mmino | selaeta
🎛	dikonope tša go laola	dikonope | dikonope tša go laola | laola | mmino
🎞	diforeime tša filimi	diforeime tša filimi | filimi | foreime | mobi | sinema
🎟	dithekete tša go tsena	dithekete tša go tsena | go tsena | thekete
🏋	motho o kuka boima	boima | kuka | motho o kuka boima
🏌	motho o bapala kolofo	kolofo | motho o bapala kolofo | polo
🏍	sekuta	lebelo | sekuta
🏎	koloi ya mabelo	kitima | koloi | koloi ya mabelo
🏔	thaba e apereditšwego ke lehlwa	lehlwa | thaba | thaba e apereditšwego ke lehlwa | tonya
🏕	go kampa	go kampa
🏖	lebopo le samporene	lebopo le samporene | lewatle | samporene
🏗	go aga moago	go aga | go aga moago
🏘	dintlo	dintlo
🏙	ponagalo ya toropo	ponagalo ya toropo | toropo
🏚	ntlo e hlokomologilwego	hlokomologa | ntlo | ntlo e hlokomologilwego
🏛	moago wa kgale	kgale | moago wa kgale
🏜	leganata	leganata
🏝	sehlakahlakaganata	leganata | sehlakahlaka | sehlakahlakaganata
🏞	serapa sa bosetšhaba	serapa | serapa sa bosetšhaba
🏟	lepatlelo	lepatlelo
🏳	fologa e tšhweu	fologa e tšhweu | go emiša seatla
🏵	rosete	rosete | semela
🏷	leipole	leipole
🐿	legotlonyana	legotlonyana
👁	leihlo	leihlo | mmele
📽	protšekta ya filimi	bidio | cinema | filimi | mobi | protšekta | protšekta ya filimi
🕉	om	bodumedi | Hindu | om
🕊	leeba	fofa | khutšo | leeba | nonyana
🕯	kerese	kerese | lebone
🕰	nako e botse	nako | nako e botse
🕳	molete	molete
🕴	monna o apere sutu ya mošomo wa ema	kgwebo | monna | monna o apere sutu ya mošomo wa ema | sutu
🕵	lephodisa	khukhunetša | lephodisa | tlhodi
