# CLDR symbol names for om: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
©	koppii raayitii	mirga wabii | mirga waraabbii
®	galmaa’eera	galmaa’e
‼	mallattoo raajjeffannoo dachaa	mallattoo | mallattoo raajeffannoo dachaa | raajeffannoo | sirna tuqaalee
⁉	mallattoo rajjeffannoo gaaffii	gaaffii | mallattoo | mallattoo raajeffanno-gaaffii | raajeffannoo | sirna tuqaalee
₡	Koloonii Kostaa Rikaa	
™	mallattoo dandalaa	mallattoo | mallattoo daldalaa | tm
ℹ	odeeffannoo	i | odeeffannoo
↔	xiyya bitaa-mirgaa	xiyya | xiyyaa bita-mirgaa
↕	xiyya olee-gadii	xiyya | xiyya gubbaa-gajjallaa
↖	xiyya olee-bitaa	kaaba dhihaa | kallattii | xiyya | xiyya ol-bitaa
↗	xiyya olee-mirgaa	kaaba bahaa | kallattii | xiyya | xiyya ol gara mirgaa
↘	xiyya gadee-mirgaa	kallattii | kibba bahaa | xiyya | xiyya gadi-mirgaa
↙	xiyya gadee-bitaa	kallattii | kibba dhihaa | kibba lixaa | xiyya | xiyya gadi-bitaa
↩	xiyya mirgaa bitatti jallatu	xiyya | xiyya mirgaa gara bitaatti naanna’u
↪	xiyya bitaa mirgatti jallatu	xiyya | xiyyaa bitaa gara mirgaatti naanna’u
⌨	Kiiboordii	kiiboordii | kompitara
⏏	qabduu buqqisuu	
⏭	qabduu tiraakii itti aanu	kutaa itti aanu | qabduu weelluu itti aanu | rog-sadee | weelluu itti aanu | xiyya
⏮	qabduu tiraakii dhumaa	kutaa darbe | qabduu weelluu dhumaa | rog-sadee | weelluu darbe | xiyya
⏯	qabduu taphachuu yookiin dhaabuu	dhaabuu | mirga | qabduu taphachiisu ykn dhaabu | rog-sadee | taphachiisuu | xiyya
⏱	sa’aatii dhaabbii	qabduu sa’aatii | sa’aatii | yeroo
⏲	sa’aatii lakkooftuu	qabduu yeroo | sa’aatii | sa’aatii qabduu yeroo
⏸	qabduu yeroo dhaabii	dachaa | dhaabi | qabduu ittiin dhaaban
⏹	qabduu dhaabii	dhaabuu | qabduu dhaabuu | rog-arfee
⏺	qabduu waraabbii	geengoo | qabduu waraabbii | waraabuu
Ⓜ	M geenga’e	geengoo | m | M itti marfame
▪	iskuweerii xiqqoo gurraacha	ji’oomeetirii | rog-arfee | rog-arfee gurraacha xiqqaa
▫	iskuweerii xiqqoo adii	iskuweerii | ji’oomeetirii | rog-arfee | rog-arfee adii xiqqaa
▶	qabduu taphadhuu	mirga | qabduu ittiin taphachiifamu | rog-sadee | taphachiisuu | xiyya
◀	qabduu duubatti deebisuu	bitaa | duuba deebisuu | qabduu duubatti deebisu | rog-sadee | xiyya
◻	iskuweerii giddugaleessa adii	ji’oomeetirii | rog-arfee | rog-arfee adii giddugaleessa
◼	iskuweerii giddugaleessa gurraacha	ji’oomeetirii | rog-arfee | rog-arfee gurraacha giddugaleessa
◿	rogsadee mirgaa gadi aanaa	
☀	aduu	aduu | biiftuu | guyyaa aduu | haala qilleensaa | hawaa | ifa | ifaa
☁	duumessa	duumessa | haala qilleensaa
☂	dibaabee	bokkaa | dibaabee | rooba
☃	nama cabbii	cabbii | diilalla | nam-cabbii
☄	koomeetii	hawaa | koomeetii
☎	bilbila	bilbila | teleefoona
☑	sanduuqa mirkaneessaa mirkanaa’e	filannoo | mallattoo itti godhuu | raawwatameera | saanduqa | sakatta’ameera | sakatta’uu
☘	siddisa	aayilaandii | biqiltuu | shaamrook
☝	akeektuu ol akeeku	harka | kana | ol | quba | quba akeektuu | quba itti qabuu
