# CLDR symbol names for or: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	ବିସ୍ମୟ ଚିହ୍ନ	ଚିତ୍କାର | ବାଙ୍ଗ | ବିସ୍ମୟ ଚିହ୍ନ | ବିସ୍ମୟ ବିନ୍ଦୁ
#	ହ୍ୟାସ୍ ସାଇନ୍	lb | ପାଉଣ୍ତ | ସଂଖ୍ୟା | ହ୍ୟାସଟ୍ୟାଗ୍ | ହ୍ୟାସ୍ | ହ୍ୟାସ୍ ଚିହ୍ନ | ହ୍ୟାସ୍ ସାଇନ୍
$	ଡଲାର	peso | USD | ଟଙ୍କା | ଡଲାର
%	ଶତକଡା	ପ୍ରତିଶତ | ଶତକଡା
&	ଆମ୍ପର୍ସାଣ୍ଡ୍	ଆମ୍ପର୍ସାଣ୍ଡ୍ | ଇଟ୍ | ଏବଂ
'	ଟାଇପ୍ ରାଇଟର୍ ଆପୋଷ୍ଟ୍ରୋଫ୍	ଉଦ୍ଧୃତ | ଏକକ ଉଦ୍ଧୃତି | ଟାଇପ୍ ରାଇଟର୍ ଆପୋଷ୍ଟ୍ରୋଫ୍ | ପ୍ରେରିତ
)	ବନ୍ଦ ବନ୍ଧନୀଗୁଡିକ	ଗୋଲାକାର ବ୍ରାକେଟ୍ | ପାରେନ୍ | ପାରେନ୍ସ | ବନ୍ଦ ବନ୍ଧନୀଗୁଡିକ | ବନ୍ଧନୀ | ବ୍ରାକେଟ୍
*	ନକ୍ଷତ୍ର	ତାରା | ନକ୍ଷତ୍ର | ୱାଇଲ୍ଡକାର୍ଡ
+	ପ୍ଲସ୍ ସାଇନ୍	ପ୍ଲସ୍ | ପ୍ଲସ୍ ସାଇନ୍ | ଯୁକ୍ତ
,	କମା	କମା
-	ହାଇଫେନ୍-ବିଯୁକ୍ତ	ଡ୍ୟାସ୍ | ବିଯୁକ୍ତ | ହାଇଫେନ୍ | ହାଇଫେନ୍-ବିଯୁକ୍ତ
.	ଅବଧି	ଅବଧି | ପୂର୍ଣ୍ଣବିରାମ | ବିନ୍ଦୁ
/	ସ୍ଲାସ୍	ଅବ୍ଲିୟୁ | ଭାରିଗୁଲେ | ଷ୍ଟ୍ରୋକ୍ | ସଲିଡସ୍ | ସ୍ଲାସ୍ | ହ୍ୟାକ୍
:	କୋଲନ୍	କୋଲନ୍
;	ସେମିକଲନ୍	ସେମି-କଲନ୍ | ସେମିକଲନ୍
<	ଅପେକ୍ଷା-କମ୍	ଅପେକ୍ଷା-କମ୍ | ଟ୍ୟାଗ୍ | ଟ୍ୟାଗ୍ ଖୋଲ
=	ସମାନ ଚିହ୍ନ	ସମାନ | ସମାନ ଚିହ୍ନ
>	ବୃହତ୍ତର ଚିହ୍ନ	ଟ୍ୟାଗ୍ | ଠାରୁ ବଡ | ବନ୍ଦ ଟ୍ୟାଗ୍ | ବୃହତ୍ତର ଚିହ୍ନ
?	ପ୍ରଶ୍ନବାଚକ ଚିହ୍	ପ୍ରଶ୍ନ | ପ୍ରଶ୍ନବାଚକ ଚିହ୍
@	ସାଇନ୍ ଇନ୍	ଆମପ୍ରେସ୍ଟ | ଆରୋବା | ଆରୋବେସ୍ | ଚିହ୍ନରେ | ବାଣିଜ୍ୟିକ | ଷ୍ଟ୍ୟୁଡେଲ୍ | ସାଇନ୍ ଇନ୍
[	ଖୋଲା ବର୍ଗ ବ୍ରାକେଟ୍	କ୍ରୋଚେଟ୍ | ଖୋଲା ବର୍ଗ ବ୍ରାକେଟ୍ | ବର୍ଗ ବ୍ରାକେଟ୍ | ବ୍ରାକେଟ୍
\	ବ୍ୟାକସ୍ଲାସ୍	ବ୍ୟାକସ୍ଲାସ୍ | ରିଜର୍ଭ୍ ସଲିଡସ୍ | ୱାହକ୍
]	ବନ୍ଦ ବର୍ଗ ବ୍ରାକେଟ୍	କ୍ରୋଚେଟ୍ | ବନ୍ଦ ବର୍ଗ ବ୍ରାକେଟ୍ | ବର୍ଗ ବ୍ରାକେଟ୍ | ବ୍ରାକେଟ୍
^	ସର୍କଫ୍ଲେକ୍ସ ଏସେଣ୍ଟ	ଅକ୍ସରେ ଚିହ୍ନ | ଉଚ୍ଚାରଣ | କ୍ୟାରେଟ୍ | ଚିଭୋର୍ନ୍ | ଟୋପି | ନିୟନ୍ତ୍ରଣ | ୱେଜ୍ | ଶକ୍ତି | ସର୍କଫ୍ଲେକ୍ସ | ସର୍କଫ୍ଲେକ୍ସ ଏସେଣ୍ଟ | ସୂଚକ
_	ନିମ୍ନ ରେଖା	ଅଣ୍ଡରଡ୍ୟାସ୍ | ଅଣ୍ଡରଲାଇନ୍ | ଡ୍ୟାସ୍ | ନିମ୍ନ ଡ୍ୟାସ୍ | ନିମ୍ନ ରେଖା | ରେଖା
`	ଗ୍ରୋଭ୍ ଏସେଣ୍ଟ	ଏସେଣ୍ଟ | ଗ୍ରୋଭ୍ | ଟୋନ୍
{	ଖୋଲା କୁଞ୍ଚିତ ବ୍ରାକେଟ୍	କୁଞ୍ଚିତ ବନ୍ଧନୀ | କୁଞ୍ଚିତ ବ୍ରାକେଟ୍ | ଖୋଲା କୁଞ୍ଚିତ ବ୍ରାକେଟ୍ | ଗ୍ୟୁୱିଙ୍ଗ | ବନ୍ଧନୀ | ବ୍ରାକେଟ୍
|	ଭୂଲମ୍ବ ରେଖା	ଦଣ୍ଡିକା | ନଳୀ | ପାଇକ | ଭିବାର୍ | ଭୂଲମ୍ବ ଦଣ୍ଡ | ଭୂଲମ୍ବ ରେଖା | ରେଖା | ଶେଫର୍ ଷ୍ଟ୍ରୋକ୍ | ଷ୍ଟିକ୍ | ଷ୍ଟ୍ରୋକ୍
}	ବନ୍ଦ କୁଞ୍ଚିତ ବ୍ରାକେଟ୍	କୁଞ୍ଚିତ ବନ୍ଧନୀ | କୁଞ୍ଚିତ ବ୍ରାକେଟ୍ | ଗ୍ୟୁଲୱିଙ୍ଗ | ବନ୍ଦ କୁଞ୍ଚିତ ବ୍ରାକେଟ୍ | ବନ୍ଧନୀ | ବ୍ରାକେଟ୍
~	ଟାଇଲ୍ଡ	ଟାଇଲ୍ଡ
¡	ଓଲଟା ବିସ୍ମୟ ଚିହ୍ନ	ଓଲଟା | ଓଲଟା ବିସ୍ମୟ ଚିହ୍ନ | ଚିତ୍କାର | ବାଙ୍ଗ | ବିସ୍ମୟ ଚିହ୍ନ | ବିସ୍ମୟ ବିନ୍ଦୁ
¢	ସେଣ୍ଟ	ସେଣ୍ଟ
£	ପାଉଣ୍ଡ୍	EGP | GBP | ପାଉଣ୍ଡ୍ | ମୁଦ୍ରା
¤	ଅଜଣା ମୁଦ୍ରା	
¥	ୟେନ	CNY | JPY | ୟୁଆନ | ୟେନ
§	ବିଭାଗ	ଅନୁଚ୍ଛେଦ | ଅଂଶ | ବିଭାଗ | ସିଲକ୍ରାଉ
¨	ଡାଏରେସିସ୍	tréma | ଅମଲେଟ୍ୟୁ | ଡାଏରେସିସ୍
©	କପିରାଇଟ୍‌	c | କପିରାଇଟ୍‌
«	ବାମ ଗାଇଲମେଟ୍	ଉଦ୍ଦୃତି | କେରେଟ୍ସ | କୋଣ | ଚେଭ୍ରଓନ୍ | ବନ୍ଧନୀଗୁଡିକ | ବାମ | ବାମ ଗାଇଲମେଟ୍ | ବାମ ଶୀର୍ଷଧାର
¬	ଅବନତି	ଅବନତି | ନୁହେଁ
®	ପଞ୍ଜିକୃତ	r | ପଞ୍ଜିକୃତ
°	ଡିଗ୍ରୀ	ଘଣ୍ଟା | ଡିଗ୍ରୀ | ପ୍ରମାଣ
±	ପ୍ଲସ୍-ବିଯୁକ୍ତ	ପ୍ଲସ୍-ବିଯୁକ୍ତ
²	ସୁପରସ୍କ୍ରିପ୍ଟ ଦୁଇ	ଦୁଇ | ବର୍ଗ | ସୁପରସ୍କ୍ରିପ୍ଟ
³	ସୁପରସ୍କ୍ରିପ୍ଟ ତିନି	ଘନ | ତିନି | ସୁପରସ୍କ୍ରିପ୍ଟ
´	ଏକ୍ୟୁଟ୍ ଏସେଣ୍ଟ	ଏକ୍ୟୁଟ୍ | ଏସେଣ୍ଟ | ଟୋନ୍
µ	ମାଇକ୍ରୋ ଚିହ୍ନ	ମାଇକ୍ରୋ ଚିହ୍ନ | ମାପ
¶	ଅନୁଚ୍ଛେଦ ଚିହ୍ନ	ଅନୁଚ୍ଛେଦ | ଅନୁଚ୍ଛେଦ ଚିହ୍ନ | ଆଲିନା | ପାରାଫ୍ | ପିଲକ୍ରୋ
·	ମଧ୍ୟମ ବିନ୍ଦୁ	ଇଣ୍ଟରପଙ୍କ୍ଟ | ବିନ୍ଦୁ | ମଧ୍ୟ | ମଧ୍ୟବିନ୍ଦୁ | ମଧ୍ୟମ ବିନ୍ଦୁ
¹	ସୁପରସ୍କ୍ରିପ୍ଟ ଏକ	ଏକ | ସୁପରସ୍କ୍ରିପ୍ଟ
»	ଡାହାଣ ଶୀର୍ଷଧାର	ଉଦ୍ଦୃତି | କେରେଟ୍ସ | କୋଣ | ଚେଭ୍ରଓନ୍ | ଡାହାଣ | ଡାହାଣ ଶୀର୍ଷଧାର | ବନ୍ଧନୀଗୁଡିକ
¿	ଓଲଟା ପ୍ରଶ୍ନ ଚିହ୍ନ	ଓଲଟା | ଓଲଟା ପ୍ରଶ୍ନ ଚିହ୍ନ | ପ୍ରଶ୍ନ | ପ୍ରଶ୍ନ ଚିହ୍ନ
×	ଗୁଣନ ଚିହ୍ନ	ଗୁଣନ | ଗୁଣନ କରିବା | ଗୁଣନ ଚିହ୍ନ | ଥର
÷	ହରଣ ଚିହ୍ନ	ଅବେଲସ୍ | ହରଣ | ହରଣ କରିବା | ହରଣ ଚିହ୍ନ
֏	ଅର୍ମେନୀୟ ଡ୍ରାମ୍	
؋	ଆଫଗାନ ଆଫଗାନି	
