# CLDR symbol names for pa_Arab: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
©	حقِ اشاعت	حقِ اشاعت
®	اندراج شُدہ	اندراج شُدہ
‼	دوپرا فجائی نشان	چیخ و پکار | دوپرا فجائی نشان | رموز اوقاف | زور دار دھماکہ | نشان لانا
⁉	فجائیہ سوالیہ نشان	چیخ و پکار | رموز اوقاف | سوال | سوالیہ اتے فجائی علامت دی اشتراکی علامت | فجائیہ سوالیہ نشان | نشان لانا
™	تجارت دا نشان	تجارت دا نشان | نشان تجارت | نشانِ تجارت | نشان لانا
ℹ	معلومات	i | معلومات
↔	کھبا-سجا تیر	تیر | کھبا-سجا تیر
↕	اُوتلا-ہیٹھلا تیر	اُوتلا-ہیٹھلا تیر | تیر
↖	اُوتلا-کھبا تیر	انٹر کارڈینل | اُوتلا-کھبا تیر | تیر | سمت | شمال مغرب
↗	اُوتلا-سجا تیر	انٹر کارڈینل | اُوتلا-سجا تیر | تیر | سمت | شمال مشرق
↘	ہیٹھلا-سجا تیر	انٹر کارڈینل | تیر | جنوب مشرق | سمت | ہیٹھلا-سجا تیر
↙	ہیٹھلا-کھبا تیر	انٹر کارڈینل | تیر | جنوب مغرب | سمت | ہیٹھلا-کھبا تیر
↩	سجا تیر کھبے مڑدیاں ہوئیاں	تیر | سجا تیر کھبے مڑدیاں ہوئیاں
↪	کھبا تیر سجے مڑدیاں ہوئیاں	تیر | کھبا تیر سجے مڑدیاں ہوئیاں
⌨	کلیدی تختہ	کلیدی تختہ | کمپیوٹر
⏏	باہر کڈن دا بٹن	باہر کڈن دا بٹن | باہر کڈنا
⏭	اگلے راہ دا بٹن	اگلا راہ | اگلا منظر | اگلے راہ دا بٹن | تیر | مثلث
⏮	آخری ٹریک دا بٹن	آخری ٹریک دا بٹن | پچھلا راہ | پچھلا منظر | تیر | مثلث
⏯	کھیڈن یا توقف دا بٹن	تیر | رکنا | سجا | کھیڈ | کھیڈن یا توقف دا بٹن | مثلث
⏱	سٹاپ واچ	سٹاپ واچ | گھڑی
⏲	وقت پیما گھڑی	ٹائمر | گھڑی | وقت پیما گھڑی
⏸	توقف دا بٹن	توقف دا بٹن | دُگنا | رکنا | سیخ | عمودی
⏹	روکن دا بٹن	روکن دا بٹن | روکنا | مربع
⏺	ریکارڈ کرن دا بٹن	دائرہ | ریکارڈ کرن دا بٹن | قلمبند کرنا
Ⓜ	دائرہ شُدہ M	m | دائرہ | دائرہ شُدہ M
▪	کالا نیکّا مربع	جیومیٹری دے متعلق | کالا نیکّا مربع | مربع
▫	چِیٹا نیکّا مربع	جیومیٹری دے متعلق | چِیٹا نیکّا مربع | مربع
▶	کھیڈ دا بٹن	تیر | سجا | کھیڈ | کھیڈ دا بٹن | مثلث
◀	پچھے کرن دا بٹن	اُلٹ | پچھے کرن دا بٹن | تیر | کھبا | مثلث
◻	چِیٹا درمیانہ مربع	جیومیٹری دے متعلق | چِیٹا درمیانہ مربع | مربع
◼	کالا درمیانہ مربع	جیومیٹری دے متعلق | کالا درمیانہ مربع | مربع
☀	سورج	روشن | سورج | شعاعواں
☁	بدل	بدل | موسم
☂	چھتری	چھتری | کپڑے | مینہ
☃	برفانی پُتلا	برف باری | برفانی پُتلا | ٹھنڈا
☄	دم دار تارہ	جگہ | دم دار تارہ
☎	ٹیلی فون	ٹیلی فون | فون
☑	پڑتال نال بیلٹ باکس	پڑتال کرنا | پڑتال نال بیلٹ باکس | ڈبہ | مخفی رائے دہی آلی پرچی
☘	چِیٹا لونگ	بوٹا | چِیٹا لونگ
☝	اوتے اشارہ کردی شہادت آلی اُنگل	اشارہ کرنا | اُنگل | اُوتے | اوتے اشارہ کردی شہادت آلی اُنگل | ضمینہ | ہتھ
☠	انتباہ دی علامت اتے کھوپڑی	انتباہ دی علامت | انتباہ دی علامت اتے کھوپڑی | دی شکل | دیو | کھوپڑی | موت
