# CLDR symbol names for pcm: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	Ẹksklaméshọn Mak	Bang | Ẹksklaméshọn | Ẹksklaméshọn Mak | Ẹksklaméshọn Pọint
#	Hásh Sain	Hash | Hásh Sain | Háshtag | lb | Nọ́mba | Paund
$	Dọ́la	Dọ́la | Mọní | Pẹ́so | USD
%	Pasẹnt	Pa Sẹnt | Pa-sẹnt | Pasẹnt
&	Ámpásand	Ámpásand | Ámpásand Na Dís Sain: & | An | Ẹt
'	Taipraítá Apọ́strọ́fi	Apọ́strọ́fi | Kwot | Síngúl Kwot | Taipraítá Apọ́strọ́fi
)	Klóz Brákẹt	Brákẹt | Klóz Brákẹt | Parẹ́n | Parẹ́ns | Parẹ́ntẹsis | Raúnd Brákẹt
*	Astẹ́risk	Astẹ́risk | Sta | Waíldkad
+	Plọ́s Sain	Ad | Plọs | Plọ́s Sain
,	Kọmá	Kọmá
-	Haífun-Mainọs	Dash | Haífun | Haífun-Mainọs | Kọmọt | Mainọs | Rimuv
.	Píriọd	Dọt | Fúl Stọp | Píriọd
/	Slash	Hit Sọ́mbọ́di ọ Sọ́mtin Vẹ́rí Had | Oblik | Slash | Sọ́lídus | Strok | Vẹ́giul | Wak
:	Kólọn	Kólọn
;	Sẹmíkólọn	Sẹmí-kólọn | Sẹmíkólọn
<	Smọ́l-pas	Ópún Tag | Smọ́l-pas | Tag
=	Íkwọl	Íkwọl | Íkwọ́ls To
>	Bíg-pas	Bíg-pas | Klóz Tag | Tag
?	Kwẹshọn Mak	Kwẹ́shọn | Kwẹshọn Mak
@	Át-sain	Ámpasat | Aróba | Aróbez | At Mak | At Sain | Át-sain | Kọmáshál At | Strúdẹl
[	Ópún Skweá Brákẹt	Brákẹt | Króchẹt | Ópún Skweá Brákẹt | Skweá Brákẹt
\	Bákslash	Bákslash | Hit Sọ́mbọ́di ọ Sọ́mtin Vẹ́rí Had | Rivas | Sọ́lídus | Wak
]	Klóz Skweá Brákẹt	Brákẹt | Klóz Skweá Brákẹt | Króchẹt | Skweá Brákẹt
^	Sẹ́kọ́mflẹks Áksẹnt	Áksẹnt | Hat | Kọntrol | Pọínta | Sẹ́kọ́mflẹks | Shẹ́vrọn | Wẹj
_	Ló Lain	Dash | Lain | Ló Dash | Ló Lain | Ọndadash | Ọndalain
`	Grév Áksẹnt	Áksẹnt | Grev | Grév Áksẹnt | Ton
{	Ópún Kọ́rlí Brákẹt	Brákẹt | Bres | Gọ́lwing | Kọ́rlí Brákẹt | Kọ́rlí Bres | Ópún Kọ́rlí Brákẹt
|	Lain Wé Dẹm Drọ́ Frọm Tọ́p To Bọtọm	Baa | Lain | Lain Wé Dẹm Drọ́ Frọm Tọ́p To Bọtọm | Paik | Shẹ́fá Strok | Strok | Vátíkál Baa | Vbaa
}	Klóz Kọ́rlí Brákẹt	Brákẹt | Bres | Gọ́lwing | Klóz Kọ́rlí Brákẹt | Kọ́rlí Brákẹt | Kọ́rlí Bres
~	Tíldẹ	Tíldẹ
¡	Ọ́psaíd-daún Ẹksklaméshọn Mak	Bang | Ẹksklaméshọn | Ẹksklaméshọn Mak | Ẹksklaméshọn Pọint | Ọ́psaíd-daun | Ọ́psaíd-daún Ẹksklaméshọn Mak
¢	Sẹnt	Sẹnt
£	Paund	EGP | GBP | Kọ́rẹ́nsi | Paund
¤	Mọní Wé Pípul Nọ́ No	
¥	Yẹn	CNY | JPY | Kọ́rẹ́nsi | Yẹn | Yuan
§	Sẹ́kshọn	Párágraf | Pat | Sẹ́kshọn | Sílkroo
¨	Dayẹ́rẹ́sis	Dayẹ́rẹ́sis | Trẹ́ma | Úmlaut
©	Kọ́pírait	c | Kọ́pírait
«	Gílmẹ́t Mak Wé De Pọínt Lẹft	Ángul | Brákẹt-dẹm | Gílmẹ́t Mak Wé De Pọínt Lẹft | Kárẹt-dẹm | Kwot | Lẹft | Shẹ́vrọn
¬	Ẹzáktlí Ópózit	Ẹzáktlí Ópózit | Ẹzáktlí Ópózít Ọf Sọ́mtin | Nọ́ Bi
®	Rẹ́jísta	r | Rẹ́jísta
°	Digrii	Áwa | Digrii | Pruv
±	Plọs-Maínọs	Plọs-Maínọs
²	Supaskrípt Tuu	Skwea | Supaskript | Supaskrípt Tuu | Tuu
³	Supaskrípt Tíri	Kiub | Supaskript | Supaskrípt Tíri | Tíri
´	Ákiút Áksẹnt	Ákiut | Ákiút Áksẹnt | Áksẹnt | Ton
µ	Maíkró Sain	Maíkró Sain | Mẹ́zhọ
¶	Párágráf Mak	Alínia | Páraf | Párágraf | Párágráf Mak | Pílkro
·	Mídúl Dọt	Dọt | Intapọnkt | Míddọt | Mídul | Mídúl Dọt
¹	Supaskrípt Wọn	Supaskript | Supaskrípt Wọn | Wọn
»	Gílmẹ́t Mak Wé De Pọínt Rait	Ángul | Brákẹt-dẹm | Gílmẹ́t Mak Wé De Pọínt Rait | Kárẹt-dẹm | Kwot | Rait | Shẹ́vrọn
¿	Ọ́psaíd-daún Kwẹ́shọn Mak	Kwẹ́shọn | Kwẹ́shọn Mak | Kwẹ́shọn Mak Wé Dé Ọ́psaíd-daun | Ọ́psaíd-daun | Ọ́psaíd-daún Kwẹ́shọn Mak
×	Mọltiplai Sain	Mọltiplai | Mọltiplai Sain | Taims
÷	Divaíd Sain	Divaid | Divaíd Sain | Divíshọn | Divíshọ́n Sain | Ọbẹ́lus
֏	Armẹ́niá Dram	
؋	Afgán Afgáni	
،	Arábík Kọmá	Arábik | Arábík Kọmá | Kọmá
؛	Arábík Sẹmíkólọn	Arábik | Arábík Sẹmíkólọn | Sẹmí-kólọn
؟	Arábík Kwẹ́shọn Mak	Arábik | Arábík Kwẹ́shọn Mak | Kwẹ́shọn | Kwẹ́shọn Mak
৳	Bangladẹ́sh Táka	
฿	Taílánd Baht	
៛	Kambódiá Riẹl	
‐	Haífun	Dash | Haífun
–	Ẹ́n Dash	Dash | Ẹ́n
—	Ẹ́m Dash	Dash | Ẹ́m
―	Horizóntál Baa	Baa | Dash | Horizóntál Baa | Lain
‘	Lẹ́ft Apọ́strọ́fi	Apọ́strọ́fi | Kwot | Lẹ́ft Apọ́strọ́fi | Síngúl Kwot | Smát Kwot
’	Raít Apọ́strọ́fi	Apọ́strọ́fi | Kwot | Raít Apọ́strọ́fi | Síngúl Kwot | Smát Kwot
