# CLDR symbol names for pl: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	wykrzyknik	wykrzyknąć | wykrzyknik | znak | znak wykrzyknika
#	kratka	hash | kratka | krzyżyk | numer | płotek
$	dolar	dolar | pieniądze | USD | waluta
%	procent	procent | znak procenta
&	et	et | i | znak and
'	apostrof prosty	apostrof | apostrof drukarski | apostrof prosty | cytat | pojedynczy apostrof
)	nawias zamykający	nawias | nawias końcowy | nawias okrągły | nawias zamykający
*	gwiazdka	gwiazdka | symbol gwiazdki | wieloznacznik
+	plus	dodawać | dodawanie | plus
,	przecinek	przecinek
-	łącznik-minus	łącznik | łącznik-minus | minus | myślnik | pauza
.	kropka	kropka | punkt | znak kropki
/	ukośnik	slash | solidus | ukośnik | ukośny | znak ukośny
:	dwukropek	dwukropek
;	średnik	średnik
<	mniejsze niż	mniej | mniej niż | mniejsze niż
=	równość	równość | znak równości
>	większe niż	więcej | więcej niż | większe niż
?	znak zapytania	pytajnik | pytanie | znak zapytania
@	znak małpy	małpa | symbol małpy | znak małpy
[	otwierający nawias kwadratowy	nawias | nawias kwadratowy | otwierający nawias kwadratowy
\	ukośnik wsteczny	backslash | ukośnik | ukośnik wsteczny
]	zamykający nawias kwadratowy	nawias | nawias kwadratowy | zamykający nawias kwadratowy
^	akcent przeciągły	akcent | akcent przeciągły | cyrkumfleks | daszek | znak diakrytyczny
_	znak podkreślenia	dolny myślnik | linia | podkreślenie | podkreślnik | znak podkreślenia
`	grawis	akcent | grawis | znak diakrytyczny
{	otwierający nawias klamrowy	nawias | nawias klamrowy | nawias otwierający | otwierający nawias klamrowy
|	kreska pionowa	kreska | kreska pionowa | linia pionowa | pipe
}	zamykający nawias klamrowy	nawias | nawias klamrowy | nawias zamykający | zamykający nawias klamrowy
~	tylda	fala | tylda | wężyk
¡	odwrócony wykrzyknik	odwrócony | wykrzyknik | znak wykrzyknika
¢	cent	cent
£	funt	funt | funt szterling | GBP | waluta
¤	nieznana waluta	
¥	jen	CNY | jen | JPY | juan | waluta
§	paragraf	artykuł | paragraf
¨	diereza	diereza | umlaut
©	znak praw autorskich	C | copyright | prawa autorskie | znak | znak praw autorskich
«	lewy cudzysłów ostrokątny	cudzysłów | daszki | lewy | lewy cudzysłów ostrokątny | nawias ostry | nawiasy | szewron
¬	negacja	negacja | zaprzeczenie
®	zarejestrowany znak towarowy	R | towarowy | zarejestrowany | zarejestrowany znak towarowy | Zarejestrowany znak towarowy
°	stopień	stopień | symbol stopnia
±	plus-minus	plus-minus
²	dwa w indeksie górnym	dwa | dwa w indeksie górnym | indeks górny | kwadrat
³	trzy w indeksie górnym	indeks górny | sześcian | trzy | trzy w indeksie górnym
´	akcent ostry	akcent | akcent ostry | akcent silny | akut | znak diakrytyczny
µ	znak mikro	miara | znak mikro
¶	znak akapitu	akapit | znak | znak akapitu
·	kropka środkowa	kropka | kropka środkowa | punkt | środek
¹	jeden w indeksie górnym	indeks górny | jeden | jeden w indeksie górnym
»	prawy cudzysłów ostrokątny	cudzysłów | daszki | nawias ostry | nawiasy | prawy | prawy cudzysłów ostrokątny | szewron
¿	odwrócony znak zapytania	odwrócony | odwrócony znak zapytania | pytajnik | znak zapytania
×	znak iloczynu	iloczyn | mnożenie | mnożyć | razy | znak iloczynu | znak mnożenia
÷	znak ilorazu	dzielenie | iloraz | podzielić | znak dzielenia | znak ilorazu
֏	dram armeński	
؋	afgani afgańskie	
،	przecinek arabski	arabski | przecinek
؛	średnik arabski	arabski | średnik
؟	arabski znak zapytania	arabski | arabski znak zapytania | pytajnik | znak zapytania
৳	taka bengalska	
฿	baht tajski	
៛	riel kambodżański	
‐	dywiz	dywiz | łącznik | myślnik
–	znak półpauzy	myślnik | półpauza | znak półpauzy
—	znak pauzy	myślnik | pauza | znak pauzy
―	pozioma kreska	kreska | linia | myślnik | pozioma kreska
‘	apostrof odwrócony	apostrof | apostrof odwrócony | cytat | lewy apostrof | pojedynczy apostrof
’	apostrof	apostrof | cytat | pojedynczy apostrof | prawy apostrof
‚	apostrof dolny	apostrof | apostrof dolny | cytat | prawy apostrof dolny
“	górny cudzysłów otwierający	cudzysłów | cytat | górny cudzysłów otwierający | lewy cudzysłów
”	górny cudzysłów zamykający	cudzysłów | cytat | górny cudzysłów zamykający | prawy cudzysłów
„	dolny cudzysłów otwierający	cudzysłów | cytat | dolny cudzysłów | dolny cudzysłów otwierający | dolny prawy cudzysłów | prawy cudzysłów
†	znak sztyletu	crux philologorum | obelisk | obelos | obelus | sztylet | znak sztyletu
