# CLDR symbol names for ps: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	ویلو نښه	بنګ | ویاړ | ویاړ ټکی | ویلو نښه
#	هوسۍنښه	پونډ | شمېره | نښه | هېش | هېش ټګ
$	ډالر	USD | پیسو | پیسې | ډالر
%	سلنه	سلنه
&	امپرسنده	امپرسند | امپرسنده | او | نور
'	ټايپ رېټر اسټروپروف	ټايپ رېټر اسټروپروف | حواله | د اسټروپروف | سمارټ حواله | یوه حواله
)	نږدې قوسونه	تړل | قوس | قوسونه | ګرد
*	سټریک	ځنګلي کارت | ستوری | سټریک
+	جمع نښه	جمع | نښه
,	کوما	، | کوما
-	هایفن منفي	ډش | منفي | هایفن
.	موده	بشپړ درول | دوره | ډوټ | موده
/	سلیش	جامد | ريونده | سلیش | وهل | ویرجول
:	کولون	کولون
;	نیمه کولون	نیمه کولون
<	لږ - څخه	ټاګ | خلاص ټاګ | لږ - څخه
=	مساوي	مساوي
>	لوی - څخه	ټاګ | لوی - څخه | نږدې نښه
?	پوښتنې نښه	پوښتنې | پوښتنې نښه
@	په نښه	اروبا | اروبیس | امپرات | په نښه | سټودیل | سوداګري په
[	مربع قوس خلاص	خلاص | قوس | کروټچټ | مربع
\	شالید	پرځای جامع | شالید | وډ
]	مربع قوس بند	کروک | لیندۍ | مربع قوس | مربع قوس بند
^	محور تلفظ	پخه | تلفظتلفظ | خولۍ | ځواک | شیورون | کنټرول | کیټ | محور | محور تلفظ | نښې | نښې نښه
_	ټیټه کرښه	تر خط لاندې | ټیټ پوټکی | ټیټه کرښه | ډش | زیرکی | کرښه
`	جدي تلفظ	تلفظ | جدي | لهجه
{	خلاص تاو قوس	خلاص تاو قوس | قوس | کوږ تړلی وزر | کوږ قوس | کوسه | ګولینګ
|	عمودي ليکه	بار | پایپ | پایک | سټروک | شیفر | عمودی | کرښه | لرګی | وی بار
}	تړل کوږ تړنه	تړل کوږ تړنه | کوږ تړلی کرکیټ | کوسه | ګرګوتي | ګولینګ
~	ټیلډ	ټیلډ
¡	بدل شوی ویلو نښه	بدل شوی | بدل شوی ویلو نښه | بنګ | ویاړ | ویلو ټکی | ویلو نښه
¢	سینټ	سینټ
£	پونډ	اسعار | بریتاني پونډ | پونډ | مصري پونډ
¤	نامعلومه مروجه پېسې	
¥	ین	اسعار | جاپاني ین | چینايی ین | چینایي ین | ین
§	برخه	برخه | پاراګراف | سلکرو
¨	دیارزیس	املت | ترمه | دیارزیس
©	د چاپ حق	د چاپ حق | سي
«	کيڼ وینالېږد نښه	اخيستنښه | زاویه | ښی وینالېږد نښه | قوسونه | کيڼ وینالېږد نښه | کیڼ | کیڼحولی | هشتکونه
¬	نفي	نفي | نه
®	راجستر شوی	آر | راجستر شوی
°	درجه	ثبوت | درجه | ساعت
±	جمع منفي	جمع منفي
²	بالانوشت دوه	بالانوشت | څلوریځ | دوه
³	بالانوشت دری	بالانوشت | دری | درییځ
´	حاد تلفظ	تلفظ | حاد | لهجه
µ	مائیکرو نښه	پیمائش | مائیکرو نښه
¶	پاراګراف نښه	ایلینا | پارا | پاراګراف | پاراګراف نښه | پیلوټ
·	مینځني ټکي	ټکي | درونی | منځوني | مینځني ټکي
¹	یو بالانوشت	بالانوشت | یو
»	ښی وینالېږد نښه	اخيستنښه | زاویه | ښی | ښی وینالېږد نښه | قوسونه | کیڼحولی | هشتکونه
¿	بدل شوی پوښتنې نښه	بدل شوی | بدل شوی پوښتنې نښه | پوښتنې | پوښتنې نښه
×	ضرب نښه	ځله | ضرب | ضرب نښه | ضرب ورکول | ضرف نښه
÷	وېش نښه	ویش نښه | وېش | وېش کول | وېش نښه
֏	ارمينيايي ډرام	
؋	افغانۍ	
،	عربي کوما	عربي | کوما
؛	عربي نیمه کولون	عربي | عربي نیمه کولون | نیم کولون
؟	عربي پوښتنې نښه	پوښتنې | پوښتنې نښه | عربي | عربي پوښتنې نښه
৳	بنګالۍ ټاکه	
฿	تهايي بات	
៛	کمبوډي ريل	
‐	هایفن	ډش | هایفن
–	پای کرښک	پای | کرښک
—	اوږده کرښک	اوږده | کرښک
―	افقي پټه	افقي پټه | بار | ډش | ليکه
‘	چپ اسټروپروف	اسټروپروف | چپ اسټروپروف | حواله | هوښیاري رایی | یوه برخه
’	ښیې ایسستروف	حواله | د اسټروپروف | سمارټ حواله | ښیې ایسستروف | یوه حواله
‚	ټیټ ښی اسټروپروف	اسټروپروف | ټیټ حواله | ټیټ ښی اسټروپروف | حواله
“	چپ وینالېږد نښه	چپ وینالېږد نښه | حواله | دوه حواله | سمارټ وینالېږد | وینالېږد
”	ښیې وینالېږد نښه	حواله | دوه حواله | سمارټ وینالېږد | ښیې وینالېږد نښه | وینالېږد
„	ټیټې ښیې وینالېږد نښه	ټیټه وینالېږد | ټیټې ښیې وینالېږد نښه | حواله | دوه حواله | سمارټ وینالېږد
†	د خنجر نښه	اوبلیسک | اوبلیوس | خنجر | نښه
‡	دوګني ویش نښه	دوګني ویش نښه | ډیګر | ویش نښه
•	ګلوله	ټکي | ګلوله
…	بیضوی	بیضوی | غلا کول | نقطې
‧	لوړ ټکی	ټکی | ډش | لوړ ټکی | هایفن
‰	پرامیل	پر میل | پرامیل | پرمیل
′	لومړی	لومړی
″	دوه ګونی لومړی	دوه ګونی لومړی | لومړی
‴	درې ګونی لومړی	درې ګونی لومړی | لومړی
‸	کیرټ	کیرټ
※	حواله نښه	حواله نښه
‼	غبرګې ندا نښې	! | !! | بينګ بينګ | غبرګ | غبرګې ندا نښې | ندا | نښه | وقفه
‽	سوالګر	پوښتنې نښه | د حیرانتیا نښه او د پوښتنې نښه ترکیب | سوالګر
‾	پرلیکه	پر لیکه | پرلیکه | کرښمن | وینکولم
⁂	ستوریزم	ډینکوس | ستوري | ستوریزم
⁄	د کسر رېوند	د کسر رېوند | ضربه | کامه
⁉	ندا پوښتنښه	! | !? | ? | انټروبينګ | پوښتنه | ندا | ندا پوښتنښه | نښه | وقفه
⁻	بالانوشت منفي	بالانوشت | منفي
₡	کوسټا ريکن کولون	
₢	کرزیرو	اسعار | بي آر بي | کروز
₣	فرانسوي فرانک	اسعار | فرانسوي فرانک | فرانک
₤	لیرا	اسعار | لیرا
₥	ملی	ملی
₦	نايجيري نايرا	
₨	روپۍ	اسعار | روپۍ
₩	وګټله	KPW | KRW | وګټله
₪	اسرايلي نيو شيکل	
₫	ويتنامي ډونګ	
€	یورو	اسعار | یورو
₭	لاشې کپ	
₮	منګوليايي توګريک	
₰	الماني سکه	اسعارو | الماني سکه | پیفیننګ
₱	پیسې	پیسې
₲	پيراګوين ګوراني	
₳	استریل	ARA | استریل | اسعار
₴	اوکرايني هريونيا	
₵	ګانين سيډي	
₶	لیوری ټونوا	اسعار | لیوری ټونوا
₷	سپسمیلو	اسعار | سپسمیلو
₸	قازقستاني ټينج	
₹	هندي روپۍ	اسعار | روپئ | هندي روپئ | هندي روپۍ
₺	ترکي ليرا	
₼	آزربايجاني منت	
₽	روبل	اسعار | روبل
₾	جارجیاېي لارې	
₿	بټ سکه	BTC | بټ سکه
℗	د غږ ثبتولو نسخه حقوق	ثبتول | د غږ ثبتولو نسخه حقوق | د نسخه حق | غږ
™	تجارتي نښان	تجارتي نښان | تجارتي نښه | ټي ايم | نښه
ℹ	معلومات	معلومات
←	کي-- ښکارونکی غشی	غشی | کي- ښکارونکی غشی | کي-- ښکارونکی غشی | کيڼ
↑	غځېدونکې غشی	بره | غځېدونکې غشی | غشی
→	ښي - ښکارونکی غشی	ښي - ښکارونکی غشی | ښۍ | غشی
↓	ښکته-ښکارونکی غشی	ښکته | ښکته-ښکارونکی غشی | غشی
↔	ښۍ چپ غشی	ښۍ چپ غشی | غشی
↕	پورته ښکته غشی	پورته ښکته غشی | غشی
↖	پورته چپ غشی	اړخ | انټر کارډينل | پورته چپ غشی | سويلي ختيځ | غشی
↗	پورته ښي غشی	اړخ | انتر کارډينل | پورته ښي غشی | شمال ختيځ | غشی
↘	ښکته ښي غشی	اړخ | انټر کارډينل | سويلي ختيځ | ښکته ښي غشی | ښۍ ښکته غشی | غشی
↙	ښکته چپ اړخ ته غشی	اړخ | انټر کارډينل | چپ ښکته غشی | سويلي ختيځ | ښکته چپ اړخ ته غشی | غشی
↚	کیڼ اړخ ته د تیر ضربه	کیڼ اړخ ته د تیر ضربه
↛	ښي خوا ته د تیر ضربه	ښي خوا ته د تیر ضربه
↜	کیڼ خوا ته څپې تیر	کیڼ خوا ته څپې تیر
↝	ښي خوا ته د څپې تیر	ښي خوا ته د څپې تیر
↞	کیڼ اړخ ته دوه سرې تیر	کیڼ اړخ ته دوه سرې تیر
↟	پورته خوا دوه سرې تیر	پورته خوا دوه سرې تیر
↠	ښي خوا ته دوه سرې تیر	ښي خوا ته دوه سرې تیر
↡	لاندې خوا ته دوه سرې تیر	لاندې خوا ته دوه سرې تیر
↢	کیڼ خوا ته د تیر لکۍ	کیڼ خوا ته د تیر لکۍ
↣	ښي خوا ته د تیر لکۍ	ښي خوا ته د تیر لکۍ
↤	د بار څخه کیڼ خوا ته تیر	د بار څخه کیڼ خوا ته تیر
↥	د بار څخه پورته خوا ته تیر	د بار څخه پورته خوا ته تیر
↦	د بار څخه ښي خوا ته تیر	د بار څخه ښي خوا ته تیر
↧	د بار څخه ښکته خوا ته تیر	د بار څخه ښکته خوا ته تیر
↨	د اساس سره پورته ښکته تیر	د اساس سره پورته ښکته تیر
↩	ښۍ غشی چپ اړخ ته کوږ	ښۍ غشی چپ اړخ ته کوږ | غشی
↪	چپ غشی ښۍ اړخ ته کوږ	چپ غشی ښۍ اړخ ته کوږ | غشی
↫	کیڼ خوا ته د تیر کړۍ	کیڼ خوا ته د تیر کړۍ
↬	ښي خوا ته د تیر کړۍ	ښي خوا ته د تیر کړۍ
↭	کیڼ ښي څپې تیر	کیڼ ښي څپې تیر
↮	کیڼ ښي تیر ضربه	کیڼ ښي تیر ضربه
↯	ښکته خوا ته کوږ وږ تیر	ښکته خوا ته کوږ وږ تیر
↰	پورته تیر څوکه کیڼ لور ته	پورته تیر څوکه کیڼ لور ته
↱	پورته خوا ته تیر څوکه ښی لور ته	پورته خوا ته تیر څوکه ښی لور ته
↲	ښکته خوا ته د تیر څوکه کیڼ لور ته	ښکته خوا ته د تیر څوکه کیڼ لور ته
↳	ښکته خوا ته د تیر څوکه ښی لور ته	ښکته خوا ته د تیر څوکه ښی لور ته
↴	ښي لور ته د تیر کونج ښکته خوا ته	ښي لور ته د تیر کونج ښکته خوا ته
↵	ښکته خوا ته د تیر کونج کیڼ لور ته	ښکته خوا ته د تیر کونج کیڼ لور ته
↶	د ساعت ضد پورتنۍ نیمی دایرې تیر	د ساعت ضد پورتنۍ نیمی دایرې تیر
↷	د ساعت په لور پورتنۍ نیمی دایرې تیر	د ساعت په لور پورتنۍ نیمی دایرې تیر
↸	شمال لویدیځ تیر اوږد بار	شمال لویدیځ تیر اوږد بار
↹	کیڼ لور ته په ښي لور د تیر بارونو باندې	بار | تیر | ښي لور ته | کیڼ لور ته | کیڼ لور ته په ښي لور د تیر بارونو باندې
↺	د ساعت ضد خلاص دایرې تیر	د ساعت ضد خلاص دایرې تیر
↻	د ساعت په لور خلاص دایرې تیر	د ساعت په لور خلاص دایرې تیر
↼	کیڼ لور ته د ازغنې نیزې خنډ پورته خوا ته	خنډ | کیڼ لور ته د ازغنې نیزې خنډ پورته خوا ته
↽	کیڼ لور ته د ازغنې نیزې خنډ ښکته خوا ته	کیڼ لور ته د ازغنې نیزې خنډ ښکته خوا ته
↾	پورته لور ته د ازغنې نیزې خنډ ښکته خوا ته	پورته خوا ته د ازغنې نیزې خنډ ښي لور ته | پورته لور ته د ازغنې نیزې خنډ ښکته خوا ته | خنډ
↿	پورته خوا ته د ازغنې نیزې خنډ کیڼ لور ته	پورته خوا ته د ازغنې نیزې خنډ کیڼ لور ته | خنډ
⇀	ښي لور ته د ازغنې نیزې خنډ پورته خوا ته	خنډ | ښي لور ته د ازغنې نیزې خنډ پورته خوا ته
⇁	ښي لور ته د ازغنې نیزې خنډ ښکته خوا ته	خنډ | ښي لور ته د ازغنې نیزې خنډ ښکته خوا ته
⇂	ښکته خوا ته د ازغنې نیزې خنډ ښي لور ته	خنډ | ښکته خوا ته د ازغنې نیزې خنډ ښي لور ته
⇃	ښکته خوا ته د ازغنې نیزې خنډ کیڼ لور ته	خنډ | ښکته خوا ته د ازغنې نیزې خنډ کیڼ لور ته
⇄	د کیڼ لور په تیر باندې د ښي لور تیر	د کیڼ لور په تیر باندې د ښي لور تیر
⇅	بره-ښیې او ښکته-ښیې غشی	بره | بره-ښیې او ښکته-ښیې غشی | ښکته | غشی
⇆	کيڼ اشاره باندې ښي اشاره غشي	ښي | غشی | کيڼ | کيڼ اشاره باندې ښي اشاره غشي
⇇	کیڼ لور ته جوړه شوي تیرونه	کیڼ لور ته جوړه شوي تیرونه
⇈	پورته لور ته جوړه شوي تیرونه	پورته لور ته جوړه شوي تیرونه
⇉	ښي لور ته جوړه شوي تیرونه	ښي لور ته جوړه شوي تیرونه
⇊	ښکته لور ته جوړه شوي تیرونه	ښکته لور ته جوړه شوي تیرونه
⇋	د ښي لور ازغنې نیزې باندې د کیڼ لور ازغنه نیزه	د ښي لور ازغنې نیزې باندې د کیڼ لور ازغنه نیزه
⇌	د کیڼ لور ازغنې نیزې باندې د ښي لور ازغنه نیزه	د کیڼ لور ازغنې نیزې باندې د ښي لور ازغنه نیزه
⇍	کیڼ لور ته دوه ګونی تیر ضربه	کیڼ لور ته دوه ګونی تیر ضربه
⇎	کیڼ ښې دوه ګونی تیر ضربه	کیڼ ښې دوه ګونی تیر ضربه
⇏	ښي لور ته دوه ګونی تیر ضربه	ښي لور ته دوه ګونی تیر ضربه
⇐	کیڼ لور ته دوه ګونی تیر	کیڼ لور ته دوه ګونی تیر
⇑	پورته لور ته دوه ګونی تیر	پورته لور ته دوه ګونی تیر
⇒	ښي لور ته دوه ګونی تیر	ښي لور ته دوه ګونی تیر
⇓	ښکته لور ته دوه ګونی تیر	ښکته لور ته دوه ګونی تیر
⇔	کیڼ ښې دوه ګونی تیر	کیڼ ښې دوه ګونی تیر
⇖	شمال لویدیځ دوه ګونی تیر	شمال لویدیځ دوه ګونی تیر
⇗	شمال ختیځ دوه ګونی تیر	شمال ختیځ دوه ګونی تیر
⇘	سویل ختیځ دوه ګونی تیر	سویل ختیځ دوه ګونی تیر
⇙	سویل لویدیځ دوه ګونی تیر	سویل لویدیځ دوه ګونی تیر
⇚	کیڼ لور ته درې ګونی تیر	کیڼ لور ته درې ګونی تیر
⇛	ښي لور ته درې ګونی تیر	ښي لور ته درې ګونی تیر
⇜	کیڼ لور ته څپانده تیر	کیڼ لور ته څپانده تیر
⇝	ښي لور ته څپانده تیر	ښي لور ته څپانده تیر
⇞	پورته لور ته د تیر دوه ګونی ضربه	پورته لور ته د تیر دوه ګونی ضربه
⇟	ښکته لور ته د تیر دوه ګونی ضربه	ښکته لور ته د تیر دوه ګونی ضربه
⇠	کیڼ لور ته کرښک شوی تیر	کیڼ لور ته کرښک شوی تیر
⇡	پورته لور ته کرښک شوی تیر	پورته لور ته کرښک شوی تیر
⇢	ښي لور ته کرښک شوی تیر	ښي لور ته کرښک شوی تیر
⇣	ښکته لور ته کرښک شوی تیر	ښکته لور ته کرښک شوی تیر
⇤	کیڼ لور ته د تیر بار	کیڼ لور ته د تیر بار
⇥	ښي لور ته د تیر بار	ښي لور ته د تیر بار
⇦	کیڼ لور ته ډډ تیر	کیڼ لور ته ډډ تیر
⇧	پورته لور ته ډډ تیر	پورته لور ته ډډ تیر
⇨	ښی لور ته ډډ تیر	ښی لور ته ډډ تیر
⇩	ښکته لور ته ډډ تیر	ښکته لور ته ډډ تیر
