# CLDR symbol names for pt: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	ponto de exclamação	atenção | exclamação | ponto
#	cerquilha	cerquilha | hashtag | número
$	dólar	dinheiro | dólar | peso | USD
%	porcentagem	percentagem | por cento | porcentagem
&	ampersand	ampersand | e | e comercial | sinal | tironiano
'	apóstrofo da máquina de escrever	apóstrofo | aspas | escrever | máquina | simples
)	parêntese de fechamento	colchete | fechamento | parêntese | redondo
*	asterisco	asterisco | curinga | estrela
+	sinal de mais	adição | mais | sinal
,	vírgula	vírgula
-	hífen	hífen | menos | traço
.	ponto final	final | ponto
/	barra	barra | oblíqua | sólida
:	dois pontos	dois pontos
;	ponto e vírgula	ponto e vírgula
<	menor que	abrir | menor que | menos que | tag
=	igual	iguais | igual
>	maior que	fechar | maior que | mais que | tag
?	ponto de interrogação	interrogação | pergunta | ponto
@	arroba	arobase | arroba | e-mail | sinal
[	colchete quadrado de abertura	abertura | colchete | quadrado
\	barra inversa	barra | inversa | invertida
]	colchete quadrado de fechamento	colchete | fechamento | quadrado
^	acento circunflexo	acento | chapéu | circunflexo | cunha | divisão | potência | seta | sinal xor
_	traço baixo	sublinhado | traço baixo
`	acento grave	acento | acentuação | grave | tom
{	chave de abertura	abertura | chave | esquerda
|	linha vertical	barra | intersecção | linha | vertical
}	chave de fechamento	chave | direita | fechamento
~	til	til
¡	ponto de exclamação invertido	atenção | exclamação | invertido | ponto
¢	centavo	centavo
£	libra	esterlina | GBP | libra | moeda
¤	Moeda desconhecida	
¥	iene	China | chinês | CNY | iene | JPY | moeda | yuan
§	seção	parágrafo | parte | seção | símbolo
¨	trema	diérese | trema | umlaut
©	símbolo de copyright	copyright | Copyright | direitos autorais | símbolo de copyright
«	aspas em linha para a esquerda	ângulo | aspas | chevron | duplas | esquerda | francesas
¬	negação	não | negação | negado
®	símbolo de registrado	marca registrada | Marca registrada | marca registrada “R” | Marca registrada “R” | símbolo de registrado
°	grau	grau | hora | prova
±	mais ou menos	mais | menos
²	número dois sobrescrito	dois | número | quadrado | sobrescrito
³	número três sobrescrito	cubo | número | sobrescrito | três
´	acento agudo	acento | agudo | tom
µ	sinal micro	medida | micro | sinal
¶	pé de mosca	caldeirão | parágrafo | pé de mosca
·	ponto mediano	mediano | médio | ponto
¹	número um sobrescrito	número | sobrescrito | um
»	aspas em linha para a direita	ângulo | aspas | chevron | direção | direita | francesas
¿	ponto de interrogação invertido	interrogação | invertido | ponto
×	símbolo de multiplicação	multiplicação | multiplicar | símbolo | vezes
÷	sinal de divisão	dividir | divisão | símbolo | sinal
֏	Dram armênio	
؋	Afegane afegão	
،	vírgula árabe	árabe | vírgula
؛	ponto e vírgula árabe	árabe | ponto e vírgula
؟	ponto de interrogação árabe	árabe | interrogação | ponto
৳	Taka bengali	
฿	Baht tailandês	
៛	Riel cambojano	
‐	traço de união	hífen | traço | união
–	meia-risca	meia-risca | traço
—	travessão	traço | travessão
―	barra horizontal	barra | horizontal | linha | traço
‘	apóstrofo esquerdo	apóstrofo | aspas | esquerdo | simples
’	apóstrofo direito	apóstrofo | aspa | direito | simples | única
‚	apóstrofo inferior direito	apóstrofo | aspas | direito | inferior | inferiores
“	aspas esquerdas	aspas | citação | duplas | esquerdas | inteligente
”	aspas direitas	aspas | citação | direitas | duplas | inteligente
„	aspas inferiores direitas	aspas | citação | direitas | duplas | inferiores | inteligente
†	obelisco	adaga | cruz | obelisco | óbelo
‡	obelisco duplo	adaga | duplo | obelisco | óbelo
•	ponto lista	lista | ponto
…	reticências	omissão | pontos | reticências | três pontos
‧	ponto de hifenização	hífen | hifenização | ponto | traço
‰	por mil	a cada mil | mil | permilagem | por mil
′	plica	plica
″	plica dupla	plica | plica dupla
‴	plica tripla	plica | plica tripla
‸	circunflexo	circunflexo
※	marca de referência	marca | referência
