# CLDR symbol names for pt_PT: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!		exclamação | ponto de exclamação
#	cardinal	cardinal | cerquilha | hashtag | número
$		dinheiro | dólar | dólar norte-americano | USD
%	por cento	percentagem | por cento | porcento
&	E comercial	e | E comercial | et
'	plica	apóstrofo | aspas | aspas simples | plica
)	parêntese direito	fechar parênteses | parêntese | parêntese curvo | parêntese direito | parêntesis
*		asterisco | caráter universal | estrela
+		adição | adicionar | mais | sinal de mais
-	hífen-menos	hífen | hífen-menos | menos | traço
.	ponto	
/		barra | traço oblíquo
<	menor	abrir etiqueta | etiqueta | menor | menor que
=		é igual a | igual
>	maior	etiqueta | fechar etiqueta | maior | maior que
@		arroba | marca de arroba | sinal de arroba
[	parêntese reto esquerdo	abrir parênteses | colchete | parêntese | parêntese reto | parêntese reto esquerdo | parêntesis
\	barra invertida	barra invertida | traço oblíquo invertido
]	parêntese reto direito	colchete | fechar parênteses | parêntese | parêntese reto | parêntese reto direito | parêntesis
^		acento | chapéu | circunflexo | sinal de omissão
_	sublinhado	sublinhado | traço baixo | traço inferior
`		acento | grave | tom
{	chaveta esquerda	abrir parênteses | chaveta | chaveta esquerda | parêntese | parêntesis
|	barra vertical	barra | barra vertical | linha | linha vertical | pipe | traço vertical
}	chaveta direita	chaveta | chaveta direita | fechar parênteses | parêntese | parêntesis
¡		exclamação | invertido | ponto de exclamação | ponto de exclamação invertido
¢	cêntimo	cêntimo
¤	moeda desconhecida	
§	secção	parágrafo | parte | secção | símbolo de parágrafo
¨		ápice | ápices | diérese | trema
©	direitos de autor	c | copyright | direitos de autor | símbolo de copyright
«	aspas em linha esquerdas	ângulo | aspas | aspas em linha esquerdas | aspas francesas | chevron | esquerda
¬		não | negação
®	marca registada	marca registada | r
±	mais-menos	mais-menos
²		dois | expoente | número dois | número dois sobrescrito | quadrado | sobrescrito
³		cubo | expoente | número três | número três sobrescrito | sobrescrito | três
¶	marca de parágrafo	alínea | marca de parágrafo | parágrafo | sinal de parágrafo
¹		expoente | número um | número um sobrescrito | sobrescrito | um
»	aspas em linha direitas	ângulo | aspas | aspas em linha direitas | aspas francesas | chevron | direita
×	sinal de multiplicação	multiplicação | multiplicar | sinal de multiplicação | vezes
֏	dram arménio	
؋	afegâni afegão	
،	virgula árabe	árabe | vírgula | virgula árabe
৳	taka bengali	
฿	baht tailandês	
៛	riel cambojano	
‐	hífen	hífen | risca de união | tirete | traço de união
–		meia-risca | meio-traço | traço | traço de ligação | traço médio
―		barra | barra horizontal | linha | travessão
‘		apóstrofo | apóstrofo esquerdo | aspas | aspas curvas
’		apóstrofo | apóstrofo direito | aspas | aspas curvas
‚	apóstrofo direito inferior	apóstrofo | apóstrofo direito inferior | aspas | aspas inferiores
“		aspas | aspas duplas | aspas esquerdas | aspas inteligentes | aspas retas
”		aspas | aspas direitas | aspas duplas | aspas inteligentes | aspas retas
„	aspas direitas inferiores	aspas | aspas direitas inferiores | aspas duplas | aspas inferiores | aspas inteligentes
•	marca de lista	marca | marca de lista | ponto
…		pontos de reticência | pontos de suspensão | reticências | três pontos
‧		hífen | ponto | ponto de hifenização
‰		permilagem | por mil
′	apóstrofo	apóstrofo | plica
″	apóstrofo duplo	apóstrofo | apóstrofo duplo | aspas | plica dupla
‴	apóstrofo triplo	apóstrofo | apóstrofo triplo | plica tripla
‼	ponto de exclamação duplo	! | !! | exclamação | ponto de exclamação duplo | pontuação
‽	ponto de exclarrogação	ponto de exclarrogação
‾	traço sobrescrito	traço sobrescrito
⁉	pontos de exclamação e de interrogação	! | !? | ? | exclamação | exclamação com interrogação | interrogação | pergunta | pontos de exclamação e de interrogação | pontuação
₡	colon costa-riquenho	
₢	cruzeiro	BRB | cruzeiro | moeda
₥		mil | mill
₦	naira nigeriana	
₩		KPW | KRW | uone | won | won norte-coreano | won sul-coreano
₪	sheqel novo israelita	
₫	dong vietnamita	
₭	kip laosiano	
₮	tugrik mongol	
₲	guarani paraguaio	
₴	hryvnia ucraniano	
₵	cedi ganês	
₸	tenge cazaque	
₺	lira turca	
₼	manat azeri	
₾	lari georgiano	
℗	símbolo de direitos de autor de fonograma	direitos de autor | fonograma | símbolo de direitos de autor de fonograma | som
™	marca comercial	marca | marca comercial | marca registada | símbolo | símbolo de marca comercial | símbolo de marca registada | tm
ℹ	posto de informação	i | informações | posto de informação
←	seta a apontar para a esquerda	esquerda | para a esquerda | seta | seta a apontar para a esquerda
↑	seta a apontar para cima	cima | para cima | seta | seta a apontar para cima
→	seta a apontar para a direita	direita | para a direita | seta | seta a apontar para a direita
↓	seta a apontar para baixo	baixo | para baixo | seta | seta a apontar para baixo
↔	seta para a esquerda e para a direita	direita | esquerda | seta | seta para a esquerda e para a direita | seta para esquerda e direita
↕		para baixo | para cima | seta | seta para cima e para baixo
↖		direção | intercardinal | intermédio | noroeste | seta | seta para cima e para a esquerda
↗		direção | intercardinal | intermédio | nordeste | seta | seta para cima e para a direita
↘	seta para a direita e para baixo	direção | intercardinal | intermédio | seta | seta para a direita e para baixo | seta para baixo e para a direita | sudeste
↙		direção | intercardinal | intermédio | seta | seta para baixo e para a esquerda | sudoeste
↚	seta para a esquerda com traço	seta para a esquerda com traço
↛	seta para a direita com traço	seta para a direita com traço
↢	seta para a esquerda com cauda	seta para a esquerda com cauda
↣	seta para a direita com cauda	seta para a direita com cauda
↤	seta para a esquerda da barra	seta para a esquerda da barra
↥	seta para cima da barra	seta para cima da barra
↦	seta para a direita da barra	seta para a direita da barra
↧	seta para baixo da barra	seta para baixo da barra
↩	seta para a direita com curva para a esquerda	curva | esquerda | seta | seta para a direita com curva para a esquerda
↪	seta para a esquerda com curva para a direita	curva | direita | seta | seta para a esquerda com curva para a direita
↮	seta bidirecional com traço	seta bidirecional com traço
↰	seta para cima com a ponta para a esquerda	seta para cima com a ponta para a esquerda
↱	seta para cima com a ponta para a direita	seta para cima com a ponta para a direita
↲	seta para baixo com a ponta para a esquerda	seta para baixo com a ponta para a esquerda
↳	seta para baixo com a ponta para a direita	seta para baixo com a ponta para a direita
↴	seta para a direita com canto para baixo	seta para a direita com canto para baixo
↵	seta para baixo com canto para a esquerda	seta para baixo com canto para a esquerda
↶	seta semicircular superior no sentido anti-horário	seta semicircular superior no sentido anti-horário
↷	seta semicircular superior no sentido horário	seta semicircular superior no sentido horário
↹	seta para a esquerda com barra sobre seta para a direita com barra	barra | para a direita | para a esquerda | seta | seta para a esquerda com barra sobre seta para a direita com barra
⇅	setas a apontar para cima e para baixo	baixo | cima | para baixo | para cima | seta | setas a apontar para cima e para baixo
⇆	setas a apontar para a esquerda e para a direita	direita | esquerda | para a direita | para a esquerda | seta | setas a apontar para a esquerda e direita | setas a apontar para a esquerda e para a direita
⇤	seta para a esquerda com barra	seta para a esquerda com barra
⇥	seta para a direita com barra	seta para a direita com barra
⇦	seta vazia para a esquerda	seta vazia para a esquerda
⇧	seta vazia para cima	seta vazia para cima
⇨	seta vazia para a direita	seta vazia para a direita
⇩	seta vazia para baixo	seta vazia para baixo
⇪	seta vazia para cima da barra	seta vazia para cima da barra
∀	para todo	para todo | universal
∈	pertence	conjunto | contém | elemento | elemento de | membro | pertence | pertence a
−		menos | sinal de menos | subtração | subtrair
∕		barra de divisão | traço
∝	proporcional	proporcional | proporcionalidade
∞	símbolo de infinito	infinito | símbolo de infinito
∟	ângulo reto	ângulo reto | matemática
∧		ac | atque | e | lógico
∩		conjunto | interseção | intersecção
∪		coleção | conjunto | reunião | união
∷		proporção | proporcionalidade
≠		desigual | desigualdade | diferente | não igual
≡	idêntico a	exato | idêntico | idêntico a | triplo
≤	menor ou igual	desigual | desigualdade | igual | igual a | menor ou igual | menor que
≥	maior ou igual	desigual | desigualdade | igual | igual a | maior ou igual | maior que
≦		desigualdade | diferença | diferente | matemática | menor que sobre igual
≧		desigualdade | diferença | diferente | maior que sobre igual | matemática
