# CLDR symbol names for qu: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	qapariq yupiy	bang | qapariq | qapariq cchimpu | qapariq chiku | qapariq yupiy
#	hash chimpu	hash | hash chimpu | hashtag | lb | libra | yupay
$	dolar	dolar | peso | qullqi | USD
%	pachakchasqa	pachakchasqa | sapa pachak | sapa-pachak
&	amperson	amperson | chaymanta | hinaspa
'	apostrofe maquina qillqaywan	apostrofe | apostrofe maquina qillqaywan | huklla willakuy | yapa willakuy
)	wichqay parentesis	muyusqa parentesis | parentesis | wichqay parentesis
*	asterisco	asterisco | comodin | quyllur
+	yapana unancha	yapana | yapana unancha | yapay
,	samachimpu	samachimpu
-	siqi qichuna	qichuna | rakichikuq | siqi
.	tukuq chiku	chiku | qurpa chiku | tukuq chiku
/	raki sananpa	raki chimpu | raki sananpa | siqa | solidus | warra
:	chiku	chiku
;	chiku samachimpu	chiku samachimpu | chiku-samachimpu
<	pisi kayhina	pisi kayhina | pisi-kayhina | sutichaq | sutichaq kichay
=	kikin	kikin | kikinkuna
>	aswan hatun kayhina	aswan hatun kayhina | aswan hatun-kayhina | qaylla sutichaq | sutichaq
?	tapukuna yupiy	tapukuna yupiy | tapuna | tapuna yupiy
@	arroba unancha	ampersat | arobase | arroba | arroba chimpu | arroba qatu | arroba unancha | arroba yupiy
[	kichay tawakuchusqa parentesis	kichay tawakuchusqa parentesis | korchiti | parentesis | tawakuchusqa kurchiti
\	qipaman raki sananpa	qipaman raki sananpa | raki chimpu | tikrasqa solidus
]	wichqay tawakuchusqa parentesis	kurchiti | parentesis | tawakuchusqa kurchiti | wichqay tawakuchusqa parentesis
^	circunflejo raki	chuku | circunflejo | circunflejo raki | kallpa | kuchu | patachay | raki unancha
_	uran siqi	rakichikuq | siqi | siqichay | uran rakichikuq | uran rakichikuqpi | uran siqi
`	grave kunka	grave | kunka | tonu
{	kichay kurchiti	gullwing nisqa | kichay kurchiti | kurchiti | llawi | wichqay kurchiti
|	sayampa siqin	kuqmu | qispi | sayampa siqin | sayampa warran | sheffer warra | siqi | warra
}	wichqay kurchiti	gullqing nisqa | kurchiti | llawi | wichqay kurchiti
~	asintu	asintu
¡	tikrasqa qapariq chimpu	bang | qapariq | qapariq chiku | qapariq chimpu | tikrasqa | tikrasqa qapariq chimpu
¢	centavo	centavo
£	libra esterlina nisqa	EGP | GBP | libra esterlilna | libra esterlina nisqa | qullqi
¤	Mana riqsisqa Qullqi	
¥	yen	CNY | JPY | qullqi | yen | yuan
§	ruwana	hatun qillqa raki | raki | ruwana | silcrow
¨	dieresis	dieresis | tréma | umlaut
©	copyright	c | copyright | copyright nisqa
«	lluqi francesa kumilla	allin tuqyaq | cheuron | kuchu | kurchitikuna | lluqi | lluqi francesa kumilla | yapa willakuy
¬	ama	ama | mana
®	yaykusqa	r | yaykusqa
°	gradu	gradu | prueba | ura
±	yapana qichuna	yapana qichuna | yapana-qichuna
²	hatun qillqa iskay	hatun qillqa | hatun qillqa iskay | iskay | tawakuchusqa
³	hatun qillqa kimsa	hatun qillqa | hatun qillqa kimsa | kimsa | machina
´	agudu kunka	agudu | kunka | tonu
µ	micro unancha	micro unancha | tupuna
¶	hatun qillqa raki chimpu	alinea | hatun qillqa raki | hatun qillqa raki chimpu | pilcrow | rubrica
·	chawpi chiku	chawpi | chiku | interpunct
¹	hatun qillqa huk	hatun qillqa | hatun qillqa huk | huk
»	paña francesa kumilla	allin tuqyaq | cheuron | kuchu | kurchitikuna | paña | paña francesa kumilla | yapa willakuy
¿	tikrasqa tapuna yupiy	tapuna | tapuna chimpu | tikrasqa | tikrasqa tapuna yupiy
×	mirachina unancha	mirachina | mirachina unancha | mirachiy | pachakuna
÷	rakina unancha	obelus | rakina | rakina unancha | rakiy
֏	Dram Armenio	
؋	Afgani Afgano	
،	arabico samachimpu	arabico | samachimpu
؛	arabico chiku samachimpu	arabico | arabico chiku samachimpu | chiku samachimpu | chiku-samachimpu
؟	arabico tapuna yupiy	arabico | arabico tapuna yupiy | tapuna | tapuna chimpu
৳	Taka Bangladesí	
฿	Baht Tailandés	
៛	Riel Camboyano	
‐	rakichikuq	rakichikuq | siqi
–	uchuy qichuna	qichuna | uchuy
—	hatun qichuna	hatun | qichuna
―	kinrampa siqin	kinrampa siqin | rakichikuq | siqi | warra
‘	lluqi apostrofe	apostrofe | huklla yapa willakuy | lluqi apostrofe | umayuq yapa willakuy | yapa willakuy
’	paña apostrofe	apostrofe | huklla yapa willakuy | paña apostrofe | umayuq yapa willakuy | yapa willakuy
‚	uran paña apostrofe	apostrofe | pisi paña apostrofe | pisi yapa willakuy | uran paña apostrofe | yapa willakuy
“	lluqi kumilla	iskay kumilla | kumilla | lluqi kumilla | lluqi kumilla unancha | umayuq kumilla | yapa willakuy
”	paña kumilla	iskay yapa willakuy | kumilla | paña kumilla | umayuq kumilla | yapa willakuy
„	uran paña kumilla	iskay yapa kumilla | kumilla | umayuq kumilla | uran kumilla | uran paña kumilla | yapa willakuy
†	daga chimpu	daga | daga chimpu | daga unancha | obelisco | obelus
‡	iskay daga unancha	daqa | iskay | iskay daga unancha | obelisco | obelus
•	viñeta	chiku | viñeta
…	elipsis	chikukuna | elipsis | sayachiy
‧	rakisqa chiku	chiku | rakichikuq | rakisqa chiku | siqi
‰	sapa milla	permil | permille | sapa milla | sapa waranqa
′	qapaq	qapaq
″	iskay qapaq	iskay qapaq | qapaq
‴	kimsa qapaq	kimsa qapaq | qappaq
‸	allin tuqyaq	allin tuqyaq
※	willakuy chimpu	willakuy chimpu
‼	iskay qapariq yupiy	! | !! | bangbang | chimpu | iskay qapariq chimpu | iskay qapariq yupiy | qapariq
‽	interrobang nisqa	interabang | interrobang nisqa
‾	siqisqa	siqisqa | takay | vinculum
