# CLDR symbol names for quc: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
©	copyright	copyright
®	registered	registered
‼	keb’ichal etal rech mayib’al	bangbang | etal | keb’ichal etal rech mayib’al | mayib’al | retal tz’ib’
⁉	etal rech k’otb’al chi’aj	etal | etal rech k’otb’al chi’aj | interrobang | k’otb’al chi’aj | mayib’al | retal tz’ib’
™	k’ay etal	etal | k’ay etal | k’ayetal | tm
ℹ	q’alajisanem	i | q’alajisanem
↔	ch’ab’ moxq’ab’-wikiq’ab’	Ch’ab’ | ch’ab’ moxq’ab’-wikiq’ab’
↕	ch’ab’ pa uwi’-chi uxe’	Ch’ab’ | ch’ab’ pa uwi’-chi uxe’
↖	moxq’ab’ ch’ab’ pa uwi’	ch’ab’ | ink’utset | kemriqonib’al | moxq’ab’ ch’ab’ pa uwi’ | releb’al q’ij-uqajb’al kaqiq’
↗	ch’ab’ pa uwi’ chi’l pa wikiq’ab’	ch’ab’ | ch’ab’ pa uwi’ chi’l pa wikiq’ab’ | ink’utset | kemriqonib’al | releb’al q’ij-releb’al kaqiq’
↘	wikiq’ab’ cha’b’ chi uxe’	ch’ab’ | ink’utset | kemriqonib’al | uqajb’al q’ij-releb’al q’ij | wikiq’ab’ cha’b’ chi uxe’
↙	moxq’ab’ ch’ab’ chi uxe’	ch’ab’ | ink’utset | kemriqonib’al | moxq’ab’ ch’ab’ chi uxe’ | uqajb’al q’ij-uqajb’al kaqiq’
↩	wikiq’ab’ ch’ab’ kotol b’i pa moxq’ab’	Ch’ab’ | wikiq’ab’ ch’ab’ kotol b’i pa moxq’ab’
↪	moxq’ab’ q’ab’ ch’ab’ kotol b’i pa wikiq’ab’	Ch’ab’ | moxq’ab’ q’ab’ ch’ab’ kotol b’i pa wikiq’ab’
⌨	pitz’b’al	Kematz’ib’ | pitz’b’al
⏏	pitz’b’al rech relesaxik	pitz’b’al rech relesaxik | relesaxik
⏭	pitz’b’al teren chi uloq	b’ix teren chi uloq | ch’ab’ | oxxukut | pitz’b’al teren chi uloq | xajtajem teren chi uloq
⏮	pitz’b’al rech uk’isb’al b’ix	b’ix kanoq | ch’ab’ | oxxukut | pitz’b’al rech uk’isb’al b’ix | xajtajem kanoq
⏯	pitz’b’al rech utzijik on ruxlanisaxik	ch’ab’ | oxxukut | pitz’b’al rech utzijik on ruxlanisaxik | utzijjik | uxlanem | wikiq’ab’
⏱	q’ateb’al retab’alil q’ij	kloretab’al q’ij | q’ateb’al retab’alil q’ij
⏲	retab’alil q’ij rech kloretab’al q’ij	kloretab’al q’ij | retab’al q’ij | retab’alil q’ij rech kloretab’al q’ij
⏸	pitz’b’al rech uxlanem	kab’ichal | pitz’b’al rech uxlanem | q’e’tb’al | tak’al juch’ | uxlanen
⏹	pitz’b’al rech uq’atexik	kajxukut | pitz’b’al rech uq’atexik | uq’atexik
⏺	pitz’b’al rech uk’olik ch’ab’alil	pitz’b’al rech uk’olik ch’ab’alil | setesik | uk’olik ch’ab’alil
Ⓜ	sutim M	m | setesik | sutim M
▪	q’eq’ nitz’ kajxukut	jalub’antajik | kajxukut | q’eq’ nitz’ kajxukut
▫	saq nitz’ kajxukut	jalub’antajik | kajxukut | saq nitz’ kajxukut
▶	pitz’b’al rech utzijil	ch’ab’ | oxxukut | pitz’b’al rech utzijil | tzijb’al | wikiq’ab’
◀	pitz’b’al rech tzalijisab’al	ch’ab’ | moxq’ab’ | oxxukut | pitz’b’al rech tzalijisab’al | tzalijisab’al
◻	retal saq kajxukut	jalub’antajik | kajxukut | retal saq kajxukut
◼	retal q’eq’ kajxukut	jalub’antajik | kajxukut | retal q’eq’ kajxukut
☀	q’ij	q’ij | tun | uchupchutem
☁	sutz’	meq’owal | sutz’
☂	q’ateb’al jab’	atz’i’aqb’al | jab’ | q’ateb’al jab’
☃	achi rech saq tew	achi rech saq tew | saq tew | tew
☄	juch’ch’umil	chikajil | juch’ch’umil
☎	ch’aweb’al	Ch’aweb’al
☑	kajxukut rech juch’b’al ruk’ q’atub’al	juch’b’al | kajxukut | kajxukut rech juch’b’al ruk’ q’atub’al | q’atub’al
☘	xakotzi’j	q’ayes | xakotzi’j
☝	ch’ipel kuk’ut uwi’	ch’ipel kuk’ut uwi’ | chi’pel | q’ab’al | uk’utik | uwi’ | uwi’ q’ab’aj
☠	b’aq ukrusim rib’ rech jolomaj chi’l taq b’aq	b’aq rech jolomaj | b’aq ukrusim rib’ | b’aq ukrusim rib’ rech jolomaj chi’l taq b’aq | kamikal | palajaj | xib’ib’al
☢	k’atmiq’anem	etal | k’atmiq’anem
☣	uk’axk’olil k’aslemal	etal | k’axk’olk’ache’laj | uk’axk’olil k’aslemal
☦	krus ortodoxio	kojb’al | kristian | krus | krus ortodoxio
☪	ch’umil chi’l uk’iyem	ch’umil chi’l uk’iyem | islam | kojb’al | musulman
☮	retal utzil	retal utzil | utzil
☯	kojb’al yin kojb’al yang	kojb’al | kojb’al tao | kojb’al taoist | kojb’al yang | kojb’al yin | kojb’al yin kojb’al yang
☸	b’inisab’al rech dharma	b’inib’al | b’inisab’al rech dharma | Budista | kojb’al | uk’utik dharma
☹	ukichi’chem upalaj	kich’ | palajaj | ukichi’chem upalaj
☺	tze’nem	palajaj | tz’ajom | tze’nem | uxlanaq
♀	Juch’b’i’aj rech ixoq	Ixoq | Juch’b’i’aj rech ixoq
♂	juch’b’i’aj rech achi	Achi | juch’b’i’aj rech achi
♠	nimatz’i’aqb’al	etz’anem | nimatz’i’aqb’al | uwujil
♣	luwokajil	etz’anem | luwokajil | uwujil
♥	anima	anima | etz’anem | uwujil
♦	jeb’el ab’aj nimatz’i’aqb’al	etz’anem | jeb’el ab’aj nimatz’i’aqb’al | uwujil
♨	k’atanja’	b’inel | b’inelja’ | k’atan | k’atanja’
♻	retal k’olmes	kej ch’ich’ | retal k’olmes
⚒	b’ajib’al chi’l usik’ik	b’ajib’al | b’ajib’al chi’l usik’ik | chakub’al | usik’ik
⚔	ukrusim rib’ taq spad	taq spad | ukrusim rib’ | ukrusim rib’ taq spad | wek’aqb’al
⚕	etal rech kunanem	etal | etal rech kunanem | jastaq | kunab’al
⚖	Upajik ucholajil	a’lal | chakub’al | Libra | pajb’al | suk’malil | taq ucholajil | Upajik ucholajil | zodiaco
⚗	k’amil	chakub’al | k’amil | kaxlan kunab’al
⚙	mulaj ch’ich’	Chakub’al | mulaj ch’ich’
⚛	etal atom	atom | etal atom | makojb’al
⚜	pek’otzi’j	pek’otzi’j
⚠	q’ilb’al	q’ilb’al
⚰	kaxa	kamik | kaxa
⚱	muqunem k’olchaj	chaj | k’olchaj | kamik | muqunem
⛈	sutz’ ruk’ tzuk’linem chi’l jab’	jab’ | kaqulja | sutz’ | sutz’ ruk’ tzuk’linem chi’l jab’
⛏	usik’ik’	chakub’al | k’otq’inomal | usik’ik’
⛑	chi’ch’ powi’ rech tob’anem	ch’ichi’ powi’ | chi’ch’ powi’ rech tob’anem | krusim | palajaj | powi’ | tob’anem
⛓	taq ch’ich’	ch’ich’ | taq ch’ich’
⛩	sinto	kojb’al | santuar | sinto
⛰	juyub’	juyub’
⛱	q’atjab’ pa uwach ulew	jab’ | q’atjab’ | q’atjab’ pa uwach ulew | q’ij
⛴	erenik	aj b’ya | erenik | jukub’
⛷	charanel	charanel | chararb’al | saq tew
⛸	texajab’ rech t’ajaj	t’ajaj | texajab’ | texajab’ rech t’ajaj
⛹	winaq ktajin kupixkansaj potz’	potz’ | winaq ktajin kupixkansaj potz’
✂	taq qupib’al	chakub’al | taq qupib’al | uramixik
✈	xik’ich’ich’	xik’ich’ich’
✉	k’oltz’ib’wuj	k’oltz’ib’wuj | taqoqxa’nib’al | tz’ib’wuj
✌	q’ab’aj rech ch’akanem	ch’akanem | q’ab’aj | q’ab’aj rech ch’akanem | v
✍	Tz’ib’anem chi q’ab’aj	q’ab’al | tz’ib’anem | Tz’ib’anem chi q’ab’aj
✏	che’ tz’ib’ab’al	che’ tz’ib’ab’al
✒	q’eq uwi’	che’ tz’ib’ab’al | q’eq uwi’ | uwi’
✔	nim uq’atub’al etal	etal | nim uq’atub’al etal | q’atub’al
✖	nim k’iyarisanem x	k’iyarisanem | nim k’iyarisanem x | uk’iyarisaxik | uq’atexik | x
✝	krus latino	kojb’al | kristian | krus | krus latino
✡	ch’umil rech David	ch’umil | ch’umil rech David | David | Judío | kojb’al | rech Juda
✳	wajxaqib’ ra’l uwi’ ch’umul	ch’umil | wajxaqib’ ra’l uwi’ ch’umul
✴	wajxaqib’ uwi’ ch’umul	q’ij | wajxaqib’ uwi’ ch’umul
❄	krissaq tew	krissaq tew | saq tew | tew
❇	chupchutem	chupchutem
❣	al anima rech mayb’al	al anima rech mayb’al | etal | mayb’al | ratal taq tz’ib’
❤	kaq anima	anima | kaq anima
➡	wikiq’ab’ ch’ab’	ch’ab’ | k’utset | kemriqonib’al | releb’al q’ij | wikiq’ab’ ch’ab’
⤴	wikiq’ab’ ch’ab’ kotol b’i pa uwi’	Ch’ab’ | wikiq’ab’ ch’ab’ kotol b’i pa uwi’
⤵	wikiq’ab’ ch’ab’ kotol b’i chi uxe’	ch’ab’ | uxe’ | wikiq’ab’ ch’ab’ kotol b’i chi uxe’
⬅	moxq’ab’ chab’	ch’ab’ | k’utset | kemriqonib’al | moxq’ab’ chab’ | uqajb’al kaqiq
⬆	ch’ab’ pa uwi’	ch’ab’ | ch’ab’ pa uwi’ | kemriqonib’al | kut’set | releb’al q’ij
⬇	cha’b’ chi uxe’	ch’ab’ | cha’b’ chi uxe’ | k’utset | kemriqonib’al | uqajb’al q’ij | uxe’
〰	kotokik nimajuch’	kotokik | nimajuch’ | retal tz’ib’
〽	k’exb’alil rech utz’aqatil etal	etal | k’exb’alil rech utz’aqatil etal | tz’aqatil
㊗	Pitz’b’al rech "ki’kotemal chi awech" rech Japon	"ki’kotemal chi awech" | juch’tz’ib’ | Pitz’b’al rech "ki’kotemal chi awech" rech Japon | rech Japón | 祝
㊙	Pitz’b’al rech "echeb’alil" rech Japon	"echeb’alil" | juch’tz’ib’ | Pitz’b’al rech "echeb’alil" rech Japon | rech Japón | 祝
🅰	pitz’b’al A (kik’ uwach)	a | pitz’b’al A (kik’ uwach) | uwach kik’
🅱	pitz’b’al B (kik’ uwach)	b | kik’ uwach | pitz’b’al B (kik’ uwach)
🅾	O pitz’b’al (uwach kik’)	O pitz’b’al (kik’uwach) | O pitz’b’al (uwach kik’)
🅿	pitz’b’al P	chakalem | pitz’b’al P
🈂	rech Japón "tojtal patanib’al" pitz’b’al	"tojtal patanib’al" | katakana | rech Japon | rech Japón "tojtal patanib’al" pitz’b’al | サ
🈷	rech Japón pitz’b’al rech "rajilab’alil chi ik’"	"rajilab’alil chi ik’" | juch’tz’ib’ | rech Japón | rech Japón pitz’b’al rech "rajilab’alil chi ik’" | 月
🌡	q’aq’tewal	meq’owal | q’aq’tewal
🌤	q’ij chi rij nitz’ sutz	q’ij | q’ij chi rij nitz’ sutz | sutz’
🌥	q’ij chi rij nim sutz	q’ij | q’ij chi rij nim sutz | sutz’
🌦	q’ij chi rij sutz’ rech jab’	jab’ | q’ij | q’ij chi rij sutz’ rech jab’ | sutz’
🌧	sutz’ ruk’ jab’	jab’ | Sutz’ | sutz’ ruk’ jab’
🌨	sutz’ ruk’ saq tew	saq tew | sutz’ | sutz’ ruk’ saq tew | tew
🌩	sutz’ ruk’ tzuklinem	sutz’ | sutz’ ruk’ tzuklinem | tzuk’linem
🌪	nim salk’um	nim salk’um | salk’um | tew
🌫	sutz’ u-wächulew	sutz’ | sutz’ u-wächulew
🌬	kaqiq’ palajaj	kaqiq’ | palajaj | sipojem | sutz’
🌶	poqon q’ax	poqon | q’ax
🍽	xk’aq chi’l kuchi’l ruk’ web’al	kuchi’l | tzakoj riki’l | web’al | xk’aq | xk’aq chi’l kuchi’l ruk’ web’al
🎖	chachal rech militar	chachal | chachal rech militar | nimaq’ij | rech militar
🎗	na’tajisab’al kemutasil	kemutasil | na’tajisab’al | nimaq’ij
🎙	k’oq’ojomal rech jek’b’al ch’aweb’al	jek’ | jek’b’al ch’aweb’al | k’oq’ojomal | k’oq’ojomal rech jek’b’al ch’aweb’al | q’ojom
🎚	jililb’al cholajil	jililb’al | jililb’al cholajil | q’ojom | ucholajil
🎛	rilawachixik taq pitz’b’al	q’ojom | rilawachixik | rilawachixik taq pitz’b’al | taq pitz’b’al
🎞	taq uchi’ silob’k’utwachib’al	k’utb’al silob’k’utwachinem | silob’k’utwachinem | taq uchi’ | taq uchi’ silob’k’utwachib’al
🎟	rajilab’alil	rajilab’alil | uwujil
🏋	winaq kupaqab’isaj taq a’lal	a’lal | paqab’isanel | winaq kupaqab’isaj taq a’lal
🏌	winaq ktajin kretz’ab’ej yopotz’	potz’ | winaq ktajin kretz’ab’ej yopotz’ | yopotz’
🏍	ret’et’	anim | ret’et’
