# CLDR symbol names for rhg: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
☘	𐴐𐴤𐴝𐴔𐴟𐴌𐴟𐴑	𐴏𐴝𐴌𐴝 - 𐴃𐴞𐴕 𐴉𐴝𐴃𐴝 𐴀𐴡𐴓𐴝 𐴒𐴝𐴏𐴢 | 𐴐𐴤𐴝𐴔𐴟𐴌𐴟𐴑
☝	𐴓𐴝𐴙𐴅𐴧𐴙𐴝 𐴀𐴦𐴡𐴣𐴓 𐴓𐴡𐴘 𐴀𐴟𐴖𐴡𐴌 𐴔𐴞𐴑𐴧𐴤𐴙𐴝 𐴀𐴞𐴐𐴤𐴝𐴌𐴝 𐴒𐴡𐴌𐴥𐴡𐴕	𐴀𐴦𐴡𐴣𐴓 / 𐴇𐴥𐴝𐴃𐴢 / 𐴓𐴝𐴙𐴅𐴧𐴤𐴙𐴝 𐴀𐴦𐴡𐴣𐴓 / 𐴓𐴝𐴙𐴅𐴧𐴙𐴝 𐴀𐴦𐴡𐴣𐴓 𐴓𐴡𐴘 𐴀𐴟𐴖𐴡𐴌 𐴔𐴞𐴑𐴧𐴤𐴙𐴝 𐴀𐴞𐴐𐴤𐴝𐴌𐴝 𐴒𐴡𐴌𐴥𐴡𐴕 / 𐴀𐴞𐴐𐴤𐴝𐴌𐴝 / 𐴀𐴟𐴖𐴡𐴌 𐴔𐴞𐴑𐴧𐴤𐴙𐴝 | 𐴓𐴝𐴙𐴅𐴧𐴙𐴝 𐴀𐴦𐴡𐴣𐴓 𐴓𐴡𐴘 𐴀𐴟𐴖𐴡𐴌 𐴔𐴞𐴑𐴧𐴤𐴙𐴝 𐴀𐴞𐴐𐴤𐴝𐴌𐴝 𐴒𐴡𐴌𐴥𐴡𐴕
⛷	𐴁𐴡𐴌𐴥𐴡𐴉𐴡𐴃𐴢 𐴏𐴡𐴏𐴧𐴡𐴌𐴡𐴙𐴕𐴧𐴝	𐴀𐴠𐴏𐴑𐴞𐴁𐴟𐴄𐴢 - 𐴁𐴡𐴌𐴥𐴡𐴉𐴡𐴃𐴢 𐴏𐴡𐴏𐴧𐴡𐴌𐴡𐴙𐴕𐴧𐴝 - 𐴁𐴡𐴌𐴥𐴉𐴢 | 𐴁𐴡𐴌𐴥𐴡𐴉𐴡𐴃𐴢 𐴏𐴡𐴏𐴧𐴡𐴌𐴡𐴙𐴕𐴧𐴝
⛹	𐴉𐴥𐴝𐴓𐴊𐴝𐴕𐴞 𐴁𐴡𐴀𐴡𐴓 𐴑𐴤𐴠𐴓𐴡𐴀𐴡𐴙𐴕𐴧𐴝 𐴔𐴝𐴕𐴥𐴟𐴙𐴐𐴢	𐴁𐴡𐴀𐴡𐴓 -𐴉𐴥𐴝𐴓𐴊𐴝𐴕𐴞 𐴁𐴡𐴀𐴡𐴓 𐴑𐴤𐴠𐴓𐴡𐴀𐴡𐴙𐴕𐴧𐴝 𐴔𐴝𐴕𐴥𐴟𐴙𐴐𐴢 | 𐴉𐴥𐴝𐴓𐴊𐴝𐴕𐴞 𐴁𐴡𐴀𐴡𐴓 𐴑𐴤𐴠𐴓𐴡𐴀𐴡𐴙𐴕𐴧𐴝 𐴔𐴝𐴕𐴥𐴟𐴙𐴐𐴢
✌	𐴑𐴝𐴔𐴞𐴘𐴝𐴁𐴞𐴌 𐴇𐴥𐴝𐴃𐴢	𐴇𐴥𐴝𐴃𐴢 / v / 𐴑𐴝𐴔𐴞𐴘𐴝𐴁𐴞 | 𐴑𐴝𐴔𐴞𐴘𐴝𐴁𐴞𐴌 𐴇𐴥𐴝𐴃𐴢
✍	𐴓𐴠𐴑𐴤𐴠𐴊𐴠 𐴇𐴥𐴝𐴃𐴢	𐴇𐴥𐴝𐴃𐴢 / 𐴓𐴠𐴑𐴤𐴡𐴕 / 𐴓𐴠𐴑𐴤𐴠𐴊𐴠 𐴇𐴥𐴝𐴃𐴢 | 𐴓𐴠𐴑𐴤𐴠𐴊𐴠 𐴇𐴥𐴝𐴃𐴢
🌶	𐴎𐴤𐴝𐴓 𐴔𐴡𐴌𐴞𐴏𐴢	𐴎𐴤𐴝𐴓 - 𐴔𐴡𐴌𐴞𐴏𐴢 | 𐴎𐴤𐴝𐴓 𐴔𐴡𐴌𐴞𐴏𐴢
🏋	𐴀𐴟𐴎𐴤𐴡𐴕 𐴃𐴟𐴓𐴡𐴀𐴡𐴙𐴕𐴧𐴝 𐴔𐴝𐴕𐴥𐴟𐴙𐴐𐴢	𐴀𐴟𐴎𐴤𐴡𐴕 𐴃𐴟𐴓𐴡𐴀𐴡𐴙𐴕𐴧𐴝 𐴔𐴝𐴕𐴥𐴟𐴙𐴐𐴢 | 𐴃𐴟𐴓𐴡𐴀𐴡𐴙𐴕𐴧𐴝 -𐴀𐴟𐴎𐴤𐴡𐴕 𐴃𐴟𐴓𐴡𐴀𐴡𐴙𐴕𐴧𐴝 𐴔𐴝𐴕𐴥𐴟𐴙𐴐𐴢 - 𐴀𐴟𐴎𐴤𐴡𐴕
🏌	𐴒𐴤𐴡𐴓𐴉𐴢 𐴑𐴤𐴠𐴓𐴡𐴀𐴡𐴙𐴕𐴧𐴝 𐴔𐴝𐴕𐴥𐴟𐴙𐴐𐴢	𐴁𐴡𐴀𐴡𐴓 - 𐴒𐴤𐴡𐴓𐴉𐴢 𐴑𐴤𐴠𐴓𐴝 -𐴒𐴤𐴡𐴓𐴉𐴢 𐴑𐴤𐴠𐴓𐴡𐴀𐴡𐴙𐴕𐴧𐴝 𐴔𐴝𐴕𐴥𐴟𐴙𐴐𐴢 | 𐴒𐴤𐴡𐴓𐴉𐴢 𐴑𐴤𐴠𐴓𐴡𐴀𐴡𐴙𐴕𐴧𐴝 𐴔𐴝𐴕𐴥𐴟𐴙𐴐𐴢
🏵	𐴒𐴟𐴓𐴝𐴁𐴞 𐴕𐴡𐴑𐴐𐴤𐴡	𐴏𐴝𐴌𐴝 - 𐴒𐴟𐴓𐴝𐴁𐴞 | 𐴒𐴟𐴓𐴝𐴁𐴞 𐴕𐴡𐴑𐴐𐴤𐴡
