# CLDR symbol names for rm: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	segn d’exclamaziun	d’exclamaziun | exclamaziun | segn
#	rauta	crusch | dubel | dubla | hash | hashtag | rauta
$	dollar	daners | dollar | peso | segn da dollar | USD
%	pertschient	pertschient | procent | tschientavel
&	commerzial	ampersand | commerzial | e
'	apostrof dactilografic	apostrof | dactilografic | grad | singul
)	parantesa che serra	parantesas | radund | radundas | serrar
*	asterisc	asterisc | staila | stailina | tegnaplazza
+	segn plus	adiziun | plus | segn
,	comma	comma | virgula
-	stritg d’amez	d’amez | d’uniun | lingetta | minus | stritg
.	punct	punct | stop
/	stritg diagonal	diagonal | enavant | slash | stritg
:	punct dubel	colon | punct dubel
;	semicolon	semicolon
<	pli pitschen che	avrir | che | cumparegliar | main | pli pitschen | pli pitschen che | tag
=	egual	egual | equaziun | equivalent | medem | segn | segn d’equaziun
>	pli grond che	che | cumparegliar | pli grond | pli grond che | serrar | tag
?	segn da dumonda	dumonda | segn
@	cua-schimgia	at | cua | schimgia | segn
[	parantesa quadra che avra	avrir | che avra | parantesa | parantesas | quader | quadra
\	stritg diagonal invers	backslash | diagonal | enavos | invers | invertì | slash | stritg
]	parantesa quadra che serra	che serra | parantesa | parantesas | quader | quadra | serrar
^	accent circumflex	accent | caret | circumflex | tetg | xor
_	sutstritg	bass | stritg | sut | sutstritg
`	accent grav	accent | accentuaziun | grav | grave
{	parantesa artgada che avra	artgada | avrir | che avra | parantesa | parantesas
|	lingia verticala	lingia | pipe | stritg | verticala
}	parantesa artgada che serra	artgada | che serra | parantesa | parantesas | serrar
~	tilda	tilda
¡	segn d’exclamaziun sutsura	exclamaziun | invers | segn | sutsura
¢	cent	cent | cents
£	glivra	EGP | GBP | glivra | glivra sterlina | pound
¤	valuta nunenconuschenta	
¥	yen	CNY | JPY | valuta | yen | yuan
§	segn da paragraf	paragraf | part | s dubel | secziun
¨	stgirentada	metafonia | stgirentada
©	copyright	C | copyright
«	virgulettas franzosas a sanestra	a sanestra | angul | franzosas | guillemet | sanester | virgulettas
¬	negaziun	betg | negaziun
®	marca registrada	marca | R | registrada
°	grads	grad | grads | pertschient en volumen | ura
±	segn plusminus	plus-minus | plusminus
²	2, elevà	2 | a la potenza dus | dumber | elevà | potenza dus | quadrat
³	3, elevà	a la potenza trais | cubic | elevà | potenza trais
´	accent acut	accent | accentuaziun | acut | aigu
µ	simbol da micro	mesira | micro | segn | simbol | unitads
¶	segn d’alinea	alinea | d’alinea | nova lingia | paragraf | segn
·	punct d’amez	amez | center | central | d’amez | median | punct
¹	1, elevà	1 | elevà | in
»	virgulettas franzosas a dretga	a dretga | angul | dretg | franzosas | guillemet | virgulettas
¿	segn da dumonda sutsura	dumonda | invers | segn | sutsura
×	segn da multiplicaziun	gia | giadas | multiplicaziun | multiplitgar | segn
÷	segn da divisiun	divider | divisiun | obelus | segn
֏	dram da l’Armenia	
؋	afgani afgan	
،	comma arab	arab | araba | comma | virgula
؛	semicolon arab	arab | semicolon
؟	segn da dumonda arab	arab | dumonda | segn | segn da dumonda
৳	taka dal Bangladesch	
฿	baht tailandais	
៛	riel cambodschan	
‐	stritg d’uniun	d’uniun | orizontal | stritg | uniun
–	lingetta en	lingetta | stritg
—	lingetta em	lingetta | lingia | lunga
―	stritg da reflexiun	lingia | orizontal | reflexiun | stritg | stritg da reflexiun
‘	apostrof sanester	apostrof | sanester | singul | virguletta
’	apostrof dretg	apostrof | dretg | singul | virguletta
‚	apostrof dretg bass	apostrof | bass | dretg | singul | virguletta
“	virgulettas sanestras	a sanestra | dubel | sanestras | virgulettas
”	virgulettas dretgas	a dretga | dretg | dretga | dubla | virguletta | virgulettas
„	virgulettas bassas a dretga	bassas | dretga | dretgas | dublas | virgulettas
†	simbol da stilet	crusch | obelisc | obelus | simbol | stilet
‡	simbol da stilet dubel	crusch | dubel | dubla | obelisc | obelus | simbol | stilet
•	simbol d’enumeraziun	d’enumeraziun | enumeraziun | punct | segn | simbol
…	puncts da suspensiun	puncts | suspensiun | trais
‧	punct da separaziun en silbas	punct | separaziun | silbas
‰	promil	milliavel | promil
′	prim	prim
″	prim dubel	dubel | prim
‴	prim traidubel	prim | traidubel | tripel
‸	accent circumflex	accent | caret | circumflex
※	crusch a quatter puncts	a quatter | crusch | puncts | quatter | referenza
‼	segn d’exclamaziun dubel	! | !! | dubel | exclamaziun | interpuncziun | segn
‽	interrobang	d’exclamaziun | da dumonda | dumonda | exclamaziun | exclarrogativ | interrobang | punct | segn
‾	surstritg	stritg | stritgin | sura | surstritg | survart
⁂	asterism	asterisc | asterism | stailas | stailettas | traidubel | tripel
⁄	stritg da fracziun	fracziun | slash | stritg
⁉	segn d’exclamaziun e da dumonda	! | !? | ? | d’exclamaziun | dumonda | exclamaziun | interpuncziun | segn
⁻	minus elevà	aut | elevà | minus
₡	colón da la Costa Rica	
₢	cruzeiro	BRB | cruzeiro | valuta
₣	franc franzos	franc | franzos | valuta
₤	lira	lira | valuta
₥	mill	mil | mill
₦	naira nigeriana	
₧	peseta spagnola	
₨	rupia	rupia | valuta
₩	won	KPW | KRW | won
₪	nov shekel israelian	
₫	dong vietnamais	
€	euro	EUR | euro | valuta
₭	kip laot	
₮	tugrik mongolic	
₰	fennic tudestg	fennic | german | pfennig | tudestg | valuta
₱	peso	peso
₲	guarani paraguaian	
₳	austral	ARA | austral | valuta
₴	hryvnia ucranaisa	
₵	cedi ghanais	
₶	livre tournois	glivra | livre | tournois | valuta
₷	spesmilo	spesmilo | valuta
₸	tenge kasac	
₹	rupia indica	indica | rupia | valuta
₺	lira tirca	
₼	manat aserbaidschan	
₽	rubel	rubel | russ | valuta
₾	lari georgian	
₿	bitcoin	bitcoin | BTC
℗	simbol da copyright per registraziuns sonoras	audio | copyright | dretg d’autur | registraziuns | sonoras | tun
™	marca	commerzial | marca | TM
ℹ	infurmaziun	I | info | infu | infurmaziun
←	frizza a sanestra	a sanestra | frizza | sanester
↑	frizza ensi	enasi | ensi | frizza
→	frizza a dretga	a dretga | dretg | frizza
↓	frizza engiu	engiu | frizza | giu
↔	frizza a dretga ed a sanestra	a dretga | a sanestra | dretg | dubla | frizza | sanester
↕	frizza ensi ed engiu	engiu | ensi | frizza
↖	frizza vers sura a sanestra	a sanestra | ensi | frizza | nordvest | sanester | sura | vers
↗	frizza vers sura a dretga	a dretga | ensi | frizza | nordost | sura | vers
↘	frizza vers sut a dretga	a dretga | dretg | engiu | frizza | sidost | sut | vers
↙	frizza vers sut a sanestra	a sanestra | engiu | frizza | sanester | sidvest | sut | vers
↚	frizza a sanestra stritgada	a sanestra | frizza | sanester | stritgà | stritgada
↛	frizza a dretga stritgada	a dretga | dretg | frizza | stritgà | stritgada
↜	frizza undegiada a sanestra	a sanestra | frizza | unda | undegiada
↝	frizza undegiada a dretga	a dretga | frizza | unda | undegiada
↞	frizza cun piz dubel a sanestra	a sanestra | cun | frizza | piz dubel
↟	frizza cun piz dubel ensi	cun | ensi | frizza | piz dubel
↠	frizza cun piz dubel a dretga	a dretga | cun | dretg | frizza | piz dubel
↡	frizza cun piz dubel engiu	cun | engiu | frizza | piz dubel
↢	frizza a sanestra cun cua-pesch	a sanestra | cua | cua-pesch | cun | frizza
↣	frizza a dretga cun cua-pesch	a dretga | cua | cua-pesch | cun | frizza
↤	frizza a sanestra davent da trav	a sanestra | davent da | frizza | trav
↥	frizza ensi davent da trav	davent da | ensi | frizza | trav
↦	frizza a dretga davent da trav	a dretga | davent da | frizza | trav
↧	frizza engiu davent da trav	davent da | engiu | frizza | trav
↨	frizza ensi ed engiu cun basa	basa | cun | engiu | ensi | frizza
↩	frizza curvada a sanestra	a dretga | a sanestra | curvada | frizza | storta | vieuta
↪	frizza curvada a dretga	a dretga | a sanestra | curvada | frizza | storta | vieuta
↫	frizza a sanestra cun anza	a sanestra | anza | cun | frizza
↬	frizza a dretga cun anza	a dretga | anza | cun | frizza
↭	frizza a dretga ed a sanestra cun undas	a dretga | a sanestra | cun undas | ed | frizza | undegiada
↮	frizza a sanestra ed a dretga stritgada	a dretga | dretg a sanestra | frizza | sanester | stritgà | stritgada
↯	frizza ziczac engiu	chantuns | engiu | frizza | ziczac
↰	frizza ensi cun piz a sanestra	a sanestra | cun piz | ensi | frizza
↱	frizza ensi cun piz a dretga	a dretga | cun piz | ensi | frizza
↲	frizza engiu cun piz a sanestra	a sanestra | cun piz | engiu | frizza
↳	frizza engiu cun piz a dretga	a dretga | cun piz | engiu | frizza
↴	frizza a dretga cun piz vers engiu	a dretga | cun piz | engiu | frizza | vers
↵	frizza engiu cun piz a sanestra	a sanestra | cun piz | engiu | frizza
↶	frizza sura en direcziun cuntraria a l’ura	en direcziun cuntraria a l’ura | frizza | sura
↷	frizza sura en direcziun da l’ura	en direcziun da l’ura | frizza | sura
