# CLDR symbol names for ro: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	semn de exclamare	exclamare | semn de exclamare | semn de exclamație | semnul exclamării | semnul mirării
#	hashtag	cifră | diez | hashtag | tastă
$	dolar	bani | dolar | peso | USD
%	procent	la sută | procent
&	ampersand	ampersand | et | și
'	apostrof mașină de scris	apostrof | apostrof mașină de scris | citat | ghilimele simple
)	paranteză închisă	închisă | paranteză | rotundă
*	asterisc	asterisc | metacaracter | steluță | wildcard
+	semnul plus	adunare | plus | semnul plus
,	virgulă	virgulă
-	cratimă-minus	cratimă | cratimă-minus | liniuță | minus
.	punct	final | propoziție | punct
/	bară oblică	bară | dreapta | linie | oblică | slash
:	două puncte	două puncte
;	punct și virgulă	punct și virgulă
<	mai mic decât	deschidere tag | mai mic decât | tag
=	egal	egal | egalitate
>	mai mare decât	etichetă | etichetă de închidere | mai mare decât
?	semn de întrebare	întrebare | semn de întrebare | semnul întrebării
@	a rond	a rond | coadă de maimuță | la | semn adresă
[	paranteză pătrată deschisă	croșetă | paranteză | paranteză pătrată | paranteză pătrată deschisă
\	bară oblică inversă	bară | inversă | oblică | stânga
]	paranteză pătrată închisă	croșetă | paranteză | paranteză pătrată | paranteză pătrată închisă
^	accent circumflex	accent | căciuliță | circumflex | indicator | putere
_	underscore	linie | linie joasă | linie subliniere | liniuță jos | underscore
`	accent grav	accent | grav | ton
{	acoladă deschisă	acoladă | deschisă | paranteză
|	linie verticală	băț | lance | linie | linie verticală | suliță | țeavă
}	acoladă închisă	acoladă | închisă | paranteză
~	tildă	tildă
¡	semnul exclamării întors	exclamare | întors | semn de exclamare | semn de exclamație | semnul exclamării | semnul exclamării întors | semnul mirării
¢	cent	cent
£	liră	EGP | GBP | liră | monedă
¤	monedă necunoscută	
¥	yen	CNY | JPY | monedă | yen | yuan
§	secțiune	paragraf | parte | secțiune | semnul secțiune
¨	tremă	tremă | umlaut
©	drepturi de autor	c | copyright | drept de autor | drepturi de autor
«	ghilimele ascuțite stânga	accente circumflexe | ascuțite | ghilimele ascuțite stânga | ghilimele unghiulare | paranteze | semnele citării | stânga
¬	negare	negare | nu
®	marcă înregistrată	înregistrat | marcă înregistrată | oficial | r
°	grad	grad | oră
±	plus-minus	plus-minus
²	exponent doi	doi | exponent | la pătrat
³	exponent trei	exponent | la cub | trei
´	accent ascuțit	accent | ascuțit | ton
µ	semnul micro	măsură | semnul micro
¶	semn de paragraf	alineat | paragraf | semn de paragraf
·	punct la mijloc	interpunct | mijloc | punct | punct de mijloc | punct la mijloc | punct median
¹	exponent unu	exponent | unu
»	ghilimele ascuțite dreapta	accente circumflexe | ascuțite | dreapta | ghilimele ascuțite dreapta | ghilimele unghiulare | paranteze | semnele citării
¿	semnul întrebării întors	întors | întrebare | semn de întrebare | semnul întrebării întors
×	semnul înmulțirii	înmulți | înmulțire | ori | semnul înmulțirii
÷	semnul împărțirii	împărți | împărțire | semnul împărțirii
֏	dram armenesc	
؋	afgani afgan	
،	virgulă arabă	arabă | virgulă
؛	punct și virgulă arabe	arabe | punct și virgulă | punct și virgulă arabe
؟	semnul întrebării arab	arab | întrebare | semnul întrebării | semnul întrebării arab
৳	taka din Bangladesh	
฿	baht thailandez	
៛	riel cambodgian	
‐	cratimă	cratimă | liniuță
–	linie de pauză	linie | linie de pauză | pauză
—	linie de dialog	dialog | linie | linie de dialog
―	linie orizontală	bară | linie | linie orizontală | liniuță
‘	apostrof stânga	apostrof | apostrof stânga | citat | ghilimele simple
’	apostrof dreapta	apostrof | apostrof dreapta | citat | ghilimele simple
‚	apostrof dreapta jos	apostrof | apostrof dreapta jos | citat | citat jos
“	ghilimele stânga	citat | citat inteligent | ghilimele duble | ghilimele stânga
”	ghilimele dreapta	citat | citat inteligent | ghilimele dreapta | ghilimele duble
„	ghilimele dreapta jos	citat | citat inteligent | ghilimele dreapta jos | ghilimele duble | ghilimele jos
†	semn cruciuliță	cruciuliță | obelisc | semn cruciuliță
‡	semn cruciuliță dublă	cruciuliță | dublă | obelisc | semn cruciuliță dublă
•	marcator	marcator | punct
…	puncte de suspensie	omisiune | puncte de suspensie | trei puncte
‧	punct de despărțire	cratimă | liniuță | punct | punct de despărțire
‰	promilă	la mie | miime | promilă
′	prim	prim
″	secund	secund
‴	terț	terț
‸	semn de omisiune	semn de omisiune
※	semn de referință	semn de referință
‼	semn dublu de exclamare	! | dublă exclamare | dublu | exclamare | exclamație | punctuație | semn | semn dublu de exclamare
‽	semnul exclamării și întrebării	semnul exclamării și întrebării
‾	supralinie	bară deasupra | bară superioară | linie deasupra | linie superioară | supralinie
⁂	asterism	asterism | stele
⁄	bară oblică de fracție	bară oblică de fracție
⁉	semn de exclamare și întrebare	! | !? | ? | exclamare | exclamare și întrebare | exclamație | întrebare | punctuație | semn de exclamare și întrebare | semn de punctuație | semnul exclamării | semnul întrebării
⁻	exponent minus	exponent | minus
₡	colón costarican	
₢	cruzeiro	cruzeiro | monedă
₣	franc francez	franc | franc francez | monedă
₤	liră sterlină	liră | liră sterlină | monedă
₥	mill	mil | mill
₦	naira nigeriană	
₧	pesetă spaniolă	
₨	rupie	monedă | rupie
₩	won	KPW | KRW | won
₪	shekel israelian nou	
₫	dong vietnamez	
€	euro	EUR | euro | monedă
₭	kip laoțian	
₮	tugrik mongol	
₰	pfenig german	monedă | pfenig | pfenig german
₱	peso	peso
₲	guarani	
₳	austral argentinian	austral argentinian | monedă
₴	grivnă	
₵	cedi ghanez	
₶	livră tournois	livră tournois | monedă
₷	spesmilo	monedă | spesmilo
₸	tenge kazahă	
₹	rupie indiană	monedă | rupie | rupie indiană
₺	liră turcească	
₼	manat azer	
₽	rublă	monedă | rublă
₾	lari georgian	
₿	bitcoin	bitcoin | BTC
℗	drepturi de autor pentru înregistrare audio	audio | copyright | drepturi de autor | drepturi de autor pentru înregistrare audio | înregistrare
™	marcă comercială	comercială | marcă | marcă înregistrată | tm | trademark
ℹ	informații	i | informații | punct de informații | sursă de informații
←	săgeată spre stânga	săgeată | săgeată spre stânga | stânga
↑	săgeată în sus	săgeată | săgeată în sus | sus
→	săgeată spre dreapta	dreapta | săgeată | săgeată spre dreapta
↓	săgeată în jos	jos | săgeată | săgeată în jos
↔	săgeată dreapta-stânga	indicator | săgeată | săgeată dreapta-stânga | săgeată stânga-dreapta
↕	săgeată sus-jos	indicator | săgeată | săgeată sus-jos | sus
↖	săgeată orientată în stânga-sus	direcție | indicator | intercardinal | nord-vest | săgeată | săgeată orientată în stânga-sus | stânga | sus
↗	săgeată orientată în dreapta-sus	direcție | dreapta | indicator | intercardinal | nord-est | săgeată | săgeată orientată în dreapta-sus | sus
↘	săgeată orientată în dreapta-jos	direcție | dreapta | indicator | intercardinal | jos | săgeată | săgeată orientată în dreapta-jos | sud-est
↙	săgeată orientată în stânga jos	direcție | indicator | intercardinal | jos | săgeată | săgeată orientată în stânga jos | stânga | sud-vest
↚	săgeată spre stânga cu bară oblică	săgeată spre stânga cu bară oblică
↛	săgeată spre dreapta cu bară oblică	săgeată spre dreapta cu bară oblică
↜	săgeată ondulată spre stânga	săgeată ondulată spre stânga
↝	săgeată ondulată spre dreapta	săgeată ondulată spre dreapta
↞	săgeată cu două vârfuri spre stânga	săgeată cu două vârfuri spre stânga | săgeată cu vârf dublu spre stânga
↟	săgeată cu două vârfuri în sus	săgeată cu două vârfuri în sus | săgeată cu vârf dublu în sus
↠	săgeată cu două vârfuri spre dreapta	săgeată cu două vârfuri spre dreapta | săgeată cu vârf dublu spre dreapta
↡	săgeată cu două vârfuri în jos	săgeată cu două vârfuri în jos | săgeată cu vârf dublu în jos
↢	săgeată spre stânga cu coadă	săgeată spre stânga cu coadă
↣	săgeată spre dreapta cu coadă	săgeată spre dreapta cu coadă
↤	săgeată spre stânga dinspre bară	săgeată spre stânga dinspre bară
↥	săgeată în sus dinspre bară	săgeată în sus dinspre bară
↦	săgeată spre dreapta dinspre bară	săgeată spre dreapta dinspre bară
↧	săgeată în jos dinspre bară	săgeată în jos dinspre bară
↨	săgeată sus-jos cu bază	săgeată sus-jos cu bază
↩	săgeată dreapta curbată spre stânga	curbă | indicator | săgeată | săgeată dreapta curbată spre stânga | săgeată întoarcere spre stânga | stânga
↪	săgeată stânga curbată spre dreapta	curbă | dreapta | indicator | săgeată | săgeată întoarcere spre dreapta | săgeată stânga curbată spre dreapta
↫	săgeată spre stânga cu buclă	săgeată spre stânga cu buclă
↬	săgeată spre dreapta cu buclă	săgeată spre dreapta cu buclă
↭	săgeată ondulată bidirecțională	săgeată ondulată bidirecțională
↮	săgeată bidirecțională cu bară oblică	săgeată bidirecțională cu bară oblică
↯	săgeată în zigzag în jos	săgeată în zigzag în jos
↰	săgeată în sus cu vârf spre stânga	săgeată în sus cu vârf spre stânga
↱	săgeată în sus cu vârf spre dreapta	săgeată în sus cu vârf spre dreapta
↲	săgeată în jos cu vârf spre stânga	săgeată în jos cu vârf spre stânga
↳	săgeată în jos cu vârf spre dreapta	săgeată în jos cu vârf spre dreapta
↴	săgeată spre dreapta cu colțul în jos	săgeată spre dreapta cu colțul în jos
↵	săgeată spre stânga cu colțul în jos	săgeată spre stânga cu colțul în jos
↶	săgeată în semicerc în sus în sens antiorar	săgeată în semicerc în sus în sens antiorar
↷	săgeată în semicerc în sus în sens orar	săgeată în semicerc în sus în sens orar
↸	săgeată spre nord-vest către bară lungă	săgeată spre nord-vest către bară lungă
↹	săgeată spre stânga către bară peste săgeată spre dreapta către bară	bară | săgeată | săgeată spre stânga către bară peste săgeată spre dreapta către bară | săgeată spre stânga peste săgeată spre dreapta cu bare | spre dreapta | spre stânga
