# CLDR symbol names for ru: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	восклицательный знак	восклицание | восклицательный | знак
#	знак решетки	знак решетки | номер | октоторп | решетка | фунт | хеш | хэш
$	доллар	валюта | деньги | доллар | США
%	процент	процент | сотая доля
&	амперсанд	амперсанд | и
'	машинописный апостроф	апостроф | кавычка | машинописный апостроф | одинарная кавычка
)	закрывающая скобка	закрывающая скобка | круглая скобка | скобка
*	звездочка	астериск | звезда | звездочка
+	плюс	знак плюса | плюс | прибавление | сложение
,	запятая	запятая
-	дефис-минус	вычитание | дефис | дефис-минус | минус | тире
.	точка	конец | точка
/	косая черта	косая | слэш | черта
:	двоеточие	двоеточие
;	точка с запятой	запятая | точка | точка с запятой
<	меньше	менее | меньше | меньше чем | открыть тег | тег
=	равно	знак равенства | равно | равняется
>	больше	более | больше | больше чем | закрыть тег | тег
?	вопросительный знак	вопрос | вопросительный | знак | знак вопроса
@	коммерческое эт	коммерческое at | коммерческое эт | собака | собачка
[	открывающая квадратная скобка	квадратная скобка | открывающая квадратная скобка | открывающая скобка | скобка
\	обратная косая черта	бэкслэш | косая | обратная | черта
]	закрывающая квадратная скобка	закрывающая квадратная скобка | закрывающая скобка | квадратная скобка | скобка
^	циркумфлекс	домик | исключающее или | карет | крышечка | оператор | циркумфлекс
_	подчеркивание	андерскор | нижний пробел | подчеркивание | символ подчеркивания
`	гравис	гравис | ударение
{	открывающая фигурная скобка	открывающая скобка | открывающая фигурная скобка | скобка | фигурная скобка
|	вертикальная черта	вертикальная линия | вертикальная черта | пайп
}	закрывающая фигурная скобка	закрывающая скобка | закрывающая фигурная скобка | скобка | фигурная скобка
~	тильда	подобие | тильда | эквивалент
¡	перевернутый восклицательный знак	восклицание | восклицательный знак | перевернутый | перевернутый восклицательный знак
¢	цент	цент | цента | центы
