# CLDR symbol names for rw: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
©	kipirayiti	kipirayiti
®	ibaruwe	ibaruwe
‼	udutangaro tubiri	akarango | akatuzo | bangabanga | gutangara | udutangaro tubiri
⁉	agatangaro n’akabazo	agatangaro n’akabazo | akabazo n’agatangaro | akarango | akatuzo | gutangara | ikibazo
™	ikirango	akarango | ikirango | tm
ℹ	amakuru	amakuru | amakuru ’i’
↔	akambi kava ibumoso kajya iburyo	akambi kava ibumoso kajya iburyo | umwambi
↕	akambi kazamuka-kamanuka	akambi kazamuka-kamanuka | umwambi
↖	umwambi wo hejuru ugana ibumoso	amajyaruguru ashyira iburengerazuba | icyerekezo | kiri hagati y’ibyerekezo bine | umwambi | umwambi wo hejuru ugana ibumoso
↗	umwambi w’ahagana ejuru iburyo	amajyaruguru ashyira iburasirazuba | icyerekezo | kiri hagati y’ibyerekezo bine | umwambi | umwambi w’ahagana ejuru iburyo
↘	umwambi wo hasi ugana iburyo	amajyepfo ashyira iburasirazuba | icyerekezo | kiri hagati y’ibyerekeezo bine | umwambi | umwambi wo hasi ugana iburyo
↙	umwambi wo hasi ahagana ibumoso	amajyepfo ashyira iburengerazuba | icyerekezo | kiri hagati y’ibyerekezo bine | umwambi | umwambi wo hasi ahagana ibumoso
↩	umwambi w’iburyo uhetamiye ibumoso	umwambi | umwambi w’iburyo uhetamiye ibumoso
↪	umwambi w’ibumoso uhetamiye iburyo	umwambi | umwambi w’ibumoso uhetamiye iburyo
⌨	mwandikisho	mudasobwa | mwandikisho
⏏	buto yo gusohora	buto yo gusohora | gusohora
⏭	buto y’indirimbo ikurikira	ahakurikira | buto y’indirimbo ikurikira | indirimbo ikurikira | mpandeshatu | umwambi
⏮	ibuto y’indirimbo ya nyuma	ahabanza | ibuto y’indirimbo ya nyuma | indirimbo ibanza | mpandeshatu | umwambi
⏯	buto yo gukina cyangwa guhagarika gato	buto yo gukina cyangwa guhagarika gato | guhagarika | gukina | iburyo | mpandeshatu | umwambi
⏱	koronometere	isaha | koronometere
⏲	isaha y’imbaragihe	imbaragiher | isaha | isaha y’imbaragihe
⏸	buto yo guhagarika gato	amanota | buto yo guhagarika gato | guhagarara | ihagaritse | inshuro ebyiri
⏹	buto yo guhagarika	buto yo guhagarika | guhagarika | mpandenye
⏺	buto yo gufata amajwi	buto yo gufata amajwi | gufata amajwi | uruziga
Ⓜ	M iri mu ruziga	m | M iri mu ruziga | uruziga
▪	kare ntoya y’umukara	ishusho | kare | kare ntoya y’umukara
▫	kare ntoya y’umweru	ishusho | kare | kare ntoya y’umweru
▶	buto yo gukina	buto yo gukina | gukina | iburyo | mpandeshatu | umwambi
◀	ibuto yo gusubiza inyuma	gusubiza inyumae | ibumoso | ibuto yo gusubiza inyuma | mpandeshatu | umwambi
◻	kare y’umweru iringaniye	ishusho | kare | kare y’umweru iringaniye
◼	kare y’umukara iringaniye	ishusho | kare | kare y’umukara iringaniye
☀	cyu	cyu | gikeye | imirasire | kiganjemo izuba
☁	karawudi	imiterere y’ibihe | karawudi
☂	umuyaga	imvura | umuyaga | umwambaro
☃	umugabo wo mu rubura	ubukonje | umugabo wo mu rubura | urubura
☄	komete	komete | umwanya
☎	telefone	telefone | telefoni
☑	Agasanduku k’amatora bifashisha mu kubara amajwi	agasanduku gashyirwamo impapuro z’itora | Agasanduku k’amatora bifashisha mu kubara amajwi | kugenzura | urupapuro rw’itora
☘	ubwoko bw’ikibabi	ikimera | ubwoko bw’ikibabi
☝	gutunga mukubitarukoko hejuru	gutunga | gutunga mukubitarukoko hejuru | heju | ikiganza | mukubitarukoko | urutoki
☠	igihanga n’amagufamusaraba	igihanga | igihanga n’amagufamusaraba | igikoko | imisarabagufa | isura | urupfu
☢	gyanduza	gyanduza | ikimenyetso
☣	gifite ingaruka ku buzima	gifite ingaruka ku buzima | ikimenyetso
☦	umusaraba w’aba-orthodox	idini | Umukirisitiu | umusaraba | umusaraba w’aba-orthodox
☪	inyenyeri n’ukwezi kw’imboneka	idini | inyenyeri n’ukwezi kw’imboneka | isilamu | Umusilamu
☮	ikimenyetso cy’amahoro	amahoro | ikimenyetso cy’amahoro
☯	yini yangi	cya tawo | iyobokamana | tawo | yangi | yini
☸	uruziga rwa daharama	daharama | iyobokamana | uruziga | uruziga rwa daharama | uwemera Buda
☹	isura irakaye	isura | isura irakaye | kwirakaza
☺	Indoro imwenyura	idashamaje | Indoro imwenyura | inseko | isura | ituje
♀	ikimenyetso cy’umugore	ikimenyetso cy’umugore | umugore
♂	ikimenyetso cy’umugabo	ikimenyetso cy’umugabo | umugabo
♠	ikimenyeso cy’ipiki	ikarita | ikimenyeso cy’ipiki | umukino
