# CLDR symbol names for sc: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
$	dòllaru	dinare | dinari | dòllaru | moneda | USD | valuta
|	lìnia verticale	istanga | istanga verticale | lìnia verticale | tratigheddu verticale
~	tilde	tilde
¢	tzentèsimu	tzentèsimu
£	isterlina	EGP | GBP | isterlina | moneda | valuta
¤	valuta disconnota	
¥	yen	CNY | JPY | moneta | valuta | yen | yuan
¬	negatzione	negatzione | nono
²	nùmeru duos in àpitze	a su cuadradu | àpitze | duos | nùmeru duos in àpitze | punta | valore cuardadu
³	nùmeru tres in àpitze	a su cubu | àpitze | duos | nùmeru duos in àpitze | nùmeru tres in àpitze | punta | valore cùbicu
¹	nùmeru unu in àpitze	àpitze | nùmeru unu in àpitze | punta | unu
×	sinnu de multiplicatzione	bortas | multiplicatzione | pro | signu de multiplicatzione | sinnu de multiplicatzione
÷	sinnu de divisione	divisione | obelu | partzidura | signu de divisione | signu de partzidua | sinnu de divisione | sinnu de partzidura
֏	dram armenu	
؋	afgani afganu	
৳	taka bangladesu	
฿	baht tailandesu	
៛	riel cambogianu	
⁻	sinnu de mancu in àpitze	àpitze | ismanchiamentu | mancu | signu de mancu in àpitze | sinnu de mancu in àpitze
₡	colón costaricanu	
₥	millèsimu	mil | mill | millèsimu
₦	naira nigeriana	
₧	peseta ispagnola	
₩	won	KPW | KRW | moneda | valuta | won
₪	siclu nou israelianu	
₫	dong vietnamesu	
€	èuro	dinare | dinari | EUR | èuro | èuru | moneda | valuta
₭	kip laotianu	
₮	tugrik mòngolu	
₱	peso	moneda | peso | valuta
₲	guaraní paraguayanu	
₴	hryvnia ucraina	
₵	cedi ganesu	
₸	tenge kazaku	
₹	rupia indiana	moneda | rupia indiana | valuta
₺	lira turca	
₼	manat azeru	
₽	rublu	moneda | rublu | valuta
₾	lari georgianu	
