# CLDR symbol names for sd: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	عجب جي نشاني	بينگ | عجب | عجب جي پوائنٽ | عجب جي نشاني
#	حيش جي نشاني	lb | پائونڊ | نشاني | نمبر | هيش | هيش ٽيگ
$	ڊالر	USD | پيسو | ڊالر | رپيا
%	سيڪڙو	سيڪڙو | في
&	ايمپرسينڊ	ايِ ٽي | ايمپرسينڊ | اينڊ
'	ٽائپ رائيٽر اپاسٽرافي	اپاسٽرافي | ٽائپ رائيٽر اپاسٽرافي | حوالو | هڪ حوالو
)	بند ننڍي ڏنگي	بند ننڍي ڏنگي | پئرين | پئرينس | ڏنگي | ڏنگيون ننڍيون | گول ڏنگي
*	ايسٽيرڪ	ايسٽيرڪ | تارو | وائلڊ ڪارڊ
+	واڌو	جوڙ | واڌو
,	ڪاما	ڪاما
-	هائفن-مائنس	ڊيش | مائنس | هائفن | هائفن-مائنس
.	مدو	ڊاٽ | فل اسٽاپ | مدو
/	سليش	آبليڪ | اسٽروڪ | سليش | سوليڊس | ورگيول | وهيڪ
:	ڪولان	ڪولان
;	سيمي ڪولان	سيمي ڪولان | سيمي-ڪولان
<	کان-ننڍو	ٽئگ | کان ننڍو | کان-ننڍو | کليل ٽئگ
=	برابر	برابر
>	کان-وڏو	بند ٽئگ | ٽئگ | کان وڏو | کان-وڏو
?	سوال جي نشاني	سوال | سوال جي نشاني
@	ايٽ-سائن	اروبا | اروبيس | اسٽروڊل | ايٽ سائن | ايٽ مارڪ | ايٽ-سائن | ايمپرسيٽ | ڪمرشل ايٽ
[	کليل وڏي ڏنگي	ڏنگي | کليل وڏي ڏنگي | ڪراچيٽ | وڏي ڏنگي
\	بيڪ سليش	بيڪ سليش | رورس سوليڊس | وهيڪ
]	بند وڏي ڏنگي	بند وڏي ڏنگي | ڏنگي | ڪراچيٽ | وڏي ڏنگي
^	سرڪمفليڪش ايڪسينٽ	ايڪسينٽ | پاور | پوائنٽر | زور سائن | سرڪمفليڪس | سرڪمفليڪش ايڪسينٽ | شيورون | ڪنٽرول | ڪيرٽ | هيٽ | ويج
_	لو لائن	انڊر ڊيش | انڊر لائن | ڊيش | لائن | لو ڊيش | لو لائن
`	گريو ايڪسينٽ	ايڪسينٽ | ٽون | گريو
{	کليل وچين ڏنگي	ڏنگي | کليل وچين ڏنگي | گل ونگ | وچين ڏنگي
|	عمودي لڪير	اسٽروڪ | اسٽڪ | بار | پائيپ | پائيڪ | شيفر اسٽروڪ | عمودي بار | عمودي لڪير | لڪير | وي بار
}	بند وچين ڏنگي	بند وچين ڏنگي | ڏنگي | گل ونگ | وچين ڏنگي
~	ٽلڊي	ٽلڊي
¡	ابتي عجب جي نشاني	ابتي | ابتي عجب جي نشاني | بينگ | عجب | عجب جي پوائنٽ | عجب جي نشاني
¢	سينٽ	سينٽ
£	پائونڊ	£ | پائونڊ
¤	اڻڄاتل سڪو	
¥	يين	CNY | JPY | سڪو | يوئان | يين
§	سيڪشن	پيراگراف | حصو | سلڪرو | سيڪشن
¨	ڊائيرسز	امالا | ٽريما | ڊائيرسز
©	ڪاپي رائيٽ	c | ڪاپي رائيٽ
«	کاٻو گيولمينٽ	اينگل | بريڪيٽ | چيورون | کاٻو | کاٻو گيولمينٽ | ڪوٽ | ڪيريٽس
¬	نفي	نفي | نہ
®	رجسٽر ٿيل	r | رجسٽر ٿيل
°	ڊگري	ثبوت | ڊگري | ڪلاڪ
±	واڌو-ڪاٽو	واڌو-ڪاٽو
²	سپر اسڪرپٽ ٽو	ٽو | چورس | سپر اسڪرپٽ | سپر اسڪرپٽ ٽو
³	سپر اسڪرپٽ ٿري	ٽي | سپر اسڪرپٽ | سپر اسڪرپٽ ٿري | ڪيوبڊ
´	اڪيوٽ ايڪسينٽ	اڪيوٽ | ايڪسينٽ | ٽون
µ	مائيڪرو سائن	مائيڪرو سائن | ماپ
¶	پيراگراف جي نشاني	الينيا | پل ڪرو | پيراف | پيراگراف | پيراگراف جي نشاني
·	وچ وارو ٽٻڪو	انٽرپنڪٽ | ٽٻڪو | وچ | وچ وارو ٽٻڪو
¹	سپر اسڪرپٽ ون	سپر اسڪرپٽ | سپر اسڪرپٽ ون | ون
»	ساڄو گيولمينٽ	اينگل | بريڪيٽ | چيورون | ساڄو | ساڄو گيولمينٽ | ڪوٽ | ڪيريٽس
¿	ابتي سوال جي نشاني	ابتي | ابتي سوال جي نشاني | سوال | سوال جي نشاني
×	ضرب جي نشاني	ڀيرا | ضرب | ضرب جي نشاني | ضرب ڪريو
÷	ونڍ جي نشاني	حاشي | ضرب ڪريو | ونڍ | ونڍ جي نشاني
֏	ارماني ڊرم	
؋	افغاني افغاني	
،	عربي ڪاما	عربي | ڪاما
؛	عربي سيمي ڪولان	سيمي-ڪولان | عربي | عربي سيمي ڪولان
؟	عربي سوالي جي نشاني	سوال | سوال جي نشاني | عربي | عربي سوالي جي نشاني
৳	بنگلاديشي ٽڪا	
฿	ٿائي باهت	
៛	ڪمبوڊيائي ريال	
‐	هائفن	ڊيش | هائفن
–	اي اين ڊيش	اي اين | اي اين ڊيش | ڊيش
—	اي ايم ڊيش	اي ايم | اي ايم ڊيش | ڊيش
―	افقي بار	افقي بار | بار | ڊيش | لڪير
