# CLDR symbol names for shn: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	မၢႆတိုၼ်ႇ	တိုၼ်ႇ | မၢႆ | မၢႆတိုၼ်ႇ
#	မၢႆႁႅတ်ႉသျ်	တူဝ်ၼပ်ႉ | မၢႆ | ႁႅတ်ႉသျ် | ႁႅတ်ႉသျ်တႅၵ်ႉ
$	တေႃႇလႃႇ	ငိုၼ်း | တေႃႇလႃႇ | ပေႇသူဝ်ႇ | ယူႇဢႅတ်ႉသ်တီႇ
%	ဝၢၵ်ႈ	ပႃႇသႅၼ်ႉ | ဝၢၵ်ႈ | ႁူဝ်ပၢၵ်ႇ
&	ဢႅမ်ႇပႃႇသႅၼ်ႇ	လႄႈ | ဢႅမ်ႇပႃႇသႅၼ်ႇ
'	ယၵ်းပိုတ်ႇၶိူင်ႈပေႃႉလိၵ်ႈ	ၵႂၢမ်းလၢတ်ႈ | ၶိူင်ႈပေႃႉလိၵ်ႈ | ယၵ်းပိုတ်ႇ | လဵဝ်
)	ၶွပ်ႇဢွၼ်ႇဢိုတ်း	ၶွပ်ႇ | ၶွပ်ႇဢွၼ်ႇ | မူၼ်း | ဢိုတ်း
*	မၢႆမွၵ်ႇၶႅတ်ႉလႃး	မၢႆမွၵ်ႇၶႅတ်ႉလႃး | လၢဝ်
+	မၢႆလေႃး	ထႅမ် | ၽိူမ်ႉ | မၢႆ | လေႃး
,	ၶွမ်ႇမႃႇ	ၶွမ်ႇမႃႇ
-	ၶိတ်ႇပွတ်း-မၢႆထွၼ်	ၶိတ်ႇပွတ်း | ၶိတ်ႇပွတ်း-မၢႆထွၼ် | မၢႆထွၼ်
.	ၶၼ်ႈသွင်ဢိင်းၵလဵတ်ႈ	ၵိုတ်း | ၶၼ်ႈသွင်ဢိင်းၵလဵတ်ႈ | ၸုတ်း | တဵမ်
