# CLDR symbol names for si: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	විශ්මයාර්ථ ලකුණ	විශ්මයාර්ථ | විශ්මයාර්ථ ලකුණ
#	හැෂ් ලකුණ	අංකය | පවුම | රාත්තල් | හැෂ් ලකුණ | හෑෂ් | හෑෂ් ටැගය
$	ඩොලරය	USD | ඩොලරය | පෙසෝ | මුදල්
%	සියයට	සියයට
&	සහ ලකුණ	සහ | සහ ලකුණ
'	යතුරු ලියන සම්බෝධනය	උද්ධරණය | තනි උද්ධරණය | යතුරු ලියන සම්බෝධනය | සම්බෝධනය
)	වැසුණු වරහන	වටකුරු වරහන | වරහන | වරහන් | වැසුණු වරහන | සාම්‍ය | සාම්‍යය
*	තරු ලකුණ	ඇස්ටරිස්කය | තරු ලකුණ | තරුව
+	ධන ලකුණ	එක් කරන්න | ධන | ධන ලකුණ
,	කොමාව	කොමාව
-	හයිපන-සෘණ	ඉර | සෘණ | හයිපන-සෘණ | හයිපනය
.	කාල පරිච්ඡේදය	කාල පරිච්ඡේදය | තිත | නැවතීමේ ලකුණ
/	සිඳ බිඳ	ඇල | ඇල ඉර | තද පහර | පහර | බෙදුම් ඉර | සිඳ බිඳ
:	දෙතිත	දෙතිත
;	තිත් කොමාව	තිත් කොමාව | තිත්-කොමාව
<	වඩා අඩු	ටැගය | වඩා අඩු | විවෘත ටැගය
=	සමාන	සමාන
>	වඩා විශාලයි	ටැගය | වඩා විශාල | වඩා විශාලයි | වසු ටැගය
?	ප්‍රශ්නාර්ථ ලකුණ	ප්‍රශ්නය | ප්‍රශ්නාර්ථ ලකුණ
@	ඇට් ලකුණ	ඇට් ලකුණ | වාණිජ ඇට් | සහ
[	විවෘත සතරැස් වරහන	ලහරී | වරහන | විවෘත සතරැස් වරහන | හතරැස් වරහන
\	පසු ඇල ඉර	තද පහර | පසු ඇල ඉර | පසු බෙදුම් ඉර
]	වැසුනු සතරැස් වරහන	ලහරී | වරහන | වැසුනු සතරැස් වරහන | හතරැස් වරහන
^	වටකුරු උච්චාරණය	xor ලකුණ | උච්චාරණය | දර්ශකය | පාලනය | බලය | මූලාරම්භය | ලෝප ලකුණ | වටකුරු | ශිරස්කය | ෂෙව්රොන්
_	පහත් රේඛාව	අඩු ඉර | ඉර | පහත් රේඛාව | පේළිය | යටි ඉර | යටි ඉරි ගැසීම
`	අනුදාත්ත උච්චාරණ ලකුණ	අනුදාත්ත | අනුදාත්ත උච්චාරණ ලකුණ | උච්චාරණය | ශබ්දලීලාව
{	විවෘත වකුටු වරහන	කැරලි බන්ධනය | කැරලි වරහන | ගොල්වින් | වරහන | විවෘත වකුටු වරහන
|	සිරස් රේඛාව	ඉර | තීරුව | පයිප්ප | පේළිය | සැරයටිය | සිරස් තීරුව | සිරස් රේඛාව
}	වැසුනු වකුටු වරහන	කැරලි බන්ධනය | කැරලි වරහන | ගොල්වින් | වරහන | වැසුනු වකුටු වරහන
~	නාසික්‍ය ලකුණ	නාසික්‍ය ලකුණ
¡	ප්‍රතිලෝම විශ්මයාර්ථ ලකුණ	ප්‍රතිලෝම | ප්‍රතිලෝම විශ්මයාර්ථ ලකුණ | විශ්මයාර්ථ | විශ්මයාර්ථ ලකුණ
¢	සතය	සතය
£	පවුම්	ඊ.ප. | පවුම | පවුම් | ම.බ්‍රි.ප. | මුදල්
¤	නොදත් මුදල්	
¥	යෙන්	චී.යු. | ජ.යෙ. | මුදල් | යුවාන් | යෙන්
§	කොටස	අංශය | කොටස | ඡේදය | සිල්ක්‍රෝ
¨	ලක	ට්‍රේමා | ලක | ස්වර විකෘතිය
©	කතුහිමිකම	කතුහිමිකම
«	වම් ගිල්මටය	උද්ධරණය | කෝණය | නිලපටය | ලෝප ලකුණ | වම | වම් ගිල්මටය | වරහන්
¬	නිෂේධනය	නැත | නිෂේධනය
®	ලියාපදිංචි	ලියාපදිංචි
°	අංශකය	අංශකය | පැය | සාධකය
±	ධන-ඍණ	ධන-ඍණ
²	උඩකුර දෙක	උඩකුර | දෙක | වර්ගායිත
³	උඩකුර තුන	උඩකුර | ඝනායිත | තුන
´	උග්‍ර උච්චාරණය	උග්‍ර | උච්චාරණය | ස්වරය
µ	ක්ෂුද්‍ර ලකුණ	ක්ෂුද්‍ර ලකුණ | මිනුම
¶	ඡේද ලකුණ	ඡේද ලකුණ | ඡේදය | පෙළට ගැනීම
·	මැද තිත	අන්තර් විරාමය | තිත | මැද
¹	උඩකුර එක	උඩකුර | එක
»	දකුණු ගිල්මටය	උද්ධරණය | කෝණය | දකුණ | දකුණු ගිල්මටය | නිලපටය | ලෝප ලකුණ | වරහන්
¿	ප්‍රතිලෝම ප්රශ්නාර්ථ ලකුණ	ප්‍රතිලෝම | ප්‍රතිලෝම ප්රශ්නාර්ථ ලකුණ | ප්‍රශ්නය | ප්‍රශ්නාර්ථ ලකුණ
×	ගුණ කිරීමේ ලකුණ	ගුණ කරන්න | ගුණ කිරීම | ගුණ කිරීමේ ලකුණ | වාරයන්
÷	බෙදීම් ලකුණ	කිරිච්වයක හැඩයට ඇති සලකුණ | බෙදන්න | බෙදීම | බෙදීම් ලකුණ
֏	ආර්මේනියානු ඩ්‍රෑම්	
؋	ඇෆ්ගනිථාන ඇෆ්ගනි	
،	අරාබි කොමාව	අරාබි | කොමාව
؛	අරාබි තිත් කොමාව	අරාබි | අරාබි තිත් කොමාව | තිත්-කොමාව
؟	අරාබි ප්‍රශ්නාර්ථ ලකුණ	අරාබි | අරාබි ප්‍රශ්නාර්ථ ලකුණ | ප්‍රශ්නය | ප්‍රශ්නාර්ථ ලකුණ
৳	බංග්ලාදේශ් ටකා	
฿	තායි බාත්	
៛	කාම්බෝජ රියේල්	
‐	යටි ඉර	ඉර | යටි ඉර
–	එන් ඉර	ඉර | එන්
—	එම් ඉර	ඉර | එම්
―	තිරස් තීරුව	ඉර | තිරස් තීරුව | තීරුව | රේඛාව
‘	වම් ලොප් ලකුණ	උද්ධරණය | තනි උද්ධරණය | වම් ලොප් ලකුණ | සම්බෝධනය | ස්මාර්ට් උද්ධරණය
’	දකුණු ලොප් ලකුණ	උද්ධරණය | තනි උද්ධරණය | දකුණු ලොප් ලකුණ | සම්බෝධනය | ස්මාර්ට් උද්ධරණය
‚	පහත් දකුණු ලොප් ලකුණ	අඩු උද්ධරණය | උද්ධරණය | පහත් දකුණු ලොප් ලකුණ | සම්බෝධනය
“	වම් උද්ධෘත ලකුණ	උද්ධරණය | උපුටා ගැනීම | ද්විත්ව උද්ධරණය | වම් උද්ධෘත ලකුණ | ස්මාර්ට් උද්ධරණය
”	දකුණු උද්ධෘත ලකුණ	උද්ධරණය | උපුටා ගැනීම | දකුණු උද්ධෘත ලකුණ | ද්විත්ව උද්ධරණය | ස්මාර්ට් උද්ධරණය
„	පහත් දකුණු උද්ධෘත ලකුණ	අඩු උද්ධරණය | උද්ධරණය | උපුටා ගැනීම | ද්විත්ව උද්ධරණය | පහත් දකුණු උද්ධෘත ලකුණ | ස්මාර්ට් උද්ධරණය
†	කිරිච්වය ලකුණ	ඔබලිස්කය | කිරිච්වය | කිරිච්වය ලකුණ | සිරිය
‡	ද්විත්ව කිරිච්වය ලකුණ	ඔබලිස්කය | කිරිච්වය | ද්විත්ව | ද්විත්ව කිරිච්වය ලකුණ | සිරිය
•	පතරොම	උණ්ඩය | තිත | පතරොම
…	ලෝපය	තිත් | බැහැර කිරීම | ලෝපය
‧	හයිපනේෂන් ලක්ෂ්‍යය	ඉර | ලක්ෂ්‍යය | හයිපනය | හයිපනේෂන් ලක්ෂ්‍යය
‰	මිලි එකකට	මිලි | මිලි එකකට
′	ප්‍රථමය	ප්‍රථමය
″	ද්විත්ව ප්‍රථමක	ද්විත්ව ප්‍රථමක | ප්‍රථමය
‴	ත්‍රිත්ව ප්‍රථමක	ත්‍රිත්ව ප්‍රථමක | ප්‍රථමය
‸	කාකපාදය	කාකපාදය | ලෝප ලකුණ
※	යොමු සලකුණ	යොමු සලකුණ
‼	ද්වි විස්මයාර්ථ ලකුණ	ද්වි විස්මයාර්ථ ලකුණ | බැන්ග්බැන්ග් | ලකුණ | විරාම ලකුණ | විස්මයාර්ථය
‽	ප්‍රශ්න කිරීමේ ලකුණ	ප්‍රශ්න කිරීමේ ලකුණ | ප්‍රශ්න කිරීමේ විශ්මයාර්ථ ලකුණ
‾	උඩින් ඉර	උඩ ඉර | උඩින් ඉර | බන්ධන රේඛාව
⁂	තාරකා රාශිය	තරු | තරු ලකුණු | තාරකා රාශිය
⁄	භාග ඇලඉර	ඇලඉර | භාග ඇලඉර
⁉	විස්මයාර්ථ ප්‍රශ්නයාර්ථ ලකුණ	ඉන්ටෙරොබැන්ග් | ප්‍රශ්නය | ලකුණ | විරාම ලකුණ | විස්මයාර්ථ ප්‍රශ්නයාර්ථ ලකුණ
⁻	උඩුකුරු ඍණ	උඩකුර | උඩුකුරු ඍණ | සෘණ
₡	කොස්ට රිකා කොලෝන්	
₢	කෲසයිරෝ	BRB | කෲසයිරෝ | මුදල්
₣	ප්‍රංශ ෆ්රෑන්ක්	ප්‍රංශ ෆ්රෑන්ක් | මුදල් | ෆ්රෑන්ක්
₤	ලීරා	මුදල් | ලීරා
₥	මිල්	මිල්
₦	නයිජීරියානු නයිරා	
₨	රුපියල	මුදල් | රුපියල
₩	දිනුවා	KRW | දිනුවා
₪	ඊශ්‍රායල නව ශෙකල්	
₫	වියට්නාම ඩොන්	
€	යුරෝ	මුදල් | යුරෝ
₭	ලාඕස් කිප්	
₮	මොන්ගෝලියානු ටග්‍රික්	
₰	ජර්මානු සතය	ජර්මන් සතය | ජර්මානු සතය | මුදල් | ෆෙනිග්
₱	පෙසෝ	පෙසෝ
₲	පැරගුවේ ගුවරානි	
₳	ඕස්ට්‍රේල්	ARA | ඕස්ට්‍රේල් | මුදල්
₴	යුක්රේන හ්‍රිව්නියා	
₵	ඝානා සෙඩි	
₶	ලිවර් ටුවර්නොයිස්	මුදල් | ලිවර් ටුවර්නොයිස්
₷	ස්පෙස්මිලෝ	මුදල් | ස්පෙස්මිලෝ
₸	කසකස්ථාන ටෙන්ග	
₹	ඉන්දියානු රුපියල්	ඉන්දියානු රුපියල | ඉන්දියානු රුපියල් | මුදල් | රුපියල
₺	තුර්කි ලිරා	
₼	අසර්බයිජානු මනාට්	
₽	රූබල්	මුදල් | රූබල්
₾	ජෝජියානු ලැරී	
₿	බිට්කොයින්	බිට්කොයින් | බීටීසී
℗	ශබ්ද පටිගත කිරීමේ ප්‍රකාශන අයිතිය	පටිගත කිරීම | ප්‍රකාශන හිමිකම | ශබ්ද පටිගත කිරීමේ ප්‍රකාශන අයිතිය | ශබ්දය
