# CLDR symbol names for sk: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	výkričník	buch | výkričník | výkrik | zvolanie
#	znak čísla	číslo | hashtag | znak čísla
$	dolár	dolár | peniaze | USD
%	percento	na sto | percentá | percento
&	ampersand	a | ampersand | et
'	rovný apostrof	apostrof | rovný apostrof | úvodzovka
)	pravá zátvorka	jednoduchá zátvorka | pravá zátvorka | zátvorky
*	hviezdička	hviezda | hviezdička
+	znak plus	plus | sčítanie | sčítať | znak plus
,	čiarka	čiarka
-	mínusový spojovník	mínus | mínusový spojovník | pomlčka | spojovník
.	bodka	bodka | koniec | koniec vety
/	lomka	lomítko | lomka
:	dvojbodka	dvojbodka
;	bodkočiarka	bodkočiarka | stredník
<	je menšie než	je menšie než | menej než | menšie ako | menšie než
=	rovná sa	rovná sa | rovnítko | rovnosť
>	je väčšie než	je väčšie než | väčšie ako | väčšie než | viacej než
?	otáznik	čo | otázka | otáznik
@	zavináč	at | zavináč
[	ľavá hranatá zátvorka	hranatá zátvorka | ľavá hranatá zátvorka | zátvorky
\	opačná lomka	lomítko | opačná | opačná lomka
]	pravá hranatá zátvorka	hranatá zátvorka | pravá hranatá zátvorka | zátvorky
^	vokáň	cirkumflex | vokáň
_	podčiarkovník	podčiarkovník
`	obrátený dĺžeň	gravis | obrátený dĺžeň | tupý prízvuk
{	ľavá zložená zátvorka	ľavá zložená zátvorka | zátvorky | zložená zátvorka
|	zvislá čiara	pruh | ťah | zvislá čiara | zvislý
}	pravá zložená zátvorka	pravá zložená zátvorka | zátvorky | zložená zátvorka
~	tilda	tilda | vlnovka
¡	obrátený výkričník	buch | obrátený | výkričník | výkrik | zvolanie
¢	cent	cent
£	libra	EGP | GBP | libra | mena
¤	neznáma mena	
¥	jen	CNY | jen | JPY | mena | yen
§	odsek	časť | odsek | paragraf | znak paragrafu
¨	dve bodky	dve bodky | umlaut
©	copyright	autorské právo | copyright | značka ochrany autorských práv
«	ľavá bočná úvodzovka	citácia | francúzske | ľavá bočná úvodzovka | ľavé | ľavé bočné úvodzovky | ľavé úvodzovky | lomené | uhlové
¬	negácia	negácia | nie | opak
®	registrovaná známka	ochranná známka | R v krúžku | registrovaná značka | registrovaná známka | registrované | znak registrovanej ochrannej známky
°	stupeň	hodina | promile | stupeň
±	plus-mínus	asi | plus-mínus | približne | zhruba
²	dva horný index	dva | dva horný index | horný index | na druhú
³	tri horný index	horný index | na tretiu | tri | tri horný index
´	dĺžeň	akútový prízvuk | dĺžeň
µ	znak mikro	mierka | znak mikro
¶	znak odseku	odsek | znak odseku
·	stredná bodka	bodka | stredná | znak
¹	jedna horný index	horný index | jedna | jedna horný index
»	pravá bočná úvodzovka	citácia | francúzske | lomené | pravá bočná úvodzovka | pravé | pravé bočné úvodzovky | pravé úvodzovky | uhlové
¿	obrátený otáznik	čo | obrátený | obrátený otáznik | otázka
×	znak násobenia	krát | násobenie | násobiť | znak násobenia
÷	znak delenia	delené | delenie | deliť | znak delenia
֏	arménsky dram	
؋	afganský afgání	
،	arabská čiarka	arabčina | arabská čiarka | čiarka
؛	arabská bodkočiarka	arabčina | arabská bodkočiarka | bodkočiarka
؟	arabský otáznik	arabčina | arabský otáznik | čo | otázka
৳	bangladéšska taka	
฿	thajský baht	
៛	kambodžský riel	
‐	spojovník	pomlčka | spojovník
–	pomlčka	krátka | pomlčka
—	dlhá pomlčka	dlhá | dlhá pomlčka
―	vodorovná čiara	čiara | pomlčka | vodorovná čiara
‘	ľavý apostrof	apostrof | ľavý apostrof | úvodzovka
’	pravý apostrof	apostrof | pravý apostrof | úvodzovka
‚	pravý dolný apostrof	apostrof | pravý dolný apostrof | úvodzovka dole
“	úvodzovka vľavo hore	dvojité úvodzovky | priama reč | úvodzovka vľavo hore
”	úvodzovka vpravo hore	dvojité úvodzovky | priama reč | úvodzovka vpravo hore
„	úvodzovka vpravo dole	dvojité úvodzovky | priama reč | úvodzovka vpravo dole
†	znak krížika	kríž | krížik | znak kríža | znak krížika
‡	znak dvojitého kríža	dvojitý | dvojkríž | kríž | krížik | znak dvojitého kríža
•	odrážka	guľka | odrážka
…	tri bodky	bodky | tri bodky | vynechanie
‧	spojovacia bodka	bodka | pomlčka | spojovacia bodka | spojovník
‰	promile	na tisíc | promile
′	indexová čiarka	index | indexová čiarka
″	dvojitá indexová čiarka	dvojitá indexová čiarka | index
‴	trojitá indexová čiarka	index | trojitá indexová čiarka
‸	vsuvka	vsuvka
※	komedžiruši	komedžiruši | odkaz
‼	dvojitý výkričník	! | !! | dvojitý výkričník | interpunkcia | interpunkčné znamienka | výkričník | výstraha | znak | zvolanie
‽	interrobang	interrobang
‾	horná čiara	horná čiara
⁂	asterizmus	asterizmus
⁄	zlomková lomka	zlomková lomka
⁉	výkričník s otáznikom	interpunkcia | interpunkčné znamienka | otázka | výkričník | výkričník s otáznikom | znak
⁻	mínus horný index	horný index | mínus | mínus horný index
₡	kostarický colón	
₢	cruzeiro	cruzeiro
₣	francúzsky frank	francúzsky frank
₤	líra	líra
₥	mill	mil | mill
₦	nigérijská naira	
₧	španielska peseta	
₨	rupia	rupia
₩	won	KPW | KRW | won
₪	izraelský šekel	
₫	vietnamský dong	
€	euro	EUR | euro | mena
₭	laoský kip	
₮	mongolský tugrik	
₰	nemecká penca	nemecká penca
₱	peso	peso
₲	paraguajské guaraní	
₳	austral	austral
₴	ukrajinská hrivna	
₵	ghanské cedi	
₶	tourská libra	tourská libra
₷	spesmilo	spesmilo
₸	kazašské tenge	
₹	indická rupia	indická rupia | mena | rupia
₺	turecká líra	
₼	azerbajdžanský manat	
₽	rubeľ	mena | rubeľ
₾	gruzínske lari	
₿	bitcoin	bitcoin | BTC
℗	autorské práva na nahrávku	autorské práva | autorské práva na nahrávku | nahrávka | zvuk
™	obchodná známka	obchodná značka | obchodná známka | ochodná značka | tm | trademark | znak
ℹ	informačný zdroj	i | informácie | informačný zdroj | tlačidlo i | značka
←	šípka smerujúca doľava	doľava | šípka | šípka smerujúca doľava
↑	šípka smerujúca nahor	nahor | šípka | šípka smerujúca nahor
→	šípka smerujúca doprava	šípka | šípka smerujúca doprava | vpravo
↓	šípka smerujúca nadol	nadol | šípka | šípka smerujúca nadol
↔	šípka doprava aj doľava	obojstranná šípka | šípka | šípka doprava aj doľava | vľavo aj vpravo
↕	šípka nahor aj nadol	dole | hore | šípka | šípka nahor aj nadol
↖	šípka doľava nahor	doľava nahor | kardinálne | severozápad | šikmo | šípka | šípka doľava nahor | smer | svetové strany
↗	šípka doprava nahor	doprava nahor | interkardinálne | severovýchod | šikmo | šípka | šípka doprava nahor | šípka nahor a doprava | smer | svetové strany
↘	šípka doprava nadol	doprava nadol | interkardinálne | juhovýchod | šikmo | šípka | šípka doprava a nadol | šípka doprava nadol | smer | svetové strany
↙	šípka doľava nadol	doľava nadol | interkardinálne | juhozápad | šikmo | šípka | šípka doľava a nadol | šípka doľava nadol | smer | svetové strany
