# CLDR symbol names for sl: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	klicaj	klicaj | vzklik
#	lojtra	grabljice | ključnik | lojtra | znak # | znak za številko
$	dolar	denar | dolar | peso | USD
%	odstotek	odstotek | procent
&	znak et	in | znak & | znak et
'	strojepisni opuščaj	enojni narekovaj | narekovaj | opuščaj | strojepisni opuščaj
)	zaklepaj	oklepaj | oklepaji | okrogli oklepaj | zaklepaj
*	zvezdica	asterisk | nadomestni znak | zvezdica
+	znak za plus	plus | seštevanje | znak za plus
,	vejica	vejica
-	znak minus	črtica | minus | vezaj | znak minus
.	pika	končno ločilo | pika | pikica
/	poševnica	desna poševnica | poševna črta | poševnica | poševnica v desno | solidus
:	dvopičje	dvopičje
;	podpičje	podpičje
<	manjše od	manjše od | oznaka | začetna oznaka
=	enačaj	enačaj | znak za enakost
>	večje od	oznaka | večje od | zaključna oznaka
?	vprašaj	vprašaj | vprašanje
@	afna	afna | ajka | obkrožena črka a | polžek | znak @ | znak at | znak pri | znak za afno
[	oglati uklepaj	oglati oklepaj | oglati uklepaj | oklepaj
\	leva poševnica	leva poševnica | levo nagnjena poševnica | obratni solidus | poševnica v levo
]	oglati zaklepaj	oglati oklepaj | oglati zaklepaj | oklepaj
^	strešica	cirkumfleks | kazalec | kljukica | krmilka | naglas | strešica | znak xor | znamenje za dodano
_	podčrtaj	črta | črtica | podčrtaj | podčrtati | spodnja črta
`	krativec	krativec | naglas | naglasno znamenje
{	zaviti uklepaj	oklepaj | zaviti oklepaj | zaviti uklepaj
|	navpična črta	cev | črta | navpična črta | navpičnica | paličica | pokončna črta | pokončnica
}	zaviti zaklepaj	oklepaj | zaviti oklepaj | zaviti zaklepaj
~	vijuga	tilda | vijuga
¡	obrnjen klicaj	klicaj | narobe obrnjen | obrnjen | vzklik
¢	cent	cent
£	funt	EGP | funt | GBP | valuta
¤	neznana valuta	
¥	jen	CNY | jen | JPY | juan | valuta
§	razdelek	člen | del | razdelek | znak za razdelek
¨	preglas	diereza | preglas
©	avtorske pravice	avtorske pravice | c
«	levi francoski narekovaj	kotni | levi | levi francoski narekovaj | narekovaji | navednica | škarnice | znak
¬	negacija	ne | negacija
®	registrirano	r | registrirano
°	stopinja	količina | stopinja | ura
±	znak plus/minus	znak plus/minus
²	nadpisana dvojka	dvojka | kvadrat | nadpis | nadpisana dvojka
³	nadpisana trojka	kub | nadpis | nadpisana trojka | trojka
´	ostrivec	naglas | naglasno znamenje | ostrivec
µ	znak za mikro	mera | znak za mikro
¶	znak za odstavek	alineja | odstavek | znak za odstavek
·	srednja pika	ločilo | pika | srednja
¹	nadpisana enka	enka | nadpis | nadpisana enka
»	desni francoski narekovaj	desni | desni francoski narekovaj | kotni | narekovaji | navednica | škarnice | znak
¿	obrnjen vprašaj	obrnjen | vprašaj | vprašanje
×	znak za množenje	krat | množenje | množi | znak za množenje
÷	znak za deljenje	deli | deljenje | znak za deljenje
֏	armenski dram	
؋	afgani	
،	arabska vejica	arabska | vejica
؛	arabsko podpičje	arabsko | podpičje
؟	arabski vprašaj	arabski | vprašaj | vprašanje
৳	bangladeška taka	
฿	tajski baht	
៛	kamboški riel	
‐	vezaj	črtica | vezaj
–	pomišljaj	kratek | pomišljaj
—	dolgi pomišljaj	dolg | dolgi pomišljaj | pomišljaj
―	vodoravna črta	črta | linija | pomišljaj | vodoravna črta
‘	levi opuščaj	enojni narekovaj | levi opuščaj | narekovaj | opuščaj
’	desni opuščaj	desni opuščaj | enojni narekovaj | narekovaj | opuščaj
‚	nizki desni opuščaj	narekovaj | nizki desni opuščaj | nizki narekovaj | opuščaj
“	levi narekovaj	dvojni narekovaj | dvojni srednji narekovaj | levi narekovaj | narekovaj | navedek
”	desni narekovaj	desni narekovaj | dvojni narekovaj | dvojni srednji narekovaj | narekovaj | navedek
„	nizki desni narekovaj	dvojni narekovaj | dvojni srednji narekovaj | narekovaj | navedek | nizki desni narekovaj | nizki narekovaj
†	znak za bodalo	bodalo | križec | znak za bodalo | znamenje
‡	znak za dvojno bodalo	bodalo | dvojno | križec | znak za dvojno bodalo | znamenje
•	vrstična oznaka	pika | vrstična oznaka
…	elipsa	elipsa | izpust | tri pike
‧	delilna pika	delilna pika | pika | pomišljaj | vezaj
‰	odtisoček	na tisoč | odtisoček | promile
′	znak za kotne minute in čevlje	znak za kotne minute in čevlje
″	znak za kotne sekunde in inče	znak za kotne sekunde in inče
‴	znak za linijo	znak za linijo
‸	spodnja strešica	spodnja strešica
※	referenčna oznaka	referenčna oznaka
‼	dvojni klicaj	! | !! | dva klicaja | dvojni klicaj | klicaj | ločilo | znak
‽	klicajvprašaj	klicajvprašaj
‾	nadčrtano	nadčrtano
⁂	asterizem	asterizem
⁄	poševnica ulomka	poševnica | poševnica ulomka
⁉	klicaj in vprašaj	! | !? | ? | klicaj | klicaj in vprašaj | klicaj-vprašaj | ločilo | vprašaj | znak
⁻	nadpisani minus	minus | nadpis | nadpisani minus
₡	kostariški kolon	
₢	cruzeiro	BRB | cruzeiro | valuta
₣	francoski frank	francoski frank | frank | valuta
₤	lira	lira | valuta
₥	tisočinka	tisočinka | tisočinka dolarja
₦	nigerijska naira	
₧	španska pezeta	
₨	rupija	rupija | valuta
₩	won	KPW | KRW | won
₪	izraelski šekel	
₫	vietnamski dong	
€	evro	EUR | evro | valuta
₭	laoški kip	
₮	mongolski tugrik	
₰	nemški pfenig	nemški pfenig | pfenig | valuta
₱	peso	peso
₲	paragvajski gvarani	
₳	avstral	ARA | avstral | valuta
₴	ukrajinska grivna	
₵	ganski cedi	
₶	livre tournois	livre tournois | valuta
₷	spesmilo	spesmilo | valuta
₸	kazahstanski tenge	
₹	indijska rupija	indijska rupija | rupija | valuta
₺	turška lira	
₼	azerbajdžanski manat	
₽	rubelj	rubelj | valuta
₾	gruzijski lari	
₿	bitcoin	bitcoin | BTC
℗	avtorske pravice za zvočni posnetek	avtorske pravice | avtorske pravice za zvočni posnetek | posnetek | zvočni
™	blagovna znamka	blagovna znamka | TM | znak
ℹ	vir informacij	i | informacije | vir informacij
←	puščica, obrnjena v levo	levo | obrnjena v levo | puščica | puščica, obrnjena v levo
↑	puščica, obrnjena navzgor	navzgor | obrnjena navzgor | puščica | puščica, obrnjena navzgor
→	puščica, obrnjena v desno	desno | obrnjena v desno | puščica | puščica, obrnjena v desno
↓	puščica, obrnjena navzdol	navzdol | obrnjena navzdol | puščica | puščica, obrnjena navzdol
↔	puščica levo desno	puščica | puščica levo desno
↕	puščica gor dol	puščica | puščica gor dol
↖	puščica levo gor	puščica | puščica levo gor | severozahodno | smer | stransko
↗	puščica desno gor	puščica | puščica desno gor | severovzhod | smer | stransko
↘	puščica desno dol	jugovzhod | puščica | puščica desno dol | smer | stransko
↙	puščica levo dol	jugozahod | puščica | puščica levo dol | smer | stransko
↚	puščica levo s poševnico	puščica levo s poševnico
↛	puščica desno s poševnico	puščica desno s poševnico
↜	vijugasta puščica levo	vijugasta puščica levo
↝	vijugasta puščica desno	vijugasta puščica desno
↞	puščica z dvojno glavo levo	puščica z dvojno glavo levo
↟	puščica z dvojno glavo navzgor	puščica z dvojno glavo navzgor
