# CLDR symbol names for so: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	astaan dhawaaq	astaan dhawaaq | calaamada la yaabka | calaamadaha la yaabka leh | cod dheer | la tacajubid
#	afar-gees	afar-gees | haash | hashtag | lambar | lb
$	doolar	beeso | doolar | lacag | USD
%	boqolkiiba	boqolkiiba
&	calamada ampersand	calamada ampersand | et | iyo | xaraashka
'	hamsada kore ee qoraalka	hal xigasho | hamsad kore | hamsada kore ee qoraalka | hamsada kore qoraalka | xigasho
)	xirid dhibcaha isku xiga	baraakeet | baraakeet wareegsan | caajis | dhibco isku xiga | saxarada | xirid dhibcaha isku xiga
*	calaamada xiddigta	calaamada xiddigta | duurjoogta | xiddig | xidigta
+	calamada balaas	calamada balaas | ku dar | oo lagu daray | oo lagu daray calaamadda
,	hakad	hakad
-	jiitin-ka jarid	dhaash | jiitin-gaaban | jiitin-ka jarid | ka jar
.	joogsi	dhibic | joogsi | joogsi buuxa
/	islaash	islaash | jiitin | qalooca | solidus | virgule | xariiq
:	kolmo	kolmo
;	joogsi dhiman	joogsi dhiman | semi kolon
<	ka yar	ka yar | tag | tag furan
=	la mida	la mida | la midtahay
>	ka wayn	ka wayn | tag | tag xidhan
?	astaan su’aaleed	astaan su’aaleed | calaamadda su’aasha | su’aal
@	calamada-at	ampersat | arobase | arroba | calaamada | calaamadda | calamada-at | ganacsi | miro saxaro | xaga calaamadda
[	fur baraakeetka laba jibbaaran	baraakeet | baraakeet laba jibbaaran | fur baraakeet laba jibbaaran | fur baraakeetka laba jibbaaran | jeexjeex
\	islaash dib u jeeda	islaash dib u jeeda | jiitin | solidus rogan
]	xiro baraakeetka laba jibbaaran	baraakeet | baraakeet laba jibbaaran | jeexjeex | xiro baraakeet laba jibbaaran | xiro baraakeetka laba jibbaaran
^	lahjad wareeg ah	awood | calaamada xor | daryeele | koofiyad | lahjad | lahjad wareeg ah | tilmaame | Wareeg wareeg ah | wedge | xakamaynta | xikmad
_	xariiq hoose	daash | daash hoose | dhaash hoose | xariiq | xariiq hoose
`	lahjad qabow	codka | lahjad | lahjad qabow | qabriga
{	fur baraakeetka qalooca	baraakeet | fur baraakeetka qalooca | fur qeybta qalooca | gullwing | qalooca qalooca | xargo | xargo guntin
