# CLDR symbol names for sq: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	pikëçuditje	çudi | pikëçuditje | vini re
#	thurje	diezis | thurje
$	dollar	dollar | para | USD
%	përqind	për qind | përqind
&	dhe	dhe | e | edhe
'	apostrof makine shkrimi	apostrof | apostrof makine shkrimi | thonjëz | thonjëz njëshe
)	kllapë mbyllëse	kllapë | kllapë lakore | kllapë mbyllëse
*	yll	yll | yllth
+	shenja e plusit	dhe | plus | shenja e plusit
,	presje	presje
-	ndarje minus	ndarëse | ndarje minus | vijë ndarëse | vizë
.	pikë fundore	pikë | pikë fundore
/	fraksion	fraksion | pjerrët | thyesë
:	dy pika	dy pika
;	pikëpresje	pikëpresje
<	më e vogël se	hap komandën | komandë | më e vogël se
=	baras	baras | baraz
>	më e madhe se	komandë | mbyll komandën | më e madhe se
?	shenja e pikëpyetjes	pikëpyetje | shenja e pikëpyetjes
@	shenja at	shenja at | shenja tregtare
[	kllapë hapëse e madhe	kllapë | kllapë e madhe | kllapë hapëse e madhe
\	fraksion mbrapsht	fraksion mbrapsht | thyesë mbrapsht
]	kllapë mbyllëse e madhe	kllapë | kllapë e madhe | kllapë mbyllëse e madhe
^	theks hundor	hundore | kapelë | kllapë këndore | theks hundor | tregues
_	vijë e ulët	vijë | vijë e ulët | vijë poshtë | vizë | vizë poshtë
`	apostrof mbrapsht	apostrof mbrapsht | theks | ton
{	kllapë hapëse gjarpërushe	kllapë | kllapë gjarpërushe | kllapë hapëse gjarpërushe
|	vijë vertikale	dypikësh | kulm | shenjë | shenjë sheffer | shirit | shirit vertikal | shkop | vijë | vijë vertikale
}	kllapë mbyllëse gjarpërushe	kllapë | kllapë gjarpërushe | kllapë mbyllëse gjarpërushe
~	tildë	tildë
¡	pikëçuditëse përmbys	bam | habi | përmbys | pikëçuditëse
¢	qindarkë	qindarkë
£	stërlinë britanike	monedhë | stërlinë britanike
¤	Valutë e panjohur	
¥	jen	CNY | jen | JPY | juan | monedhë
§	seksion	paragraf | pjesë | seksion | shenja e paragrafit
¨	dierezë	dierezë | dy pika lart
©	të drejtat e autorit	e drejta e autorit | të drejtat e autorit
«	thonjëza të majta	shenjë citimi | shirit grade | thonjëza të majta
¬	mohim	jo | mohim
