# CLDR symbol names for sr_Cyrl_BA: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
*	звјездица	звјездица
:	двије тачке	двије тачке
[	лијева угласта заграда	лијева угласта заграда
{	лијева витичаста заграда	лијева витичаста заграда
§	одјељак	дио | знак за одјељак | одјељак | параграф
«	лијеви француски наводник	лијеви француски наводник
°		степен | удио | час
µ		знак за микро | мјера
÷	знак дијељења	дијељење | знак дијељења | подијелити
‘	лијеви апостроф	апостроф | лијеви апостроф | наводник | полунаводник | типографски наводник
“	лијеви наводник	двоструки наводници | лијеви наводник | наводник | наводници | типографски наводник
⁂		астеризам | звјездице
⁄		запета | коса црта за дијељење | разломачка коса црта
₨		валута | рупија
₩		KPW | вон | сјевернокорејски вон
₰	њемачки пени	валута | њемачки пени | пфениг
₷		валута | спесмило
ℹ		i | извор информација | информације
←	стрелица која показује налијево	лијево | стрелица | стрелица која показује налијево
↓	стрелица која показује надоље	доље | стрелица | стрелица која показује надоље
↔	стрелица налијево и надесно	стрeлицa | стрелица налијево и надесно
↕	стрелица нагоре и надоље	стрeлицa | стрелица нагоре и надоље
↖	стрелица нагоре и налијево	сјeвeрoзaпaд | смјер | стрeлицa | стрелица нагоре и налијево
↗		сјeвeрoистoк | смјер | стрeлицa | стрелица нагоре и надесно
↘	стрелица надоље и надесно	jугoистoк | смјер | стрeлицa | стрелица надоље и надесно
↙	стрелица надоље и налијево	jугoзaпaд | смјер | стрeлицa | стрелица надоље и налијево
↚	коса црта са стрелицом налијево	коса црта са стрелицом налијево
↜	таласаста стрелица налијево	таласаста стрелица налијево
↞	стрелица налијево са два врха	стрелица налијево са два врха
↡	стрелица надоље са два врха	стрелица надоље са два врха
↢	стрелица са репом налијево	стрелица са репом налијево
↤	стрелица са цртом налијево	стрелица са цртом налијево
↧	стрелица са цртом надоље	стрелица са цртом надоље
↨	стрелица нагоре и надоље са базом	стрелица нагоре и надоље са базом
↪	стрелица за полукружни окрет улијево	стрeлицa | стрелица за полукружни окрет улијево
↫	стрелица налијево са петљом	стрелица налијево са петљом
↬	стрелица надесно са петљом	стрелица надесно са петљом
↭	таласаста стрелица са врхом налијево и надесно	таласаста стрелица са врхом налијево и надесно
↮	стрелица са врхом надесно и налијево и са косом цртом	стрелица са врхом надесно и налијево и са косом цртом
↯	цик-цак стрелица надоље	цик-цак стрелица надоље
↰	стрелица нагоре са врхом налијево	стрелица нагоре са врхом налијево
↲	стрелица надоље са врхом налијево	стрелица надоље са врхом налијево
↳	стрелица надоље са врхом надесно	стрелица надоље са врхом надесно
↴	стрелица надесно са углом надоље	стрелица надесно са углом надоље
↵	стрелица надоље са углом налијево	стрелица надоље са углом налијево
