# CLDR symbol names for sr_Latn: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	znak uzvika	uzvičnik | znak uzvika
#	taraba	broj | heš | heštag | lb | taraba
$	dolar	dolar | novac | pezo | USD
%	procenat	posto | procenat
&	ampersand	ampersand | i
'	apostrof na pisaćoj mašini	apostrof | apostrof na pisaćoj mašini | navodnik | polunavodnik
)	desna zagrada	desna zagrada | okrugla zagrada | zagrada
*	zvezdica	džoker | zvezda | zvezdica
+	znak plus	plus | sabiranje | znak
,	zarez	zarez
-	crtica-minus	crta | crtica | crtica-minus | minus
.	tačka	tačka | tačka na kraju rečenice
/	kosa crta	kosa crta
:	dve tačke	dve tačke
;	tačka i zarez	tačka i zarez
<	manje	manje | manje od | oznaka | početna oznaka
=	jednako	jednako | jednako je
>	veće	oznaka | veće | veće od | završna oznaka
?	znak pitanja	upitnik | znak pitanja
@	znak „et”	znak „et”
[	leva uglasta zagrada	leva uglasta zagrada | uglasta zagrada | zagrada
\	obrnuta kosa crta	obrnuta kosa crta
]	desna uglasta zagrada	desna uglasta zagrada | uglasta zagrada | zagrada
^	cirkumfleks	cirkumfleks | kontrola | naglasak | pokazivač | znak za umetanje
_	donja crta	crta | donja crta | linija
`	kratkouzlazni naglasak	kratkouzlazni | naglasak | ton
{	leva vitičasta zagrada	leva vitičasta zagrada | vitičasta zagrada | zagrada
|	uspravna crta	crta | linija | uspravna | vertikalna
}	desna vitičasta zagrada	desna vitičasta zagrada | vitičasta zagrada | zagrada
~	tilda	tilda
¡	obrnut znak uzvika	obrnut | obrnut znak uzvika | uzvičnik | znak uzvika
¢	cent	cent
£	funta	[EGP] | [GBP] | funta | valuta
¤	nepoznata valuta	
¥	jen	[CNY] | [JPY] | jen | juan | valuta
§	odeljak	deo | odeljak | paragraf | znak za odeljak
¨	dijereza	dijereza | preglas | trema
©	autorska prava	autorska | C | copyright | prava
«	levi francuski navodnik	kareti | levi francuski navodnik | levo | navodnik | ševron | uglasti | zagrade
¬	negacija	ne | negacija
®	registrovano	R | registrovano
°	stepen	čas | stepen | udeo
±	plus-minus	plus-minus
²	eksponent 2	2 | eksponent | kvadratni
³	eksponent 3	3 | eksponent | kubni
´	dugouzlazni naglasak	dugouzlazni | naglasak | ton
µ	znak za mikro	mera | znak za mikro
¶	znak za paragraf	alineja | paragraf | pasus | znak za paragraf
·	srednja tačka	sredina | srednja tačka | tačka
¹	eksponent 1	1 | eksponent
»	desni francuski navodnik	desni francuski navodnik | desno | kareti | navodnik | ševron | uglasti | zagrade
¿	obrnuti znak pitanja	obrnut | obrnuti znak pitanja | upitnik | znak pitanja
×	znak množenja	množenje | pomnožiti | puta | znak množenja
÷	znak deljenja	deljenje | podeliti | znak deljenja
֏	jermenski dram	
؋	avganistanski avgani	
،	arapski zarez	arapski | zarez
؛	arapska tačka i zarez	arapska | arapska tačka i zarez | tačka i zarez
؟	arapski znak pitanja	arapski | arapski znak pitanja | upitnik | znak pitanja
৳	bangladeška taka	
฿	tajlandski bat	
៛	kambodžanski rijel	
‐	crtica	crta | crtica
–	crta	crta | pravopisni znak
—	duga crta	duga crta | pravopisni znak
―	horizontalna traka	crta | horizontalna traka | linija | traka
‘	levi apostrof	apostrof | levi apostrof | navodnik | polunavodnik | tipogrfski navodnik
’	desni apostrof	apostrof | desni apostrof | navodnik | polunavodnik | tipografski navodnik
‚	donji desni apostrof	apostrof | donji desni apostrof | donji polunavodnik | polunavodnik
“	levi navodnik	dvostruki navodnici | levi navodnik | navodnici | navodnik | tipografski navodnik
”	desni navodnik	desni navodnik | dvostruki navodnici | navodnici | navodnik | tipografski navodnik
„	donji desni navodnik	donji desni navodnik | donji navodnik | dvostruki navodnici | navodnici | navodnik | tipografski navodni
†	znak bodeža	bodež | obelisk | znak bodeža
‡	znak dvostrukog bodeža	bodež | dvostruko | obelisk | znak dvostrukog bodeža
•	znak za nabrajanje	tačka | znak za nabrajanje
…	tri tačke	izostavljanje | tačke | tri tačke
‧	tačka u funkciji crtice	crta | crtica | tačka | tačka u funkciji crtice
‰	promil	na hiljadu | promil
′	polunavodnik	polunavodnik
″	navodnik	navodnik
‴	trostruki navodnik	trostruki navodnik
‸	karet	karet
※	referentni znak	referentni znak
