# CLDR symbol names for sv: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	utropstecken	skiljetecken | utrop | utropstecken
#	fyrkant	fyrkant | fyrtagg | hash | hash-tagg | hashtecken | nummer | nummertecken
$	dollar	dollar | pengar | peso | USD
%	procent	hundradel | per hundra | procent
&	et-tecken	et-tecken | och | och-tecken
'	skrivmaskinsapostrof	apostrof | citattecken | enkelt citattecken | skrivmaskinsapostrof
)	avslutande parentes	avslutande parentes | klammer | parentes | rundparentes
*	asterisk	asterisk | jokertecken | stjärna
+	plustecken	addera | plus | plustecken
,	kommatecken	komma | kommatecken
-	bindestreck-minustecken	avstavningstecken | bindestreck | bindestreck-minustecken | minustecken
.	punkt	punkt | slutpunkt
/	snedstreck	eller | sned | snedstreck | streck
:	kolon	kolon
;	semikolon	semikolon
<	mindre än	mindre än | mindre än-tecken | starttagg | tagg
=	likhetstecken	lika med | likhetstecken
>	större än	sluttagg | större än | större än-tecken | tagg
?	frågetecken	fråga | frågetecken
@	snabel-a	@-tecken | at-tecken | snabel-a
[	inledande hakparentes	hakparentes | inledande hakparentes | klammer | parentes
\	omvänt snedstreck	bakåt snedstreck | bakstreck | omvänt snedstreck
]	avslutande hakparentes	avslutande hakparentes | hakparentes | klammer | parentes
^	cirkumflex	accent | accenttecken | cirkumflex | hatt
_	understreck	understreck | understrykning | understrykningstecken
`	grav accent	accent | accenttecken | grav
{	inledande klammerparentes	ackolad | inledande klammerparentes | klammerparentes
|	vertikalstreck	lodstreck | streck | vertikalis | vertikalstreck
}	avslutande klammerparentes	ackolad | avslutande klammerparentes | klammerparentes
~	tilde	tilde
¡	inverterat utropstecken	förundringstecken | inverterat | utrop | utropstecken
¢	cent	cent
£	pund	EGP | GBP | pund | valuta
¤	okänd valuta	
¥	yen	CNY | JPY | valuta | yen | yuan
§	avsnitt	avsnitt | del | paragraf | paragraftecken
¨	trema	trema | två punkter | umlaut
©	upphovsrättssymbol	copyright | upphovsrätt | upphovsrättssymbol
«	gåsögon vänster	citationstecken | dubbla vinkelcitationstecken | gåsögon vänster | vänster | vinkel
¬	negation	icke | negation
®	registrerat varumärke	registrerat | registrerat varumärke
°	grad	grad | gradsymbol | gradtecken
±	plus-minus	plus-minus
²	upphöjt till två	kvadrat | två | upphöjt till | upphöjt till två
³	upphöjt till tre	kubik | tre | upphöjt till | upphöjt till tre
´	akut accent	accent | accenttecken | akut
µ	mikrotecken	mått | mikrotecken
¶	paragraftecken	alinea | paragraf | paragraftecken | stycke
·	halvhög punkt	halvhög punkt | mellanpunkt | mittpunkt | punkt | punkt i mitten
¹	upphöjt till ett	ett | upphöjt till | upphöjt till ett
»	gåsögon höger	citationstecken | dubbla vinkelcitationstecken | gåsögon höger | höger | vinkel
¿	inverterat frågetecken	fråga | frågetecken | inverterat
×	multiplikationstecken	gånger | multiplicera | multiplikation | multiplikationstecken
÷	divisionstecken	dela | division | divisionstecken | obelus
֏	armenisk dram	
؋	afghansk afghani	
،	arabiskt kommatecken	arabiska | arabiskt kommatecken | faasila | kommatecken
؛	arabiskt semikolon	arabiska | arabiskt semikolon | semikolon
؟	arabiskt frågetecken	arabiska | arabiskt frågetecken | fråga | frågetecken
৳	bangladeshisk taka	
฿	thailändsk baht	
៛	kambodjansk riel	
‐	bindestreck	avstavningstecken | bindestreck
–	tankstreck	streck | tankstreck
—	långt tankstreck	långt | tankstreck
―	horisontellt streck	bindestreck | horisontellt streck | streck | tankstreck
‘	vänster apostrof	apostrof | citattecken | enkelt citattecken | typoghrafiskt citattecken | vänster apostrof | vänsterställd apostrof
’	höger apostrof	apostrof | citattecken | enkelt citattecken | höger apostrof | högerställd apostrof | typografiskt citattecken
‚	nedsänkt högerställd apostrof	apostrof | citattecken | nedsänkt citattecken | nedsänkt högerställd apostrof
“	inledande citattecken	citat | citattecken | dubbelt citattecken | inledande citattecken | typografiskt citattecken
”	avslutande citattecken	avslutande citattecken | citat | citattecken | dubbelt citattecken | typografiskt citattecken
„	nedre avslutande citattecken	citat | citattecken | dubbelt citattecken | nedre avslutande citattecken | nedre citattecken | typografiskt citattecken
†	korstecken	kors | korstecken | obelisk
‡	dubbelkorstecken	dubbel | dubbelkors | dubbelkorstecken | obelus
•	listpunkt	listpunkt | punkt | punktlista
…	ellips	ellips | tre punkter | uteslutningstecken
‧	avstavningspunkt	avstavningspunkt | bindestreck | punkt | streck
‰	promille	per tusen | promille | tusendel
′	primtecken	prim | primtecken
″	dubbelprimtecken	dubbelprim | dubbelprimtecken | primtecken
‴	trippelprimtecken	prim | trippelprim | trippelprimtecken | triss
‸	insättningstecken	insättningstecken
※	källhänvisning	källhänvisning | referenstecken
‼	dubbla utropstecken	dubbla utropstecken | två | utropstecken
‽	interrobang	interrobang
‾	överstreck	överstreck
⁂	asterism	asterism | hänvisningsstjärna | stjärnbild
