# CLDR symbol names for sw: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	alama ya mshangao	alama ya mshangao | mshindo | shangaa
#	alama ya reli	alama ya reli | nambari | pauni | reli
$	dola	dola | pesa | peso | USD
%	asilimia	asili mia | asili-mia | asilimia
&	alama ya na	alama ya na | na
'	apostrofi ya taipureta	apostrofi | apostrofi ya taipureta | nukuu | nukuu moja
)	funga mabano	funga mabano | mabano | mabano ya mduara
*	kinyota	herufi wakilishi | kinyota | nyota
+	alama ya kujumlisha	alama ya kujumlisha | jumlisha | ongeza
,	koma	koma
-	kistariungio-alama ya kutoa	alama ya kutoa | kistari | kistariungio | kistariungio-alama ya kutoa
.	kikomo	alama ya kikomo | kikomo | nukta
/	mkwaju	mgawo | mkwaju | mkwaju mbele | mshazari | mstari
:	nuktapacha	nuktapacha
;	nuktamkato	nukta-mkato | nuktamkato
<	chini ya	chini ya | lebo | lebo ya kufungua
=	lingana	inalingana na | lingana
>	zaidi ya	lebo | lebo ya kufunga | zaidi ya
?	alama ya kuuliza	alama ya kuuliza | swali
@	alama ya ‘kwa’	alama ya ‘kwa’
[	fungua mabano ya mraba	fungua mabano ya mraba | mabano | mabano mraba | robo
\	mkwaju nyuma	mgawo | mkwaji nyuma | mkwaju nyuma
]	funga mabano mraba	funga mabano mraba | mabano | mabano mraba | robo
^	lafudhi ya juu na kali	alama ya xor | chevron | juu na kali | kali | kareti | lafudhi | lafudhi ya juu na kali | mshale | nguvu | udhibiti
_	mstari wa chini	kistari | kistari chini | mstari | mstari chini | mstari wa chini
`	lafudhi ya kuu	lafudhi | lafudhi ya kuu | toni
{	fungua mabano yaliyokunjwa	fungua mabano yaliyokunjwa | mabano | mabano yaliyokunjwa
|	mstari wima	alama | alama ya upau wima | mstari | mstari wima | upau | upau wima
}	funga mabano yaliyokujwa	funga mabano yaliyokujwa | mabano | mabano yaliyokunjwa
~	kiwimbi	kiwimbi
¡	alama ya mshangao iliyopinduliwa	alama ya mshangao | alama ya mshangao iliyopinduliwa | iliyopinduliwa | mshangao | mshindo | shangaa
¢	senti	senti
£	pauni	EGP | GBP | pauni | sarafu
¤	Sarafu isiyojulikana	
¥	yeni	CNY | JPY | sarafu | yeni | yuani
§	kifungu	alama ya kifungu | aya | kifungu | sehemu
¨	alama ya kutofautisha irabu mbili	alama ya kutofautisha irabu mbili | trema | umlati
©	hakimiliki	c | hakimiliki | hatimiliki
«	vishale viwili vinavyoelekea kushoto	dondoa | kareti | kushoto | mwango | pembe | tepe | vishale viwili vinavyoelekea kushoto
¬	uhasi	sio | uhasi
®	iliyosajiliwa	iliyosajiliwa | imesajiliwa | r | sajili
°	digrii	digrii | saa | thibitisho
±	jumlisha-toa	jumlisha-toa
²	weka mbili juu	herufijuu | mbili | mraba | weka mbili juu
³	weka tatu juu	herufijuu | mchemraba | tatu | weka tatu juu
´	lafudhi kali	kali | lafudhi | toni
µ	alama ya mikro	alama ya mikro | kipimo
¶	alama ya aya	alama ya aya | alinea | aya
·	kitone cha kati	alama ya kitone | kati | kitone | kitone cha kati
¹	weka moja juu	herufijuu | moja | weka moja juu
»	vishale viwili vinavyoelekea kulia	dondoa | kareti | kulia | mwango | pembe | tepe | vishale viwili vinavyoelekea kulia
¿	alama ya kuuliza iliyopinduliwa	alama ya kuuliza | alama ya kuuliza iliyopinduliwa | iliyopinduliwa | swali
×	alama ya kuzidisha	alama ya kuzidisha | kuzidisha | mara nyingi | zidisha
÷	alama ya kugawanya	alama iliyoashiria maandishi ya kutiliwa shaka | alama ya kugawanya | gawanya | kugawanya
֏	Dram ya Armenia	
؋	Afghani ya Afghanistan	
،	koma ya kiarabu	kiarabu | koma | koma ya kiarabu
؛	nuktamkato ya kiarabu	kiarabu | nukta-mkato | nuktamkato ya kiarabu
؟	alama ya kuuliza ya kiarabu	alama ya kuuliza | alama ya kuuliza ya kiarabu | kiarabu | swali
৳	Taka ya Bangladesh	
฿	Baht ya Tailandi	
៛	Riel ya Kambodia	
‐	kistariungio	kistari | kistariungio
–	kistari kirefu	kirefu | kistari
—	kistari kirefu zaidi	kistari | kistari kirefu zaidi
―	upau mlalo	kistari | mstari | upau | upau mlalo
‘	apostrofi ya kushoto	alama ya nukuu | apostrofi | apostrofi ya kushoto | nukuu | nukuu moja
’	apostrofi ya kulia	alama ya nukuu | apostrofi | apostrofi ya kulia | nukuu | nukuu moja
‚	apostrofi ya chini kulia	apostrofi | apostrofi ya chini kulia | nukuu | nukuu ya chini
“	alama ya kunukuu ya kushoto	alama ya kunukuu | alama ya kunukuu ya kushoto | manukuu | nukuu | nukuu mbili
”	alama ya kunukuu ya kulia	alama ya kunukuu | alama ya kunukuu ya kulia | manukuu | nukuu | nukuu mbili
„	alama ya kunukuu ya chini kushoto	alama ya kunukuu | alama ya kunukuu ya chini | alama ya kunukuu ya chini kushoto | manukuu | nukuu | nukuu mbili
†	alama ya kurejea	alama iliyotumika zamani katika maandishi | alama ya kurejea
‡	alama mbili za kurejea	alama iliyotumika zamani katika maandishi | alama mbili za kurejea | alama ya kurejea | mara mbili
•	tobo	kitone | tobo
…	alama ya dukuduku	alama ya dukuduku | nukta | nukta ya dukuduku | ruko
‧	sehemu ya kistariungio	kistari | kistariungio | sehemu | sehemu ya kistariungio
‰	kwa elfu	kwa elfu
′	tasa	tasa
″	tasa mbili	tasa | tasa mbili
‴	tasa tatu	tasa | tasa tatu
‸	kareti	kareti
※	alama ya kurejelea	alama ya kurejelea
‼	alama mbili za mshangao	! | !! | alama | alama mbili za mshangao | mlio mkubwa | mshangao | uakifishaji
‽	kibalagha	balagha | kibalagha | kinaya
‾	kistari cha juu	kata juu | kistari cha juu | kiunganishi
⁂	vinyota	dinku | nyota | vinyota
⁄	mkato wa sehemu	mkato wa sehemu | mkwaju
⁉	alama ya mshangao na kuuliza	! | !? | ? | alama ya mshangao na kuuliza | mshangao | swali | uakifishaji
⁻	alama ya kutoa ya juu	alama ya kutoa | alama ya kutoa ya juu | juu
₡	Colon ya Kostarika	
₢	kruzeiro	BRB | kruzeiro | sarafu
₣	faranga ya ufaransa	faranga | faranga ya ufaransa | sarafu
₤	lira	lira | sarafu
₥	mill	mil | mill
₦	Naira ya Nigeria	
₨	rupii	rupii | sarafu
₩	won	KPW | KRW | won
₪	Shekeli Mpya ya Israel	
₫	Dong ya Vietnam	
€	yuro	EUR | sarafu | yuro
₭	Kip ya Laosi	
₮	Tugrik ya Mongolia	
₰	peni ya ujerumani	peni ya ujarumani | peni ya ujerumani | pfennig | sarafu
₱	peso	peso
₲	Guarani ya Paragwai	
₳	austral	ARA | austral | sarafu
₴	Hryvnia ya Ukraine	
₵	Cedi ya Ghana	
₶	livre tournois	livre tournois | sarafu
₷	spesmilo	sarafu | spesmilo
₸	Tenge ya Kazakhstan	
₹	rupia ya india	rupia | rupia ya india | sarafu
₺	Lira ya Uturuki	
₼	Manat ya Azerbaijan	
₽	rubo	rubo | sarafu
₾	Lari ya Jojia	
₿	bitcoin	bitcoin | BTC
℗	hakimiliki ya rekodi ya sauti	hakimiliki | hakimiliki ya rekodi ya sauti | rekodi | sauti
™	chapa ya biashara	alama | alama ya biashara | chapa ya biashara
ℹ	kitufe cha maelezo	i | kitufe cha maelezo | maelezo
←	mshale unaoelekea kushoto	kushoto | mshale | mshale unaoelekea kushoto
↑	mshale unaoelekea juu	juu | mshale | mshale unaoelekea juu
→	mshale unaoelekea kulia	kulia | mshale | mshale unaoelekea kulia
↓	mshale unaoelekea chini	chini | mshale | mshale unaoelekea chini
↔	mshale unaoeleza kushoto na kulia	mshale | mshale unaoeleza kushoto na kulia | pande zote
↕	mshale unaoelekeza chini na juu	mshale | mshale unaoelekeza chini na juu
↖	mshale unaoelekeza juu kushoto	kaskazini magharibi | kati ya sehemu kuu ya dira | mshale | mshale unaoelekeza juu kushoto | mshale unaoelekeza kaskazini magharibi | uelekeo
↗	mshale unaoelekeza juu kulia	kaskazini mashariki | kati ya sehemu kuu ya dira | mshale | mshale unaoelekeza juu kulia | uelekeo
↘	mshale unaoelekeza chini kulia	kaskazini kusini mashariki | kati ya sehemu kuu ya dira | kusini mashariki | mshale | mshale unaoelekeza chini kulia | mwelekeo | uelekeo
↙	mshale unaoelekeza chini kushoto	kati ya sehemu kuu ya dira | kusini magharibi | mshale | mshale unaoelekeza chini kushoto | uelekeo
↚	mkwaju na kishale kinachoelekea kushoto	mkwaju na kishale kinachoelekea kushoto
↛	mkwaju na kishale kinachoelekea kulia	mkwaju na kishale kinachoelekea kulia
↜	kishale cha kiwimbi kinachoelekea kushoto	kishale cha kiwimbi kinachoelekea kushoto
↝	kishale cha kiwimbi kinachoelekea kulia	kishale cha kiwimbi kinachoelekea kulia
↞	kishale chenye vichwa viwili vinavyoelekea kushoto	kishale chenye vichwa viwili vinavyoelekea kushoto
↟	kishale chenye vichwa viwili vinavyoelekea juu	kishale chenye vichwa viwili vinavyoelekea juu
↠	kishale chenye vichwa viwili vinavyoelekea kulia	kishale chenye vichwa viwili vinavyoelekea kulia
↡	kishale chenye vichwa viwili vinavyoelekea chini	kishale chenye vichwa viwili vinavyoelekea chini
↢	kishale chenye mkia unaoelekea kushoto	kishale chenye mkia unaoelekea kushoto
↣	kishale chenye mkia unaoelekea kulia	kishale chenye mkia unaoelekea kulia
↤	kishale kinachoelekea kushoto kutoka kwenye upao	kishale kinachoelekea kushoto kutoka kwenye upao
↥	kishale kinachoelekea juu kutoka kwenye upao	kishale kinachoelekea juu kutoka kwenye upao
↦	kishale kinachoelekea kulia kutoka kwenye upao	kishale kinachoelekea kulia kutoka kwenye upao
↧	kishale kinachoelekea chini kutoka kwenye upao	kishale kinachoelekea chini kutoka kwenye upao
↨	kishale cha juu chini chenye upao	kishale cha juu chini chenye upao
↩	mshale wa kulia unaopinda kushoto	mshale | mshale wa kulia unaoelekeza kushoto | mshale wa kulia unaopinda kushoto
↪	mshale wa kushoto unaopinda kulia	elekea kulia | geukia kulia | mshale | mshale wa kushoto unaopinda kulia
↫	kishale kilichosokota kinachoelekea kushoto	kishale kilichosokota kinachoelekea kushoto
↬	kishale kilichosokota kinachoelekea kulia	kishale kilichosokota kinachoelekea kulia
↭	kishale cha kiwimbi chenye ncha pande mbili	kishale cha kiwimbi chenye ncha pande mbili
