# CLDR symbol names for sw_KE: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
¤	Sarafu Isiyojulikana	
؋	Afghani ya Afghanistani	
৳	Taka ya Bangladeshi	
฿	Bahti ya Tailandi	
៛	Rieli ya Kambodia	
₦	Naira ya Naijeria	
₫	Dong ya Vietnamu	
₴	Hryvnia ya Ukraini	
₵	Sidi ya Ghana	
₸	Tenge ya Kazakistani	
₼	Manati ya Azabajani	
₾	Lari ya Jiojia	
☣	tahadhari ya kibilojia	tahadhari ya kibilojia | tahadhari ya kibiolojia
♨		chemchemi za maji moto | chemichemi | chemichemi za maji ya moto | moto | mvuke
⛴	feri	
🗣	kichwa kinachozungumza	kichwa | kichwa kinachozungumza | kivuli | kuzungumza | uso | zungumza
