# CLDR symbol names for ta: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	ஆச்சரியக்குறி	ஆச்சரியக்குறி | ஆச்சரியம் | பேரொலி
#	எண் குறியீடு	எண் | எண் குறியீடு | எல்பி | பவுண்டு | ஹேஷ் | ஹேஷ்டேக்
$	டாலர்	அமெரிக்க டாலர் | டாலர் | பணம் | பேசோ | யூ.எஸ்.டி
%	சதவீதம்	சதவிகிதம் | சதவீதம்
&	உம்மைக் குறி	உம்மைக் குறி | மற்றும்
'	தட்டச்சுப்பொறி எழுத்தெச்சக்குறி	எழுத்தெச்சக்குறி | ஒற்றை மேற்கோள் | தட்டச்சுப்பொறி எழுத்தெச்சக்குறி | மேற்கோள்
)	மூடிய அடைப்புக்குறி	அடைப்புக்குறி | அடைப்புக்குறியீடு | சுற்று அடைப்புக்குறி | மூடிய அடைப்புக்குறி | வளை அடைப்புக்குறி
*	உடுக்குறி	உடுக்குறி | உடுக்குறியீடு | நட்சத்திரக் குறி | நட்சத்திரம் | வைல்டு கார்டு
+	கூட்டல் குறி	கூட்டல் | கூட்டல் குறி | சேர்
,	காற்புள்ளி	கமா | கால்புள்ளி | காற்புள்ளி
-	ஒட்டுக்குறி-கழித்தல் குறி	ஒட்டுக்குறி-கழித்தல் குறி | கழித்தல் | கோடு | ஹைஃபன்
.	முற்றுப்புள்ளி	புள்ளி | முழு நிறுத்தம் | முற்றுப்புள்ளி
/	சாய்கோடு	கோடு | சாய்கோடு | சாய்ந்த | சாய்வுக்கோடு
:	முக்காற்புள்ளி	முக்கால்புள்ளி | முக்காற்புள்ளி
;	அரைப்புள்ளி	அரைப்புள்ளி
<	இதைவிடக் குறைவாக	இதைவிடக் குறைவாக | குறிச்சொல் | திறந்த குறிச்சொல்
=	சமம்	சமம் | சமன்
>	இதைவிட அதிகமாக	இதைவிட அதிகமாக | குறிச்சொல் | மூடிய குறிச்சொல்
?	கேள்விக் குறி	கேள்வி | கேள்விக் குறி
@	வீதக் குறி	அட் குறி | வணிகரீதியான வீதக் குறி | வீதக் குறி | வீதக் குறியீடு
[	திறந்த சதுர அடைப்புக்குறி	அடைப்புக்குறி | க்ரோட்செட் | சதுர அடைப்புக்குறி | திறந்த சதுர அடைப்புக்குறி
\	பின் சாய்கோடு	பின் சாய்கோடு | பின் சாய்வுக்கோடு | பின்சாய்வு
]	மூடிய சதுர அடைப்புக்குறி	அடைப்புக்குறி | க்ரோட்செட் | சதுர அடைப்புக்குறி | மூடிய சதுர அடைப்புக்குறி
^	வளைவுக்குறி	ஆப்பு | உச்சரிப்பு | காரட் | சுட்டிக்காட்டி | செவ்ரான் | பவர் | வளைவுக்குறி
_	கீழ் கோடு	அடிக்கோடு | கீழ் கோடு | கோடு
`	கூரழுத்தக்குறி	உச்சரிப்பு | கூரழுத்தக்குறி | தொனி
{	திறந்த சுருள் அடைப்புக்குறி	அடைப்புக்குறி | சுருள் அடைப்புக்குறி | சுருள் பிரேஸ் | திறந்த சுருள் அடைப்புக்குறி | பிரேஸ்
|	செங்குத்துக் கோடு	கீரல் | கோடு | செங்குத்து பார் | செங்குத்துக் கோடு | பார் | பைப் | ஸ்டைக்
