# CLDR symbol names for tg: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
¤	Асъори номаълум	
©	ҳуқуқи муааллиф	ҳуқуқи муааллиф
®	ба қайд гирифташуда	ба қайд гирифташуда
֏	Драми Арманистон	
؋	Афғонии Афғонистон	
৳	Такаси Бангладеши	
฿	Бати Таиланд	
៛	Риэли Камбоҷа	
‸	карате	карате
‼	аломати хитоби дукарата	аломат | аломати хитоби дукарата | аломатҳои китобатӣ | банг-банг | хитоб
‽	interrobang	interrobang
‾	барзиёд	барзиёд
⁂	астеризм	астеризм
⁉	аломати хитобу савол	аломат | аломати китобатӣ | аломати хитобу савол | интерробанг | савол | хитоб
₡	Колони Коста-Рика	
₦	Найраи Нигерия	
₪	Шекелҳои нави Исроил	
₫	Донги Ветнам	
₭	Кипи Лаосй	
₮	Тугрики Муғулистон	
₲	Гуарании Парагвай	
₴	Гривнаи украинӣ	
₵	Седи Гана	
₸	Тангаи Казокистон	
₺	Лираи Туркия	
₼	Манати Озарбойҷон	
₾	Лариси гурҷӣ	
™	тамғаи савдо	аломат | тамғаи савдо
ℹ	маълумот	i | маълумот
↔	тири чапу рост	тир | тири чапу рост
↕	тири поёну боло	тир | тири поёну боло
↖	тири болову чап	мобайнӣ | самт | тир | тири болову чап | шимолу ғарб
↗	тири болову рост	мобайнӣ | самт | тир | тири болову рост | шимолу шарқ
↘	тири поёну рост	мобайнӣ | самт | тир | тири поёну рост | ҷанубу шарқ
↙	тири поёну чап	мобайнӣ | самт | тир | тири поёну чап | ҷанубу ғарб
↩	тири рости ба тарафи чап каҷшаванда	тир | тири рости ба тарафи чап каҷшаванда
↪	тири чапи ба тарафи рост каҷшаванда	тир | тири чапи ба тарафи рост каҷшаванда
⌨	клавиатура	клавиатура | компютер
⏏	тугмаи "Баровардан"	баровардан | тугмаи "Баровардан"
⏭	тугмаи "Суруди навбатӣ"	саҳнаи навбатӣ | секунҷа | суруди навбатӣ | тир | тугмаи "Суруди навбатӣ"
⏮	тугмаи "Суруди охирин"	саҳнаи қаблӣ | секунҷа | суруди қаблӣ | тир | тугмаи "Суруди охирин"
⏯	тугмаи "Пахш ё таваққуф"	пахш | рост | секунҷа | таваққуф | тир | тугмаи "Пахш ё таваққуф"
⏱	сониясанҷ	соати деворӣ | сониясанҷ
⏲	соати вақтсанҷ	вақтсанҷ | соати вақтсанҷ | соати деворӣ
⏸	Тугмаи "Таваққуф"	амудӣ | дутарафа | навор | таваққуф | Тугмаи "Таваққуф"
⏹	тугмаи "Ист"	ист | тугмаи "Ист" | чоркунҷа
⏺	тугмаи "Сабт"	давра | сабт | тугмаи "Сабт"
Ⓜ	М бо давра қайд шуд	m | давра | М бо давра қайд шуд
▪	чоркунҷаи хурди сиёҳ	геометрӣ | чоркунҷа | чоркунҷаи хурди сиёҳ
▫	чоркунҷаи хурди сафед	геометрӣ | чоркунҷа | чоркунҷаи хурди сафед
▶	тугмаи "пахш"	пахш | рост | секунҷа | тир | тугмаи "пахш"
◀	тугмаи "Гузариш ба қафо"	гузариш ба қафо | секунҷа | тир | тугмаи "Гузариш ба қафо" | чап
◻	чоркунҷаи миёнаи сафед	геометрӣ | чоркунҷа | чоркунҷаи миёнаи сафед
◼	чоркунҷаи миёнаи сиёҳ	геометрӣ | чоркунҷа | чоркунҷаи миёнаи сиёҳ
☀	офтоб	офтоб | офтобӣ | равшан | шуоъ
☁	абр	абр | обу ҳаво
☂	чатр	борон | либос | чатр
☃	одами барфӣ	абр | барф | одами барфӣ
☄	комета	комета | фазо
☎	телефон	телефон
☑	қуттии бюллетенҳо бо қайд	бюллетен | қайд | қуттӣ | қуттии бюллетенҳо бо қайд
☘	себарга	растанӣ | себарга
☝	ангушти ишорат ба боло ишора карда истода	ангушт | ангушти ишорат ба боло ишора карда истода | боло | даст | нишондиҳанда | нуқта
☠	косахонаи сар ва устухонҳо дар шакли салиб	аъҷуба | косахонаи сар | косахонаи сар ва устухонҳо дар шакли салиб | марг | рӯй | устухонҳо дар шакли салиб
☢	радиоактивӣ	аломат | радиоактивӣ
☣	хатари биологӣ	аломат | хатари биологӣ
☦	салиби православӣ	дин | Насронӣ | салиб | салиби православӣ
☪	ситора ва салиб	дин | Ислом | мусулмон | ситора ва салиб
☮	аломати "сулҳ"	аломати "сулҳ" | сулҳ
☯	йин янг	дин | йин | тао | таоист | янг
☸	чархи дарма	Буддист | дарма | дин | чарх | чархи дарма
☹	рӯи қавоқандохта	қавоқ андохтан | рӯи қавоқандохта | рӯй
☺	рӯи табассумкунанда	ором | рӯи табассумкунанда | рӯй | табассум | хаткашида
♀	аломати зан	аломати зан | зан
♂	аломати мард	аломати мард | мард
♠	қарамашшоқ	бозӣ | корт | қарамашшоқ
♣	чилликхол	бозӣ | корт | чилликхол
♥	таппон	бозӣ | корт | таппон
♦	хиштхол	бозӣ | корт | хиштхол
♨	чашмаҳои гарм	гарм | чашмаҳо | чашмаҳои гарм | ҷӯшидаистода
♻	аломати "азнавкоркардкунӣ"	аз нав коркард кардан | аломати "азнавкоркардкунӣ"
⚒	болға ва зоғнӯл	асбоб | болға | болға ва зоғнӯл | зоғнӯл
⚔	шамшерҳои ба ҳам гузошташуда	силоҳ | чиллик гузошташуда | шамшер | шамшерҳои ба ҳам гузошташуда
⚕	аломати тиббӣ	аломати тиббӣ | дору | кормандон | табиб
⚖	тарозу	адолат | асбоб | бурҷи дувоздаҳгона | вазн | Мизон | тавозун | тарозу
⚗	аламбик	аламбик | асбоб | кимиё
⚙	чархи дандонадор	асбоб | чархи дандонадор
⚛	аломати "атом"	аломати "атом" | атеист | атом
⚜	савсан	савсан
⚠	огоҳӣ	огоҳӣ
⚰	тобут	марг | тобут
⚱	устадони ҷаноза	марг | устадон | устадони ҷаноза | хокистар | ҷаноза
⛈	абр бо чароғак ва борон	абр | абр бо чароғак ва борон | борон | тундар
⛏	зоғнӯл	асбоб | зоғнӯл | саноати куҳӣ
⛑	тоскулоҳи корманди наҷотдиҳӣ	кӯмак | рӯй сарпӯш | салиб | тоскулоҳ | тоскулоҳи корманди наҷотдиҳӣ
⛓	занҷирҳо	занҷир | занҷирҳо
⛩	ҷои муқаддаси синто	дин | синто | ҷои муқаддас | ҷои муқаддаси синто
⛰	куҳ	куҳ
⛱	чатр дар замин	борон | офтоб | чатр | чатр дар замин
⛴	киштии гузора	киштии гузора | қаиқ | мусофир
⛷	лижарон	барф | лижа | лижарон
⛸	яхмолак	скейт | ях | яхмолак
⛹	шахсе, ки тӯбро ба замин зада истодааст	ки тӯбро ба замин зада истодааст | тӯб | шахсе | шахсе, ки тӯбро ба замин зада истодааст
✂	қайчӣ	абзор | буридан | қайчӣ
✈	тайёра	тайёра | ҳавопаймо
✉	лифофа	лифофа | мактуб | номаи электронӣ
✌	дасти зафар	v | даст | дасти зафар | зафар
✍	дасти навишта истода	даст | дасти навишта истода | навиштан
✏	қалам	қалам
✒	нӯги сиёҳ	нӯг | нӯги сиёҳ | ручка
✔	аломати вазнини қайд	аломат | аломати вазнини қайд | қайд
✖	зарбзании вазнин х	бекор кардан | зарб задан | зарбзанӣ | зарбзании вазнин х | х
✝	салиби лотинӣ	дин | Насронӣ | салиб | салиби лотинӣ
✡	ситораи Дейвид	Дейвид | дин | ситора | ситораи Дейвид | яҳуд | яҳудӣ
✳	ситорачаи ҳашт паррадор	ситорача | ситорачаи ҳашт паррадор
✴	ситораи ҳашт нӯгдор	ситора | ситораи ҳашт нӯгдор
❄	зарраи барф	абр | барф | зарраи барф
❇	ялаққос задан	ялаққос задан
❣	хитоби дили вазнин	аломат | аломатҳои китобатӣ | хитоб | хитоби дили вазнин
❤	дили сурх	дил | дили сурх
➡	тири рост	асосӣ | самт | тир | тири рост | шарқ
⤴	тири рости ба тарафи боло каҷшаванда	тир | тири рости ба тарафи боло каҷшаванда
⤵	тири рости ба тарафи поён каҷшаванда	поён | тир | тири рости ба тарафи поён каҷшаванда
⬅	тири чап	асосӣ | ғарб | самт | тир | тири чап
⬆	тири "боло"	асосӣ | самт | тир | тири "боло" | шимол
⬇	тири поён	асосӣ | поён | самт | тир | тири поён | ҷануб
〰	тиреи мавҷдор	аломати китобатӣ | мавҷдор | тире | тиреи мавҷдор
〽	аломати тағйирёбии қисм	аломат | аломати тағйирёбии қисм | қисм
㊗	тугмаи "Табрик"-и ҷопонӣ	"табрик" | идеограмма | тугмаи "Табрик"-и ҷопонӣ | ҷопонӣ | 祝
㊙	тугмаи "Махфӣ"-и ҷопонӣ	"махфӣ" | идеограмма | тугмаи "Махфӣ"-и ҷопонӣ | ҷопонӣ | 秘
🅰	тугмаи "А" (гуруҳи хун)	а | гуруҳи хун | тугмаи "А" (гуруҳи хун)
🅱	тугмаи "В" (гуруҳи хун)	b | гуруҳи хун | тугмаи "В" (гуруҳи хун)
🅾	тугмаи "О" (гуруҳи хун)	гуруҳи хун | о | тугмаи "О" (гуруҳи хун)
🅿	тугмаи "P"	таваққуф кардан | тугмаи "P"
🈂	тугмаи "Маблағи хизматрасонӣ"-и ҷопонӣ	"маблағи хизматрасонӣ" | катакана | тугмаи "Маблағи хизматрасонӣ"-и ҷопонӣ | ҷопонӣ | サ
🈷	тугмаи "арзиши моҳона"-и ҷопонӣ	"арзиши моҳона" | идеограмма | тугмаи "арзиши моҳона"-и ҷопонӣ | ҷопонӣ | 月
🌡	ҳароратсанҷ	обу ҳаво | ҳароратсанҷ
🌤	офтоб паси абри хурд	абр | офтоб | офтоб паси абри хурд
🌥	офтоб паси абри калон	абр | офтоб | офтоб паси абри калон
🌦	офтоб паси абри боронӣ	абр | борон | офтоб | офтоб паси абри боронӣ
🌧	абр бо борон	абр | абр бо борон | борон
🌨	абр бо барф	абр | абр бо барф | барф | хунук
🌩	абр бо чароғак	абр | абр бо чароғак | чароғак
🌪	торнадо	абр | гирдбод | торнадо
🌫	туман	абр | туман
🌬	рӯи шамол	абр | вазидан | рӯи шамол | рӯй | шамол
🌶	қаланфури тез	гарм | қаланфур | қаланфури тез
🍽	чангол ва корд бо табақча	корд | пухтан | табақча | чангол | чангол ва корд бо табақча
🎖	медали ҳарбӣ	медал | медали ҳарбӣ | ҳарбӣ | ҷашн
🎗	лентаи ёдрасон	ёдрасон | лента | лентаи ёдрасон | ҷашн
🎙	микрофони студия	мик | микрофон | микрофони студия | мусиқӣ | студия
🎚	василаи лағжандаи сатҳ	василаи лағжанда | василаи лағжандаи сатҳ | мусиқӣ | сатҳ
🎛	дастаҳои идора	дастаҳо | дастаҳои идора | идора | мусиқӣ
🎞	кадрҳои навор	кадр | кадрҳои навор | кино | навор | синамо
🎟	чиптаҳои қабул	қабул | чипта | чиптаҳои қабул
🏋	шахсе, ки бор мебардорад	борбардор | вазн | ки бор мебардорад | шахсе | шахсе, ки бор мебардорад
🏌	шахсе, ки голф бозӣ карда истодааст	голф | ки голф бозӣ карда истодааст | тӯбча | шахсе | шахсе, ки голф бозӣ карда истодааст
🏍	мотосикл	мотосикл | пойга
🏎	автомобили пойга	автомобили пойга | мошин | пойга
🏔	куҳи бо барф пӯшида	барф | куҳ | куҳи бо барф пӯшида | хунук
🏕	хаймазанӣ	хаймазанӣ
🏖	соҳил бо чатр	соҳил | соҳил бо чатр | чатр
🏗	сохтмони бино	сохтмон | сохтмони бино
🏘	хонаҳо	хонаҳо
🏙	манзараи шаҳр	манзараи шаҳр | шаҳр
🏚	хонаи бесоҳиб	бесоҳиб | хона | хонаи бесоҳиб
🏛	бинои классикӣ	бинои классикӣ | классикӣ
🏜	биёбон	биёбон
🏝	ҷазираи биёбон	биёбон | ҷазира | ҷазираи биёбон
🏞	парки миллӣ	парк | парки миллӣ
🏟	варзишгоҳ	варзишгоҳ
🏳	байрақи сафед	байрақи сафед | мавҷ задан
