# CLDR symbol names for th: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	เครื่องหมายอัศเจรีย์	การอุทาน | เครื่องหมายอัศเจรีย์ | ปัง
#	เครื่องหมายแฮช	เครื่องหมายสี่เหลี่ยม | เครื่องหมายแฮช | ตัวเลข | แฮช | แฮชแท็ก
$	ดอลลาร์	เงิน | ดอลลาร์ | ดอลลาร์สหรัฐ | เปโซ
%	เปอร์เซ็นต์	เปอร์เซ็นต์
&	เครื่องหมายและ	เครื่องหมายและ | และ | แอมเพอร์แซนด์
'	อัญประกาศเดี่ยวแบบพิมพ์ดีด	เครื่องหมายคำพูดเดี่ยว | อัญประกาศ | อัญประกาศเดี่ยว | อัญประกาศเดี่ยวแบบพิมพ์ดีด
)	วงเล็บปิด	นขลิขิต | วงเล็บ | วงเล็บโค้ง | วงเล็บปิด | วงเล็บเหลี่ยม
*	เครื่องหมายดอกจัน	เครื่องหมายดอกจัน | ดอกจัน | อักขระตัวแทน
+	เครื่องหมายบวก	เครื่องหมายบวก | บวก | เพิ่ม
,	จุลภาค	จุลภาค
-	ยัติภังค์-เครื่องหมายลบ	ขีดกลาง | เครื่องหมายลบ | ยัติภังค์ | ยัติภังค์-เครื่องหมายลบ
.	มหัพภาค	เครื่องหมายจุด | จุด | มหัพภาค
/	เครื่องหมายทับ	เครื่องหมายทับ | เฉียง | ทับ | เส้นขีด | เส้นแบ่ง | หวด
:	ทวิภาค	ทวิภาค
;	อัฒภาค	อัฒภาค
<	น้อยกว่า	แท็ก | แท็กเปิด | น้อยกว่า
=	เท่ากับ	เท่ากัน | เท่ากับ
>	มากกว่า	แท็ก | แท็กปิด | มากกว่า
?	เครื่องหมายปรัศนี	คำถาม | เครื่องหมายปรัศนี
@	แอทไซน์	เครื่องหมาย @ | เครื่องหมายแอท | สตรูเดล | อาร์โรบา | อาโรบาเซ | แอทไซน์ | แอมเปอร์แซท
[	วงเล็บเหลี่ยมเปิด	วงเล็บตะขอ | วงเล็บสี่เหลี่ยม | วงเล็บเหลี่ยม | วงเล็บเหลี่ยมเปิด
\	เครื่องหมายทับขวา	เครื่องหมายทับขวา | ทับกลับหลัง | หวด
]	วงเล็บเหลี่ยมปิด	วงเล็บตะขอ | วงเล็บสี่เหลี่ยม | วงเล็บเหลี่ยม | วงเล็บเหลี่ยมปิด
^	ตัวกำกับเสียงเซอร์คัมเฟล็กซ์	การเน้นเสียง | เครื่องหมาย | เซอร์คัมเฟล็กซ์ | ตัวกำกับเสียง | ตัวชี้ | บั้ง | มวก | ยกกำลัง | รูปสามเหลี่ยม
_	สัญประกาศ	ขีดกลาง | ขีดล่าง | ขีดเส้นใต้ | สัญประกาศ | เส้น | เส้นใต้
`	เกรฟแอกเซนต์	เกรฟ | เกรฟแอกเซนต์ | โทน | แอกเซนต์
{	วงเล็บปีกกาเปิด	เครื่องหมายปีกกา | ปีกกา | วงเล็บ | วงเล็บปีกกา | วงเล็บปีกกาเปิด
|	เส้นแนวตั้ง	เชฟเฟอร์สโตรก | แถบแนวตั้ง | แท่ง | ไปป์ | วีบาร์ | เส้น | เส้นแนวตั้ง
}	วงเล็บปีกกาปิด	เครื่องหมายปีกกา | ปีกกา | วงเล็บ | วงเล็บปีกกา | วงเล็บปีกกาปิด
~	ตัวหนอน	ตัวหนอน
¡	เครื่องหมายอัศเจรีย์กลับหัว	กลับหัว | การอุทาน | เครื่องหมายตกใจ | เครื่องหมายอัศเจรีย์ | เครื่องหมายอัศเจรีย์กลับหัว | ปัง
¢	เซ็นต์	เซ็นต์
£	ปอนด์	เงินปอนด์อังกฤษ (GBP) | เงินปอนด์อียิปต์ (EGP) | ปอนด์ | สกุลเงิน
¤	ไม่ทราบชื่อสกุลเงิน	
¥	เยน	เงินเยนญี่ปุ่น (JPY) | เงินหยวนจีน (CNY) | เยน | สกุลเงิน | หยวน
§	สัญลักษณ์ระบุว่าเป็นตอน	ตอน | ย่อหน้า | ส่วน | สัญลักษณ์ระบุว่าเป็นตอน | สัญลักษณ์ระบุส่วนของหนังสือ
¨	เครื่องหมายไดเอเรซิส	เครื่องหมายไดเอเรซิส | ไดเอเรซิส | เทรม่า | อุมเล้าท์
©	ลิขสิทธิ์	เครื่องหมาย | ลิขสิทธิ์ | สงวน | สัญลักษณ์
«	กิลเลอเมตเปิด	กิลเลอเมตเปิด | เครื่องหมายตก | เครื่องหมายอ้างอิง | บั้ง | เปิด | มุม | วงเล็บ
¬	ค่าลบ	ค่าลบ | ไม่
®	จดทะเบียน	เครื่องหมาย | จดทะเบียน | สัญลักษณ์
°	องศา	การพิสูจน์ | ชั่วโมง | องศา
±	บวกหรือลบ	บวกหรือลบ
²	ตัวยกเลขสอง	ตัวยก | ตัวยกเลขสอง | ยกกำลังสอง | สอง
³	ตัวยกเลขสาม	ตัวยก | ตัวยกเลขสาม | ยกกำลังสาม | สาม
