# CLDR symbol names for ti: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	ምልክት ስምዒት	ምልክት ስምዒት | ስምዒት | ስምዒት ነጥቢ | ባንግ
#	ምልክት ሃሽ	lb | ሃሽ | ሃሽታግ | ምልክት ሃሽ | ቁጽሪ | ፓወንድ
$	ዶላር	ዶላር | ገንዘብ | ፐሶ
%	ሚእታዊት	ሚእታዊት | ሳንቲም | ንነፍሲ ወከፍ
&	ኣምፐርሳንድ	ኣምፐርሳንድ | ኤት | ከምኡ`ውን
'	ናይ ጽሕፈት መኪና ኣፖስትሮፍ	ምጥቃስ | ናይ ጽሕፈት መኪና ኣፖስትሮፍ | ንጽል ምጥቃስ | ኣፖስትሮፍ
)	ዝተዓጽወ ሓጹር	ሓጹር | ከቢብ ሓጹር | ዝተዓጽወ ሓጹር
*	ኣስተርሲክ	ኣስተርሲክ | ኮኾብ | ዊልድካርድ
+	ምልክት ምድማር	ምልክት ምድማር | ምድማር
,	ኮማ	ኮማ
-	ሃይፈን-ዝጎደሎ	ሃይፈን-ዝጎደሎ | ህይፈን | ዝጎደለ | ዳሽ
.	ጊዜ	ኣርባዕተ ነጥቢ | ዶት | ጊዜ
/	ስላሽ	ሰሊዱስ | ስላሽ | ቄናን | ቪርጉለ | ወቅዒ | ዋክ
:	ሰረዝ	ሰረዝ
;	ነጥበሰረዝ	ነጥበ-ሰረዝ | ነጥበሰረዝ
<	ይንእስ	ላቔባ | ላቔባ ምክፋት | ይንእስ
=	ልክዕ	ልክዕ
>	ይዓቢ	ላቔባ | ላቔባ ምዕጻው | ይዓቢ
?	ምልክት ሕቶ	ሕቶ | ምልክት ሕቶ
@	ኣብ-ምልክት	ስትሩደል | ኣምፐርሳት | ኣሮባ | ኣሮባስ | ኣብ ምልክት | ኣብ ንግዳዊ | ኣብ-ምልክት
[	ክፉት ትርብዒታዊ-ሓጹር	ሓጹር | ትርብዒታዊ-ሓጹር | ክሮትቸት | ክፉት ትርብዒታዊ-ሓጹር
\	ባክስላሽ	ባክስላሽ | ዋክ | ግምጣል ሰሊዱስ
]	ዕጹው ትርብዕታዊ-ሓጹር	ሓጹር | ትርብዒታዊ-ሓጹር | ክሮትቸት | ዕጹው ትርብዕታዊ-ሓጹር
^	ሲርኩምፍለክስ ኣደማምጻ	ሃት | ሓዪ | ምልክት ኤክሶር | ምቁጽጻር | ሲርኩምፍለክስ | ቸቭሮን | ኣመልካቲት | ኣደማምጻ | ካረት | ውሻል
_	ታሕተዋይ መስመር	መስመር | ታሕተዋይ መስመር | ታሕተዋይ ዳሽ | ዝተሰመረ | ዳሽ | ዳሽ ዝተገብረ
`	ዕቱብ ኣደማምጻ	ቃና | ኣደማምጻ | ዕቱብ
{	ክፉት ዕኽሉል ሓጹር	ሓጹር | ክፉት ዕኽሉል ሓጹር | ዕኽሉል ሓጹር | ደገፈ | ጋልዊንግ
|	ትኹል ሕንጻጽ	vሕንጣጥ | ሕንጣጥ | መስመር | ሰፈር ወቕዒ | በትሪ | ቱቦ | ትኹል ሕንጻጽ | ወቅዒ | ጭማራ
}	ዕጹው ዕኽሉል ሓጹር	ሓጹር | ዕኽሉል ሓጹር | ዕጹው ዕኽሉል ሓጹር | ደገፈ | ጋልዊንግ
~	ቲልደ	ቲልደ
¡	ግምጣል ምልክት ስምዒት	ምልክት ስምዒት | ስምዒት | ስምዒት ነጥቢ | ባንግ | ግምጣል | ግምጣል ምልክት ስምዒት
¢	ሳንቲም	ሳንቲም
£	ፓዎንድ	EGP | GBP | ገንዘብ | ፓዎንድ
¤	ዘይተፈልጠ ባጤራ	
¥	የን	CNY | JPY | የን | ገንዘብ
§	ክፋል	ሕጡበ ጽሑፍ | ሶልክሮው | ክፋል
¨	ዲያረሲስ	ትረማ | ኡምልዋት | ዲያረሲስ
©	መሰል ደራሲ	c | መሰል ደራሲ
