# CLDR symbol names for tk: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	ýüzlenme alamaty	bah | ýüzlenme | ýüzlenme alamaty | ýüzlenme belgisi
#	gözenek belgisi	funt | gözenek | gözenek belgisi | gözenek tagma | lb | san
$	dollar	ABŞ | dollar | peso | pul
%	göterim	göterim | prosent
&	ampersant	ampersant | i | we
'	dik apostrof	apostrof | dik apostrof | goşa dyrnak | ýeke dyrnak
)	ýaýy ýapmak	parantez | parens | skobka | tegelek ýaý | ýaý | ýaýy ýapmak
*	ýyldyzjyk	ýyldyz | ýyldyzjyk | žoker
+	goşmak belgisi	goş | goşmak | goşmak belgisi
,	otur	otur
-	defis - aýyrmak	aýyrmak | defis | defis - aýyrmak | tire
.	nokat	dot | nokat | toçka
/	ýapgyt çyzyk	gyşyk | sleş | urgy | wäk | ýapgyt | ýapgyt çyzyk | zarba
:	iki nokat	iki nokat
;	nokatly otur	nokatly otur
<	kiçidir	açyş tagmasy | kiçidir | tagma
=	deňdir	deň | deňdir
>	uludyr	tagma | uludyr | ýapyş tagmasy
?	sorag alamaty	sorag | sorag alamaty
@	itjagaz belgisi	ampersat | arobeýz | arroba | it belgisi | itjagaz belgisi | ştrudel | täjirçilikde it belgisi
[	inedördül ýaýy açmak	çüňkli ýaý | inedördül ýaý | inedördül ýaýy açmak | ýaý
\	ters ýapgyt çyzyk	ters sleş | ters ýapgyt çyzyk | wäk
]	inedördül ýaýy ýapmak	çüňkli ýaý | inedördül ýaý | inedördül ýaýy ýapmak | ýaý
^	sirkumfleks belgisi	barlag | basym | dereje | görkezgiç | iksor belgisi | karet | pahna | şewron | sirkumfleks | şlýapa
_	aşaky çyzyk	aşagyny çyzmak | aşaky çyzyk | aşaky kese çyzyk | aşaky tire | çyzyk | tire
`	grawis belgisi	äheň | basym | grawis | grawis belgisi
{	şekilli ýaýy açmak	figuraly skobka | ganatly ýaý | şekilli ýaý | şekilli ýaýy açmak | skobka | ýaý
|	dik çyzyk	çyzyk | dik çyzgy | dik çyzyk | dik zolak | pik | şefer urgusy | taýak | turba | urgy | zolak
}	şekilli ýaýy ýapmak	figuraly skobka | ganatly ýaý | şekilli ýaý | şekilli ýaýy ýapmak | skobka | ýaý
~	tilda	tilda
¡	ters ýüzlenme belgisi	bah | ters | ters ýüzlenme belgisi | ýüzlenme | ýüzlenme belgisi | ýüzlenme nyşany
¢	sent	sent
£	sterling funty	EGP | GBP | pul birligi | sterling funty
¤	Näbelli pul birligi	
¥	ýen	CNY | JPY | pul birligi | ýen | ýuan
§	bölme	bölek | bölme | bölüm | bölüm nyşany | paragraf
¨	trema	diarezis | trema | umlaut
©	awtorlyk hukugy	awtorlyk hukugy | c
«	çep goşa dyrnak	burç | çep | çep goşa dyrnak | goşa burçly ýaý | goşa dyrnak | kareler | ýaýlar
¬	ýokluk	ýok | ýokluk
®	bellige alnan	bellige alnan | r
°	dereje	dereje | sagat | subut
±	goşmak - aýyrmak	goşmak - aýyrmak
²	ýokary indeks iki	iki | kwadratda | ýokary indeks | ýokary indeks iki
³	ýokary indeks üç	kubda | üç | ýokary indeks | ýokary indeks üç
´	ýiti basym	äheň | basym | ýiti
µ	mikro belgisi	mikro belgisi | ölçeg
¶	abzas belgisi	abzas | abzas belgisi | alinea | paragraf
·	interpunkt	interpunkt | midot | nokta | orta
