# CLDR symbol names for tn: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
©	tshwanelo ya go kopolola	tshwanelo ya go kopolola
®	kwadisitswe	kwadisitswe
‼	letshwao la kgakgamatso le le gabedi	bangbang | kgakgamalo | letshwao | letshwao la kgakgamatso le le gabedi | letshwao la puiso
⁉	letshwao la potso la kgakgamatso	interrobang | kgakgamalo | letshwao | letshwao la potso la kgakgamatso | letshwao la puiso | potso
™	letshwao la thekiso	letshwao | letshwao la thekiso | letshwaomoono | tm
ℹ	tshedimosetso	i | tshedimosetso
↔	motsu wa molemamojeng	motsu | motsu wa molemamojeng
↕	motsu wa tlasegodimo	motsu | motsu wa tlasegodimo
↖	motsu wa godimo molemeng	bokonebophirima | kaela | khadinale magareng | motsu | motsu wa godimo molemeng
↗	motsu wa godimomojeng	bokonebotlhaba | kaela | khadinale magareng | motsu | motsu wa godimomojeng
↘	motsu wa mojatlase	borwa botlhaba | kaela | khadinale magareng | motsu | motsu wa mojatlase
↙	motsu wa molematlase	borwabophirima | kaela | khadinale magareng | motsu | motsu wa molematlase
↩	motsu wa moja o o kobegelang molemeng	motsu | motsu wa moja o o kobegelang molemeng
↪	motsu wa molema o o kobegelang molemeng	motsu | motsu wa molema o o kobegelang molemeng
⌨	khiiboto	khiiboto | khomphiutha
⏏	konopo ya ntsha	konopo ya ntsha | ntsha
⏭	konopo ya pina e e latelang	khutlotharo | konopo ya pina e e latelang | motsu | pina e e latelang | pono e e latelang
⏮	konopo ya pina ya pofelo	khutlotharo | konopo ya pina ya pofelo | motsu | pina e e fetileng | pono e e fetileng
⏯	konopo ya tshameka kgotsa kgaotsa go sekae	kgaotsa go sekae | khutlotharo | konopo ya tshameka kgotsa kgaotsa go sekae | moja | motsu | tshameka
⏱	setopowatšhe	setopowatšhe | tshupanako
⏲	tshupanako ya sesupanako	sesupanako | tshupanako | tshupanako ya sesupanako
⏸	konopo ya kgaotsa go sekae	bara | kgaotsa go sekae | konopo ya kgaotsa go sekae | sebedi | ya godimo
⏹	konopo ya go emisa	ema | konopo ya go emisa | sekwere
⏺	konopo ya rekoto	konopo ya rekoto | rekoto | sekele
Ⓜ	dirilwe sekele ya M	dirilwe sekele ya M | m | sekele
▪	sekwere se sentsho se sennye	sa jeometeri | sekwere | sekwere se sentsho se sennye
▫	sekwere se sesweu se sennye	sa jeometeri | sekwere | sekwere se sesweu se sennye
▶	konopo ya tshameka	khutlotharo | konopo ya tshameka | moja | motsu | tshameka
◀	konopo ya boela morago	boela morago | khutlotharo | konopo ya boela morago | molema | motsu
◻	sekwere se se mo magareng se sesweu	sa jeometeri | sekwere | sekwere se se mo magareng se sesweu
◼	sekwere se se mo magareng se sentsho	sa jeometeri | sekwere | sekwere se se mo magareng se sentsho
☀	letsatsi	letsatsi | marang | phatsima
☁	leru	leru | maemoabosa
☂	sekhukhu	pula | seaparo | sekhukhu
☃	monna wa semathana	monna wa semathana | semathana | tsididi
☄	khomete	khomete | sebaka
☎	thelefouno	founo | thelefouno
☑	lebokoso la balote ka tlholo	balote | lebokoso | lebokoso la balote ka tlholo | tlhola
☘	sejalo sa shamrock	sejalo | sejalo sa shamrock
☝	monwana o o supang o supile sodimo	godimo | letsogo | monwana | monwana o o supang | monwana o o supang o supile sodimo | supa
☠	logata le marapo a a fapaantsweng	gogo | logata | logata le marapo a a fapaantsweng | loso | marapo a a fapaantsweng | sefatlhego
☢	marang a radio	marang a radio | sesupo
☣	kotsi mo ditsheding	kotsi mo ditsheding | sesupo
☦	sefapaano se se tlwaelegileng	bodumedi | Bokeresete | sefapaano | sefapaano se se tlwaelegileng
☪	naledi le sephatlo sa yone	bodumedi | iselamo | Momoselema | naledi le sephatlo sa yone
☮	letshwao la kagiso	kagiso | letshwao la kagiso
☯	yin yang	bodumedi | botao | tao | yang | yin
☸	lebili la ga dharma	bodumedi | dharma | lebili | lebili la ga dharma | Mobuda
