# CLDR symbol names for to: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	kalanga	fakaʻilonga | kalanga
#	fetāʻoaki	fakaʻilonga | fetāʻoaki
$	tola	ʻAmelika | paʻanga | tola
%	peseti	fakaʻilonga | peseti
&	pea-mo	fakaʻilonga | mo | pea | pea-mo
'	lea hiki hika	fakaʻilonga | lea hiki | lea hiki hika
)	haʻi tuku	fakaʻilonga | haʻi | haʻi tuku
*	fakafetuʻu	fakafetuʻu | fakaʻilonga
+	tānaki	fakaʻilonga | tānaki
,	koma	fakaʻilonga | koma
-	haifine-kole	fakaʻilonga | haifine | haifine-kole | kohi | kole
.	toti	fakaʻilonga | piliote | toti
/	kohimuʻa	fakaʻilonga | kohi | kohimuʻa | muʻa
:	koloni	fakaʻilonga | koloni
;	semikoloni	fakaʻilonga | semikoloni
<	siʻihifo	fakaʻilonga | hifo | siʻi | siʻihifo
=	tatau	fakaʻilonga | tatau
>	lahihake	fakaʻilonga | hake | lahi | lahihake
?	fehuʻi	fakaʻilonga | fehuʻi
@	hiku vilovilo	fakaʻilonga | hiku vilovilo
[	haʻi tapafā toʻo	fakaʻilonga | haʻi | haʻi tapafā toʻo | tapafā
\	kohimui	fakaʻilonga | kohi | kohimui | mui
]	haʻi tapafā tuku	fakaʻilonga | haʻi | haʻi tapafā tuku | tapafā
^	fakamamafa tatā	fakamamafa | hake | tatā
_	kohi hifo	fakaʻilonga | hifo | kohi
`	fakamamafa kehe	fakamamafa | kehe
{	haʻi mingimingi toʻo	fakaʻilonga | haʻi | haʻi mingimingi toʻo | mingimingi
|	laine tuʻutonu	fakaʻilonga | laine tuʻutonu | tuʻutonu
}	haʻi mingimingi tuku	fakaʻilonga | haʻi | haʻi mingimingi tuku | mingimingi
~	fafasi	fafasi | fakaʻilonga | peau
¡	kalanga fulihi	fakaʻilonga | fulihi | kalanga
¢	seniti	paʻanga | seniti
£	sōvaleni	paʻanga | Pilitānia | sōvaleni
¤	Pa’anga Ta’e’ilo	
¥	ieni	ieni | paʻanga | Siapani
§	kupu	fakaʻilonga | kupu
¨	fakamamafa totiua	fakamamafa | fakamamafa totiua | toti | ua
©	mafai-pulusi	fakaʻilonga | mafai-pulusi
«	lea hiki fakatouliki lōua hema	fakaʻilonga | lea hiki | lea hiki fakatouliki lōua hema | touliki | ua
¬	fakaʻikai	fakaʻikai | fakaʻilonga | ʻikai
®	lēsisita	fakaʻilonga | lēsisita
°	tikili	fakaʻilonga | tikili
±	tānaki-kole	fakaʻilonga | kole | tānaki | tānaki-kole
²	ua hake	fakaʻilonga | hake | ua
³	tolu hake	fakaʻilonga | hake | tolu
´	fakamamafa tonga	fakamamafa | tonga
µ	maikalo	fakaʻilonga | maikalo
¶	palakalafi	fakaʻilonga | palakalafi
·	toti ʻi loto	fakaʻilonga | loto | toti | toti ʻi loto
¹	taha hake	fakaʻilonga | hake | taha
»	lea hiki fakatouliki lōua mataʻu	fakaʻilonga | lea hiki | lea hiki fakatouliki lōua mataʻu | touliki | ua
¿	fehuʻi fulihi	fakaʻilonga | fehuʻi | fulihi
×	liunga	fakaʻilonga | liunga
÷	vahevahe	fakaʻilonga | vahevahe
،	koma fakaʻalepea	fakaʻalepea | fakaʻilonga | koma
؛	semikoloni fakaʻalepea	fakaʻalepea | fakaʻilonga | semikoloni
؟	fehuʻi fakaʻalepea	fakaʻalepea | fakaʻilonga | fehuʻi
‐	haifine	fakaʻilonga | haifine | kohi
–	kohi nounou	fakaʻilonga | kohi | nounou
—	kohi lōloa	fakaʻilonga | kohi | lōloa
―	kohi fakalava	fakaʻilonga | fakalava | kohi
‘	lea hiki hema	fakaʻilonga | lea hiki | lea hiki hema
’	lea hiki mataʻu	fakaʻilonga | lea hiki | lea hiki mataʻu
‚	lea hiki mataʻu hifo	fakaʻilonga | lea hiki | lea hiki mataʻu hifo
“	lea hiki lōua hema	fakaʻilonga | lea hiki | lea hiki lōua hema | ua
”	lea hiki lōua mataʻu	fakaʻilonga | lea hiki | lea hiki lōua mataʻu | ua
„	lea hiki lōua mataʻu hifo	fakaʻilonga | lea hiki | lea hiki lōua mataʻu hifo | ua
†	fakaʻilonga heletui	fakaʻilonga | heletui
‡	heletui lōua	fakaʻilonga | heletui | heletui lōua
•	fakaʻilonga toti	fakaʻilonga | fakaʻilonga toti | pulukōkō
…	totitolu	fakaʻilonga | tolu | toti | totitolu
‧	toti fakahaifine	fakaʻilonga | haifine | toti | toti fakahaifine
‰	pemila	fakaʻilonga | pemila
′	fakaʻilonga tiki	fakaʻilonga | tiki
″	tiki lōua	fakaʻilonga | lōua | tiki
‴	tiki lōtolu	fakaʻilonga | lōtolu | tiki
※	tukuatu	fakaʻilonga | tukuatu
‼	kalanga lōua	fakaʻilonga | kalanga | lōua
