# CLDR symbol names for tr: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	ünlem işareti	ünlem | ünlem işareti
#	sayı işareti	etiket | hashtag | kare | karma | sayı | sayı işareti
$	dolar	ABD | dolar | para | pezo
%	yüzde	yüzde
&	ampersan	ampersan | ve
'	daktilo kesme işareti	daktilo kesme işareti | kesme | tek kesme | tek tırnak | tırnak
)	kapalı parantez	ayraç | kapalı parantez | parantez | yuvarlak ayraç | yuvarlak parantez
*	asterisk	asterisk | joker | yıldız
+	artı işareti	artı | artı işareti | ekle
,	virgül	virgül
-	tire-eksi	çizgi | eksi | tire | tire-eksi
.	nokta	nokta | tam durak
/	eğik çizgi	eğik | eğik çizgi | yatık çizgi
:	iki nokta	iki nokta
;	noktalı virgül	noktalı virgül
<	küçüktür	açık etiket | açılış etiketi | etiket | küçüktür
=	eşittir	eşit | eşittir
>	büyüktür	büyüktür | etiket | kapalı etiket | kapanış etiketi
?	soru işareti	soru | soru işareti
@	kuyruklu a	ampersat | bahsetme | konum | kuyruklu a
[	açık kare parantez	açık kare parantez | kare parantez | parantez
\	ters eğik çizgi	ters eğik çizgi | ters yatık çizgi
]	kapalı kare parantez	kapalı kare parantez | kare parantez | parantez
^	inceltme işareti	aksan | inceltme | inceltme işareti | şapka işareti | xor | zikzak çıta
_	alt çizgi	alt çizgi | alt satır | alt tire
`	aksan işareti	aksan | aksan işareti | işaret | ton | vurgu
{	açık süslü ayraç	açık süslü ayraç | martı kanat | süslü ayraç | süslü parantez
|	dikey çizgi	çizgi | çubuk | dikey | Sheffer inme
}	kapalı süslü ayraç	kapalı süslü ayraç | martı kanat | süslü ayraç | süslü parantez
~	yaklaşık	yaklaşık
¡	ters ünlem işareti	ters | ters ünlem işareti | ünlem | ünlem işareti
¢	sent	sent
£	sterlin	EGP | GBP | para birimi | sterlin
¤	Bilinmeyen Para Birimi	
¥	yen	CNY | JPY | para birimi | yen | yuan
§	bölüm	bölüm | bölüm işareti | paragraf | parça
¨	ikilenme	çift nokta | ikilenme | umlaut
©	telif hakkı işareti	c | telif hakkı | Telif hakkı | telif hakkı işareti
«	sola bakan köşeli tırnak işareti	açılı | düzeltme işareti | köşeli çift ayraç | parantezler | sol | sola bakan köşeli tırnak işareti | tırnak işareti
¬	olumsuzlama	olumsuzlama | olumsuzluk
®	tescil işareti	r | tescil işareti | tescilli | Tescilli | tescilli işareti
°	derece	derece | kanıt | saat
±	artı-eksi	artı-eksi
²	üs iki	iki | karesi alınmış | üs iki | üst iki simgesi | üst simge
³	üs üç	küpü alınmış | üç | üs üç | üst simge | üst üç simgesi
´	tiz aksan	aksan | tiz aksan | tiz vurgu
µ	mikro işareti	mikro işareti | ölçüm
¶	paragraf işareti	paragraf | paragraf işareti | pilcrow
·	orta nokta	nokta | orta | ortaya konan nokta
¹	üs bir	bir | üs bir | üst bir simgesi | üst simge
»	sağa bakan köşeli tırnak işareti	açılı | düzeltme işareti | köşeli çift ayraç | parantezler | sağ | sağa bakan köşeli tırnak işareti | tırnak işareti
¿	ters soru işareti	soru | soru işareti | ters | ters soru işareti
×	çarpma işareti	çarpım | çarpma | çarpma işareti
÷	bölme işareti	bölme | bölme işareti | bölüm | obelus
֏	Ermenistan dramı	
؋	Afganistan afganisi	
،	arapça virgül	arapça | virgül
؛	arapça noktalı virgül	arapça | arapça noktalı virgül | noktalı virgül
؟	arapça soru işareti	arapça | arapça soru işareti | soru | soru işareti
৳	Bangladeş takası	
฿	Tayland bahtı	
៛	Kamboçya rieli	
‐	tire işareti	çizgi | tire | tire işareti
–	tire	çizgi | tire
—	uzun tire	tire | uzun
―	yatay çizgi	çizgi | çubuk | yatay çizgi
‘	sol kesme işareti	akıllı tırnak | kesme işareti | sol kesme işareti | tek kesme | tırnak
’	sağ kesme işareti	akıllı tırnak | kesme işareti | sağ kesme işareti | tek kesme | tırnak
‚	sağ alt kesme işareti	alt tırnak | kesme | sağ alt kesme işareti | tırnak
“	sol tırnak işareti	akıllı tırnak | çift tırnak | sol tırnak işareti | tırnak
”	sağ tırnak işareti	akıllı tırnak | çift tırnak | sağ tırnak işareti | tırnak
„	sağ alt tırnak işareti	akıllı tırnak | çift tırnak | sağ alt tırnak işareti | tırnak
†	kama işareti	dikili taş | kama | kama işareti | obelus
‡	çift kama işareti	çift | çift kama işareti | dikili taş | kama | obelus
•	madde imi	madde imi | nokta
…	üç nokta	eksilti | eksiltme | üç nokta
‧	tireleme noktası	çizgi | nokta | tire | tireleme noktası
‰	binde	binde | binde bir
′	üssü	üssü
″	iki üssü	iki üssü | üssü
‴	üç üssü	üç üssü | üssü
‸	düzeltme işareti	düzeltme işareti
※	referans işareti	referans işareti
‼	çift ünlem	! | !! | çift ünlem | işaret | noktalama | ünlem
‽	soru ve ünlem işareti	soru ve ünlem işareti
‾	üst çizgi	üst çizgi
⁂	üç yıldız işareti	üç yıldız işareti
⁄	kesir bölme işareti	kesir bölme işareti
⁉	ünlemli soru işareti	! | !? | ? | işaret | noktalama | soru | ünlem | ünlemli soru işareti
⁻	üs eksi	eksi | üs | üst eksi simgesi | üst simge
₡	Kosta Rika kolonu	
₢	cruzeiro	cruzeiro
₣	fransız frangı	fransız frangı
₤	lira	lira
₥	mill	mil | mill
₦	Nijerya nairası	
₧	İspanyol Pezetası	
₨	rupi	rupi
₩	won	KPW | KRW | won
₪	Yeni İsrail şekeli	
₫	Vietnam dongu	
€	avro	avro | EUR | para birimi
₭	Laos kipi	
₮	Moğolistan tugriki	
₰	alman senti	alman senti
₱	pezo	pezo
₲	Paraguay guaranisi	
₳	austral	austral
₴	Ukrayna grivnası	
₵	Gana sedisi	
₶	livre tournois	livre tournois
₷	spesmilo	spesmilo
₸	Kazakistan tengesi	
₹	hint rupisi	hint rupisi | para birimi | rupi
₺	Türk lirası	
₼	Azerbaycan manatı	
₽	ruble	para birimi | ruble
₾	Gürcistan larisi	
₿	bitcoin	bitcoin | BTC
℗	ses kaydı telif hakkı	kayıt | ses | ses kaydı telif hakkı | telif hakkı
™	ticari marka işareti	işaret | ticari marka | ticari marka işareti
ℹ	bilgi	bilgi | i harfi
←	solu gösteren ok	ok | sol | solu gösteren ok
↑	yukarı gösteren ok	ok | yukarı | yukarı gösteren ok
→	sağı gösteren ok	ok | sağ | sağı gösteren ok
↓	aşağı gösteren ok	aşağı | aşağı gösteren ok | ok
