# CLDR symbol names for tt: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
¤	билгесез валюта	
֏	Армения драмы	
؋	Әфган әфганы	
৳	Бангладеш такасы	
฿	Тайвань Баты	
៛	Камбоджа риелы	
‸	карет	карет
‽	интерробанг	интерробанг
‾	сызык	сызык
⁂	астеризм	астеризм
₡	Коста-Рика колоны	
₦	Нигерия найрасы	
₪	Израиль яңа шекеле	
₫	Вьетнам Донгы	
₭	Лаос кипы	
₮	Монголия тугрикы	
₲	Парагвай гуаранисы	
₴	Украина гривнасы	
₵	Гана седие	
₸	Казахстан тәңкәсе	
₺	Төркия Лирасы	
₼	Әзербайҗан манаты	
₾	Грузия ларие	
