# CLDR symbol names for ug: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
¤	يوچۇن پۇل	
©	نەشر ھوقۇقى	نەشر ھوقۇقى
®	تىزىملاتقان	تىزىملاتقان
֏	ئەرمېنىيە دىرامى	
؋	ئافغان ئافغانى	
৳	باڭلادىش تاكاسى	
฿	تايلاند باختى	
៛	كامبودژا رىئېلى	
‼	قوش ئۈندەش بەلگىسى	ئۇرۇش | ئۈندەش | بەلگە | تىنىش | قوش ئۈندەش بەلگىسى
⁉	ئۈندەشلىك سوئال بەلگىسى	ئۈندەش | ئۈندەشلىك سوئال بەلگىسى | بەلگە | تىنىش | سوئال | سوئاللىق ئۈندەش
₡	كوستارىكا كولونى	
₦	نىگېرىيە نايراسى	
₧	ئىسپانىيە پېسېتاسى	
₪	ئىسرائىل يېڭى شېكېلى	
₫	ۋىيېتنام دوڭى	
₭	لائوس كىپى	
₮	موڭغۇلىيە تۈگرىكى	
₲	پاراگۋاي گۇئارانىسى	
₴	ئۇكرائىنا خرىۋناسى	
₵	گانا سېدىسى	
₸	قازاقىستان تەڭگىسى	
₺	تۈركىيە لىراسى	
₼	ئەزەربەيجان ماناتى	
₾	گىرۇزىيە لارىسى	
™	سودا ماركىسى	س م | سودا ماركىسى | ماركا
ℹ	ئۇچۇر	i | ئۇچۇر
↔	ئوڭ-سول كۆرسەتكۈچ	ئوڭ-سول كۆرسەتكۈچ | كۆرسەتكۈچ
↕	ئاستى-ئۈستى كۆرسەتكۈچ	ئاستى-ئۈستى كۆرسەتكۈچ | كۆرسەتكۈچ
↖	ئۈستى سول كۆرسەتكۈچ	ئارا يۆنىلىشلىك | ئۈستى سول كۆرسەتكۈچ | غەربىي-شىمال | كۆرسەتكۈچ | يۆنىلىش
↗	ئۈستى-ئوڭ كۆرسەتكۈچ	ئارا يۆنىلىشلىك | ئۈستى-ئوڭ كۆرسەتكۈچ | شەرقىي-شىمال | كۆرسەتكۈچ | يۆنىلىش
↘	ئاستى ئوڭ كۆرسەتكۈچ	ئارا يۆنىلىشلىك | ئاستى ئوڭ كۆرسەتكۈچ | شەرقىي-جەنۇب | كۆرسەتكۈچ | يۆنىلىش
↙	ئاستى سول كۆرسەتكۈچ	ئارا يۆنىلىشلىك | ئاستى سول كۆرسەتكۈچ | غەربىي-شىمال | كۆرسەتكۈچ | يۆنىلىش
↩	سولغا ئېگىلگەن ئوڭ كۆرسەتكۈچ	سولغا ئېگىلگەن ئوڭ كۆرسەتكۈچ | كۆرسەتكۈچ
↪	ئوڭغا ئېگىلگەن سول كۆرسەتكۈچ	ئوڭغا ئېگىلگەن سول كۆرسەتكۈچ | كۆرسەتكۈچ
⌨	كۇنۇپكا تاختىسى	كومپيۇتېر | كۇنۇپكا تاختىسى
⏏	چىقىرىش كۇنۇپكىسى	چىقىرىش | چىقىرىش كۇنۇپكىسى
⏭	كېيىنكى كۇنۇپكىسى	ئۈچبۇلۇڭ | كۆرسەتكۈچ | كېيىنكى | كېيىنكى كۆرۈنۈش | كېيىنكى كۇنۇپكىسى
⏮	ئالدىنقى كۇنۇپكىسى	ئالدىنقى | ئالدىنقى كۆرۈنۈش | ئالدىنقى كۇنۇپكىسى | ئۈچبۇلۇڭ | كۆرسەتكۈچ
⏯	قويۇش ياكى تورمۇزلاش كۇنۇپكىسى	ئوڭ | ئۈچبۇلۇڭ | تورمۇزلاش | قويۇش ياكى تورمۇزلاش كۇنۇپكىسى | كۆرسەتكۈچ
⏱	ۋاقىت سانىغۇچ	سائەت | ۋاقىت سانىغۇچ
⏲	ۋاقىتچى سائەت	سائەت | ۋاقىتچى
⏸	تورمۇزلاش كۇنۇپكىسى	بالداق | تورمۇزلاش | تورمۇزلاش كۇنۇپكىسى | تىك | قوش
⏹	توختاش كۇنۇپكىسى	توختاش | توختاش كۇنۇپكىسى | كىۋادرات
⏺	ئېلىش كۇنۇپكىسى	ئېلىش | ئېلىش كۇنۇپكىسى | چەمبەر
Ⓜ	ھالقىلىق M	m | ھالقا | ھالقىلىق M
▪	قارا كىچىك كىۋادرات	قارا كىچىك كىۋادرات | كىۋادرات | گېئومېتىرىيە
▫	ئاق كىچىك كىۋادرات	ئاق كىچىك كىۋادرات | كىۋادرات | گېئومېتىرىيە
▶	قويۇش كۇنۇپكىسى	ئوڭ | ئۈچبۇلۇڭ | قويۇش | قويۇش كۇنۇپكىسى | كۆرسەتكۈچ
◀	تېز قايتۇرۇش كۇنۇپكىسى	ئۈچبۇلۇڭ | تېز قايتۇرۇش كۇنۇپكىسى | سول | قايتۇرۇش | كۆرسەتكۈچ
◻	ئاق ئارا كىۋادرات	ئاق ئارا كىۋادرات | كىۋادرات | گېئومېتىرىيە
◼	قارا ئارا كىۋادرات	قارا ئارا كىۋادرات | كىۋادرات | گېئومېتىرىيە
☀	كۈن	ئاپتاپ | كۈن | نۇر | يورۇق
☁	بۇلۇت	بۇلۇت | ھاۋارايى
☂	كۈنلۈك	كۈنلۈك | كىيىم | يامغۇر
☃	قار بوۋاي	سوغۇق | قار | قار بوۋاي
☄	قۇيرۇقلۇق يۇلتۇز	بوشلۇق | قۇيرۇقلۇق يۇلتۇز
☎	تېلېفون	تېلېفون
☑	تاللانغان بېلەت ساندۇقى	بېلەت | تاللاش | تاللانغان بېلەت ساندۇقى | ساندۇق
☘	ئۈچقۇلاق	ئۆسۈملۈك | ئۈچقۇلاق
☝	ئۈستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق	ئۈستى | ئۈستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق | بارماق | قول | كۆرسەتكۈچ بارماق | كۆرسىتىش
☠	باش سۆڭەك ۋە ئۇستىخان	ئۆلۈم | باش سۆڭەك | باش سۆڭەك ۋە ئۇستىخان | چىراي | سۆڭەك | يالماۋۇز
