# CLDR symbol names for uk: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	знак оклику	знак оклику | оклик
#	символ решітки	ґратка | дієз | октоторп | решітка | символ решітки | хештег | шарп
$	долар	USD | гроші | долар | песо
%	відсоток	відсоток | процент
&	амперсанд	амперсанд | і | та
'	прямий апостроф	апостроф | лапки | одинарні лапки | прямий апостроф
)	закривна дужка	дужка | закривна | кругла дужка
*	зірочка	астериск | зірочка | знак підстановки
+	знак плюса	додавання | плюс
,	кома	кома
-	знак "мінус"	дефіс | знак "мінус" | мінус
.	крапка	крапка | точка
/	скісна риска	скісна риска | слеш
:	двокрапка	дві крапки | двокрапка
;	крапка з комою	крапка з комою | середник
<	менше ніж	відкрити тег | менше ніж | тег
=	знак рівності	дорівнює | знак рівності
>	більше ніж	більше ніж | закрити тег | тег
?	знак питання	запитання | знак питання | питання
@	комерційне ет	вухо | знак ет | знак пошти | комерційне ет | равлик | собака
[	відкривна квадратна дужка	відкривна квадратна дужка | дужка | квадратна дужка
\	обернена скісна риска	бекслеш | обернена скісна риска
]	закривна квадратна дужка	дужка | закривна | закривна квадратна дужка | квадратна дужка
^	циркумфлекс	дашок | циркумфлекс | циркумфлексний наголос
_	підкреслення	нижнє тире | підкреслення | символ підкреслення
`	гравіс	гравіс | зворотний апостроф
{	відкривна фігурна дужка	відкривна | відкривна фігурна дужка | фігурна дужка
|	вертикальна риска	вертикальна лінія | вертикальна риска | лінія | пайп | штрих Шеффера
}	закривна фігурна дужка	закривна | закривна фігурна дужка | фігурна дужка
~	тильда	тильда
¡	перевернутий знак оклику	знак оклику | оклик | перевернутий | перевернутий знак оклику
¢	цент	цент
£	фунт	EGP | GBP | британський фунт | валюта | єгипетський фунт | фунт | фунт стерлінгів
¤	невідома грошова одиниця	
¥	єна	CNY | JPY | валюта | єна | китайський юань | юань | японська єна
§	розділ	абзац | знак розділу | розділ | частина
¨	дієрезис	діерезис | дієрезис | трема | умлаут
©	авторське право	авторське право | копірайт | с
«	ліва шевронна лапка	дужки | карет | кут | лапки | ліва шевронна лапка | ліво | шеврон
¬	заперечення	заперечення | не
®	зареєстрована торговельна марка	зареєстрована торговельна марка | зареєстровано
°	ступінь	година | доведення | доказ | ступінь
±	плюс-мінус	плюс-мінус
²	надрядкова двійка	верхній індекс | верхній регістр | два | двійка | надрядкова двійка | у квадраті
³	надрядкова трійка	верхній індекс | верхній регістр | надрядкова трійка | три | трійка | у кубі
´	акут	акут | акутовий наголос
µ	знак мікро	μ | вимірювати | знак мікро | мк | мю
¶	знак абзацу	абзац | знак абзацу | символ абзацу | символ кінця абзацу
·	середня крапка	інтерпункт | крапка | середній | середня крапка
¹	надрядкова одиниця	верхній індекс | верхній регістр | надрядкова одиниця | одиниця
»	права шевронна лапка	дужки | карет | кут | лапки | права шевронна лапка | право | шеврон
¿	перевернутий знак питання	знак питання | перевернутий | перевернутий знак питання | питання
×	знак множення	знак множення | множення | множити | раз
÷	знак ділення	ділення | ділити | знак ділення | обелюс
֏	вірменський драм	
؋	афганський афгані	
،	арабська кома	арабська кома | кома
؛	арабська крапка з комою	арабська крапка з комою | крапка з комою
؟	арабський знак питання	арабський | арабський знак питання | знак питання | питання
৳	бангладеська така	
฿	таїландський бат	
៛	камбоджійський рієль	
‐	дефіс	дефіс | риска
–	коротке тире	коротке | тире
—	довге тире	довге | тире
―	тире	горизонтальна лінія | лінія | тире
‘	лівий апостроф	апостроф | лапки | лівий апостроф | одинарні лапки
’	правий апостроф	апостроф | лапки | одинарні лапки | правий апостроф
‚	нижні праві лапки	лапки | нижні лапки | нижні одинарні лапки | нижні праві лапки
“	ліві подвійні лапки	лапки | ліві подвійні лапки | подвійні лапки
”	праві подвійні лапки	лапки | праві лапки | праві подвійні лапки
„	нижні праві подвійні лапки	лапки | нижні лапки | нижні праві подвійні лапки | подвійні лапки
†	друкарський хрестик	друкарський знак | друкарський хрестик | обелюс
‡	подвійний друкарський хрестик	друкарський знак | друкарський хрестик | обелюс | подвійний | подвійний друкарський хрестик
•	маркер	крапка | маркер | маркованний список
…	три крапки	крапки | пропуск | три крапки
‧	розділова крапка	дефіс | крапка | розділова
‰	проміле	проміле | промілле | проміль
′	штрих	штрих
″	подвійні лапки	подвійний штрих | подвійні лапки
‴	потрійні лапки	потрійний штрих | потрійні лапки
‸	дашок	дашок | каретка
※	розпізнавальний знак	опорний символ | розпізнавальний знак
‼	подвійний знак оклику	! | !! | бенгбенг | знак оклику | лігатура | оклик | подвійний знак оклику | розділовий знак
‽	інтеробанг	інтеробанг
‾	риска згори	вінкулум | риска згори
⁂	три зірочки	зірки | потрійний | три
⁄	скісна риска дробу	ділити | дріб | поділ
⁉	знак оклику і питання	! | !? | ? | інтеробенг | не зрозуміло | оклик | питання | пунктуація | розділовий знак
⁻	надрядковий мінус	верхній | мінус | надрядковий мінус
₡	костариканський колон	
₢	крузейро	валюта | крузейро
₣	французький франк	валюта | франк | французький франк
₤	ліра	валюта | ліра
₥	міль	mil | міль
₦	нігерійська найра	
₧	іспанська песета	
₨	рупія	валюта | рупія
₩	вон	KRW | вон
₪	ізраїльський новий шекель	
₫	вʼєтнамський донг	
€	євро	EUR | валюта | євро
₭	лаоський кіп	
₮	монгольський тугрик	
₰	німецький пфенінг	валюта | німецький пфенінг | пфенінг
₱	песо	песо
₲	парагвайський гуарані	
₳	аустраль	аустраль | валюта
₴	українська гривня	
₵	ганський седі	
₶	турський лівр	валюта | турський лівр
₷	спесміло	валюта | спесміло
₸	казахстанський тенге	
₹	індійська рупія	валюта | індійська рупія | рупія
₺	турецька ліра	
₼	азербайджанський манат	
₽	рубль	валюта | рубль
₾	грузинський ларі	
₿	біткоїн	BTC | біткоїн
℗	авторське право на звукозапис	авторське право | авторське право на звукозапис | запис | звук
™	торговельна марка	tm | марка | торговельна марка
ℹ	джерело інформації	i | джерело інформації | довідка | довідкове бюро | інформація
←	стрілка ліворуч	вліво | ліворуч | стрілка ліворуч
↑	стрілка догори	вгору | догори | стрілка догори
→	стрілка праворуч	право | праворуч | стрілка праворуч
↓	стрілка донизу	вниз | донизу | стрілка донизу
↔	стрілка вліво-вправо	стрілка | стрілка вліво-вправо | стрілка праворуч і ліворуч | стрілки
↕	стрілка вгору-вниз	стрілка | стрілка вгору та вниз | стрілка вгору-вниз
↖	стрілка вгору вліво	напрям | північно-західний | проміжний | стрілка | стрілка вгору вліво | стрілка вгору та ліворуч
↗	стрілка вгору вправо	на північний схід | напрям | північно-східний | стрілка | стрілка вгору вправо | четвертинний румб
↘	стрілка вниз управо	напрям | південно-східний | проміжний | стрілка | стрілка вниз і праворуч | стрілка вниз управо
↙	стрілка вниз уліво	діагональна стрілка донизу | напрям | південно-західний | проміжний | стрілка | стрілка вниз і ліворуч | стрілка вниз уліво
↚	стрілка вліво з рискою навскіс	стрілка вліво з рискою навскіс
↛	стрілка вправо з рискою навскіс	стрілка вправо з рискою навскіс
↜	хвиляста стрілка вліво	хвиляста стрілка вліво
↝	хвиляста стрілка вправо	хвиляста стрілка вправо
↞	стрілка вліво з подвійним наконечником	стрілка вліво з подвійним наконечником
↟	стрілка вгору з подвійним наконечником	стрілка вгору з подвійним наконечником
↠	стрілка вправо з подвійним наконечником	стрілка вправо з подвійним наконечником
↡	стрілка вниз із подвійним наконечником	стрілка вниз із подвійним наконечником
↢	стрілка вліво з хвостиком	ліворуч | стріла | хвостик
↣	стрілка вправо з півкола	вправо | півколо | стрілка
↤	стрілка вліво з риски	ліворуч | риска | стріла
↥	стрілка вгору з риски	догори | риска | стріла
↦	стрілка вправо з риски	вправо | риска | стрілка
↧	стрілка вниз із риски	донизу | риска | стріла
↨	стрілка вгору і вниз із горизонтальною рискою під нею	двоспрямована | догори | донизу | риска
