# CLDR symbol names for ur: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	علامت استعجاب	استعجاب | استعجاب پوائنٹ | بینگ | علامت استعجاب
#	ہیش علامت	ایل بی | پاؤنڈ | نمبر | ہیش | ہیش ٹیگ | ہیش علامت
$	ڈالر	امریکی ڈالر | پیسو | ڈالر | رقم
%	فیصد	فی صد | فیصد
&	ایمپرسینڈ	ای ٹی | ایمپرسینڈ | اینڈ
'	ٹائپ رائٹر اپوسٹروفی	اپوسٹروفی | ٹائپ رائٹر اپوسٹروفی | سنگل علامت اقتباس | علامت اقتباس
)	بند قوسین	بریکٹ | بند قوسین | قوسین | گول بریکٹ
*	ایسٹرسک	ایسٹرسک | ستارہ | وائلڈ کارڈ
+	جمع کی علامت	جمع | جمع کی علامت | جوڑیں
,	کوما	کوما
-	ہائفن مائنس	ڈیش | مائنس | ہائفن
.	پیریڈ	پیریڈ | ڈاٹ | فُل اسٹاپ
/	سلیش	اوبلیک | سٹروک | سلیش | سولیڈس | ورگیول | وہیک
:	کولن	کولن
;	سیمی کولن	سیمی کولن
<	سے کم	ٹیگ | سے کم | کھلا ٹیگ
=	مساوی	برابر | مساوی
>	سے بڑا	بند ٹیگ | ٹیگ | سے بڑا
?	سوالیہ نشان	سوال | سوالیہ نشان
@	ایٹ علامت	اروبا | ایٹ علامت | ایٹ نشان | ایروبیس | ایمپرسیٹ | سٹروڈل | کمرشل ایٹ
[	کھلی مربع بریکٹ	بریکٹ | کراچیٹ | کھلی مربع بریکٹ | مربع بریکٹ
\	بیک سلیش	بیک سلیش | معکوس سولیڈس | وہیک
]	بند مربع بریکٹ	بریکٹ | بند مربع بریکٹ | کراچیٹ | مربع بریکٹ
^	سرکمفلیکس ایکسینٹ	ایکسینٹ | پاور | پوائنٹر | ژور علامت | سرکمفلیکس | شیورن | کنٹرل | کیرٹ | ہَیٹ | ویج
_	زیریں لائن	انڈرڈیش | انڈرلائن | ڈیش | زیریں ڈیش | زیریں لائن | لائن
`	گریو ایکسینٹ	ایکسینٹ | ٹون | گریو
